он,сар,бараа,үнэ,нэгж
2023,1,Цагаан тугалга,24099.0,ам.долл/тн
2023,1,Цайр,3128.2,ам.долл/тн
2023,2,Зэс,8999.3,ам.долл/тн
2023,2,Молибдени,69578.0,ам.долл/тн
2023,2,Хар тугалга,2208.2,ам.долл/тн
2023,2,Цагаан тугалга,28080.7,ам.долл/тн
2023,2,Цайр,3289.4,ам.долл/тн
2023,3,Зэс,8834.7,ам.долл/тн
2023,3,Молибдени,68574.2,ам.долл/тн
2023,3,Хар тугалга,2114.1,ам.долл/тн
2023,3,Цагаан тугалга,23997.4,ам.долл/тн
2023,3,Цайр,2955.6,ам.долл/тн
2023,4,Зэс,8813.4,ам.долл/тн
2023,4,Молибдени,45608.7,ам.долл/тн
2023,4,Хар тугалга,2148.3,ам.долл/тн
2023,4,Цагаан тугалга,25865.6,ам.долл/тн
2023,4,Цайр,2772.1,ам.долл/тн
2023,5,Зэс,8233.6,ам.долл/тн
2023,5,Молибдени,46718.1,ам.долл/тн
2023,5,Хар тугалга,2086.8,ам.долл/тн
2023,5,Цагаан тугалга,25586.1,ам.долл/тн
2023,5,Цайр,2477.1,ам.долл/тн
2023,6,Зэс,8385.6,ам.долл/тн
2023,6,Молибдени,49138.0,ам.долл/тн
2023,6,Хар тугалга,2117.6,ам.долл/тн
2023,6,Цагаан тугалга,27243.3,ам.долл/тн
2023,6,Цайр,2367.6,ам.долл/тн
2023,7,Зэс,8444.6,ам.долл/тн
2023,7,Молибдени,49503.2,ам.долл/тн
2023,7,Хар тугалга,2106.1,ам.долл/тн
2023,7,Цагаан тугалга,28727.9,ам.долл/тн
2023,7,Цайр,2396.0,ам.долл/тн
2023,8,Зэс,8351.2,ам.долл/тн
2023,8,Молибдени,54574.4,ам.долл/тн
2023,8,Хар тугалга,2151.1,ам.долл/тн
2023,8,Цагаан тугалга,25974.7,ам.долл/тн
2023,8,Цайр,2400.5,ам.долл/тн
2023,9,Зэс,8270.2,ам.долл/тн
2023,9,Молибдени,54574.4,ам.долл/тн
2023,9,Хар тугалга,2151.1,ам.долл/тн
2023,9,Цагаан тугалга,25974.7,ам.долл/тн
2023,9,Цайр,2487.8,ам.долл/тн
2023,10,Зэс,7939.2,ам.долл/тн
2023,10,Молибдени,45232.8,ам.долл/тн
2023,10,Хар тугалга,2135.8,ам.долл/тн
2023,10,Цагаан тугалга,24597.1,ам.долл/тн
2023,10,Цайр,2448.8,ам.долл/тн
2023,11,Зэс,8173.5,ам.долл/тн
2023,11,Молибдени,38310.3,ам.долл/тн
2023,11,Хар тугалга,2184.6,ам.долл/тн
2023,11,Цагаан тугалга,24203.6,ам.долл/тн
2023,11,Цайр,2543.3,ам.долл/тн
2023,12,Зэс,8393.6,ам.долл/тн
2023,12,Молибдени,40337.6,ам.долл/тн
2023,12,Хар тугалга,2035.8,ам.долл/тн
2023,12,Цагаан тугалга,24592.0,ам.долл/тн
2023,12,Цайр,2501.3,ам.долл/тн
2024,1,Зэс,8343.5,ам.долл/тн
2024,1,Молибдени,43744.7,ам.долл/тн
2024,1,Хар тугалга,2086.9,ам.долл/тн
2024,1,Цагаан тугалга,25186.6,ам.долл/тн
2024,1,Цайр,2520.9,ам.долл/тн
2024,2,Зэс,8310.1,ам.долл/тн
2024,2,Молибдени,43781.7,ам.долл/тн
2024,2,Хар тугалга,2083.6,ам.долл/тн
2024,2,Цагаан тугалга,26140.5,ам.долл/тн
2024,2,Цайр,2363.9,ам.долл/тн
2024,3,Зэс,8675.1,ам.долл/тн
2024,3,Молибдени,44234.6,ам.долл/тн
2024,3,Хар тугалга,2056.4,ам.долл/тн
2024,3,Цагаан тугалга,27430.9,ам.долл/тн
2024,3,Цайр,2461.9,ам.долл/тн
2024,4,Зэс,9481.5,ам.долл/тн
2024,4,Молибдени,43920.2,ам.долл/тн
2024,4,Хар тугалга,2129.2,ам.долл/тн
2024,4,Цагаан тугалга,31829.0,ам.долл/тн
2024,4,Цайр,2730.1,ам.долл/тн
2024,5,Зэс,10128.4,ам.долл/тн
2024,5,Молибдени,48150.0,ам.долл/тн
2024,5,Хар тугалга,2220.6,ам.долл/тн
2024,5,Цагаан тугалга,33139.8,ам.долл/тн
2024,5,Цайр,2955.1,ам.долл/тн
2024,6,Зэс,9640.7,ам.долл/тн
2024,6,Молибдени,51330.2,ам.долл/тн
2024,6,Хар тугалга,2147.2,ам.долл/тн
2024,6,Цагаан тугалга,32216.4,ам.долл/тн
2024,6,Цайр,2812.4,ам.долл/тн
2024,7,Зэс,9393.2,ам.долл/тн
2024,7,Молибдени,50047.7,ам.долл/тн
2024,7,Хар тугалга,2113.8,ам.долл/тн
2024,7,Цагаан тугалга,31987.4,ам.долл/тн
2024,7,Цайр,2784.7,ам.долл/тн
2024,8,Зэс,8963.2,ам.долл/тн
2024,8,Молибдени,46563.7,ам.долл/тн
2024,8,Хар тугалга,2001.8,ам.долл/тн
2024,8,Цагаан тугалга,31499.8,ам.долл/тн
2024,8,Цайр,2709.2,ам.долл/тн
2024,9,Зэс,9253.9,ам.долл/тн
2024,9,Молибдени,47532.7,ам.долл/тн
2024,9,Хар тугалга,2006.7,ам.долл/тн
2024,9,Цагаан тугалга,31625.1,ам.долл/тн
2024,9,Цайр,2840.3,ам.долл/тн
2024,10,Зэс,9538.8,ам.долл/тн
2024,10,Молибдени,48252.4,ам.долл/тн
2024,10,Хар тугалга,2035.2,ам.долл/тн
2024,10,Цагаан тугалга,32201.6,ам.долл/тн
2024,10,Цайр,3102.5,ам.долл/тн
2024,11,Зэс,9074.3,ам.долл/тн
2024,11,Молибдени,48185.6,ам.долл/тн
2024,11,Хар тугалга,1987.8,ам.долл/тн
2024,11,Цагаан тугалга,29753.0,ам.долл/тн
2024,11,Цайр,2998.6,ам.долл/тн
2024,12,Зэс,8919.2,ам.долл/тн
2024,12,Молибдени,47260.4,ам.долл/тн
2024,12,Хар тугалга,1993.5,ам.долл/тн
2024,12,Цагаан тугалга,28861.3,ам.долл/тн
2024,12,Цайр,3042.5,ам.долл/тн
2025,1,Зэс,8977.2,ам.долл/тн
2025,1,Молибдени,45966.3,ам.долл/тн
2025,1,Хар тугалга,1921.2,ам.долл/тн
2025,1,Цагаан тугалга,29603.9,ам.долл/тн
2025,1,Цайр,2824.8,ам.долл/тн
2025,2,Зэс,9328.7,ам.долл/тн
2025,2,Молибдени,45517.7,ам.долл/тн
2025,2,Хар тугалга,1954.7,ам.долл/тн
2025,2,Цагаан тугалга,31860.5,ам.долл/тн
2025,2,Цайр,2799.2,ам.долл/тн
2025,3,Зэс,9730.6,ам.долл/тн
2025,3,Молибдени,44654.1,ам.долл/тн
2025,3,Хар тугалга,2033.1,ам.долл/тн
2025,3,Цагаан тугалга,34012.5,ам.долл/тн
2025,3,Цайр,2887.4,ам.долл/тн
2025,4,Зэс,9191.5,ам.долл/тн
2025,4,Молибдени,43891.8,ам.долл/тн
2025,4,Хар тугалга,1908.5,ам.долл/тн
2025,4,Цагаан тугалга,32670.9,ам.долл/тн
2025,4,Цайр,2624.8,ам.долл/тн
2025,5,Зэс,9529.1,ам.долл/тн
2025,5,Молибдени,44329.4,ам.долл/тн
2025,5,Хар тугалга,1957.6,ам.долл/тн
2025,5,Цагаан тугалга,32126.0,ам.долл/тн
2025,5,Цайр,2645.7,ам.долл/тн
2025,6,Зэс,9833.0,ам.долл/тн
2025,6,Молибдени,48125.8,ам.долл/тн
2025,6,Хар тугалга,1972.3,ам.долл/тн
2025,6,Цагаан тугалга,32462.4,ам.долл/тн
2025,6,Цайр,2650.4,ам.долл/тн
2025,7,Зэс,9777.7,ам.долл/тн
2025,7,Молибдени,50225.1,ам.долл/тн
2025,7,Хар тугалга,1994.3,ам.долл/тн
2025,7,Цагаан тугалга,33676.6,ам.долл/тн
2025,7,Цайр,2758.4,ам.долл/тн
2025,8,Зэс,9645.5,ам.долл/тн
2025,8,Молибдени,53940.4,ам.долл/тн
2025,8,Хар тугалга,1944.6,ам.долл/тн
2025,8,Цагаан тугалга,33854.6,ам.долл/тн
2025,8,Цайр,2783.9,ам.долл/тн
2025,9,Зэс,9952.09,ам.долл/тн
2025,9,Молибдени,56161.69,ам.долл/тн
2025,9,Хар тугалга,1953.95,ам.долл/тн
2025,9,Цагаан тугалга,34517.27,ам.долл/тн
2025,9,Цайр,2929.48,ам.долл/тн
2025,10,Зэс,10695.6,ам.долл/тн
2025,10,Молибдени,54827.9,ам.долл/тн
2025,10,Хар тугалга,1967.7,ам.долл/тн
2025,10,Цагаан тугалга,36033.6,ам.долл/тн
2025,10,Цайр,3148.5,ам.долл/тн
2025,11,Зэс,10800.0,ам.долл/тн
2025,11,Молибдени,49878.4,ам.долл/тн
2025,11,Хар тугалга,2001.2,ам.долл/тн
2025,11,Цагаан тугалга,37003.6,ам.долл/тн
2025,11,Цайр,3186.7,ам.долл/тн
2025,12,Зэс,11802.8,ам.долл/тн
2025,12,Молибдени,47192.5,ам.долл/тн
2025,12,Хар тугалга,1941.8,ам.долл/тн
2025,12,Цагаан тугалга,41334.4,ам.долл/тн
2025,12,Цайр,3159.2,ам.долл/тн
2026,1,Зэс,13088.1,ам.долл/тн
2026,1,Молибдени,51270.0,ам.долл/тн
2026,1,Хар тугалга,1997.5,ам.долл/тн
2026,1,Цагаан тугалга,49884.1,ам.долл/тн
2026,1,Цайр,3219.8,ам.долл/тн
2026,2,Зэс,12967.2,ам.долл/тн
2026,2,Молибдени,58218.5,ам.долл/тн
2026,2,Хар тугалга,1915.6,ам.долл/тн
2026,2,Цагаан тугалга,48649.0,ам.долл/тн
2026,2,Цайр,3320.1,ам.долл/тн
2026,3,Зэс,12498.35,ам.долл/тн
2026,3,Молибдени,59257.18,ам.долл/тн
2026,3,Хар тугалга,1879.3,ам.долл/тн
2026,3,Цагаан тугалга,47494.32,ам.долл/тн
2026,3,Цайр,3187.34,ам.долл/тн
2026,4,Зэс,12890.73,ам.долл/тн
2026,4,Молибдени,60017.47,ам.долл/тн
2026,4,Хар тугалга,1922.18,ам.долл/тн
2026,4,Цагаан тугалга,48924.38,ам.долл/тн
2026,4,Цайр,3360.36,ам.долл/тн
2026,5,Зэс,13506.29,ам.долл/тн
2026,5,Молибдени,65694.2,ам.долл/тн
2026,5,Хар тугалга,1990.47,ам.долл/тн
2026,5,Цагаан тугалга,53670.92,ам.долл/тн
2026,5,Цайр,3487.55,ам.долл/тн
2026,6,Зэс,13573.81,ам.долл/тн
2026,6,Молибдени,68391.32,ам.долл/тн
2026,6,Хар тугалга,1950.59,ам.долл/тн
2026,6,Цагаан тугалга,53331.7,ам.долл/тн
2026,6,Цайр,3539.93,ам.долл/тн
