year,value
1990,12803.93
1991,22600.67
1992,56130.27
1993,227677.4
1994,382103.23
1995,651455.74
1996,737996.6
1997,932926.21
1998,945461.18
1999,1080532.0
2000,1224062.06
2001,1391878.16
2002,1550609.92
2003,1829072.23
2004,2361156.95
2005,3041405.74
2006,4027558.62
2007,4956647.18
2008,6555569.35
2009,6590637.14
2010,9756588.44
2011,13173763.35
2012,16688419.55
2013,19174242.6
2014,22227054.3
2015,22894780.89
2016,23931342.64
2017,28010710.57
2018,32582629.02
2019,37839225.36
2020,37453275.3
2021,43555484.41
2022,53851544.46
2023,70441515.81
2024,80663050.96
