Гадаад худалдааны үндсэн үзүүлэлт,Он,value
Нийт эргэлт,2024,27398.04
Нийт эргэлт,2023,24437.15
Нийт эргэлт,2022,21242.98
Нийт эргэлт,2021,16086.58
Нийт эргэлт,2020,12875.22
Нийт эргэлт,2019,13747.15
Нийт эргэлт,2018,12886.56
Нийт эргэлт,2017,10537.92
Нийт эргэлт,2016,8255.94
Нийт эргэлт,2015,8466.8
Нийт эргэлт,2014,11011.0
Нийт эргэлт,2013,10626.88
Нийт эргэлт,2012,11123.05
Нийт эргэлт,2011,11415.85
Нийт эргэлт,2010,6108.6
Нийт эргэлт,2009,4023.1
Нийт эргэлт,2008,5779.0
Нийт эргэлт,2007,4009.3
Нийт эргэлт,2006,2977.0
Нийт эргэлт,2005,2241.2
Нийт эргэлт,2004,1890.8
Нийт эргэлт,2003,1416.9
Нийт эргэлт,2002,1214.8
Нийт эргэлт,2001,1159.2
Нийт эргэлт,2000,1150.3
Нийт эргэлт,1999,967.0
Нийт эргэлт,1998,965.6
Нийт эргэлт,1997,1036.8
Нийт эргэлт,1996,875.2
Нийт эргэлт,1995,888.6
Нийт эргэлт,1994,614.5
Нийт эргэлт,1993,761.6
Нийт эргэлт,1992,806.7
Нийт эргэлт,1991,708.9
Нийт эргэлт,1990,1584.7
Нийт эргэлт,1989,1684.5
Нийт эргэлт,1988,1852.7
Нийт эргэлт,1987,1822.5
Нийт эргэлт,1986,1855.8
Нийт эргэлт,1985,1784.6
Нийт эргэлт,1984,1649.6
Нийт эргэлт,1983,1538.0
Нийт эргэлт,1982,1352.6
Нийт эргэлт,1981,1172.5
Нийт эргэлт,1980,950.6
Нийт эргэлт,1979,699.8
Нийт эргэлт,1978,593.7
Нийт эргэлт,1977,519.4
Нийт эргэлт,1976,481.1
Нийт эргэлт,1975,484.0
Нийт эргэлт,1974,431.1
Нийт эргэлт,1973,395.1
Нийт эргэлт,1972,289.5
Нийт эргэлт,1971,233.8
Нийт эргэлт,1970,205.1
Нийт эргэлт,1969,187.0
Нийт эргэлт,1968,193.2
Нийт эргэлт,1967,202.3
Нийт эргэлт,1966,191.0
Нийт эргэлт,1965,179.4
Нийт эргэлт,1964,184.3
Нийт эргэлт,1963,169.0
Нийт эргэлт,1962,209.3
Нийт эргэлт,1961,212.3
Нийт эргэлт,1960,38.1
Нийт эргэлт,1959,32.5
Нийт эргэлт,1958,29.9
Нийт эргэлт,1957,29.9
Нийт эргэлт,1956,27.8
Нийт эргэлт,1955,23.2
Нийт эргэлт,1954,22.4
Нийт эргэлт,1953,19.9
Нийт эргэлт,1952,18.7
Нийт эргэлт,1951,17.7
Нийт эргэлт,1950,15.0
Нийт эргэлт,1949,11.1
Нийт эргэлт,1948,10.4
Нийт эргэлт,1947,12.3
Нийт эргэлт,1946,8.5
Нийт эргэлт,1945,8.7
Нийт эргэлт,1944,7.9
Нийт эргэлт,1943,7.3
Нийт эргэлт,1942,6.4
Нийт эргэлт,1941,7.8
Нийт эргэлт,1940,6.1
Нийт эргэлт,1939,4.5
Нийт эргэлт,1938,3.5
Нийт эргэлт,1937,3.2
Нийт эргэлт,1936,3.6
Нийт эргэлт,1935,13.3
Нийт эргэлт,1934,44.0
Нийт эргэлт,1933,27.2
Нийт эргэлт,1932,24.5
Нийт эргэлт,1931,26.7
Нийт эргэлт,1930,15.2
Нийт эргэлт,1929,10.2
Нийт эргэлт,1928,2.6
Нийт эргэлт,1927,8.0
Нийт эргэлт,1926,4.9
Нийт эргэлт,1925,3.0
Нийт эргэлт,1924,2.5
Экспорт,2024,15783.38
Экспорт,2023,15186.9
Экспорт,2022,12538.59
Экспорт,2021,9241.12
Экспорт,2020,7576.31
Экспорт,2019,7619.63
Экспорт,2018,7011.76
Экспорт,2017,6200.59
Экспорт,2016,4916.33
Экспорт,2015,4669.28
Экспорт,2014,5774.33
Экспорт,2013,4269.06
Экспорт,2012,4384.67
Экспорт,2011,4817.5
Экспорт,2010,2908.5
Экспорт,2009,1885.4
Экспорт,2008,2534.5
Экспорт,2007,1947.5
Экспорт,2006,1542.0
Экспорт,2005,1063.9
Экспорт,2004,869.7
Экспорт,2003,615.9
Экспорт,2002,524.0
Экспорт,2001,521.5
Экспорт,2000,535.8
Экспорт,1999,454.2
Экспорт,1998,462.3
Экспорт,1997,568.5
Экспорт,1996,424.3
Экспорт,1995,473.3
Экспорт,1994,356.1
Экспорт,1993,382.6
Экспорт,1992,388.4
Экспорт,1991,348.0
Экспорт,1990,660.7
Экспорт,1989,721.5
Экспорт,1988,739.1
Экспорт,1987,717.9
Экспорт,1986,716.1
Экспорт,1985,689.1
Экспорт,1984,674.4
Экспорт,1983,609.9
Экспорт,1982,561.8
Экспорт,1981,468.8
Экспорт,1980,402.8
Экспорт,1979,323.5
Экспорт,1978,264.2
Экспорт,1977,217.1
Экспорт,1976,216.7
Экспорт,1975,218.2
Экспорт,1974,205.9
Экспорт,1973,166.5
Экспорт,1972,131.0
Экспорт,1971,105.5
Экспорт,1970,84.4
Экспорт,1969,76.6
Экспорт,1968,77.2
Экспорт,1967,86.1
Экспорт,1966,82.0
Экспорт,1965,81.0
Экспорт,1964,66.3
Экспорт,1963,67.9
Экспорт,1962,78.9
Экспорт,1961,75.3
Экспорт,1960,16.3
Экспорт,1959,13.9
Экспорт,1958,12.5
Экспорт,1957,12.9
Экспорт,1956,12.7
Экспорт,1955,11.8
Экспорт,1954,11.9
Экспорт,1953,10.7
Экспорт,1952,9.8
Экспорт,1951,9.4
Экспорт,1950,7.8
Экспорт,1949,5.8
Экспорт,1948,5.5
Экспорт,1947,7.3
Экспорт,1946,4.1
Экспорт,1945,4.6
Экспорт,1944,4.8
Экспорт,1943,4.7
Экспорт,1942,4.5
Экспорт,1941,4.3
Экспорт,1940,2.3
Экспорт,1939,2.1
Экспорт,1938,1.2
Экспорт,1937,1.1
Экспорт,1936,1.4
Экспорт,1935,5.4
Экспорт,1934,13.8
Экспорт,1933,8.4
Экспорт,1932,7.8
Экспорт,1931,11.6
Экспорт,1930,8.0
Экспорт,1929,6.2
Экспорт,1928,1.8
Экспорт,1927,4.9
Экспорт,1926,3.1
Экспорт,1925,1.5
Экспорт,1924,1.4
Импорт,2024,11614.66
Импорт,2023,9250.25
Импорт,2022,8704.39
Импорт,2021,6845.45
Импорт,2020,5298.91
Импорт,2019,6127.52
Импорт,2018,5874.8
Импорт,2017,4337.32
Импорт,2016,3339.62
Импорт,2015,3797.52
Импорт,2014,5236.67
Импорт,2013,6357.82
Импорт,2012,6738.38
Импорт,2011,6598.36
Импорт,2010,3200.1
Импорт,2009,2137.7
Импорт,2008,3244.5
Импорт,2007,2061.8
Импорт,2006,1435.0
Импорт,2005,1177.3
Импорт,2004,1021.1
Импорт,2003,801.0
Импорт,2002,690.8
Импорт,2001,637.7
Импорт,2000,614.5
Импорт,1999,512.8
Импорт,1998,503.3
Импорт,1997,468.3
Импорт,1996,450.9
Импорт,1995,415.3
Импорт,1994,258.4
Импорт,1993,379.0
Импорт,1992,418.3
Импорт,1991,360.9
Импорт,1990,924.0
Импорт,1989,963.0
Импорт,1988,1113.6
Импорт,1987,1104.6
Импорт,1986,1139.7
Импорт,1985,1095.5
Импорт,1984,975.2
Импорт,1983,928.2
Импорт,1982,790.9
Импорт,1981,703.7
Импорт,1980,547.8
Импорт,1979,376.3
Импорт,1978,329.4
Импорт,1977,302.3
Импорт,1976,264.4
Импорт,1975,265.8
Импорт,1974,225.2
Импорт,1973,228.6
Импорт,1972,158.5
Импорт,1971,128.3
Импорт,1970,120.7
Импорт,1969,110.4
Импорт,1968,116.1
Импорт,1967,116.2
Импорт,1966,109.0
Импорт,1965,98.4
Импорт,1964,118.0
Импорт,1963,101.1
Импорт,1962,130.4
Импорт,1961,137.0
Импорт,1960,21.8
Импорт,1959,18.6
Импорт,1958,17.4
Импорт,1957,17.0
Импорт,1956,15.0
Импорт,1955,11.4
Импорт,1954,10.5
Импорт,1953,9.1
Импорт,1952,9.0
Импорт,1951,8.3
Импорт,1950,7.3
Импорт,1949,5.3
Импорт,1948,4.9
Импорт,1947,5.1
Импорт,1946,4.4
Импорт,1945,4.1
Импорт,1944,3.1
Импорт,1943,2.6
Импорт,1942,1.9
Импорт,1941,3.5
Импорт,1940,3.8
Импорт,1939,2.4
Импорт,1938,2.2
Импорт,1937,2.1
Импорт,1936,2.2
Импорт,1935,7.9
Импорт,1934,30.2
Импорт,1933,18.8
Импорт,1932,16.7
Импорт,1931,15.1
Импорт,1930,7.2
Импорт,1929,4.1
Импорт,1928,0.8
Импорт,1927,3.1
Импорт,1926,1.9
Импорт,1925,1.5
Импорт,1924,1.1
Тэнцэл,2024,4168.72
Тэнцэл,2023,5936.65
Тэнцэл,2022,3834.2
Тэнцэл,2021,2395.67
Тэнцэл,2020,2277.4
Тэнцэл,2019,1492.12
Тэнцэл,2018,1136.95
Тэнцэл,2017,1863.27
Тэнцэл,2016,1576.71
Тэнцэл,2015,871.76
Тэнцэл,2014,537.66
Тэнцэл,2013,-2088.77
Тэнцэл,2012,-2353.71
Тэнцэл,2011,-1780.86
Тэнцэл,2010,-291.6
Тэнцэл,2009,-252.3
Тэнцэл,2008,-710.0
Тэнцэл,2007,-114.3
Тэнцэл,2006,107.0
Тэнцэл,2005,-113.4
Тэнцэл,2004,-151.4
Тэнцэл,2003,-185.1
Тэнцэл,2002,-166.8
Тэнцэл,2001,-116.2
Тэнцэл,2000,-78.7
Тэнцэл,1999,-58.6
Тэнцэл,1998,-40.9
Тэнцэл,1997,100.3
Тэнцэл,1996,-26.6
Тэнцэл,1995,58.0
Тэнцэл,1994,97.7
Тэнцэл,1993,3.6
Тэнцэл,1992,-29.9
Тэнцэл,1991,-12.9
Тэнцэл,1990,-263.3
Тэнцэл,1989,-241.5
Тэнцэл,1988,-374.5
Тэнцэл,1987,-386.7
Тэнцэл,1986,-423.6
Тэнцэл,1985,-406.4
Тэнцэл,1984,-300.8
Тэнцэл,1983,-318.3
Тэнцэл,1982,-229.1
Тэнцэл,1981,-234.9
Тэнцэл,1980,-145.0
Тэнцэл,1979,-52.7
Тэнцэл,1978,-65.2
Тэнцэл,1977,-85.1
Тэнцэл,1976,-47.7
Тэнцэл,1975,-47.6
Тэнцэл,1974,-19.3
Тэнцэл,1973,-62.2
Тэнцэл,1972,-27.5
Тэнцэл,1971,-22.9
Тэнцэл,1970,-36.3
Тэнцэл,1969,-33.8
Тэнцэл,1968,-38.9
