date,session,scheduled_start,actual_start,timing_status,data_status,source_article_url,source_attachment_url,metric,value,unit
2024-10-31,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63246/,,Physical attendance rate,81.0,percent
2024-10-31,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63246/,,Official on-time rate among appearances,71.6,percent
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,Agenda items,0,count
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,Sitting start delay,,minutes
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,Officially on time,70,count
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,Officially late,30,count
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,General leave,3,count
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,Medical leave,5,count
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,Domestic official assignments,2,count
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,Foreign official assignments,12,count
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,Unexplained absences,4,count
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,Physically attended,100,count
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,Physical attendance rate,79.4,percent
2024-11-01,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63256/,,Official on-time rate among appearances,70.0,percent
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,Agenda items,0,count
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,Sitting start delay,,minutes
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,Officially on time,72,count
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,Officially late,35,count
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,General leave,5,count
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,Medical leave,5,count
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,Domestic official assignments,0,count
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,Foreign official assignments,3,count
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,Unexplained absences,6,count
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,Physically attended,107,count
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,Physical attendance rate,84.9,percent
2024-11-08,Autumn regular session,10:00,,Scheduled start only,Final,https://www.parliament.mn/nn/63306/,,Official on-time rate among appearances,67.3,percent
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,Agenda items,0,count
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,Sitting start delay,,minutes
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,Officially on time,79,count
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,Officially late,32,count
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,General leave,1,count
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,Medical leave,3,count
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,Domestic official assignments,0,count
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,Foreign official assignments,7,count
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,Unexplained absences,4,count
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,Physically attended,111,count
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,Physical attendance rate,88.1,percent
2024-11-14,Autumn regular session,,10:00,Actual start only,Final,https://www.parliament.mn/nn/63344/,,Official on-time rate among appearances,71.2,percent
