огноо,он,үе,төлөв,тоо,товлосон_цаг,эхэлсэн_цаг,эхлэлтийн_хоцролт_минут
2024-11-22,2024,period-1,Зөвшөөрөгдсөн чөлөө,7,15:00,15:06,6
2024-11-22,2024,period-1,Албан томилолт,19,15:00,15:06,6
2024-11-22,2024,period-1,Тайлбаргүй тасалсан,10,15:00,15:06,6
2024-11-28,2024,period-1,Цагтаа ирсэн,49,10:00,,
2024-11-28,2024,period-1,Хоцорсон,36,10:00,,
2024-11-28,2024,period-1,Зөвшөөрөгдсөн чөлөө,3,10:00,,
2024-11-28,2024,period-1,Албан томилолт,36,10:00,,
2024-11-28,2024,period-1,Тайлбаргүй тасалсан,2,10:00,,
2024-11-29,2024,period-1,Цагтаа ирсэн,68,10:00,10:06,6
2024-11-29,2024,period-1,Хоцорсон,19,10:00,10:06,6
2024-11-29,2024,period-1,Зөвшөөрөгдсөн чөлөө,4,10:00,10:06,6
2024-11-29,2024,period-1,Албан томилолт,31,10:00,10:06,6
2024-11-29,2024,period-1,Тайлбаргүй тасалсан,4,10:00,10:06,6
2024-12-02,2024,period-1,Цагтаа ирсэн,66,14:00,14:17,17
2024-12-02,2024,period-1,Хоцорсон,5,14:00,14:17,17
2024-12-02,2024,period-1,Зөвшөөрөгдсөн чөлөө,5,14:00,14:17,17
2024-12-02,2024,period-1,Албан томилолт,21,14:00,14:17,17
2024-12-02,2024,period-1,Тайлбаргүй тасалсан,29,14:00,14:17,17
2024-12-03,2024,period-1,Цагтаа ирсэн,75,,10:00,
2024-12-03,2024,period-1,Хоцорсон,30,,10:00,
2024-12-03,2024,period-1,Зөвшөөрөгдсөн чөлөө,6,,10:00,
2024-12-03,2024,period-1,Албан томилолт,14,,10:00,
2024-12-03,2024,period-1,Тайлбаргүй тасалсан,1,,10:00,
2024-12-04,2024,period-1,Цагтаа ирсэн,68,11:00,,
2024-12-04,2024,period-1,Хоцорсон,28,11:00,,
2024-12-04,2024,period-1,Зөвшөөрөгдсөн чөлөө,7,11:00,,
2024-12-04,2024,period-1,Албан томилолт,12,11:00,,
2024-12-04,2024,period-1,Тайлбаргүй тасалсан,11,11:00,,
2024-12-05,2024,period-1,Цагтаа ирсэн,86,10:00,,
2024-12-05,2024,period-1,Хоцорсон,20,10:00,,
2024-12-05,2024,period-1,Зөвшөөрөгдсөн чөлөө,7,10:00,,
2024-12-05,2024,period-1,Албан томилолт,9,10:00,,
2024-12-05,2024,period-1,Тайлбаргүй тасалсан,4,10:00,,
2024-12-06,2024,period-1,Цагтаа ирсэн,62,10:00,,
2024-12-06,2024,period-1,Хоцорсон,40,10:00,,
2024-12-06,2024,period-1,Зөвшөөрөгдсөн чөлөө,9,10:00,,
2024-12-06,2024,period-1,Албан томилолт,10,10:00,,
2024-12-06,2024,period-1,Тайлбаргүй тасалсан,5,10:00,,
2024-12-11,2024,period-1,Цагтаа ирсэн,82,15:00,15:05,5
2024-12-11,2024,period-1,Хоцорсон,33,15:00,15:05,5
2024-12-11,2024,period-1,Зөвшөөрөгдсөн чөлөө,6,15:00,15:05,5
2024-12-11,2024,period-1,Албан томилолт,2,15:00,15:05,5
2024-12-11,2024,period-1,Тайлбаргүй тасалсан,3,15:00,15:05,5
2024-12-12,2024,period-1,Цагтаа ирсэн,85,10:00,10:28,28
2024-12-12,2024,period-1,Хоцорсон,25,10:00,10:28,28
2024-12-12,2024,period-1,Зөвшөөрөгдсөн чөлөө,7,10:00,10:28,28
2024-12-12,2024,period-1,Албан томилолт,2,10:00,10:28,28
2024-12-12,2024,period-1,Тайлбаргүй тасалсан,7,10:00,10:28,28
2024-12-13,2024,period-1,Цагтаа ирсэн,52,10:00,,
2024-12-13,2024,period-1,Хоцорсон,51,10:00,,
2024-12-13,2024,period-1,Зөвшөөрөгдсөн чөлөө,11,10:00,,
2024-12-13,2024,period-1,Албан томилолт,2,10:00,,
2024-12-13,2024,period-1,Тайлбаргүй тасалсан,10,10:00,,
2024-12-20,2024,period-1,Цагтаа ирсэн,69,10:00,10:03,3
2024-12-20,2024,period-1,Хоцорсон,30,10:00,10:03,3
2024-12-20,2024,period-1,Зөвшөөрөгдсөн чөлөө,8,10:00,10:03,3
2024-12-20,2024,period-1,Албан томилолт,10,10:00,10:03,3
2024-12-20,2024,period-1,Тайлбаргүй тасалсан,9,10:00,10:03,3
2024-12-26,2024,period-1,Цагтаа ирсэн,71,10:00,10:05,5
2024-12-26,2024,period-1,Хоцорсон,34,10:00,10:05,5
2024-12-26,2024,period-1,Зөвшөөрөгдсөн чөлөө,8,10:00,10:05,5
2024-12-26,2024,period-1,Албан томилолт,6,10:00,10:05,5
2024-12-26,2024,period-1,Тайлбаргүй тасалсан,7,10:00,10:05,5
2024-12-27,2024,period-1,Цагтаа ирсэн,73,10:00,10:03,3
