огноо,он,үе,төлөв,тоо,товлосон_цаг,эхэлсэн_цаг,эхлэлтийн_хоцролт_минут
2025-09-24,2025,period-3,Албан томилолт,9,10:00,10:02,2
2025-09-24,2025,period-3,Тайлбаргүй тасалсан,4,10:00,10:02,2
2025-09-26,2025,period-3,Цагтаа ирсэн,79,10:00,10:02,2
2025-09-26,2025,period-3,Хоцорсон,24,10:00,10:02,2
2025-09-26,2025,period-3,Зөвшөөрөгдсөн чөлөө,7,10:00,10:02,2
2025-09-26,2025,period-3,Албан томилолт,13,10:00,10:02,2
2025-09-26,2025,period-3,Тайлбаргүй тасалсан,3,10:00,10:02,2
2025-10-02,2025,period-3,Цагтаа ирсэн,74,,10:00,
2025-10-02,2025,period-3,Хоцорсон,24,,10:00,
2025-10-02,2025,period-3,Зөвшөөрөгдсөн чөлөө,6,,10:00,
2025-10-02,2025,period-3,Албан томилолт,13,,10:00,
2025-10-02,2025,period-3,Тайлбаргүй тасалсан,9,,10:00,
2025-10-09,2025,period-3,Цагтаа ирсэн,80,10:00,10:03,3
2025-10-09,2025,period-3,Хоцорсон,28,10:00,10:03,3
2025-10-09,2025,period-3,Зөвшөөрөгдсөн чөлөө,7,10:00,10:03,3
2025-10-09,2025,period-3,Албан томилолт,1,10:00,10:03,3
2025-10-09,2025,period-3,Тайлбаргүй тасалсан,10,10:00,10:03,3
2025-10-16,2025,period-3,Цагтаа ирсэн,21,10:00,,
2025-10-16,2025,period-3,Хоцорсон,94,10:00,,
2025-10-16,2025,period-3,Зөвшөөрөгдсөн чөлөө,1,10:00,,
2025-10-16,2025,period-3,Албан томилолт,3,10:00,,
2025-10-16,2025,period-3,Тайлбаргүй тасалсан,7,10:00,,
2025-10-24,2025,period-3,Цагтаа ирсэн,91,10:00,10:32,32
2025-10-24,2025,period-3,Хоцорсон,11,10:00,10:32,32
2025-10-24,2025,period-3,Зөвшөөрөгдсөн чөлөө,10,10:00,10:32,32
2025-10-24,2025,period-3,Албан томилолт,4,10:00,10:32,32
2025-10-24,2025,period-3,Тайлбаргүй тасалсан,10,10:00,10:32,32
2025-10-30,2025,period-3,Цагтаа ирсэн,69,10:00,10:04,4
2025-10-30,2025,period-3,Хоцорсон,12,10:00,10:04,4
2025-10-30,2025,period-3,Зөвшөөрөгдсөн чөлөө,13,10:00,10:04,4
2025-10-30,2025,period-3,Албан томилолт,5,10:00,10:04,4
2025-10-30,2025,period-3,Тайлбаргүй тасалсан,27,10:00,10:04,4
2025-10-31,2025,period-3,Цагтаа ирсэн,67,,14:00,
2025-10-31,2025,period-3,Хоцорсон,34,,14:00,
2025-10-31,2025,period-3,Зөвшөөрөгдсөн чөлөө,16,,14:00,
2025-10-31,2025,period-3,Албан томилолт,2,,14:00,
2025-10-31,2025,period-3,Тайлбаргүй тасалсан,7,,14:00,
2025-11-05,2025,period-3,Цагтаа ирсэн,77,14:00,14:03,3
2025-11-05,2025,period-3,Хоцорсон,24,14:00,14:03,3
2025-11-05,2025,period-3,Зөвшөөрөгдсөн чөлөө,9,14:00,14:03,3
2025-11-05,2025,period-3,Албан томилолт,8,14:00,14:03,3
2025-11-05,2025,period-3,Тайлбаргүй тасалсан,8,14:00,14:03,3
2025-11-06,2025,period-3,Цагтаа ирсэн,72,10:00,10:04,4
2025-11-06,2025,period-3,Хоцорсон,33,10:00,10:04,4
2025-11-06,2025,period-3,Зөвшөөрөгдсөн чөлөө,11,10:00,10:04,4
2025-11-06,2025,period-3,Албан томилолт,8,10:00,10:04,4
2025-11-06,2025,period-3,Тайлбаргүй тасалсан,2,10:00,10:04,4
2025-11-07,2025,period-3,Цагтаа ирсэн,66,10:00,10:33,33
2025-11-07,2025,period-3,Хоцорсон,34,10:00,10:33,33
2025-11-07,2025,period-3,Зөвшөөрөгдсөн чөлөө,15,10:00,10:33,33
2025-11-07,2025,period-3,Албан томилолт,8,10:00,10:33,33
2025-11-07,2025,period-3,Тайлбаргүй тасалсан,3,10:00,10:33,33
2025-11-10,2025,period-3,Цагтаа ирсэн,81,16:00,16:19,19
2025-11-10,2025,period-3,Хоцорсон,18,16:00,16:19,19
2025-11-10,2025,period-3,Зөвшөөрөгдсөн чөлөө,15,16:00,16:19,19
2025-11-10,2025,period-3,Албан томилолт,4,16:00,16:19,19
2025-11-10,2025,period-3,Тайлбаргүй тасалсан,8,16:00,16:19,19
2025-11-11,2025,period-3,Цагтаа ирсэн,68,14:00,14:08,8
2025-11-11,2025,period-3,Хоцорсон,25,14:00,14:08,8
2025-11-11,2025,period-3,Зөвшөөрөгдсөн чөлөө,17,14:00,14:08,8
2025-11-11,2025,period-3,Албан томилолт,5,14:00,14:08,8
2025-11-11,2025,period-3,Тайлбаргүй тасалсан,11,14:00,14:08,8
2025-11-12,2025,period-3,Цагтаа ирсэн,74,14:00,14:06,6
2025-11-12,2025,period-3,Хоцорсон,27,14:00,14:06,6
2025-11-12,2025,period-3,Зөвшөөрөгдсөн чөлөө,15,14:00,14:06,6
2025-11-12,2025,period-3,Албан томилолт,4,14:00,14:06,6
2025-11-12,2025,period-3,Тайлбаргүй тасалсан,6,14:00,14:06,6
2025-11-13,2025,period-3,Цагтаа ирсэн,69,10:00,10:10,10
2025-11-13,2025,period-3,Хоцорсон,28,10:00,10:10,10
2025-11-13,2025,period-3,Зөвшөөрөгдсөн чөлөө,17,10:00,10:10,10
2025-11-13,2025,period-3,Албан томилолт,4,10:00,10:10,10
2025-11-13,2025,period-3,Тайлбаргүй тасалсан,8,10:00,10:10,10
2025-11-14,2025,period-3,Цагтаа ирсэн,64,10:00,10:10,10
2025-11-14,2025,period-3,Хоцорсон,27,10:00,10:10,10
2025-11-14,2025,period-3,Зөвшөөрөгдсөн чөлөө,16,10:00,10:10,10
2025-11-14,2025,period-3,Албан томилолт,5,10:00,10:10,10
2025-11-14,2025,period-3,Тайлбаргүй тасалсан,14,10:00,10:10,10
2025-11-20,2025,period-3,Цагтаа ирсэн,84,10:00,10:32,32
2025-11-20,2025,period-3,Хоцорсон,13,10:00,10:32,32
2025-11-20,2025,period-3,Зөвшөөрөгдсөн чөлөө,12,10:00,10:32,32
2025-11-20,2025,period-3,Албан томилолт,9,10:00,10:32,32
2025-11-20,2025,period-3,Тайлбаргүй тасалсан,8,10:00,10:32,32
2025-11-25,2025,period-3,Цагтаа ирсэн,65,15:00,15:51,51
2025-11-25,2025,period-3,Хоцорсон,16,15:00,15:51,51
2025-11-25,2025,period-3,Зөвшөөрөгдсөн чөлөө,15,15:00,15:51,51
2025-11-25,2025,period-3,Албан томилолт,17,15:00,15:51,51
2025-11-25,2025,period-3,Тайлбаргүй тасалсан,13,15:00,15:51,51
2025-11-27,2025,period-3,Цагтаа ирсэн,69,10:00,10:12,12
2025-11-27,2025,period-3,Хоцорсон,21,10:00,10:12,12
2025-11-27,2025,period-3,Зөвшөөрөгдсөн чөлөө,11,10:00,10:12,12
2025-11-27,2025,period-3,Албан томилолт,21,10:00,10:12,12
2025-11-27,2025,period-3,Тайлбаргүй тасалсан,4,10:00,10:12,12
2025-11-28,2025,period-3,Цагтаа ирсэн,75,10:00,10:34,34
2025-11-28,2025,period-3,Хоцорсон,13,10:00,10:34,34
2025-11-28,2025,period-3,Зөвшөөрөгдсөн чөлөө,10,10:00,10:34,34
2025-11-28,2025,period-3,Албан томилолт,25,10:00,10:34,34
2025-11-28,2025,period-3,Тайлбаргүй тасалсан,3,10:00,10:34,34
2025-12-04,2025,period-3,Цагтаа ирсэн,65,10:00,10:40,40
2025-12-04,2025,period-3,Хоцорсон,13,10:00,10:40,40
2025-12-04,2025,period-3,Зөвшөөрөгдсөн чөлөө,12,10:00,10:40,40
2025-12-04,2025,period-3,Албан томилолт,32,10:00,10:40,40
2025-12-04,2025,period-3,Тайлбаргүй тасалсан,4,10:00,10:40,40
2025-12-05,2025,period-3,Цагтаа ирсэн,64,10:00,10:29,29
2025-12-05,2025,period-3,Хоцорсон,8,10:00,10:29,29
2025-12-05,2025,period-3,Зөвшөөрөгдсөн чөлөө,16,10:00,10:29,29
2025-12-05,2025,period-3,Албан томилолт,29,10:00,10:29,29
2025-12-05,2025,period-3,Тайлбаргүй тасалсан,9,10:00,10:29,29
2025-12-11,2025,period-3,Цагтаа ирсэн,65,10:00,10:20,20
2025-12-11,2025,period-3,Хоцорсон,34,10:00,10:20,20
2025-12-11,2025,period-3,Зөвшөөрөгдсөн чөлөө,15,10:00,10:20,20
2025-12-11,2025,period-3,Албан томилолт,10,10:00,10:20,20
2025-12-11,2025,period-3,Тайлбаргүй тасалсан,2,10:00,10:20,20
2025-12-12,2025,period-3,Цагтаа ирсэн,70,10:00,10:06,6
2025-12-12,2025,period-3,Хоцорсон,27,10:00,10:06,6
2025-12-12,2025,period-3,Зөвшөөрөгдсөн чөлөө,18,10:00,10:06,6
2025-12-12,2025,period-3,Албан томилолт,6,10:00,10:06,6
2025-12-12,2025,period-3,Тайлбаргүй тасалсан,5,10:00,10:06,6
2025-12-18,2025,period-3,Цагтаа ирсэн,71,10:00,10:03,3
2025-12-18,2025,period-3,Хоцорсон,34,10:00,10:03,3
2025-12-18,2025,period-3,Зөвшөөрөгдсөн чөлөө,10,10:00,10:03,3
2025-12-18,2025,period-3,Албан томилолт,8,10:00,10:03,3
2025-12-18,2025,period-3,Тайлбаргүй тасалсан,3,10:00,10:03,3
2025-12-19,2025,period-3,Цагтаа ирсэн,64,10:00,10:20,20
2025-12-19,2025,period-3,Хоцорсон,30,10:00,10:20,20
2025-12-19,2025,period-3,Зөвшөөрөгдсөн чөлөө,14,10:00,10:20,20
2025-12-19,2025,period-3,Албан томилолт,8,10:00,10:20,20
2025-12-19,2025,period-3,Тайлбаргүй тасалсан,10,10:00,10:20,20
2025-12-23,2025,period-3,Цагтаа ирсэн,69,14:00,14:27,27
2025-12-23,2025,period-3,Хоцорсон,10,14:00,14:27,27
2025-12-23,2025,period-3,Зөвшөөрөгдсөн чөлөө,10,14:00,14:27,27
2025-12-23,2025,period-3,Албан томилолт,4,14:00,14:27,27
2025-12-23,2025,period-3,Тайлбаргүй тасалсан,33,14:00,14:27,27
2025-12-25,2025,period-3,Цагтаа ирсэн,73,10:00,10:11,11
2025-12-25,2025,period-3,Хоцорсон,22,10:00,10:11,11
2025-12-25,2025,period-3,Зөвшөөрөгдсөн чөлөө,22,10:00,10:11,11
2025-12-25,2025,period-3,Албан томилолт,7,10:00,10:11,11
2025-12-25,2025,period-3,Тайлбаргүй тасалсан,2,10:00,10:11,11
2025-12-26,2025,period-3,Цагтаа ирсэн,76,10:00,10:25,25
2025-12-26,2025,period-3,Хоцорсон,16,10:00,10:25,25
2025-12-26,2025,period-3,Зөвшөөрөгдсөн чөлөө,24,10:00,10:25,25
2025-12-26,2025,period-3,Албан томилолт,7,10:00,10:25,25
2025-12-26,2025,period-3,Тайлбаргүй тасалсан,3,10:00,10:25,25
2025-12-30,2025,period-3,Цагтаа ирсэн,76,14:00,14:49,49
2025-12-30,2025,period-3,Хоцорсон,5,14:00,14:49,49
2025-12-30,2025,period-3,Зөвшөөрөгдсөн чөлөө,29,14:00,14:49,49
2025-12-30,2025,period-3,Албан томилолт,7,14:00,14:49,49
2025-12-30,2025,period-3,Тайлбаргүй тасалсан,9,14:00,14:49,49
2025-12-31,2025,period-3,Цагтаа ирсэн,64,10:00,10:34,34
2025-12-31,2025,period-3,Хоцорсон,10,10:00,10:34,34
2025-12-31,2025,period-3,Зөвшөөрөгдсөн чөлөө,29,10:00,10:34,34
2025-12-31,2025,period-3,Албан томилолт,8,10:00,10:34,34
2025-12-31,2025,period-3,Тайлбаргүй тасалсан,15,10:00,10:34,34
2026-03-16,2026,period-4,Цагтаа ирсэн,101,10:00,10:03,3
2026-03-16,2026,period-4,Хоцорсон,19,10:00,10:03,3
2026-03-16,2026,period-4,Зөвшөөрөгдсөн чөлөө,4,10:00,10:03,3
2026-03-16,2026,period-4,Албан томилолт,2,10:00,10:03,3
2026-03-16,2026,period-4,Тайлбаргүй тасалсан,0,10:00,10:03,3
2026-03-27,2026,period-4,Цагтаа ирсэн,68,18:00,20:28,148
2026-03-27,2026,period-4,Хоцорсон,5,18:00,20:28,148
2026-03-27,2026,period-4,Зөвшөөрөгдсөн чөлөө,11,18:00,20:28,148
2026-03-27,2026,period-4,Албан томилолт,10,18:00,20:28,148
2026-03-27,2026,period-4,Тайлбаргүй тасалсан,32,18:00,20:28,148
2026-03-30,2026,period-4,Цагтаа ирсэн,88,10:00,10:11,11
2026-03-30,2026,period-4,Хоцорсон,25,10:00,10:11,11
2026-03-30,2026,period-4,Зөвшөөрөгдсөн чөлөө,6,10:00,10:11,11
2026-03-30,2026,period-4,Албан томилолт,6,10:00,10:11,11
2026-03-30,2026,period-4,Тайлбаргүй тасалсан,1,10:00,10:11,11
2026-03-31,2026,period-4,Цагтаа ирсэн,73,14:00,14:02,2
2026-03-31,2026,period-4,Хоцорсон,37,14:00,14:02,2
2026-03-31,2026,period-4,Зөвшөөрөгдсөн чөлөө,11,14:00,14:02,2
2026-03-31,2026,period-4,Албан томилолт,2,14:00,14:02,2
2026-03-31,2026,period-4,Тайлбаргүй тасалсан,3,14:00,14:02,2
2026-04-02,2026,period-4,Цагтаа ирсэн,83,10:00,10:32,32
2026-04-02,2026,period-4,Хоцорсон,32,10:00,10:32,32
2026-04-02,2026,period-4,Зөвшөөрөгдсөн чөлөө,8,10:00,10:32,32
2026-04-02,2026,period-4,Албан томилолт,1,10:00,10:32,32
2026-04-02,2026,period-4,Тайлбаргүй тасалсан,2,10:00,10:32,32
2026-04-03,2026,period-4,Цагтаа ирсэн,90,10:00,10:24,24
2026-04-03,2026,period-4,Хоцорсон,27,10:00,10:24,24
2026-04-03,2026,period-4,Зөвшөөрөгдсөн чөлөө,7,10:00,10:24,24
2026-04-03,2026,period-4,Албан томилолт,0,10:00,10:24,24
2026-04-03,2026,period-4,Тайлбаргүй тасалсан,2,10:00,10:24,24
2026-04-09,2026,period-4,Цагтаа ирсэн,69,10:00,10:02,2
2026-04-09,2026,period-4,Хоцорсон,43,10:00,10:02,2
2026-04-09,2026,period-4,Зөвшөөрөгдсөн чөлөө,11,10:00,10:02,2
2026-04-09,2026,period-4,Албан томилолт,0,10:00,10:02,2
2026-04-09,2026,period-4,Тайлбаргүй тасалсан,3,10:00,10:02,2
2026-04-10,2026,period-4,Цагтаа ирсэн,74,10:00,10:01,1
2026-04-10,2026,period-4,Хоцорсон,41,10:00,10:01,1
2026-04-10,2026,period-4,Зөвшөөрөгдсөн чөлөө,9,10:00,10:01,1
2026-04-10,2026,period-4,Албан томилолт,0,10:00,10:01,1
2026-04-10,2026,period-4,Тайлбаргүй тасалсан,2,10:00,10:01,1
2026-04-16,2026,period-4,Цагтаа ирсэн,85,10:00,10:01,1
2026-04-16,2026,period-4,Хоцорсон,22,10:00,10:01,1
2026-04-16,2026,period-4,Зөвшөөрөгдсөн чөлөө,5,10:00,10:01,1
2026-04-16,2026,period-4,Албан томилолт,11,10:00,10:01,1
2026-04-16,2026,period-4,Тайлбаргүй тасалсан,3,10:00,10:01,1
2026-04-17,2026,period-4,Цагтаа ирсэн,78,,10:00,
2026-04-17,2026,period-4,Хоцорсон,18,,10:00,
2026-04-17,2026,period-4,Зөвшөөрөгдсөн чөлөө,11,,10:00,
2026-04-17,2026,period-4,Албан томилолт,12,,10:00,
2026-04-17,2026,period-4,Тайлбаргүй тасалсан,7,,10:00,
2026-04-23,2026,period-4,Цагтаа ирсэн,65,,10:00,
2026-04-23,2026,period-4,Хоцорсон,29,,10:00,
2026-04-23,2026,period-4,Зөвшөөрөгдсөн чөлөө,13,,10:00,
2026-04-23,2026,period-4,Албан томилолт,18,,10:00,
2026-04-23,2026,period-4,Тайлбаргүй тасалсан,1,,10:00,
2026-04-24,2026,period-4,Цагтаа ирсэн,75,,10:00,
2026-04-24,2026,period-4,Хоцорсон,31,,10:00,
2026-04-24,2026,period-4,Зөвшөөрөгдсөн чөлөө,10,,10:00,
2026-04-24,2026,period-4,Албан томилолт,6,,10:00,
2026-04-24,2026,period-4,Тайлбаргүй тасалсан,4,,10:00,
2026-04-30,2026,period-4,Цагтаа ирсэн,76,,10:00,
2026-04-30,2026,period-4,Хоцорсон,33,,10:00,
2026-04-30,2026,period-4,Зөвшөөрөгдсөн чөлөө,6,,10:00,
2026-04-30,2026,period-4,Албан томилолт,7,,10:00,
2026-04-30,2026,period-4,Тайлбаргүй тасалсан,4,,10:00,
2026-05-01,2026,period-4,Цагтаа ирсэн,73,,10:00,
2026-05-01,2026,period-4,Хоцорсон,35,,10:00,
2026-05-01,2026,period-4,Зөвшөөрөгдсөн чөлөө,8,,10:00,
2026-05-01,2026,period-4,Албан томилолт,9,,10:00,
2026-05-01,2026,period-4,Тайлбаргүй тасалсан,1,,10:00,
2026-05-07,2026,period-4,Цагтаа ирсэн,70,,10:00,
2026-05-07,2026,period-4,Хоцорсон,32,,10:00,
2026-05-07,2026,period-4,Зөвшөөрөгдсөн чөлөө,8,,10:00,
2026-05-07,2026,period-4,Албан томилолт,15,,10:00,
2026-05-07,2026,period-4,Тайлбаргүй тасалсан,1,,10:00,
2026-05-08,2026,period-4,Цагтаа ирсэн,79,,10:00,
2026-05-08,2026,period-4,Хоцорсон,23,,10:00,
2026-05-08,2026,period-4,Зөвшөөрөгдсөн чөлөө,9,,10:00,
2026-05-08,2026,period-4,Албан томилолт,14,,10:00,
2026-05-08,2026,period-4,Тайлбаргүй тасалсан,1,,10:00,
2026-05-14,2026,period-4,Цагтаа ирсэн,74,,10:00,
2026-05-14,2026,period-4,Хоцорсон,27,,10:00,
2026-05-14,2026,period-4,Зөвшөөрөгдсөн чөлөө,13,,10:00,
2026-05-14,2026,period-4,Албан томилолт,9,,10:00,
2026-05-14,2026,period-4,Тайлбаргүй тасалсан,3,,10:00,
2026-05-15,2026,period-4,Цагтаа ирсэн,66,10:00,10:03,3
2026-05-15,2026,period-4,Хоцорсон,27,10:00,10:03,3
2026-05-15,2026,period-4,Зөвшөөрөгдсөн чөлөө,18,10:00,10:03,3
2026-05-15,2026,period-4,Албан томилолт,10,10:00,10:03,3
2026-05-15,2026,period-4,Тайлбаргүй тасалсан,5,10:00,10:03,3
2026-05-21,2026,period-4,Цагтаа ирсэн,66,,10:00,
2026-05-21,2026,period-4,Хоцорсон,38,,10:00,
2026-05-21,2026,period-4,Зөвшөөрөгдсөн чөлөө,10,,10:00,
2026-05-21,2026,period-4,Албан томилолт,11,,10:00,
2026-05-21,2026,period-4,Тайлбаргүй тасалсан,1,,10:00,
2026-05-22,2026,period-4,Цагтаа ирсэн,71,,10:00,
2026-05-22,2026,period-4,Хоцорсон,30,,10:00,
2026-05-22,2026,period-4,Зөвшөөрөгдсөн чөлөө,11,,10:00,
2026-05-22,2026,period-4,Албан томилолт,12,,10:00,
2026-05-22,2026,period-4,Тайлбаргүй тасалсан,2,,10:00,
2026-05-28,2026,period-4,Цагтаа ирсэн,71,,10:00,
2026-05-28,2026,period-4,Хоцорсон,39,,10:00,
2026-05-28,2026,period-4,Зөвшөөрөгдсөн чөлөө,8,,10:00,
2026-05-28,2026,period-4,Албан томилолт,7,,10:00,
2026-05-28,2026,period-4,Тайлбаргүй тасалсан,1,,10:00,
2026-05-29,2026,period-4,Цагтаа ирсэн,66,,10:00,
2026-05-29,2026,period-4,Хоцорсон,40,,10:00,
2026-05-29,2026,period-4,Зөвшөөрөгдсөн чөлөө,6,,10:00,
2026-05-29,2026,period-4,Албан томилолт,13,,10:00,
2026-05-29,2026,period-4,Тайлбаргүй тасалсан,1,,10:00,
2026-06-02,2026,period-4,Цагтаа ирсэн,69,14:00,14:07,7
2026-06-02,2026,period-4,Хоцорсон,22,14:00,14:07,7
2026-06-02,2026,period-4,Зөвшөөрөгдсөн чөлөө,8,14:00,14:07,7
2026-06-02,2026,period-4,Албан томилолт,27,14:00,14:07,7
2026-06-02,2026,period-4,Тайлбаргүй тасалсан,0,14:00,14:07,7
2026-06-04,2026,period-4,Цагтаа ирсэн,67,,10:00,
2026-06-04,2026,period-4,Хоцорсон,30,,10:00,
2026-06-04,2026,period-4,Зөвшөөрөгдсөн чөлөө,8,,10:00,
2026-06-04,2026,period-4,Албан томилолт,19,,10:00,
2026-06-04,2026,period-4,Тайлбаргүй тасалсан,2,,10:00,
2026-06-05,2026,period-4,Цагтаа ирсэн,67,10:00,10:06,6
2026-06-05,2026,period-4,Хоцорсон,27,10:00,10:06,6
2026-06-05,2026,period-4,Зөвшөөрөгдсөн чөлөө,10,10:00,10:06,6
2026-06-05,2026,period-4,Албан томилолт,20,10:00,10:06,6
2026-06-05,2026,period-4,Тайлбаргүй тасалсан,2,10:00,10:06,6
2026-06-11,2026,period-4,Цагтаа ирсэн,72,,10:00,
2026-06-11,2026,period-4,Хоцорсон,37,,10:00,
2026-06-11,2026,period-4,Зөвшөөрөгдсөн чөлөө,13,,10:00,
2026-06-11,2026,period-4,Албан томилолт,4,,10:00,
2026-06-11,2026,period-4,Тайлбаргүй тасалсан,0,,10:00,
2026-06-12,2026,period-4,Цагтаа ирсэн,68,10:00,10:01,1
2026-06-12,2026,period-4,Хоцорсон,32,10:00,10:01,1
2026-06-12,2026,period-4,Зөвшөөрөгдсөн чөлөө,15,10:00,10:01,1
2026-06-12,2026,period-4,Албан томилолт,10,10:00,10:01,1
2026-06-12,2026,period-4,Тайлбаргүй тасалсан,1,10:00,10:01,1
2026-06-18,2026,period-4,Цагтаа ирсэн,66,10:00,10:02,2
2026-06-18,2026,period-4,Хоцорсон,27,10:00,10:02,2
2026-06-18,2026,period-4,Зөвшөөрөгдсөн чөлөө,22,10:00,10:02,2
2026-06-18,2026,period-4,Албан томилолт,8,10:00,10:02,2
2026-06-18,2026,period-4,Тайлбаргүй тасалсан,3,10:00,10:02,2
2026-06-19,2026,period-4,Цагтаа ирсэн,64,10:00,10:03,3
2026-06-19,2026,period-4,Хоцорсон,33,10:00,10:03,3
2026-06-19,2026,period-4,Зөвшөөрөгдсөн чөлөө,21,10:00,10:03,3
2026-06-19,2026,period-4,Албан томилолт,4,10:00,10:03,3
2026-06-19,2026,period-4,Тайлбаргүй тасалсан,4,10:00,10:03,3
2026-06-25,2026,period-4,Цагтаа ирсэн,69,,10:00,
2026-06-25,2026,period-4,Хоцорсон,31,,10:00,
2026-06-25,2026,period-4,Зөвшөөрөгдсөн чөлөө,14,,10:00,
2026-06-25,2026,period-4,Албан томилолт,10,,10:00,
2026-06-25,2026,period-4,Тайлбаргүй тасалсан,2,,10:00,
2026-06-26,2026,period-4,Цагтаа ирсэн,75,10:00,10:10,10
2026-06-26,2026,period-4,Хоцорсон,26,10:00,10:10,10
2026-06-26,2026,period-4,Зөвшөөрөгдсөн чөлөө,13,10:00,10:10,10
2026-06-26,2026,period-4,Албан томилолт,7,10:00,10:10,10
2026-06-26,2026,period-4,Тайлбаргүй тасалсан,5,10:00,10:10,10
2026-06-30,2026,period-4,Цагтаа ирсэн,86,14:00,14:01,1
2026-06-30,2026,period-4,Хоцорсон,23,14:00,14:01,1
2026-06-30,2026,period-4,Зөвшөөрөгдсөн чөлөө,9,14:00,14:01,1
2026-06-30,2026,period-4,Албан томилолт,1,14:00,14:01,1
2026-06-30,2026,period-4,Тайлбаргүй тасалсан,7,14:00,14:01,1
2026-07-01,2026,period-4,Цагтаа ирсэн,100,14:00,14:21,21
2026-07-01,2026,period-4,Хоцорсон,10,14:00,14:21,21
2026-07-01,2026,period-4,Зөвшөөрөгдсөн чөлөө,14,14:00,14:21,21
2026-07-01,2026,period-4,Албан томилолт,1,14:00,14:21,21
2026-07-01,2026,period-4,Тайлбаргүй тасалсан,1,14:00,14:21,21
2026-07-02,2026,period-4,Цагтаа ирсэн,71,,10:00,
2026-07-02,2026,period-4,Хоцорсон,35,,10:00,
2026-07-02,2026,period-4,Зөвшөөрөгдсөн чөлөө,17,,10:00,
2026-07-02,2026,period-4,Албан томилолт,2,,10:00,
2026-07-02,2026,period-4,Тайлбаргүй тасалсан,1,,10:00,
2026-07-03,2026,period-4,Цагтаа ирсэн,74,10:00,10:02,2
2026-07-03,2026,period-4,Хоцорсон,31,10:00,10:02,2
2026-07-03,2026,period-4,Зөвшөөрөгдсөн чөлөө,17,10:00,10:02,2
2026-07-03,2026,period-4,Албан томилолт,3,10:00,10:02,2
2026-07-03,2026,period-4,Тайлбаргүй тасалсан,1,10:00,10:02,2
2026-09-07,2026,period-5,Цагтаа ирсэн,81,10:00,10:01,1
2026-09-07,2026,period-5,Хоцорсон,6,10:00,10:01,1
2026-09-07,2026,period-5,Зөвшөөрөгдсөн чөлөө,11,10:00,10:01,1
2026-09-07,2026,period-5,Албан томилолт,28,10:00,10:01,1
2026-09-07,2026,period-5,Тайлбаргүй тасалсан,0,10:00,10:01,1
2026-09-14,2026,period-5,Цагтаа ирсэн,57,16:00,,
2026-09-14,2026,period-5,Хоцорсон,11,16:00,,
2026-09-14,2026,period-5,Зөвшөөрөгдсөн чөлөө,11,16:00,,
2026-09-14,2026,period-5,Албан томилолт,9,16:00,,
2026-09-14,2026,period-5,Тайлбаргүй тасалсан,38,16:00,,
2026-09-15,2026,period-5,Цагтаа ирсэн,111,14:00,,
2026-09-15,2026,period-5,Хоцорсон,0,14:00,,
2026-09-15,2026,period-5,Зөвшөөрөгдсөн чөлөө,6,14:00,,
2026-09-15,2026,period-5,Албан томилолт,5,14:00,,
2026-09-15,2026,period-5,Тайлбаргүй тасалсан,4,14:00,,
2026-09-17,2026,period-5,Цагтаа ирсэн,52,14:00,,
2026-09-17,2026,period-5,Хоцорсон,0,14:00,,
2026-09-17,2026,period-5,Зөвшөөрөгдсөн чөлөө,15,14:00,,
2026-09-17,2026,period-5,Албан томилолт,12,14:00,,
2026-09-17,2026,period-5,Тайлбаргүй тасалсан,47,14:00,,
2026-09-21,2026,period-5,Цагтаа ирсэн,63,14:00,,
2026-09-21,2026,period-5,Хоцорсон,0,14:00,,
2026-09-21,2026,period-5,Зөвшөөрөгдсөн чөлөө,8,14:00,,
2026-09-21,2026,period-5,Албан томилолт,8,14:00,,
2026-09-21,2026,period-5,Тайлбаргүй тасалсан,47,14:00,,
2026-09-22,2026,period-5,Цагтаа ирсэн,75,14:00,14:01,1
2026-09-22,2026,period-5,Хоцорсон,20,14:00,14:01,1
2026-09-22,2026,period-5,Зөвшөөрөгдсөн чөлөө,7,14:00,14:01,1
2026-09-22,2026,period-5,Албан томилолт,10,14:00,14:01,1
2026-09-22,2026,period-5,Тайлбаргүй тасалсан,14,14:00,14:01,1
