он,утга
1991,52.7
1992,325.5
1993,183.0
1994,66.3
1995,53.1
1996,44.6
1997,20.5
1998,6.0
1999,10.0
2000,8.1
2001,8.0
2002,1.6
2003,4.7
2004,11.0
2005,9.5
2006,6.2
2007,17.8
2008,22.1
2009,4.2
2010,13.0
2011,8.9
2012,14.0
2013,12.5
2014,11.0
2015,1.9
2016,1.3
2017,6.4
2018,8.1
2019,5.2
2020,2.3
2021,13.8
2022,13.2
2023,7.9
2024,9.0
