он,бүс,утга
2020,Өвөрхангай,210.428
2020,Булган,171.998
2020,Баянхонгор,123.754
2020,Архангай,416.719
2020,Хөвсгөл,376.522
2020,Төв,115.571
2020,Говьсүмбэр,14.663
2020,Сэлэнгэ,5.926
2020,Дорноговь,10.958
2020,Дархан-Уул,2.308
2020,Өмнөговь,20.981
2020,Дундговь,33.056
2020,Дорнод,16.374
2020,Сүхбаатар,49.153
2020,Хэнтий,297.66
2020,Улаанбаатар,11.229
2021,Завхан,48.956
2021,Говь-Алтай,278.121
2021,Баян-Өлгий,10.058
2021,Ховд,35.462
2021,Увс,13.84
2021,Орхон,0.575
2021,Өвөрхангай,328.73
2021,Булган,29.617
2021,Баянхонгор,812.618
2021,Архангай,171.878
2021,Хөвсгөл,67.558
2021,Төв,200.351
2021,Говьсүмбэр,39.72
2021,Сэлэнгэ,13.774
2021,Дорноговь,37.391
2021,Дархан-Уул,3.042
2021,Өмнөговь,129.688
2021,Дундговь,491.076
2021,Дорнод,8.556
2021,Сүхбаатар,43.43
2021,Хэнтий,232.396
2021,Улаанбаатар,15.491
2022,Завхан,16.945
2022,Говь-Алтай,15.366
2022,Баян-Өлгий,15.108
2022,Ховд,39.812
2022,Увс,64.574
2022,Орхон,0.798
2022,Өвөрхангай,11.735
2022,Булган,33.703
2022,Баянхонгор,10.091
2022,Архангай,73.336
2022,Хөвсгөл,66.689
2022,Төв,41.803
2022,Говьсүмбэр,2.514
2022,Сэлэнгэ,13.372
2022,Дорноговь,5.611
2022,Дархан-Уул,2.883
2022,Өмнөговь,10.66
2022,Дундговь,4.576
2022,Дорнод,10.401
2022,Сүхбаатар,15.803
2022,Хэнтий,204.749
2022,Улаанбаатар,7.005
2023,Завхан,235.312
2023,Говь-Алтай,157.021
2023,Баян-Өлгий,110.632
2023,Ховд,294.411
2023,Увс,413.825
2023,Орхон,3.172
2023,Өвөрхангай,178.733
2023,Булган,263.818
2023,Баянхонгор,42.739
2023,Архангай,682.28
2023,Хөвсгөл,283.197
2023,Төв,198.285
2023,Говьсүмбэр,4.902
2023,Сэлэнгэ,67.606
2023,Дорноговь,158.67
2023,Дархан-Уул,28.537
2023,Өмнөговь,169.64
2023,Дундговь,48.273
2023,Дорнод,100.833
2023,Сүхбаатар,578.448
2023,Хэнтий,858.344
2023,Улаанбаатар,42.814
2024,Завхан,245.65
2024,Говь-Алтай,131.593
2024,Баян-Өлгий,78.844
2024,Ховд,79.615
2024,Увс,261.702
2024,Орхон,8.499
2024,Өвөрхангай,115.236
2024,Булган,606.511
2024,Баянхонгор,310.735
2024,Архангай,993.317
2024,Хөвсгөл,466.282
2024,Төв,843.125
2024,Говьсүмбэр,144.718
2024,Сэлэнгэ,71.866
2024,Дорноговь,682.705
2024,Дархан-Уул,6.378
2024,Өмнөговь,81.791
2024,Дундговь,437.573
2024,Дорнод,433.315
2024,Сүхбаатар,1824.993
2024,Хэнтий,1506.234
2024,Улаанбаатар,33.401
2025,Завхан,9.108
2025,Говь-Алтай,23.522
2025,Баян-Өлгий,17.34
2025,Ховд,38.126
2025,Увс,40.403
2025,Орхон,0.51
2025,Өвөрхангай,28.723
2025,Булган,18.895
2025,Баянхонгор,11.027
2025,Архангай,39.129
2025,Хөвсгөл,42.795
2025,Төв,21.262
2025,Говьсүмбэр,0.096
2025,Сэлэнгэ,12.288
2025,Дорноговь,3.108
2025,Дархан-Уул,2.837
2025,Өмнөговь,4.674
2025,Дундговь,1.995
2025,Дорнод,11.397
2025,Сүхбаатар,3.478
2025,Хэнтий,23.716
2025,Улаанбаатар,4.513
