гишүүний_id,гишүүн,нам,мандат,байнгын_хороо,үзүүлэлт,утга,нэгж
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Хуралдаан,146,тоо
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Биеэр оролцсон,114,тоо
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Биеэр оролцсон хувь,78.1,хувь
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Албан ёсоор цагтаа ирсэн,95,тоо
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Албан ёсоор хоцорсон,19,тоо
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,83.3,хувь
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Товлосон цаг нийтлэгдсэн ирэлт,68,тоо
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Товлосон цагт багтаж ирсэн,50,тоо
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Товлосон цагаас хойш ирсэн,18,тоо
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Товлосон цагтаа ирэлтийн хувь,73.5,хувь
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Бодит эхлэлээс хоцорсон медиан минут,11.0,минут
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Бодит эхлэлээс хоцорсон дундаж минут,18.4,минут
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Тайлбаргүй тасалсан,3,тоо
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Тайлбаргүй таслалтын хувь,2.1,хувь
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Чөлөөтэй,7,тоо
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Эмнэлгийн чөлөө,2,тоо
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Орон нутгийн томилолт,6,тоо
m1,О.Алтангэрэл,Ардчилсан Нам,1-р тойрог,Төрийн байгуулалтын байнгын хороо,Гадаад томилолт,14,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Хуралдаан,146,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Биеэр оролцсон,102,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Биеэр оролцсон хувь,69.9,хувь
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Албан ёсоор цагтаа ирсэн,58,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Албан ёсоор хоцорсон,44,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,56.9,хувь
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Товлосон цаг нийтлэгдсэн ирэлт,63,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Товлосон цагт багтаж ирсэн,27,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Товлосон цагаас хойш ирсэн,36,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Товлосон цагтаа ирэлтийн хувь,42.9,хувь
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Бодит эхлэлээс хоцорсон медиан минут,19.0,минут
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Бодит эхлэлээс хоцорсон дундаж минут,37.5,минут
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Тайлбаргүй тасалсан,18,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Тайлбаргүй таслалтын хувь,12.3,хувь
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Чөлөөтэй,0,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Эмнэлгийн чөлөө,10,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Орон нутгийн томилолт,2,тоо
m2,С.Ганбаатар,Ардчилсан Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Гадаад томилолт,14,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Хуралдаан,146,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Биеэр оролцсон,90,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Биеэр оролцсон хувь,61.6,хувь
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Албан ёсоор цагтаа ирсэн,32,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Албан ёсоор хоцорсон,58,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,35.6,хувь
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Товлосон цаг нийтлэгдсэн ирэлт,58,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Товлосон цагт багтаж ирсэн,13,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Товлосон цагаас хойш ирсэн,45,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Товлосон цагтаа ирэлтийн хувь,22.4,хувь
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Бодит эхлэлээс хоцорсон медиан минут,19.0,минут
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Бодит эхлэлээс хоцорсон дундаж минут,46.6,минут
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Тайлбаргүй тасалсан,8,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Тайлбаргүй таслалтын хувь,5.5,хувь
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Чөлөөтэй,14,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Эмнэлгийн чөлөө,8,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Орон нутгийн томилолт,3,тоо
m3,Б.Батцэцэг,Монгол Ардын Нам,1-р тойрог,"Байгаль орчин, хүнс, хөдөө аж ахуйн байнгын хороо",Гадаад томилолт,23,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Хуралдаан,146,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Биеэр оролцсон,90,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Биеэр оролцсон хувь,61.6,хувь
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Албан ёсоор цагтаа ирсэн,46,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Албан ёсоор хоцорсон,44,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,51.1,хувь
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Товлосон цаг нийтлэгдсэн ирэлт,54,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Товлосон цагт багтаж ирсэн,25,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Товлосон цагаас хойш ирсэн,29,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Товлосон цагтаа ирэлтийн хувь,46.3,хувь
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Бодит эхлэлээс хоцорсон медиан минут,18.5,минут
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Бодит эхлэлээс хоцорсон дундаж минут,69.0,минут
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Тайлбаргүй тасалсан,11,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Тайлбаргүй таслалтын хувь,7.5,хувь
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Чөлөөтэй,10,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Эмнэлгийн чөлөө,13,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Орон нутгийн томилолт,13,тоо
m4,П.Мөнхтулга,Ардчилсан Нам,1-р тойрог,Өргөдлийн байнгын хороо,Гадаад томилолт,9,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Хуралдаан,146,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Биеэр оролцсон,137,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Биеэр оролцсон хувь,93.8,хувь
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Албан ёсоор цагтаа ирсэн,86,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Албан ёсоор хоцорсон,51,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,62.8,хувь
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Товлосон цаг нийтлэгдсэн ирэлт,87,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Товлосон цагт багтаж ирсэн,47,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Товлосон цагаас хойш ирсэн,40,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Товлосон цагтаа ирэлтийн хувь,54.0,хувь
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Бодит эхлэлээс хоцорсон медиан минут,10,минут
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Бодит эхлэлээс хоцорсон дундаж минут,44.7,минут
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Тайлбаргүй тасалсан,2,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Тайлбаргүй таслалтын хувь,1.4,хувь
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Чөлөөтэй,4,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Эмнэлгийн чөлөө,3,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Орон нутгийн томилолт,0,тоо
m5,Г.Тэмүүлэн,Монгол Ардын Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Гадаад томилолт,0,тоо
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Хуралдаан,146,тоо
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Биеэр оролцсон,117,тоо
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Биеэр оролцсон хувь,80.1,хувь
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Албан ёсоор цагтаа ирсэн,31,тоо
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Албан ёсоор хоцорсон,86,тоо
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Биеэр оролцсон үеийн албан ёсны цагтаа ирэлтийн хувь,26.5,хувь
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Товлосон цаг нийтлэгдсэн ирэлт,74,тоо
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Товлосон цагт багтаж ирсэн,15,тоо
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Товлосон цагаас хойш ирсэн,59,тоо
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Товлосон цагтаа ирэлтийн хувь,20.3,хувь
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Бодит эхлэлээс хоцорсон медиан минут,18.0,минут
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Бодит эхлэлээс хоцорсон дундаж минут,33.5,минут
m6,Д.Ганбат,Ардчилсан Нам,1-р тойрог,"Аюулгүй байдал, гадаад бодлогын байнгын хороо",Тайлбаргүй тасалсан,8,тоо
