гишүүн,нам,биеэр_оролцсон_хувь,албан_ёсны_цагтаа_ирэлтийн_хувь,товлосон_цагтаа_ирэлтийн_хувь,тайлбаргүй_таслалтын_хувь,хоцролтын_медиан_минут
Б.Найдалаа,ХҮН Нам,85.6,80.0,59.0,2.1,6.5
М.Нарантуяа-Нара,Иргэний Зориг Ногоон Нам,69.9,76.5,71.2,0.0,4
О.Номинчимэг,Монгол Ардын Нам,84.9,76.6,62.7,2.1,24.0
Н.Номтойбаяр,Үндэсний эвсэл,73.3,58.9,43.3,6.8,8
Э.Одбаяр,Ардчилсан Нам,79.5,74.1,60.3,7.5,24
С.Одонтуяа,Ардчилсан Нам,68.5,51.0,35.9,11.0,13
Г.Очирбат,Ардчилсан Нам,84.9,92.7,85.9,3.4,5
Б.Пунсалмаа,Ардчилсан Нам,81.5,40.3,22.8,6.8,15.0
Д.Пүрэвдаваа,Үндэсний эвсэл,75.3,84.5,70.8,8.9,14
Д.Рэгдэл,Монгол Ардын Нам,93.2,94.1,84.1,0.0,4
О.Саранчулуун,Монгол Ардын Нам,82.9,59.5,32.9,2.7,15
М.Сарнай,Үндэсний эвсэл,87.0,96.9,91.5,2.1,2.0
Х.Тэмүүжин,Ардчилсан Нам,83.6,90.2,78.2,7.5,5
А.Ундраа,Үндэсний эвсэл,69.2,44.6,43.3,6.2,16.5
Б.Уянга,Монгол Ардын Нам,89.7,93.1,87.1,0.0,8.0
Г.Уянгахишиг,ХҮН Нам,84.9,51.6,43.6,3.4,13
Б.Хэрлэн,Монгол Ардын Нам,92.5,84.4,67.8,0.0,8
С.Цэнгүүн,Ардчилсан Нам,74.0,94.4,82.9,3.4,10.0
Ө.Шижир,Ардчилсан Нам,84.2,93.5,88.6,4.1,7
Л.Энхнасан,ХҮН Нам,85.6,94.4,82.4,0.0,3
Д.Энхтүвшин,Монгол Ардын Нам,75.3,90.9,76.7,0.7,3
Д.Энхтуяа,Ардчилсан Нам,81.5,78.2,51.4,3.4,13.0
М.Энхцэцэг,Монгол Ардын Нам,81.5,86.6,54.5,2.1,6
С.Эрдэнэбат,Монгол Ардын Нам,85.6,76.8,68.6,2.7,13.0
