member,party,physical_attendance_rate,official_on_time_rate,scheduled_on_time_rate,unexplained_absence_rate,median_late_minutes
О.Алтангэрэл,Democratic Party,78.1,83.3,73.5,2.1,11.0
С.Ганбаатар,Democratic Party,69.9,56.9,42.9,12.3,19.0
Б.Батцэцэг,Mongolian People’s Party,61.6,35.6,22.4,5.5,19.0
П.Мөнхтулга,Democratic Party,61.6,51.1,46.3,7.5,18.5
Г.Тэмүүлэн,Mongolian People’s Party,93.8,62.8,54.0,1.4,10
Д.Ганбат,Democratic Party,80.1,26.5,20.3,5.5,18.0
Г.Хосбаяр,Democratic Party,80.8,84.7,75.0,3.4,13
Д.Жаргалсайхан,Democratic Party,78.1,32.5,22.9,12.3,32
Дав.Цогтбаатар,Democratic Party,88.4,89.9,76.5,4.8,6.0
С.Бямбацогт,Mongolian People’s Party,89.0,90.8,83.3,0.7,24
О.Цогтгэрэл,Democratic Party,87.0,92.1,87.5,2.7,8
Б.Пүрэвдорж,Democratic Party,85.6,99.2,97.5,1.4,1
Д.Амарбаясгалан,Mongolian People’s Party,65.8,85.4,70.2,12.3,46
Б.Чойжилсүрэн,Mongolian People’s Party,79.5,47.4,36.8,5.5,10.0
Б.Түвшин,Democratic Party,77.4,59.3,27.9,4.1,16.0
О.Амгаланбаатар,Democratic Party,84.9,80.6,59.2,7.5,9.5
Б.Заяабал,Mongolian People’s Party,87.7,70.3,52.4,0.7,6.0
З.Мэндсайхан,Mongolian People’s Party,80.1,47.0,40.0,5.5,12.5
Э.Болормаа,Mongolian People’s Party,89.7,64.1,57.1,4.8,37
Х.Жангабыл,Mongolian People’s Party,87.0,81.1,66.2,1.4,8
Т.Аубакир,Mongolian People’s Party,80.8,69.5,57.8,8.2,20.5
Б.Бейсен,Democratic Party,81.5,82.4,59.5,1.4,12
Х.Баттулга,Democratic Party,22.6,45.5,28.6,28.8,8
Л.Энх-Амгалан,Mongolian People’s Party,89.0,80.0,76.7,6.8,31.0
Д.Батлут,Mongolian People’s Party,66.4,71.1,44.4,2.7,4.0
Б.Бат-Эрдэнэ,Mongolian People’s Party,84.9,96.8,91.7,0.0,13
Д.Үүрийнтуяа,Mongolian People’s Party,84.2,95.9,77.9,0.0,24.0
Л.Мөнхбаатар,Mongolian People’s Party,84.2,88.6,77.8,2.1,6
Ж.Бат-Эрдэнэ,Mongolian People’s Party,80.8,69.5,46.2,4.8,8.5
Ц.Даваасүрэн,Mongolian People’s Party,77.4,49.6,34.7,4.8,16.0
Б.Жавхлан,Mongolian People’s Party,78.1,36.0,31.0,15.8,41
Ц.Туваан,Democratic Party,68.5,49.0,39.4,17.1,22
Д.Батбаяр,Democratic Party,82.2,63.3,46.7,4.8,17
Ж.Энхбаяр,Mongolian People’s Party,75.3,37.3,26.0,12.3,44
Б.Тулга,Mongolian People’s Party,60.3,71.6,52.7,3.4,22.0
Г.Дамдинням,Mongolian People’s Party,78.8,80.0,62.8,2.7,20.5
С.Эрдэнэболд,Democratic Party,93.2,98.5,96.5,0.0,
С.Лүндэг,Mongolian People’s Party,58.2,71.8,64.7,11.6,17
Ч.Ундрам,Mongolian People’s Party,82.2,60.8,46.9,0.7,12.5
Ж.Батжаргал,Mongolian People’s Party,95.9,89.3,75.8,0.0,7.0
Л.Оюун-Эрдэнэ,Mongolian People’s Party,26.7,61.5,56.5,22.6,244
М.Бадамсүрэн,Mongolian People’s Party,83.6,58.2,49.4,0.7,21.0
Ц.Идэрбат,Mongolian People’s Party,89.7,96.2,91.8,3.4,3.0
У.Отгонбаяр,Mongolian People’s Party,95.2,98.6,90.3,0.0,1
Л.Соронзонболд,Mongolian People’s Party,93.8,93.4,82.2,1.4,2.5
Ш.Бямбасүрэн,Democratic Party,67.1,71.4,58.6,3.4,6
М.Ганхүлэг,Mongolian People’s Party,89.7,83.2,59.0,2.7,6
Р.Сэддорж,Democratic Party,79.5,76.7,59.2,3.4,19.5
Б.Дэлгэрсайхан,Mongolian People’s Party,69.2,51.5,37.9,5.5,29
Н.Наранбаатар,Mongolian People’s Party,83.6,86.1,75.0,1.4,61
Л.Мөнхбаясгалан,Democratic Party,79.5,93.1,82.9,3.4,12
Ц.Мөнхбат,Democratic Party,66.4,70.1,64.5,6.8,26.5
