салбар,утга
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",8039329.45
"Уул уурхай, олборлолт",22747077.61
Боловсруулах үйлдвэрлэл,5284027.69
"Цахилгаан, хий, уур, агааржуулалт",1550908.71
"Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",469082.69
Барилга,3450418.23
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",8969213.13
Тээвэр ба агуулахын үйл ажиллагаа,4276301.79
"Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1072875.72
"Мэдээлэл, холбоо",1826150.14
Санхүүгийн болон даатгалын үйл ажиллагаа,5174552.61
Үл хөдлөх хөрөнгийн үйл ажиллагаа,4230720.83
"Мэргэжлийн, шинжлэх ухаан болон техникийн үйл ажиллагаа",1389266.05
Удирдлагын болон дэмжлэг үзүүлэх үйл ажиллагаа,697285.24
"Төрийн удирдлага ба батлан хамгаалах үйл ажиллагаа, албан журмын нийгмийн хамгаалал",4778646.55
Боловсрол,4428877.1
Хүний эрүүл мэнд ба нийгмийн үйл ажиллагаа,2161544.8
"Урлаг, үзвэр, тоглоом, наадам",485584.91
Үйлчилгээний бусад үйл ажиллагаа,388404.33
Бүтээгдэхүүний цэвэр татвар,8516860.05
