sector,value
"Agriculture, forestry, fishing and hunting",8039329.45
Mining and quarrying,22747077.61
Manufacturing,5284027.69
"Electricity, gas, steam, air conditioning supply",1550908.71
"Water supply; sewerage, waste management and remediation activities",469082.69
Construction,3450418.23
Wholesale and retail trade; repair of motor vehicles and motorcycles,8969213.13
Transportation and storage,4276301.79
Accommodation and food service activities,1072875.72
Information and communication,1826150.14
Financial and insurance activities,5174552.61
Real estate activities,4230720.83
"Professional, scientific and technical activities",1389266.05
Administrative and support service activities,697285.24
Public administration and defence; compulsory social insurance,4778646.55
Education services,4428877.1
Human health and social work activities,2161544.8
"Arts, entertainment and recreation",485584.91
Other service activities,388404.33
Taxes less subsidies on products,8516860.05
