Бүс нутаг,Аяллын зорилго,Он,value
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2012,118100
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2011,102254
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2010,93880
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2009,66055
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2008,67862
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2007,87079
Зүүн Ази болон Номхон далайн орнууд,Албан ажлаар,2006,64885
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2025,5318
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2024,40247
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2023,63509
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2022,26849
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2021,2169
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2020,6980
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2019,98608
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2018,108877
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2017,96936
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2016,84269
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2015,85015
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2014,83222
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2013,107597
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2012,140678
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2011,118254
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2010,104067
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2009,94000
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2008,129218
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2007,105984
Зүүн Ази болон Номхон далайн орнууд,Хувийн журмаар,2006,89937
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2025,292388
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2024,283129
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2023,202609
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2022,50658
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2021,515
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2020,4083
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2019,166972
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2018,132991
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2017,115321
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2016,82844
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2015,71322
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2014,67237
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2013,58290
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2012,57415
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2011,51416
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2010,48341
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2009,56669
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2008,54955
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2007,78721
Зүүн Ази болон Номхон далайн орнууд,Жуулчлал,2006,84842
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2025,67051
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2024,51204
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2023,22052
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2022,3836
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2021,2196
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2020,3955
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2019,35859
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2018,49813
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2017,57709
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2016,54023
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2015,71617
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2014,104126
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2013,87880
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2012,135154
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2011,148553
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2010,95497
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2009,47936
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2008,19009
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2007,0
Зүүн Ази болон Номхон далайн орнууд,Ажиллах,2006,0
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2025,23556
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2024,10494
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2023,10175
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2022,1343
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2021,16
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2020,154
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2019,5286
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2018,2741
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2017,2194
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2016,1292
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2015,451
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2014,3336
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2013,1644
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2012,1593
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2011,1873
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2010,2599
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2009,6184
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2008,2975
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2007,4956
Зүүн Ази болон Номхон далайн орнууд,Дамжин өнгөрөх,2006,8004
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2025,9827
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2024,10005
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2023,7497
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2022,532
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2021,146
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2020,376
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2019,5663
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2018,4116
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2017,2983
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2016,2393
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2015,1744
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2014,1558
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2013,1344
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2012,939
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2011,754
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2010,774
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2009,1511
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2008,1034
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2007,941
Зүүн Ази болон Номхон далайн орнууд,Суралцах,2006,1119
Зүүн Ази болон Номхон далайн орнууд,БОС,2025,13370
Зүүн Ази болон Номхон далайн орнууд,БОС,2024,40593
Зүүн Ази болон Номхон далайн орнууд,БОС,2023,7090
Зүүн Ази болон Номхон далайн орнууд,БОС,2022,1980
Зүүн Ази болон Номхон далайн орнууд,БОС,2021,338
Зүүн Ази болон Номхон далайн орнууд,БОС,2020,970
Зүүн Ази болон Номхон далайн орнууд,БОС,2019,6663
Зүүн Ази болон Номхон далайн орнууд,БОС,2018,5372
Зүүн Ази болон Номхон далайн орнууд,БОС,2017,4799
Зүүн Ази болон Номхон далайн орнууд,БОС,2016,3597
Зүүн Ази болон Номхон далайн орнууд,БОС,2015,2217
Зүүн Ази болон Номхон далайн орнууд,БОС,2014,1200
Зүүн Ази болон Номхон далайн орнууд,БОС,2013,883
Зүүн Ази болон Номхон далайн орнууд,БОС,2012,3317
Зүүн Ази болон Номхон далайн орнууд,БОС,2011,688
Зүүн Ази болон Номхон далайн орнууд,БОС,2010,693
Зүүн Ази болон Номхон далайн орнууд,БОС,2009,1574
Зүүн Ази болон Номхон далайн орнууд,БОС,2008,809
Зүүн Ази болон Номхон далайн орнууд,БОС,2007,709
Зүүн Ази болон Номхон далайн орнууд,БОС,2006,777
Зүүн Ази болон Номхон далайн орнууд,Бусад,2025,129621
Зүүн Ази болон Номхон далайн орнууд,Бусад,2024,61190
Зүүн Ази болон Номхон далайн орнууд,Бусад,2023,13922
Зүүн Ази болон Номхон далайн орнууд,Бусад,2022,3085
Зүүн Ази болон Номхон далайн орнууд,Бусад,2021,629
Зүүн Ази болон Номхон далайн орнууд,Бусад,2020,2093
Зүүн Ази болон Номхон далайн орнууд,Бусад,2019,39790
Зүүн Ази болон Номхон далайн орнууд,Бусад,2018,37552
Зүүн Ази болон Номхон далайн орнууд,Бусад,2017,31473
Зүүн Ази болон Номхон далайн орнууд,Бусад,2016,23046
Зүүн Ази болон Номхон далайн орнууд,Бусад,2015,13991
Зүүн Ази болон Номхон далайн орнууд,Бусад,2014,2584
Зүүн Ази болон Номхон далайн орнууд,Бусад,2013,2582
Зүүн Ази болон Номхон далайн орнууд,Бусад,2012,3839
Зүүн Ази болон Номхон далайн орнууд,Бусад,2011,8862
Зүүн Ази болон Номхон далайн орнууд,Бусад,2010,21310
Зүүн Ази болон Номхон далайн орнууд,Бусад,2009,24157
Зүүн Ази болон Номхон далайн орнууд,Бусад,2008,18282
Зүүн Ази болон Номхон далайн орнууд,Бусад,2007,12863
Зүүн Ази болон Номхон далайн орнууд,Бусад,2006,9566
Ойрхи Дорнод,Бүгд,2025,16394
Ойрхи Дорнод,Бүгд,2024,10215
Ойрхи Дорнод,Бүгд,2023,8741
Ойрхи Дорнод,Бүгд,2022,4668
Ойрхи Дорнод,Бүгд,2021,1917
Ойрхи Дорнод,Бүгд,2020,620
Ойрхи Дорнод,Бүгд,2019,5289
Ойрхи Дорнод,Бүгд,2018,4806
Ойрхи Дорнод,Бүгд,2017,3884
Ойрхи Дорнод,Бүгд,2016,3830
Ойрхи Дорнод,Бүгд,2015,4013
Ойрхи Дорнод,Бүгд,2014,3766
Ойрхи Дорнод,Бүгд,2013,4213
Ойрхи Дорнод,Бүгд,2012,3138
Ойрхи Дорнод,Бүгд,2011,2469
Ойрхи Дорнод,Бүгд,2010,2569
Ойрхи Дорнод,Бүгд,2009,1637
Ойрхи Дорнод,Бүгд,2008,1614
Ойрхи Дорнод,Бүгд,2007,1331
Ойрхи Дорнод,Бүгд,2006,1282
Ойрхи Дорнод,Албан ажлаар,2025,3253
Ойрхи Дорнод,Албан ажлаар,2024,2393
Ойрхи Дорнод,Албан ажлаар,2023,2751
Ойрхи Дорнод,Албан ажлаар,2022,1886
Ойрхи Дорнод,Албан ажлаар,2021,1001
Ойрхи Дорнод,Албан ажлаар,2020,398
Ойрхи Дорнод,Албан ажлаар,2019,1855
Ойрхи Дорнод,Албан ажлаар,2018,2071
Ойрхи Дорнод,Албан ажлаар,2017,1663
Ойрхи Дорнод,Албан ажлаар,2016,1640
Ойрхи Дорнод,Албан ажлаар,2015,1334
Ойрхи Дорнод,Албан ажлаар,2014,1773
Ойрхи Дорнод,Албан ажлаар,2013,2488
Ойрхи Дорнод,Албан ажлаар,2012,1578
Ойрхи Дорнод,Албан ажлаар,2011,900
Ойрхи Дорнод,Албан ажлаар,2010,1324
Ойрхи Дорнод,Албан ажлаар,2009,519
Ойрхи Дорнод,Албан ажлаар,2008,303
Ойрхи Дорнод,Албан ажлаар,2007,299
Ойрхи Дорнод,Албан ажлаар,2006,317
Ойрхи Дорнод,Хувийн журмаар,2025,78
Ойрхи Дорнод,Хувийн журмаар,2024,415
Ойрхи Дорнод,Хувийн журмаар,2023,968
Ойрхи Дорнод,Хувийн журмаар,2022,1098
Ойрхи Дорнод,Хувийн журмаар,2021,608
Ойрхи Дорнод,Хувийн журмаар,2020,113
Ойрхи Дорнод,Хувийн журмаар,2019,857
Ойрхи Дорнод,Хувийн журмаар,2018,673
Ойрхи Дорнод,Хувийн журмаар,2017,603
Ойрхи Дорнод,Хувийн журмаар,2016,726
Ойрхи Дорнод,Хувийн журмаар,2015,1044
Ойрхи Дорнод,Хувийн журмаар,2014,824
Ойрхи Дорнод,Хувийн журмаар,2013,585
Ойрхи Дорнод,Хувийн журмаар,2012,520
Ойрхи Дорнод,Хувийн журмаар,2011,456
Ойрхи Дорнод,Хувийн журмаар,2010,384
Ойрхи Дорнод,Хувийн журмаар,2009,433
Ойрхи Дорнод,Хувийн журмаар,2008,431
Ойрхи Дорнод,Хувийн журмаар,2007,297
Ойрхи Дорнод,Хувийн журмаар,2006,160
Ойрхи Дорнод,Жуулчлал,2025,4773
Ойрхи Дорнод,Жуулчлал,2024,2736
Ойрхи Дорнод,Жуулчлал,2023,2280
Ойрхи Дорнод,Жуулчлал,2022,916
Ойрхи Дорнод,Жуулчлал,2021,38
Ойрхи Дорнод,Жуулчлал,2020,40
Ойрхи Дорнод,Жуулчлал,2019,1787
Ойрхи Дорнод,Жуулчлал,2018,1680
Ойрхи Дорнод,Жуулчлал,2017,1398
Ойрхи Дорнод,Жуулчлал,2016,1269
Ойрхи Дорнод,Жуулчлал,2015,1052
Ойрхи Дорнод,Жуулчлал,2014,879
Ойрхи Дорнод,Жуулчлал,2013,859
Ойрхи Дорнод,Жуулчлал,2012,755
Ойрхи Дорнод,Жуулчлал,2011,928
Ойрхи Дорнод,Жуулчлал,2010,666
Ойрхи Дорнод,Жуулчлал,2009,531
Ойрхи Дорнод,Жуулчлал,2008,643
Ойрхи Дорнод,Жуулчлал,2007,490
Ойрхи Дорнод,Жуулчлал,2006,555
Ойрхи Дорнод,Ажиллах,2025,364
Ойрхи Дорнод,Ажиллах,2024,621
Ойрхи Дорнод,Ажиллах,2023,533
Ойрхи Дорнод,Ажиллах,2022,275
Ойрхи Дорнод,Ажиллах,2021,110
Ойрхи Дорнод,Ажиллах,2020,27
Ойрхи Дорнод,Ажиллах,2019,177
Ойрхи Дорнод,Ажиллах,2018,41
Ойрхи Дорнод,Ажиллах,2017,38
Ойрхи Дорнод,Ажиллах,2016,50
Ойрхи Дорнод,Ажиллах,2015,67
Ойрхи Дорнод,Ажиллах,2014,138
Ойрхи Дорнод,Ажиллах,2013,165
Ойрхи Дорнод,Ажиллах,2012,174
Ойрхи Дорнод,Ажиллах,2011,108
Ойрхи Дорнод,Ажиллах,2010,1
Ойрхи Дорнод,Ажиллах,2009,0
Ойрхи Дорнод,Ажиллах,2008,0
Ойрхи Дорнод,Ажиллах,2007,0
Ойрхи Дорнод,Ажиллах,2006,0
Ойрхи Дорнод,Дамжин өнгөрөх,2025,6916
Ойрхи Дорнод,Дамжин өнгөрөх,2024,2657
Ойрхи Дорнод,Дамжин өнгөрөх,2023,1776
Ойрхи Дорнод,Дамжин өнгөрөх,2022,113
Ойрхи Дорнод,Дамжин өнгөрөх,2021,0
Ойрхи Дорнод,Дамжин өнгөрөх,2020,19
Ойрхи Дорнод,Дамжин өнгөрөх,2019,52
Ойрхи Дорнод,Дамжин өнгөрөх,2018,14
Ойрхи Дорнод,Дамжин өнгөрөх,2017,5
Ойрхи Дорнод,Дамжин өнгөрөх,2016,8
Ойрхи Дорнод,Дамжин өнгөрөх,2015,6
Ойрхи Дорнод,Дамжин өнгөрөх,2014,2
Ойрхи Дорнод,Дамжин өнгөрөх,2013,4
Ойрхи Дорнод,Дамжин өнгөрөх,2012,12
Ойрхи Дорнод,Дамжин өнгөрөх,2011,3
Ойрхи Дорнод,Дамжин өнгөрөх,2010,1
Ойрхи Дорнод,Дамжин өнгөрөх,2009,5
Ойрхи Дорнод,Дамжин өнгөрөх,2008,1
Ойрхи Дорнод,Дамжин өнгөрөх,2007,27
Ойрхи Дорнод,Дамжин өнгөрөх,2006,20
Ойрхи Дорнод,Суралцах,2025,27
Ойрхи Дорнод,Суралцах,2024,16
Ойрхи Дорнод,Суралцах,2023,17
Ойрхи Дорнод,Суралцах,2022,10
Ойрхи Дорнод,Суралцах,2021,4
Ойрхи Дорнод,Суралцах,2020,1
Ойрхи Дорнод,Суралцах,2019,13
Ойрхи Дорнод,Суралцах,2018,17
Ойрхи Дорнод,Суралцах,2017,12
Ойрхи Дорнод,Суралцах,2016,22
Ойрхи Дорнод,Суралцах,2015,27
Ойрхи Дорнод,Суралцах,2014,92
Ойрхи Дорнод,Суралцах,2013,56
Ойрхи Дорнод,Суралцах,2012,47
Ойрхи Дорнод,Суралцах,2011,30
Ойрхи Дорнод,Суралцах,2010,32
Ойрхи Дорнод,Суралцах,2009,34
Ойрхи Дорнод,Суралцах,2008,23
Ойрхи Дорнод,Суралцах,2007,28
Ойрхи Дорнод,Суралцах,2006,36
Ойрхи Дорнод,БОС,2025,263
Ойрхи Дорнод,БОС,2024,879
Ойрхи Дорнод,БОС,2023,216
Ойрхи Дорнод,БОС,2022,61
Ойрхи Дорнод,БОС,2021,12
Ойрхи Дорнод,БОС,2020,7
Ойрхи Дорнод,БОС,2019,89
Ойрхи Дорнод,БОС,2018,41
Ойрхи Дорнод,БОС,2017,40
Ойрхи Дорнод,БОС,2016,28
Ойрхи Дорнод,БОС,2015,22
Ойрхи Дорнод,БОС,2014,8
Ойрхи Дорнод,БОС,2013,5
Ойрхи Дорнод,БОС,2012,3
Ойрхи Дорнод,БОС,2011,4
Ойрхи Дорнод,БОС,2010,7
Ойрхи Дорнод,БОС,2009,9
Ойрхи Дорнод,БОС,2008,9
Ойрхи Дорнод,БОС,2007,2
Ойрхи Дорнод,БОС,2006,6
Ойрхи Дорнод,Бусад,2025,720
Ойрхи Дорнод,Бусад,2024,498
Ойрхи Дорнод,Бусад,2023,200
Ойрхи Дорнод,Бусад,2022,309
Ойрхи Дорнод,Бусад,2021,144
Ойрхи Дорнод,Бусад,2020,15
Ойрхи Дорнод,Бусад,2019,459
Ойрхи Дорнод,Бусад,2018,269
Ойрхи Дорнод,Бусад,2017,125
Ойрхи Дорнод,Бусад,2016,87
Ойрхи Дорнод,Бусад,2015,461
Ойрхи Дорнод,Бусад,2014,50
Ойрхи Дорнод,Бусад,2013,51
Ойрхи Дорнод,Бусад,2012,49
Ойрхи Дорнод,Бусад,2011,40
Ойрхи Дорнод,Бусад,2010,154
Ойрхи Дорнод,Бусад,2009,106
Ойрхи Дорнод,Бусад,2008,204
Ойрхи Дорнод,Бусад,2007,188
Ойрхи Дорнод,Бусад,2006,188
Өмнөд Ази,Бүгд,2025,8334
Өмнөд Ази,Бүгд,2024,5997
Өмнөд Ази,Бүгд,2023,4349
Өмнөд Ази,Бүгд,2022,2157
Өмнөд Ази,Бүгд,2021,643
Өмнөд Ази,Бүгд,2020,296
Өмнөд Ази,Бүгд,2019,6463
Өмнөд Ази,Бүгд,2018,3909
Өмнөд Ази,Бүгд,2017,3127
Өмнөд Ази,Бүгд,2016,2876
Өмнөд Ази,Бүгд,2015,2329
Өмнөд Ази,Бүгд,2014,2295
Өмнөд Ази,Бүгд,2013,2650
Өмнөд Ази,Бүгд,2012,2310
Өмнөд Ази,Бүгд,2011,7149
Өмнөд Ази,Бүгд,2010,1597
Өмнөд Ази,Бүгд,2009,1451
Өмнөд Ази,Бүгд,2008,1370
Өмнөд Ази,Бүгд,2007,1271
Өмнөд Ази,Бүгд,2006,1407
Өмнөд Ази,Албан ажлаар,2025,1238
Өмнөд Ази,Албан ажлаар,2024,969
Өмнөд Ази,Албан ажлаар,2023,745
Өмнөд Ази,Албан ажлаар,2022,585
Өмнөд Ази,Албан ажлаар,2021,207
Өмнөд Ази,Албан ажлаар,2020,48
Өмнөд Ази,Албан ажлаар,2019,1321
Өмнөд Ази,Албан ажлаар,2018,1132
Өмнөд Ази,Албан ажлаар,2017,884
Өмнөд Ази,Албан ажлаар,2016,1412
Өмнөд Ази,Албан ажлаар,2015,965
Өмнөд Ази,Албан ажлаар,2014,1298
Өмнөд Ази,Албан ажлаар,2013,1568
Өмнөд Ази,Албан ажлаар,2012,1387
Өмнөд Ази,Албан ажлаар,2011,2163
Өмнөд Ази,Албан ажлаар,2010,818
Өмнөд Ази,Албан ажлаар,2009,561
Өмнөд Ази,Албан ажлаар,2008,385
Өмнөд Ази,Албан ажлаар,2007,496
Өмнөд Ази,Албан ажлаар,2006,548
Өмнөд Ази,Хувийн журмаар,2025,259
Өмнөд Ази,Хувийн журмаар,2024,235
Өмнөд Ази,Хувийн журмаар,2023,594
Өмнөд Ази,Хувийн журмаар,2022,394
Өмнөд Ази,Хувийн журмаар,2021,94
Өмнөд Ази,Хувийн журмаар,2020,89
Өмнөд Ази,Хувийн журмаар,2019,1092
Өмнөд Ази,Хувийн журмаар,2018,859
Өмнөд Ази,Хувийн журмаар,2017,800
Өмнөд Ази,Хувийн журмаар,2016,512
Өмнөд Ази,Хувийн журмаар,2015,480
Өмнөд Ази,Хувийн журмаар,2014,264
Өмнөд Ази,Хувийн журмаар,2013,306
Өмнөд Ази,Хувийн журмаар,2012,272
Өмнөд Ази,Хувийн журмаар,2011,1049
Өмнөд Ази,Хувийн журмаар,2010,271
Өмнөд Ази,Хувийн журмаар,2009,403
Өмнөд Ази,Хувийн журмаар,2008,391
Өмнөд Ази,Хувийн журмаар,2007,292
Өмнөд Ази,Хувийн журмаар,2006,152
Өмнөд Ази,Жуулчлал,2025,2377
Өмнөд Ази,Жуулчлал,2024,1858
Өмнөд Ази,Жуулчлал,2023,1398
Өмнөд Ази,Жуулчлал,2022,407
Өмнөд Ази,Жуулчлал,2021,9
Өмнөд Ази,Жуулчлал,2020,43
Өмнөд Ази,Жуулчлал,2019,2787
Өмнөд Ази,Жуулчлал,2018,1034
Өмнөд Ази,Жуулчлал,2017,866
Өмнөд Ази,Жуулчлал,2016,633
Өмнөд Ази,Жуулчлал,2015,461
Өмнөд Ази,Жуулчлал,2014,429
Өмнөд Ази,Жуулчлал,2013,382
Өмнөд Ази,Жуулчлал,2012,325
Өмнөд Ази,Жуулчлал,2011,2153
Өмнөд Ази,Жуулчлал,2010,315
Өмнөд Ази,Жуулчлал,2009,364
Өмнөд Ази,Жуулчлал,2008,349
Өмнөд Ази,Жуулчлал,2007,296
Өмнөд Ази,Жуулчлал,2006,437
Өмнөд Ази,Ажиллах,2025,3171
Өмнөд Ази,Ажиллах,2024,1729
Өмнөд Ази,Ажиллах,2023,1061
Өмнөд Ази,Ажиллах,2022,349
Өмнөд Ази,Ажиллах,2021,155
Өмнөд Ази,Ажиллах,2020,43
Өмнөд Ази,Ажиллах,2019,299
Өмнөд Ази,Ажиллах,2018,238
Өмнөд Ази,Ажиллах,2017,152
Өмнөд Ази,Ажиллах,2016,124
Өмнөд Ази,Ажиллах,2015,181
Өмнөд Ази,Ажиллах,2014,233
Өмнөд Ази,Ажиллах,2013,303
Өмнөд Ази,Ажиллах,2012,253
Өмнөд Ази,Ажиллах,2011,1304
Өмнөд Ази,Ажиллах,2010,1
Өмнөд Ази,Ажиллах,2009,0
Өмнөд Ази,Ажиллах,2008,0
Өмнөд Ази,Ажиллах,2007,0
Өмнөд Ази,Ажиллах,2006,0
Өмнөд Ази,Дамжин өнгөрөх,2025,271
Өмнөд Ази,Дамжин өнгөрөх,2024,61
Өмнөд Ази,Дамжин өнгөрөх,2023,47
Өмнөд Ази,Дамжин өнгөрөх,2022,4
Өмнөд Ази,Дамжин өнгөрөх,2021,0
Өмнөд Ази,Дамжин өнгөрөх,2020,1
Өмнөд Ази,Дамжин өнгөрөх,2019,17
Өмнөд Ази,Дамжин өнгөрөх,2018,3
Өмнөд Ази,Дамжин өнгөрөх,2017,3
Өмнөд Ази,Дамжин өнгөрөх,2016,6
Өмнөд Ази,Дамжин өнгөрөх,2015,2
Өмнөд Ази,Дамжин өнгөрөх,2014,4
Өмнөд Ази,Дамжин өнгөрөх,2013,1
Өмнөд Ази,Дамжин өнгөрөх,2012,2
Өмнөд Ази,Дамжин өнгөрөх,2011,23
Өмнөд Ази,Дамжин өнгөрөх,2010,0
Өмнөд Ази,Дамжин өнгөрөх,2009,2
Өмнөд Ази,Дамжин өнгөрөх,2008,5
Өмнөд Ази,Дамжин өнгөрөх,2007,4
Өмнөд Ази,Дамжин өнгөрөх,2006,29
Өмнөд Ази,Суралцах,2025,27
Өмнөд Ази,Суралцах,2024,27
Өмнөд Ази,Суралцах,2023,21
Өмнөд Ази,Суралцах,2022,12
Өмнөд Ази,Суралцах,2021,2
Өмнөд Ази,Суралцах,2020,1
Өмнөд Ази,Суралцах,2019,9
Өмнөд Ази,Суралцах,2018,10
Өмнөд Ази,Суралцах,2017,12
Өмнөд Ази,Суралцах,2016,14
Өмнөд Ази,Суралцах,2015,15
Өмнөд Ази,Суралцах,2014,27
Өмнөд Ази,Суралцах,2013,38
Өмнөд Ази,Суралцах,2012,33
Өмнөд Ази,Суралцах,2011,37
Өмнөд Ази,Суралцах,2010,15
Өмнөд Ази,Суралцах,2009,11
Өмнөд Ази,Суралцах,2008,6
Өмнөд Ази,Суралцах,2007,10
Өмнөд Ази,Суралцах,2006,7
Өмнөд Ази,БОС,2025,377
Өмнөд Ази,БОС,2024,790
Өмнөд Ази,БОС,2023,278
Өмнөд Ази,БОС,2022,146
Өмнөд Ази,БОС,2021,34
Өмнөд Ази,БОС,2020,19
Өмнөд Ази,БОС,2019,123
Өмнөд Ази,БОС,2018,93
Өмнөд Ази,БОС,2017,99
Өмнөд Ази,БОС,2016,39
Өмнөд Ази,БОС,2015,14
Өмнөд Ази,БОС,2014,4
Өмнөд Ази,БОС,2013,2
Өмнөд Ази,БОС,2012,1
Өмнөд Ази,БОС,2011,8
Өмнөд Ази,БОС,2010,11
Өмнөд Ази,БОС,2009,12
Өмнөд Ази,БОС,2008,13
Өмнөд Ази,БОС,2007,7
Өмнөд Ази,БОС,2006,15
Өмнөд Ази,Бусад,2025,614
Өмнөд Ази,Бусад,2024,328
Өмнөд Ази,Бусад,2023,205
Өмнөд Ази,Бусад,2022,260
Өмнөд Ази,Бусад,2021,142
Өмнөд Ази,Бусад,2020,52
Өмнөд Ази,Бусад,2019,815
Өмнөд Ази,Бусад,2018,540
Өмнөд Ази,Бусад,2017,311
Өмнөд Ази,Бусад,2016,136
Өмнөд Ази,Бусад,2015,211
Өмнөд Ази,Бусад,2014,36
Өмнөд Ази,Бусад,2013,50
Өмнөд Ази,Бусад,2012,37
Өмнөд Ази,Бусад,2011,412
Өмнөд Ази,Бусад,2010,166
Өмнөд Ази,Бусад,2009,98
Өмнөд Ази,Бусад,2008,221
Өмнөд Ази,Бусад,2007,166
Өмнөд Ази,Бусад,2006,219
Харьяалалгүй,Бүгд,2025,14
Харьяалалгүй,Бүгд,2024,10
Харьяалалгүй,Бүгд,2023,9
Харьяалалгүй,Бүгд,2022,11
Харьяалалгүй,Бүгд,2021,3
Харьяалалгүй,Бүгд,2020,3
Харьяалалгүй,Бүгд,2019,37
Харьяалалгүй,Бүгд,2018,39
Харьяалалгүй,Бүгд,2017,36
