Бүс нутаг,Аяллын зорилго,Он,value
Бүгд,Хувийн журмаар,2010,206513
Бүгд,Хувийн журмаар,2009,181620
Бүгд,Хувийн журмаар,2008,228099
Бүгд,Хувийн журмаар,2007,193247
Бүгд,Хувийн журмаар,2006,154130
Бүгд,Жуулчлал,2025,417935
Бүгд,Жуулчлал,2024,389451
Бүгд,Жуулчлал,2023,320630
Бүгд,Жуулчлал,2022,122930
Бүгд,Жуулчлал,2021,1010
Бүгд,Жуулчлал,2020,7798
Бүгд,Жуулчлал,2019,260078
Бүгд,Жуулчлал,2018,222168
Бүгд,Жуулчлал,2017,191147
Бүгд,Жуулчлал,2016,150335
Бүгд,Жуулчлал,2015,120891
Бүгд,Жуулчлал,2014,123331
Бүгд,Жуулчлал,2013,115729
Бүгд,Жуулчлал,2012,115397
Бүгд,Жуулчлал,2011,111213
Бүгд,Жуулчлал,2010,96949
Бүгд,Жуулчлал,2009,100872
Бүгд,Жуулчлал,2008,103824
Бүгд,Жуулчлал,2007,127444
Бүгд,Жуулчлал,2006,134895
Бүгд,Ажиллах,2025,72809
Бүгд,Ажиллах,2024,55619
Бүгд,Ажиллах,2023,25874
Бүгд,Ажиллах,2022,6671
Бүгд,Ажиллах,2021,4491
Бүгд,Ажиллах,2020,5556
Бүгд,Ажиллах,2019,41392
Бүгд,Ажиллах,2018,54374
Бүгд,Ажиллах,2017,61131
Бүгд,Ажиллах,2016,57490
Бүгд,Ажиллах,2015,74566
Бүгд,Ажиллах,2014,108160
Бүгд,Ажиллах,2013,93590
Бүгд,Ажиллах,2012,141796
Бүгд,Ажиллах,2011,163429
Бүгд,Ажиллах,2010,97695
Бүгд,Ажиллах,2009,48260
Бүгд,Ажиллах,2008,19011
Бүгд,Ажиллах,2007,0
Бүгд,Ажиллах,2006,0
Бүгд,Дамжин өнгөрөх,2025,47791
Бүгд,Дамжин өнгөрөх,2024,24499
Бүгд,Дамжин өнгөрөх,2023,23588
Бүгд,Дамжин өнгөрөх,2022,5492
Бүгд,Дамжин өнгөрөх,2021,68
Бүгд,Дамжин өнгөрөх,2020,317
Бүгд,Дамжин өнгөрөх,2019,8758
Бүгд,Дамжин өнгөрөх,2018,3877
Бүгд,Дамжин өнгөрөх,2017,3873
Бүгд,Дамжин өнгөрөх,2016,2732
Бүгд,Дамжин өнгөрөх,2015,1044
Бүгд,Дамжин өнгөрөх,2014,3974
