Date,Rate (%)
2008-12,7.4
2009-03,6.32
2009-06,7.0
2009-09,6.99
2009-12,6.37
2010-03,5.66
2010-06,5.78
2010-09,5.69
2010-12,4.0200000000000005
2011-01,4.28
2011-02,4.94
2011-03,4.99
2011-04,4.83
2011-05,4.97
2011-06,4.23
2011-07,4.88
2011-08,4.68
2011-09,4.7
2011-10,4.72
2011-11,4.66
2011-12,4.53
2012-01,4.5600000000000005
2012-02,4.66
2012-03,4.87
2012-04,5.64
2012-05,6.05
2012-06,5.9
2012-07,5.92
2012-08,6.03
2012-09,5.5200000000000005
2012-10,5.59
2012-11,5.64
2012-12,6.07
2013-01,6.24
2013-02,6.5600000000000005
2013-03,6.99
2013-04,5.96
2013-05,5.4
2013-06,5.6000000000000005
2013-07,5.5
2013-08,5.5
2013-09,5.4
2013-10,5.3
2013-11,5.4
2013-12,5.4
2014-01,5.51
2014-02,5.4
2014-03,5.6000000000000005
2014-04,5.3
2014-05,5.61
2014-06,5.6000000000000005
2014-07,5.45
2014-08,5.53
2014-09,5.55
2014-10,5.61
2014-11,5.71
2014-12,5.76
2015-01,5.93
2015-02,5.96
2015-03,5.99
2015-04,6.0
2015-05,6.21
2015-06,6.32
2015-07,6.33
2015-08,6.48
2015-09,6.5
2015-10,6.66
2015-11,6.7700000000000005
2015-12,6.6000000000000005
2016-01,6.68
2016-02,6.65
2016-03,6.6000000000000005
2016-04,6.5
2016-05,6.47
2016-06,6.29
2016-07,6.28
2016-08,6.3500000000000005
2016-09,6.53
2016-10,6.18
2016-11,6.05
2016-12,6.0
2017-01,5.98
2017-02,6.0
2017-03,6.16
2017-04,5.9
2017-05,5.78
2017-06,5.57
2017-07,5.48
2017-08,5.47
2017-09,5.39
2017-10,5.21
2017-11,5.59
2017-12,5.39
2018-01,5.83
2018-02,5.19
2018-03,5.24
2018-04,5.28
2018-05,5.23
2018-06,5.23
2018-07,5.22
2018-08,5.12
2018-09,5.42
2018-10,5.39
2018-11,5.25
2018-12,5.25
2019-01,4.95
2019-02,5.28
2019-03,4.93
2019-04,4.95
2019-05,4.93
2019-06,4.95
2019-07,4.98
2019-08,4.99
2019-09,4.95
2019-10,4.82
2019-11,4.8
2019-12,4.75
2020-01,4.74
2020-02,4.71
2020-03,4.7
2020-04,4.568002
2020-05,4.5
2020-06,4.3260499999999995
2020-07,4.239669999999999
2020-08,4.134897
2020-09,3.8000000000000003
2020-10,3.8000000000000003
2020-11,3.7
2020-12,3.7
2021-01,3.6
2021-02,3.1
2021-03,2.9
2021-04,2.6
2021-05,2.58
2021-06,2.48
2021-07,2.37
2021-08,2.22
2021-09,2.2600000000000002
2021-10,2.25
2021-11,2.08
2021-12,2.04
2022-01,2.08
2022-02,2.1
2022-03,2.12
2022-04,2.08
2022-05,2.1
2022-06,2.08
2022-07,2.13
2022-08,2.17
2022-09,2.2800000000000002
2022-10,2.37
2022-11,2.44
2022-12,2.5100000000000002
2023-01,2.7
2023-02,2.74
2023-03,2.88
2023-04,2.87
2023-05,2.94
2023-06,2.94
2023-07,3.0100000000000002
2023-08,3.09
2023-09,3.14
2023-10,3.18
2023-11,3.23
2023-12,3.41
2024-01,3.59
2024-02,3.63
2024-03,3.56
2024-04,3.66
2024-05,3.79
2024-06,3.61
2024-07,3.63
2024-08,3.68
2024-09,3.66
2024-10,3.68
2024-11,3.73
2024-12,3.71
2025-01,3.7600000000000002
2025-02,3.8000000000000003
2025-03,4.0
2025-04,4.03
2025-05,4.01
2025-06,4.0
2025-07,4.04
2025-08,4.05
2025-09,4.15
2025-10,4.24
2025-11,4.25
2025-12,4.19
2026-01,4.22
