Бүс,Үзүүлэлт,Он,value
Улсын дүн,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2018,580.0
Улсын дүн,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2017,531.0
Улсын дүн,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2016,438.0
Улсын дүн,"Мэдээгүйжүүлэлт, эрчимт эмчилгээний",2015,464.0
Улсын дүн,Мэдрэлийн,2025,184.0
Улсын дүн,Мэдрэлийн,2024,189.0
Улсын дүн,Мэдрэлийн,2023,169.0
Улсын дүн,Мэдрэлийн,2022,193.0
Улсын дүн,Мэдрэлийн,2021,211.0
Улсын дүн,Мэдрэлийн,2020,194.0
Улсын дүн,Мэдрэлийн,2019,194.0
Улсын дүн,Мэдрэлийн,2018,195.0
Улсын дүн,Мэдрэлийн,2017,229.0
Улсын дүн,Мэдрэлийн,2016,190.0
Улсын дүн,Мэдрэлийн,2015,188.0
Улсын дүн,Эх барих эмэгтэйчүүдийн,2025,105.0
Улсын дүн,Эх барих эмэгтэйчүүдийн,2024,107.0
Улсын дүн,Эх барих эмэгтэйчүүдийн,2023,100.0
Улсын дүн,Эх барих эмэгтэйчүүдийн,2022,114.0
Улсын дүн,Эх барих эмэгтэйчүүдийн,2021,142.0
Улсын дүн,Эх барих эмэгтэйчүүдийн,2020,101.0
Улсын дүн,Эх барих эмэгтэйчүүдийн,2019,179.0
Улсын дүн,Эх барих эмэгтэйчүүдийн,2018,296.0
Улсын дүн,Эх барих эмэгтэйчүүдийн,2017,436.0
Улсын дүн,Эх барих эмэгтэйчүүдийн,2016,419.0
Улсын дүн,Эх барих эмэгтэйчүүдийн,2015,414.0
Улсын дүн,Хавдрын,2025,163.0
Улсын дүн,Хавдрын,2024,178.0
Улсын дүн,Хавдрын,2023,147.0
Улсын дүн,Хавдрын,2022,155.0
Улсын дүн,Хавдрын,2021,151.0
Улсын дүн,Хавдрын,2020,153.0
Улсын дүн,Хавдрын,2019,133.0
Улсын дүн,Хавдрын,2018,97.0
Улсын дүн,Хавдрын,2017,85.0
Улсын дүн,Хавдрын,2016,90.0
Улсын дүн,Хавдрын,2015,92.0
Улсын дүн,Сэтгэцийн,2025,213.0
Улсын дүн,Сэтгэцийн,2024,198.0
Улсын дүн,Сэтгэцийн,2023,182.0
Улсын дүн,Сэтгэцийн,2022,183.0
Улсын дүн,Сэтгэцийн,2021,182.0
Улсын дүн,Сэтгэцийн,2020,176.0
Улсын дүн,Сэтгэцийн,2019,172.0
Улсын дүн,Сэтгэцийн,2018,176.0
Улсын дүн,Сэтгэцийн,2017,192.0
Улсын дүн,Сэтгэцийн,2016,195.0
Улсын дүн,Сэтгэцийн,2015,176.0
Улсын дүн,Нүдний,2025,111.0
Улсын дүн,Нүдний,2024,110.0
Улсын дүн,Нүдний,2023,112.0
Улсын дүн,Нүдний,2022,115.0
Улсын дүн,Нүдний,2021,106.0
Улсын дүн,Нүдний,2020,98.0
Улсын дүн,Нүдний,2019,98.0
Улсын дүн,Нүдний,2018,97.0
Улсын дүн,Нүдний,2017,99.0
Улсын дүн,Нүдний,2016,94.0
Улсын дүн,Нүдний,2015,87.0
Улсын дүн,Чих хамар хоолойн,2025,121.0
Улсын дүн,Чих хамар хоолойн,2024,128.0
Улсын дүн,Чих хамар хоолойн,2023,130.0
Улсын дүн,Чих хамар хоолойн,2022,117.0
Улсын дүн,Чих хамар хоолойн,2021,116.0
Улсын дүн,Чих хамар хоолойн,2020,110.0
Улсын дүн,Чих хамар хоолойн,2019,102.0
Улсын дүн,Чих хамар хоолойн,2018,117.0
Улсын дүн,Чих хамар хоолойн,2017,101.0
Улсын дүн,Чих хамар хоолойн,2016,97.0
Улсын дүн,Чих хамар хоолойн,2015,98.0
Улсын дүн,"Арьс, харшлын",2025,116.0
Улсын дүн,"Арьс, харшлын",2024,101.0
Улсын дүн,"Арьс, харшлын",2023,98.0
Улсын дүн,"Арьс, харшлын",2022,93.0
Улсын дүн,"Арьс, харшлын",2021,74.0
Улсын дүн,"Арьс, харшлын",2020,74.0
Улсын дүн,"Арьс, харшлын",2019,85.0
Улсын дүн,"Арьс, харшлын",2018,80.0
Улсын дүн,"Арьс, харшлын",2017,89.0
Улсын дүн,"Арьс, харшлын",2016,72.0
Улсын дүн,"Арьс, харшлын",2015,73.0
Улсын дүн,Халдвартын,2025,908.0
Улсын дүн,Халдвартын,2024,757.0
Улсын дүн,Халдвартын,2023,729.0
Улсын дүн,Халдвартын,2022,737.0
Улсын дүн,Халдвартын,2021,672.0
Улсын дүн,Халдвартын,2020,546.0
Улсын дүн,Халдвартын,2019,496.0
Улсын дүн,Халдвартын,2018,387.0
Улсын дүн,Халдвартын,2017,405.0
Улсын дүн,Халдвартын,2016,385.0
Улсын дүн,Халдвартын,2015,376.0
Улсын дүн,Сүрьеэгийн,2025,
Улсын дүн,Сүрьеэгийн,2024,0.0
Улсын дүн,Сүрьеэгийн,2023,0.0
Улсын дүн,Сүрьеэгийн,2022,0.0
Улсын дүн,Сүрьеэгийн,2021,0.0
Улсын дүн,Сүрьеэгийн,2020,0.0
Улсын дүн,Сүрьеэгийн,2019,0.0
Улсын дүн,Сүрьеэгийн,2018,136.0
Улсын дүн,Сүрьеэгийн,2017,137.0
Улсын дүн,Сүрьеэгийн,2016,140.0
Улсын дүн,Сүрьеэгийн,2015,147.0
Улсын дүн,ДОХ/БЗДХ-ын/,2025,
Улсын дүн,ДОХ/БЗДХ-ын/,2024,0.0
Улсын дүн,ДОХ/БЗДХ-ын/,2023,0.0
Улсын дүн,ДОХ/БЗДХ-ын/,2022,0.0
Улсын дүн,ДОХ/БЗДХ-ын/,2021,0.0
Улсын дүн,ДОХ/БЗДХ-ын/,2020,0.0
Улсын дүн,ДОХ/БЗДХ-ын/,2019,0.0
Улсын дүн,ДОХ/БЗДХ-ын/,2018,48.0
Улсын дүн,ДОХ/БЗДХ-ын/,2017,51.0
Улсын дүн,ДОХ/БЗДХ-ын/,2016,52.0
Улсын дүн,ДОХ/БЗДХ-ын/,2015,49.0
Улсын дүн,Сэргээн засахын,2025,565.0
Улсын дүн,Сэргээн засахын,2024,580.0
Улсын дүн,Сэргээн засахын,2023,492.0
Улсын дүн,Сэргээн засахын,2022,447.0
Улсын дүн,Сэргээн засахын,2021,414.0
Улсын дүн,Сэргээн засахын,2020,384.0
Улсын дүн,Сэргээн засахын,2019,419.0
Улсын дүн,Сэргээн засахын,2018,422.0
Улсын дүн,Сэргээн засахын,2017,393.0
Улсын дүн,Сэргээн засахын,2016,390.0
Улсын дүн,Сэргээн засахын,2015,369.0
Улсын дүн,Хөнгөвчлөхийн,2025,135.0
