Region,Indicator,Year,value
Total,Nurses-Total,2025,15099.0
Total,Nurses-Total,2024,15152.0
Total,Nurses-Total,2023,14494.0
Total,Nurses-Total,2022,13947.0
Total,Nurses-Total,2021,13473.0
Total,Nurses-Total,2020,13112.0
Total,Nurses-Total,2019,12773.0
Total,Nurses-Total,2018,12344.0
Total,Nurses-Total,2017,11939.0
Total,Nurses-Total,2016,11486.0
Total,Nurses-Total,2015,11357.0
Total, General practitioners,2025,5423.0
Total, General practitioners,2024,5477.0
Total, General practitioners,2023,5406.0
Total, General practitioners,2022,5277.0
Total, General practitioners,2021,5069.0
Total, General practitioners,2020,4995.0
Total, General practitioners,2019,4975.0
Total, General practitioners,2018,4865.0
Total, General practitioners,2017,4753.0
Total, General practitioners,2016,4762.0
Total, General practitioners,2015,4619.0
Total, Basic and specialized,2025,8922.0
Total, Basic and specialized,2024,8836.0
Total, Basic and specialized,2023,8215.0
Total, Basic and specialized,2022,7841.0
Total, Basic and specialized,2021,7576.0
Total, Basic and specialized,2020,7272.0
Total, Basic and specialized,2019,6833.0
Total, Basic and specialized,2018,6630.0
Total, Basic and specialized,2017,6181.0
Total, Basic and specialized,2016,5824.0
Total, Basic and specialized,2015,5837.0
Total, Internists,2025,430.0
Total, Internists,2024,470.0
Total, Internists,2023,465.0
Total, Internists,2022,484.0
Total, Internists,2021,561.0
Total, Internists,2020,741.0
Total, Internists,2019,684.0
Total, Internists,2018,1062.0
Total, Internists,2017,839.0
Total, Internists,2016,753.0
Total, Internists,2015,829.0
Total, Pediatrics,2025,1036.0
Total, Pediatrics,2024,1029.0
Total, Pediatrics,2023,981.0
Total, Pediatrics,2022,930.0
Total, Pediatrics,2021,960.0
Total, Pediatrics,2020,945.0
Total, Pediatrics,2019,964.0
Total, Pediatrics,2018,1004.0
Total, Pediatrics,2017,966.0
Total, Pediatrics,2016,938.0
Total, Pediatrics,2015,920.0
Total, Surgical,2025,990.0
Total, Surgical,2024,1052.0
Total, Surgical,2023,1065.0
Total, Surgical,2022,939.0
Total, Surgical,2021,973.0
Total, Surgical,2020,974.0
Total, Surgical,2019,922.0
Total, Surgical,2018,814.0
Total, Surgical,2017,730.0
Total, Surgical,2016,681.0
Total, Surgical,2015,688.0
Total, Traumotologists,2025,162.0
Total, Traumotologists,2024,144.0
Total, Traumotologists,2023,132.0
Total, Traumotologists,2022,136.0
Total, Traumotologists,2021,132.0
Total, Traumotologists,2020,117.0
Total, Traumotologists,2019,295.0
Total, Traumotologists,2018,117.0
Total, Traumotologists,2017,111.0
Total, Traumotologists,2016,109.0
Total, Traumotologists,2015,113.0
Total, Сэхээн амьдруулахын,2025,
Total, Сэхээн амьдруулахын,2024,0.0
Total, Сэхээн амьдруулахын,2023,0.0
Total, Сэхээн амьдруулахын,2022,0.0
Total, Сэхээн амьдруулахын,2021,0.0
Total, Сэхээн амьдруулахын,2020,0.0
Total, Сэхээн амьдруулахын,2019,0.0
Total, Сэхээн амьдруулахын,2018,300.0
Total, Сэхээн амьдруулахын,2017,310.0
Total, Сэхээн амьдруулахын,2016,351.0
Total, Сэхээн амьдруулахын,2015,336.0
Total, Anaesthesiologists,2025,1073.0
Total, Anaesthesiologists,2024,1089.0
Total, Anaesthesiologists,2023,980.0
Total, Anaesthesiologists,2022,983.0
Total, Anaesthesiologists,2021,901.0
Total, Anaesthesiologists,2020,876.0
Total, Anaesthesiologists,2019,818.0
Total, Anaesthesiologists,2018,580.0
Total, Anaesthesiologists,2017,531.0
Total, Anaesthesiologists,2016,438.0
Total, Anaesthesiologists,2015,464.0
Total, Neurologists,2025,184.0
Total, Neurologists,2024,189.0
Total, Neurologists,2023,169.0
Total, Neurologists,2022,193.0
Total, Neurologists,2021,211.0
Total, Neurologists,2020,194.0
Total, Neurologists,2019,194.0
Total, Neurologists,2018,195.0
Total, Neurologists,2017,229.0
Total, Neurologists,2016,190.0
Total, Neurologists,2015,188.0
Total, Obstetrics & gynecologists,2025,105.0
Total, Obstetrics & gynecologists,2024,107.0
Total, Obstetrics & gynecologists,2023,100.0
Total, Obstetrics & gynecologists,2022,114.0
Total, Obstetrics & gynecologists,2021,142.0
