Гол нэр төрлийн бүтээгдэхүүн,Он,value
Цахилгаан эрчим хүч /сая кВт.цаг/,2025,9576.9
Цахилгаан эрчим хүч /сая кВт.цаг/,2024,8692.8
Цахилгаан эрчим хүч /сая кВт.цаг/,2023,8487.4
Цахилгаан эрчим хүч /сая кВт.цаг/,2022,8035.0
Цахилгаан эрчим хүч /сая кВт.цаг/,2021,7825.3
Цахилгаан эрчим хүч /сая кВт.цаг/,2020,7069.7
Цахилгаан эрчим хүч /сая кВт.цаг/,2019,6900.4
Цахилгаан эрчим хүч /сая кВт.цаг/,2018,6535.3
Цахилгаан эрчим хүч /сая кВт.цаг/,2017,6027.3
Цахилгаан эрчим хүч /сая кВт.цаг/,2016,5667.1
Цахилгаан эрчим хүч /сая кВт.цаг/,2015,5513.2
Цахилгаан эрчим хүч /сая кВт.цаг/,2014,5375.8
Цахилгаан эрчим хүч /сая кВт.цаг/,2013,5019.5
Цахилгаан эрчим хүч /сая кВт.цаг/,2012,4815.6
Цахилгаан эрчим хүч /сая кВт.цаг/,2011,4536.4
Цахилгаан эрчим хүч /сая кВт.цаг/,2010,4312.8
Цахилгаан эрчим хүч /сая кВт.цаг/,2009,4038.8
Цахилгаан эрчим хүч /сая кВт.цаг/,2008,4000.6
Цахилгаан эрчим хүч /сая кВт.цаг/,2007,3700.7
Цахилгаан эрчим хүч /сая кВт.цаг/,2006,3544.2
Цахилгаан эрчим хүч /сая кВт.цаг/,2005,3418.9
Цахилгаан эрчим хүч /сая кВт.цаг/,2004,3303.4
Цахилгаан эрчим хүч /сая кВт.цаг/,2003,3137.7
Цахилгаан эрчим хүч /сая кВт.цаг/,2002,3111.7
Цахилгаан эрчим хүч /сая кВт.цаг/,2001,3017.0
Цахилгаан эрчим хүч /сая кВт.цаг/,2000,2946.0
Цахилгаан эрчим хүч /сая кВт.цаг/,1999,2842.0
Цахилгаан эрчим хүч /сая кВт.цаг/,1998,2675.0
Цахилгаан эрчим хүч /сая кВт.цаг/,1997,2662.0
Цахилгаан эрчим хүч /сая кВт.цаг/,1996,2614.0
Цахилгаан эрчим хүч /сая кВт.цаг/,1995,2628.0
Цахилгаан эрчим хүч /сая кВт.цаг/,1994,2122.7
Цахилгаан эрчим хүч /сая кВт.цаг/,1993,2131.7
Цахилгаан эрчим хүч /сая кВт.цаг/,1992,2928.6
Цахилгаан эрчим хүч /сая кВт.цаг/,1991,3228.6
Цахилгаан эрчим хүч /сая кВт.цаг/,1990,3347.9
Цахилгаан эрчим хүч /сая кВт.цаг/,1989,3568.3
Дулааны эрчим хүч /мян.Гкал/,2025,18631.9
Дулааны эрчим хүч /мян.Гкал/,2024,17382.7
Дулааны эрчим хүч /мян.Гкал/,2023,16393.6
Дулааны эрчим хүч /мян.Гкал/,2022,15643.0
Дулааны эрчим хүч /мян.Гкал/,2021,14972.9
Дулааны эрчим хүч /мян.Гкал/,2020,14121.5
Дулааны эрчим хүч /мян.Гкал/,2019,13277.3
Дулааны эрчим хүч /мян.Гкал/,2018,12504.8
Дулааны эрчим хүч /мян.Гкал/,2017,11296.4
Дулааны эрчим хүч /мян.Гкал/,2016,10798.8
Дулааны эрчим хүч /мян.Гкал/,2015,10679.5
Дулааны эрчим хүч /мян.Гкал/,2014,10032.3
Дулааны эрчим хүч /мян.Гкал/,2013,9511.7
Дулааны эрчим хүч /мян.Гкал/,2012,9321.8
Дулааны эрчим хүч /мян.Гкал/,2011,8682.9
Дулааны эрчим хүч /мян.Гкал/,2010,8362.5
Дулааны эрчим хүч /мян.Гкал/,2009,8320.5
Дулааны эрчим хүч /мян.Гкал/,2008,7759.6
Дулааны эрчим хүч /мян.Гкал/,2007,7723.5
Дулааны эрчим хүч /мян.Гкал/,2006,7850.4
Дулааны эрчим хүч /мян.Гкал/,2005,7805.6
Дулааны эрчим хүч /мян.Гкал/,2004,7746.6
Дулааны эрчим хүч /мян.Гкал/,2003,7133.3
