салбар,он,утга
Барилга,1990,735.57
Барилга,1991,1072.22
Барилга,1992,1285.15
Барилга,1993,3821.77
Барилга,1994,8386.69
Барилга,1995,13088.55
Барилга,1996,24992.57
Барилга,1997,25687.1
Барилга,1998,28095.75
Барилга,1999,32159.55
Барилга,2000,27254.93
Барилга,2001,30738.57
Барилга,2002,42858.82
Барилга,2003,69683.82
Барилга,2004,69429.03
Барилга,2005,81408.37
Барилга,2006,86792.3
Барилга,2007,106421.12
Барилга,2008,122051.03
Барилга,2009,86238.66
Барилга,2010,250230.7
Барилга,2011,402828.29
Барилга,2012,837487.47
Барилга,2013,979689.0
Барилга,2014,988960.7
Барилга,2015,918316.62
Барилга,2016,902883.62
Барилга,2017,905587.14
Барилга,2018,985716.25
Барилга,2019,1328925.99
Барилга,2020,1367522.8
Барилга,2021,1368827.87
Барилга,2022,1783826.56
Барилга,2023,2269770.11
Барилга,2024,2696383.17
Барилга,2025,3450418.23
Боловсруулах үйлдвэрлэл,1990,2607.99
Боловсруулах үйлдвэрлэл,1991,3834.58
Боловсруулах үйлдвэрлэл,1992,10435.55
Боловсруулах үйлдвэрлэл,1993,37075.42
Боловсруулах үйлдвэрлэл,1994,64103.81
Боловсруулах үйлдвэрлэл,1995,112581.03
Боловсруулах үйлдвэрлэл,1996,56653.92
Боловсруулах үйлдвэрлэл,1997,78899.85
Боловсруулах үйлдвэрлэл,1998,66929.98
Боловсруулах үйлдвэрлэл,1999,75925.8
Боловсруулах үйлдвэрлэл,2000,82040.78
Боловсруулах үйлдвэрлэл,2001,114828.11
Боловсруулах үйлдвэрлэл,2002,99138.59
Боловсруулах үйлдвэрлэл,2003,121551.45
Боловсруулах үйлдвэрлэл,2004,130576.26
Боловсруулах үйлдвэрлэл,2005,175155.91
Боловсруулах үйлдвэрлэл,2006,218885.57
Боловсруулах үйлдвэрлэл,2007,309500.42
Боловсруулах үйлдвэрлэл,2008,430179.37
Боловсруулах үйлдвэрлэл,2009,425000.65
Боловсруулах үйлдвэрлэл,2010,664815.26
Боловсруулах үйлдвэрлэл,2011,931377.51
Боловсруулах үйлдвэрлэл,2012,1248666.3
Боловсруулах үйлдвэрлэл,2013,1672313.0
Боловсруулах үйлдвэрлэл,2014,1950933.7
Боловсруулах үйлдвэрлэл,2015,1606184.69
Боловсруулах үйлдвэрлэл,2016,1595623.61
Боловсруулах үйлдвэрлэл,2017,1932245.54
Боловсруулах үйлдвэрлэл,2018,2298123.56
Боловсруулах үйлдвэрлэл,2019,2675065.06
Боловсруулах үйлдвэрлэл,2020,2904937.7
Боловсруулах үйлдвэрлэл,2021,3096438.7
Боловсруулах үйлдвэрлэл,2022,3832703.06
Боловсруулах үйлдвэрлэл,2023,4436468.27
Боловсруулах үйлдвэрлэл,2024,4495483.47
Боловсруулах үйлдвэрлэл,2025,5284027.69
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1990,2090.51
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1991,3774.92
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1992,5819.3
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1993,36320.69
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1994,43338.84
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1995,59632.69
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1996,69525.26
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1997,96650.65
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1998,110681.25
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1999,112438.52
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2000,115903.09
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2001,129544.67
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2002,162803.42
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2003,185210.82
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2004,202639.88
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2005,227478.16
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2006,271511.62
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2007,313204.36
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2008,472226.49
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2009,432646.15
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2010,1199007.2
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2011,1973260.4
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2012,2231148.45
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2013,2267231.1
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2014,2544761.3
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2015,2664772.42
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2016,2621290.71
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2017,2867791.27
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2018,3090221.77
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2019,3644111.22
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2020,3436809.1
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2021,4069619.4
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2022,5677897.87
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2023,7316253.17
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2024,8793230.75
"Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2025,8969213.13
Тээвэр ба агуулахын үйл ажиллагаа,1990,1044.8
Тээвэр ба агуулахын үйл ажиллагаа,1991,1057.85
Тээвэр ба агуулахын үйл ажиллагаа,1992,2139.98
Тээвэр ба агуулахын үйл ажиллагаа,1993,11467.04
Тээвэр ба агуулахын үйл ажиллагаа,1994,24327.46
Тээвэр ба агуулахын үйл ажиллагаа,1995,29924.29
Тээвэр ба агуулахын үйл ажиллагаа,1996,40001.14
Тээвэр ба агуулахын үйл ажиллагаа,1997,53652.08
Тээвэр ба агуулахын үйл ажиллагаа,1998,64110.6
Тээвэр ба агуулахын үйл ажиллагаа,1999,70804.25
Тээвэр ба агуулахын үйл ажиллагаа,2000,92556.51
Тээвэр ба агуулахын үйл ажиллагаа,2001,118884.88
Тээвэр ба агуулахын үйл ажиллагаа,2002,149765.41
Тээвэр ба агуулахын үйл ажиллагаа,2003,166101.25
Тээвэр ба агуулахын үйл ажиллагаа,2004,198897.01
Тээвэр ба агуулахын үйл ажиллагаа,2005,256726.38
Тээвэр ба агуулахын үйл ажиллагаа,2006,287501.52
Тээвэр ба агуулахын үйл ажиллагаа,2007,322307.02
Тээвэр ба агуулахын үйл ажиллагаа,2008,419323.18
Тээвэр ба агуулахын үйл ажиллагаа,2009,546745.46
Тээвэр ба агуулахын үйл ажиллагаа,2010,677906.16
Тээвэр ба агуулахын үйл ажиллагаа,2011,802897.08
Тээвэр ба агуулахын үйл ажиллагаа,2012,894427.58
Тээвэр ба агуулахын үйл ажиллагаа,2013,843617.4
Тээвэр ба агуулахын үйл ажиллагаа,2014,1109154.6
Тээвэр ба агуулахын үйл ажиллагаа,2015,1202359.1
Тээвэр ба агуулахын үйл ажиллагаа,2016,1274385.28
Тээвэр ба агуулахын үйл ажиллагаа,2017,1318695.48
Тээвэр ба агуулахын үйл ажиллагаа,2018,1538733.26
Тээвэр ба агуулахын үйл ажиллагаа,2019,1686897.28
Тээвэр ба агуулахын үйл ажиллагаа,2020,1411794.3
Тээвэр ба агуулахын үйл ажиллагаа,2021,1597051.18
Тээвэр ба агуулахын үйл ажиллагаа,2022,2510913.1
Тээвэр ба агуулахын үйл ажиллагаа,2023,3919987.64
Тээвэр ба агуулахын үйл ажиллагаа,2024,4439528.88
Тээвэр ба агуулахын үйл ажиллагаа,2025,4276301.79
"Уул уурхай, олборлолт",1990,1599.3
"Уул уурхай, олборлолт",1991,2359.83
"Уул уурхай, олборлолт",1992,6411.22
"Уул уурхай, олборлолт",1993,22747.86
"Уул уурхай, олборлолт",1994,39348.39
"Уул уурхай, олборлолт",1995,73841.54
"Уул уурхай, олборлолт",1996,76197.77
"Уул уурхай, олборлолт",1997,132390.3
"Уул уурхай, олборлолт",1998,81274.07
"Уул уурхай, олборлолт",1999,94909.29
"Уул уурхай, олборлолт",2000,132400.1
"Уул уурхай, олборлолт",2001,117076.12
"Уул уурхай, олборлолт",2002,144753.7
"Уул уурхай, олборлолт",2003,206557.84
"Уул уурхай, олборлолт",2004,391597.57
"Уул уурхай, олборлолт",2005,642089.04
"Уул уурхай, олборлолт",2006,1145733.91
"Уул уурхай, олборлолт",2007,1340854.37
"Уул уурхай, олборлолт",2008,1324247.71
"Уул уурхай, олборлолт",2009,1285899.7
"Уул уурхай, олборлолт",2010,2102157.94
"Уул уурхай, олборлолт",2011,2536239.6
"Уул уурхай, олборлолт",2012,2742750.5
"Уул уурхай, олборлолт",2013,2849415.3
"Уул уурхай, олборлолт",2014,3661031.2
"Уул уурхай, олборлолт",2015,4150464.29
"Уул уурхай, олборлолт",2016,4822677.54
"Уул уурхай, олборлолт",2017,7007876.15
"Уул уурхай, олборлолт",2018,8370789.17
"Уул уурхай, олборлолт",2019,9590129.54
"Уул уурхай, олборлолт",2020,8722066.6
"Уул уурхай, олборлолт",2021,10753722.63
"Уул уурхай, олборлолт",2022,12402469.0
"Уул уурхай, олборлолт",2023,19814080.28
"Уул уурхай, олборлолт",2024,21980612.94
"Уул уурхай, олборлолт",2025,22747077.61
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1990,1597.14
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1991,2669.49
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1992,14345.27
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1993,58534.42
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1994,105011.96
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1995,212002.1
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1996,283958.98
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1997,300746.34
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1998,306644.91
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1999,342505.23
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2000,335668.79
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2001,319698.93
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2002,293361.83
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2003,337272.09
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2004,472934.46
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2005,602136.31
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2006,710609.19
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2007,913409.23
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2008,1259660.83
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2009,1177380.29
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2010,1144697.86
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2011,1357866.8
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2012,1878786.37
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2013,2572044.9
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2014,2965360.5
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2015,3223402.72
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2016,3022012.54
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2017,3119618.18
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2018,3723544.32
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2019,4373602.54
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2020,4856063.0
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2021,5733284.28
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2022,7015700.27
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2023,6988223.0
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2024,5881104.41
"Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2025,8039329.45
