Бүс,Сар,value
Архангай,2016-01,35
Архангай,2016-02,39
Архангай,2016-03,48
Архангай,2016-04,46
Архангай,2016-05,42
Архангай,2016-06,33
Архангай,2016-07,40
Архангай,2016-08,44
Архангай,2016-09,39
Архангай,2016-10,49
Архангай,2016-11,33
Архангай,2016-12,40
Архангай,2017-01,33
Архангай,2017-02,21
Архангай,2017-03,43
Архангай,2017-04,32
Архангай,2017-05,35
Архангай,2017-06,44
Архангай,2017-07,41
Архангай,2017-08,40
Архангай,2017-09,51
Архангай,2017-10,43
Архангай,2017-11,30
Архангай,2017-12,36
Архангай,2018-01,41
Архангай,2018-02,46
Архангай,2018-03,50
Архангай,2018-04,43
Архангай,2018-05,43
Архангай,2018-06,44
Архангай,2018-07,45
Архангай,2018-08,50
Архангай,2018-09,35
Архангай,2018-10,43
Архангай,2018-11,40
Архангай,2018-12,36
Архангай,2019-01,42
Архангай,2019-02,52
Архангай,2019-03,44
Архангай,2019-04,43
Архангай,2019-05,40
Архангай,2019-06,47
Архангай,2019-07,59
Архангай,2019-08,48
Архангай,2019-09,39
Архангай,2019-10,48
Архангай,2019-11,43
Архангай,2019-12,37
Архангай,2020-01,47
Архангай,2020-02,35
Архангай,2020-03,34
Архангай,2020-04,35
Архангай,2020-05,42
Архангай,2020-06,38
Архангай,2020-07,48
Архангай,2020-08,32
Архангай,2020-09,48
Архангай,2020-10,48
Архангай,2020-11,39
Архангай,2020-12,34
Архангай,2021-01,30
Архангай,2021-02,31
Архангай,2021-03,45
Архангай,2021-04,30
Архангай,2021-05,25
Архангай,2021-06,38
Архангай,2021-07,37
Архангай,2021-08,72
Архангай,2021-09,70
Архангай,2021-10,52
Архангай,2021-11,43
Архангай,2021-12,40
Архангай,2022-01,38
Архангай,2022-02,47
Архангай,2022-03,42
Архангай,2022-04,36
Архангай,2022-05,49
Архангай,2022-06,28
Архангай,2022-07,50
Архангай,2022-08,47
Архангай,2022-09,34
Архангай,2022-10,28
Архангай,2022-11,48
Архангай,2022-12,41
Архангай,2023-01,41
Архангай,2023-02,53
Архангай,2023-03,49
Архангай,2023-04,31
Архангай,2023-05,46
Архангай,2023-06,38
Архангай,2023-07,49
Архангай,2023-08,51
Архангай,2023-09,51
Архангай,2023-10,33
Архангай,2023-11,37
Архангай,2023-12,42
Архангай,2024-01,44
Архангай,2024-02,42
Архангай,2024-03,36
Архангай,2024-04,37
Архангай,2024-05,42
Архангай,2024-06,28
Архангай,2024-07,47
Архангай,2024-08,44
Архангай,2024-09,45
Архангай,2024-10,53
Архангай,2024-11,43
Архангай,2024-12,37
Архангай,2025-01,39
Архангай,2025-02,42
Архангай,2025-03,41
Архангай,2025-04,46
Архангай,2025-05,48
Архангай,2025-06,47
Архангай,2025-07,38
Архангай,2025-08,43
Архангай,2025-09,50
Архангай,2025-10,38
Архангай,2025-11,47
Архангай,2025-12,42
Архангай,2026-01,46
Архангай,2026-02,45
Архангай,2026-03,64
Архангай,2026-04,36
Архангай,2026-05,36
Архангай,2026-06,40
Архангай,2026-07,48
Баруун бүс,2016-01,167
Баруун бүс,2016-02,159
Баруун бүс,2016-03,197
Баруун бүс,2016-04,183
Баруун бүс,2016-05,200
Баруун бүс,2016-06,184
Баруун бүс,2016-07,173
Баруун бүс,2016-08,164
Баруун бүс,2016-09,144
Баруун бүс,2016-10,142
Баруун бүс,2016-11,169
Баруун бүс,2016-12,168
Баруун бүс,2017-01,148
Баруун бүс,2017-02,169
Баруун бүс,2017-03,183
Баруун бүс,2017-04,144
Баруун бүс,2017-05,176
Баруун бүс,2017-06,155
Баруун бүс,2017-07,158
