Indicator,District,Month,value
Average price of new apartment,Khan-Uul,2026-01,5.01
Average price of new apartment,Khan-Uul,2025-12,5.02
Average price of new apartment,Khan-Uul,2025-11,4.96
Average price of new apartment,Khan-Uul,2025-10,4.82
Average price of new apartment,Khan-Uul,2025-09,4.8
Average price of new apartment,Khan-Uul,2025-08,4.73
Average price of new apartment,Khan-Uul,2025-07,4.66
Average price of new apartment,Khan-Uul,2025-06,4.56
Average price of new apartment,Khan-Uul,2025-05,4.62
Average price of new apartment,Khan-Uul,2025-04,4.54
Average price of new apartment,Khan-Uul,2025-03,4.5
Average price of new apartment,Khan-Uul,2025-02,4.41
Average price of new apartment,Khan-Uul,2025-01,4.56
Average price of new apartment,Khan-Uul,2024-12,4.68
Average price of new apartment,Khan-Uul,2024-11,4.72
Average price of new apartment,Khan-Uul,2024-10,4.64
Average price of new apartment,Khan-Uul,2024-09,4.6
Average price of new apartment,Khan-Uul,2024-08,4.12
Average price of new apartment,Khan-Uul,2024-07,4.19
Average price of new apartment,Khan-Uul,2024-06,4.12
Average price of new apartment,Khan-Uul,2024-05,4.17
Average price of new apartment,Khan-Uul,2024-04,4.3
Average price of new apartment,Khan-Uul,2024-03,4.22
Average price of new apartment,Khan-Uul,2024-02,4.25
Average price of new apartment,Khan-Uul,2024-01,4.2
Average price of new apartment,Khan-Uul,2023-12,4.24
Average price of new apartment,Khan-Uul,2023-11,4.31
Average price of new apartment,Khan-Uul,2023-10,4.26
Average price of new apartment,Khan-Uul,2023-09,4.12
Average price of new apartment,Khan-Uul,2023-08,4.01
Average price of new apartment,Khan-Uul,2023-07,3.91
Average price of new apartment,Khan-Uul,2023-06,3.96
Average price of new apartment,Khan-Uul,2023-05,3.92
Average price of new apartment,Khan-Uul,2023-04,3.84
Average price of new apartment,Khan-Uul,2023-03,3.8
Average price of new apartment,Khan-Uul,2023-02,3.77
Average price of new apartment,Khan-Uul,2023-01,3.8
Average price of new apartment,Khan-Uul,2022-12,3.67
Average price of new apartment,Khan-Uul,2022-11,3.67
Average price of new apartment,Khan-Uul,2022-10,3.55
Average price of new apartment,Khan-Uul,2022-09,3.6
Average price of new apartment,Khan-Uul,2022-08,3.59
Average price of new apartment,Khan-Uul,2022-07,3.52
Average price of new apartment,Khan-Uul,2022-06,3.53
Average price of new apartment,Khan-Uul,2022-05,3.48
Average price of new apartment,Khan-Uul,2022-04,3.48
Average price of new apartment,Khan-Uul,2022-03,3.39
Average price of new apartment,Khan-Uul,2022-02,3.33
Average price of new apartment,Chingeltei,2026-07,4.13
Average price of new apartment,Chingeltei,2026-06,4.08
Average price of new apartment,Chingeltei,2026-05,4.0
Average price of new apartment,Chingeltei,2026-04,4.15
Average price of new apartment,Chingeltei,2026-03,4.28
Average price of new apartment,Chingeltei,2026-02,4.33
Average price of new apartment,Chingeltei,2026-01,4.8
Average price of new apartment,Chingeltei,2025-12,4.83
Average price of new apartment,Chingeltei,2025-11,4.93
Average price of new apartment,Chingeltei,2025-10,4.8
Average price of new apartment,Chingeltei,2025-09,4.65
Average price of new apartment,Chingeltei,2025-08,4.57
Average price of new apartment,Chingeltei,2025-07,4.64
Average price of new apartment,Chingeltei,2025-06,4.18
Average price of new apartment,Chingeltei,2025-05,4.37
Average price of new apartment,Chingeltei,2025-04,4.73
Average price of new apartment,Chingeltei,2025-03,4.3
Average price of new apartment,Chingeltei,2025-02,4.39
Average price of new apartment,Chingeltei,2025-01,4.77
Average price of new apartment,Chingeltei,2024-12,4.62
Average price of new apartment,Chingeltei,2024-11,4.92
Average price of new apartment,Chingeltei,2024-10,4.81
Average price of new apartment,Chingeltei,2024-09,4.11
Average price of new apartment,Chingeltei,2024-08,3.91
Average price of new apartment,Chingeltei,2024-07,3.97
Average price of new apartment,Chingeltei,2024-06,3.82
Average price of new apartment,Chingeltei,2024-05,3.65
Average price of new apartment,Chingeltei,2024-04,3.43
Average price of new apartment,Chingeltei,2024-03,3.53
Average price of new apartment,Chingeltei,2024-02,3.84
Average price of new apartment,Chingeltei,2024-01,3.67
Average price of new apartment,Chingeltei,2023-12,3.47
Average price of new apartment,Chingeltei,2023-11,4.07
Average price of new apartment,Chingeltei,2023-10,3.73
Average price of new apartment,Chingeltei,2023-09,3.77
Average price of new apartment,Chingeltei,2023-08,3.86
Average price of new apartment,Chingeltei,2023-07,3.43
Average price of new apartment,Chingeltei,2023-06,3.93
Average price of new apartment,Chingeltei,2023-05,3.58
Average price of new apartment,Chingeltei,2023-04,3.47
Average price of new apartment,Chingeltei,2023-03,3.52
Average price of new apartment,Chingeltei,2023-02,3.7
Average price of new apartment,Chingeltei,2023-01,3.35
Average price of new apartment,Chingeltei,2022-12,3.19
Average price of new apartment,Chingeltei,2022-11,3.26
Average price of new apartment,Chingeltei,2022-10,3.0
Average price of new apartment,Chingeltei,2022-09,2.85
Average price of new apartment,Chingeltei,2022-08,3.29
Average price of new apartment,Chingeltei,2022-07,3.06
Average price of new apartment,Chingeltei,2022-06,2.92
Average price of new apartment,Chingeltei,2022-05,2.71
Average price of new apartment,Chingeltei,2022-04,2.69
Average price of new apartment,Chingeltei,2022-03,2.98
Average price of new apartment,Chingeltei,2022-02,2.28
Average price of new apartment,Average,2026-07,4.73
Average price of new apartment,Average,2026-06,4.74
Average price of new apartment,Average,2026-05,4.71
Average price of new apartment,Average,2026-04,4.79
Average price of new apartment,Average,2026-03,4.71
Average price of new apartment,Average,2026-02,4.76
Average price of new apartment,Average,2026-01,5.05
Average price of new apartment,Average,2025-12,5.03
Average price of new apartment,Average,2025-11,4.97
Average price of new apartment,Average,2025-10,4.87
Average price of new apartment,Average,2025-09,4.79
Average price of new apartment,Average,2025-08,4.75
Average price of new apartment,Average,2025-07,4.66
Average price of new apartment,Average,2025-06,4.56
Average price of new apartment,Average,2025-05,4.55
Average price of new apartment,Average,2025-04,4.52
Average price of new apartment,Average,2025-03,4.48
Average price of new apartment,Average,2025-02,4.4
Average price of new apartment,Average,2025-01,4.53
Average price of new apartment,Average,2024-12,4.65
Average price of new apartment,Average,2024-11,4.68
Average price of new apartment,Average,2024-10,4.57
Average price of new apartment,Average,2024-09,4.39
Average price of new apartment,Average,2024-08,4.06
Average price of new apartment,Average,2024-07,4.11
Average price of new apartment,Average,2024-06,4.01
Average price of new apartment,Average,2024-05,4.02
Average price of new apartment,Average,2024-04,4.03
Average price of new apartment,Average,2024-03,3.98
Average price of new apartment,Average,2024-02,3.99
Average price of new apartment,Average,2024-01,3.91
Average price of new apartment,Average,2023-12,4.02
Average price of new apartment,Average,2023-11,4.04
Average price of new apartment,Average,2023-10,3.95
Average price of new apartment,Average,2023-09,3.85
Average price of new apartment,Average,2023-08,3.72
Average price of new apartment,Average,2023-07,3.69
Average price of new apartment,Average,2023-06,3.79
Average price of new apartment,Average,2023-05,3.71
Average price of new apartment,Average,2023-04,3.53
Average price of new apartment,Average,2023-03,3.51
Average price of new apartment,Average,2023-02,3.46
Average price of new apartment,Average,2023-01,3.5
Average price of new apartment,Average,2022-12,3.49
Average price of new apartment,Average,2022-11,3.44
Average price of new apartment,Average,2022-10,3.3
Average price of new apartment,Average,2022-09,3.32
Average price of new apartment,Average,2022-08,3.32
Average price of new apartment,Average,2022-07,3.22
Average price of new apartment,Average,2022-06,3.2
Average price of new apartment,Average,2022-05,3.14
Average price of new apartment,Average,2022-04,3.2
Average price of new apartment,Average,2022-03,3.12
Average price of new apartment,Average,2022-02,3.08
Average price of old apartment,Bayangol,2026-07,4.26
Average price of old apartment,Bayangol,2026-06,4.39
Average price of old apartment,Bayangol,2026-05,4.29
Average price of old apartment,Bayangol,2026-04,4.31
Average price of old apartment,Bayangol,2026-03,4.32
Average price of old apartment,Bayangol,2026-02,4.26
Average price of old apartment,Bayangol,2026-01,4.2
Average price of old apartment,Bayangol,2025-12,4.1
Average price of old apartment,Bayangol,2025-11,4.08
Average price of old apartment,Bayangol,2025-10,4.1
Average price of old apartment,Bayangol,2025-09,4.16
Average price of old apartment,Bayangol,2025-08,4.03
Average price of old apartment,Bayangol,2025-07,4.08
Average price of old apartment,Bayangol,2025-06,3.98
Average price of old apartment,Bayangol,2025-05,4.1
Average price of old apartment,Bayangol,2025-04,4.08
Average price of old apartment,Bayangol,2025-03,4.09
Average price of old apartment,Bayangol,2025-02,3.89
Average price of old apartment,Bayangol,2025-01,3.84
Average price of old apartment,Bayangol,2024-12,3.76
Average price of old apartment,Bayangol,2024-11,3.7
Average price of old apartment,Bayangol,2024-10,3.58
Average price of old apartment,Bayangol,2024-09,3.5
Average price of old apartment,Bayangol,2024-08,3.48
Average price of old apartment,Bayangol,2024-07,3.43
Average price of old apartment,Bayangol,2024-06,3.39
Average price of old apartment,Bayangol,2024-05,3.36
Average price of old apartment,Bayangol,2024-04,3.28
Average price of old apartment,Bayangol,2024-03,3.25
Average price of old apartment,Bayangol,2024-02,3.19
Average price of old apartment,Bayangol,2024-01,3.2
Average price of old apartment,Bayangol,2023-12,3.09
Average price of old apartment,Bayangol,2023-11,3.0
Average price of old apartment,Bayangol,2023-10,2.98
Average price of old apartment,Bayangol,2023-09,3.01
Average price of old apartment,Bayangol,2023-08,3.1
Average price of old apartment,Bayangol,2023-07,2.98
Average price of old apartment,Bayangol,2023-06,2.95
Average price of old apartment,Bayangol,2023-05,2.94
Average price of old apartment,Bayangol,2023-04,2.98
Average price of old apartment,Bayangol,2023-03,2.96
Average price of old apartment,Bayangol,2023-02,2.93
Average price of old apartment,Bayangol,2023-01,2.93
Average price of old apartment,Bayangol,2022-12,2.97
Average price of old apartment,Bayangol,2022-11,2.95
Average price of old apartment,Bayangol,2022-10,2.9
Average price of old apartment,Bayangol,2022-09,2.95
Average price of old apartment,Bayangol,2022-08,2.87
Average price of old apartment,Bayangol,2022-07,2.82
Average price of old apartment,Bayangol,2022-06,2.84
Average price of old apartment,Bayangol,2022-05,2.73
Average price of old apartment,Bayangol,2022-04,2.73
Average price of old apartment,Bayangol,2022-03,2.74
Average price of old apartment,Bayangol,2022-02,2.72
Average price of old apartment,Bayanzurkh,2026-07,4.32
Average price of old apartment,Bayanzurkh,2026-06,4.44
Average price of old apartment,Bayanzurkh,2026-05,4.49
Average price of old apartment,Bayanzurkh,2026-04,4.64
Average price of old apartment,Bayanzurkh,2026-03,4.5
Average price of old apartment,Bayanzurkh,2026-02,4.55
Average price of old apartment,Bayanzurkh,2026-01,4.51
Average price of old apartment,Bayanzurkh,2025-12,4.47
Average price of old apartment,Bayanzurkh,2025-11,4.46
Average price of old apartment,Bayanzurkh,2025-10,4.32
Average price of old apartment,Bayanzurkh,2025-09,4.21
Average price of old apartment,Bayanzurkh,2025-08,4.09
Average price of old apartment,Bayanzurkh,2025-07,4.16
Average price of old apartment,Bayanzurkh,2025-06,4.13
Average price of old apartment,Bayanzurkh,2025-05,4.1
Average price of old apartment,Bayanzurkh,2025-04,4.1
Average price of old apartment,Bayanzurkh,2025-03,4.1
Average price of old apartment,Bayanzurkh,2025-02,4.13
Average price of old apartment,Bayanzurkh,2025-01,4.03
Average price of old apartment,Bayanzurkh,2024-12,3.81
Average price of old apartment,Bayanzurkh,2024-11,3.81
Average price of old apartment,Bayanzurkh,2024-10,3.72
Average price of old apartment,Bayanzurkh,2024-09,3.68
Average price of old apartment,Bayanzurkh,2024-08,3.58
Average price of old apartment,Bayanzurkh,2024-07,3.68
Average price of old apartment,Bayanzurkh,2024-06,3.51
Average price of old apartment,Bayanzurkh,2024-05,3.57
Average price of old apartment,Bayanzurkh,2024-04,3.43
Average price of old apartment,Bayanzurkh,2024-03,3.41
Average price of old apartment,Bayanzurkh,2024-02,3.5
Average price of old apartment,Bayanzurkh,2024-01,3.52
Average price of old apartment,Bayanzurkh,2023-12,3.4
Average price of old apartment,Bayanzurkh,2023-11,3.36
Average price of old apartment,Bayanzurkh,2023-10,3.28
Average price of old apartment,Bayanzurkh,2023-09,3.2
Average price of old apartment,Bayanzurkh,2023-08,3.16
Average price of old apartment,Bayanzurkh,2023-07,3.15
Average price of old apartment,Bayanzurkh,2023-06,3.19
Average price of old apartment,Bayanzurkh,2023-05,3.09
Average price of old apartment,Bayanzurkh,2023-04,3.15
Average price of old apartment,Bayanzurkh,2023-03,3.13
Average price of old apartment,Bayanzurkh,2023-02,3.1
Average price of old apartment,Bayanzurkh,2023-01,3.05
Average price of old apartment,Bayanzurkh,2022-12,3.07
Average price of old apartment,Bayanzurkh,2022-11,3.09
Average price of old apartment,Bayanzurkh,2022-10,2.93
Average price of old apartment,Bayanzurkh,2022-09,2.94
Average price of old apartment,Bayanzurkh,2022-08,2.97
Average price of old apartment,Bayanzurkh,2022-07,2.91
Average price of old apartment,Bayanzurkh,2022-06,2.94
Average price of old apartment,Bayanzurkh,2022-05,2.82
Average price of old apartment,Bayanzurkh,2022-04,2.82
Average price of old apartment,Bayanzurkh,2022-03,2.83
Average price of old apartment,Bayanzurkh,2022-02,3.03
Average price of old apartment,Songinokhairkhan,2026-07,3.25
Average price of old apartment,Songinokhairkhan,2026-06,3.27
Average price of old apartment,Songinokhairkhan,2026-05,3.24
Average price of old apartment,Songinokhairkhan,2026-04,3.27
Average price of old apartment,Songinokhairkhan,2026-03,3.31
Average price of old apartment,Songinokhairkhan,2026-02,3.24
Average price of old apartment,Songinokhairkhan,2026-01,3.21
Average price of old apartment,Songinokhairkhan,2025-12,3.25
Average price of old apartment,Songinokhairkhan,2025-11,3.28
Average price of old apartment,Songinokhairkhan,2025-10,3.34
Average price of old apartment,Songinokhairkhan,2025-09,3.17
Average price of old apartment,Songinokhairkhan,2025-08,3.21
Average price of old apartment,Songinokhairkhan,2025-07,3.2
Average price of old apartment,Songinokhairkhan,2025-06,3.05
Average price of old apartment,Songinokhairkhan,2025-05,3.05
Average price of old apartment,Songinokhairkhan,2025-04,3.13
Average price of old apartment,Songinokhairkhan,2025-03,3.12
Average price of old apartment,Songinokhairkhan,2025-02,3.0
Average price of old apartment,Songinokhairkhan,2025-01,2.99
Average price of old apartment,Songinokhairkhan,2024-12,2.94
Average price of old apartment,Songinokhairkhan,2024-11,2.86
Average price of old apartment,Songinokhairkhan,2024-10,2.89
Average price of old apartment,Songinokhairkhan,2024-09,2.88
Average price of old apartment,Songinokhairkhan,2024-08,2.77
Average price of old apartment,Songinokhairkhan,2024-07,2.8
Average price of old apartment,Songinokhairkhan,2024-06,2.69
Average price of old apartment,Songinokhairkhan,2024-05,2.74
Average price of old apartment,Songinokhairkhan,2024-04,2.66
Average price of old apartment,Songinokhairkhan,2024-03,2.62
Average price of old apartment,Songinokhairkhan,2024-02,2.66
Average price of old apartment,Songinokhairkhan,2024-01,2.6
Average price of old apartment,Songinokhairkhan,2023-12,2.59
Average price of old apartment,Songinokhairkhan,2023-11,2.57
Average price of old apartment,Songinokhairkhan,2023-10,2.54
Average price of old apartment,Songinokhairkhan,2023-09,2.57
Average price of old apartment,Songinokhairkhan,2023-08,2.56
Average price of old apartment,Songinokhairkhan,2023-07,2.56
Average price of old apartment,Songinokhairkhan,2023-06,2.61
Average price of old apartment,Songinokhairkhan,2023-05,2.59
Average price of old apartment,Songinokhairkhan,2023-04,2.54
Average price of old apartment,Songinokhairkhan,2023-03,2.5
Average price of old apartment,Songinokhairkhan,2023-02,2.6
Average price of old apartment,Songinokhairkhan,2023-01,2.62
Average price of old apartment,Songinokhairkhan,2022-12,2.51
Average price of old apartment,Songinokhairkhan,2022-11,2.39
Average price of old apartment,Songinokhairkhan,2022-10,2.37
Average price of old apartment,Songinokhairkhan,2022-09,2.41
Average price of old apartment,Songinokhairkhan,2022-08,2.36
Average price of old apartment,Songinokhairkhan,2022-07,2.4
Average price of old apartment,Songinokhairkhan,2022-06,2.37
Average price of old apartment,Songinokhairkhan,2022-05,2.35
Average price of old apartment,Songinokhairkhan,2022-04,2.32
Average price of old apartment,Songinokhairkhan,2022-03,2.43
Average price of old apartment,Songinokhairkhan,2022-02,2.31
Average price of old apartment,Sukhbaatar,2026-07,5.88
Average price of old apartment,Sukhbaatar,2026-06,5.9
Average price of old apartment,Sukhbaatar,2026-05,5.95
