Indicator,District,Month,value
Average price of old apartment,Sukhbaatar,2026-04,5.89
Average price of old apartment,Sukhbaatar,2026-03,5.91
Average price of old apartment,Sukhbaatar,2026-02,6.22
Average price of old apartment,Sukhbaatar,2026-01,5.83
Average price of old apartment,Sukhbaatar,2025-12,5.95
Average price of old apartment,Sukhbaatar,2025-11,5.95
Average price of old apartment,Sukhbaatar,2025-10,5.68
Average price of old apartment,Sukhbaatar,2025-09,5.85
Average price of old apartment,Sukhbaatar,2025-08,5.66
Average price of old apartment,Sukhbaatar,2025-07,5.53
Average price of old apartment,Sukhbaatar,2025-06,5.43
Average price of old apartment,Sukhbaatar,2025-05,5.57
Average price of old apartment,Sukhbaatar,2025-04,5.52
Average price of old apartment,Sukhbaatar,2025-03,5.63
Average price of old apartment,Sukhbaatar,2025-02,5.67
Average price of old apartment,Sukhbaatar,2025-01,5.82
Average price of old apartment,Sukhbaatar,2024-12,5.9
Average price of old apartment,Sukhbaatar,2024-11,5.22
Average price of old apartment,Sukhbaatar,2024-10,5.14
Average price of old apartment,Sukhbaatar,2024-09,4.91
Average price of old apartment,Sukhbaatar,2024-08,4.57
Average price of old apartment,Sukhbaatar,2024-07,4.69
Average price of old apartment,Sukhbaatar,2024-06,4.5
Average price of old apartment,Sukhbaatar,2024-05,4.62
Average price of old apartment,Sukhbaatar,2024-04,4.45
Average price of old apartment,Sukhbaatar,2024-03,4.3
Average price of old apartment,Sukhbaatar,2024-02,4.28
Average price of old apartment,Sukhbaatar,2024-01,4.45
Average price of old apartment,Sukhbaatar,2023-12,4.31
Average price of old apartment,Sukhbaatar,2023-11,4.21
Average price of old apartment,Sukhbaatar,2023-10,3.89
Average price of old apartment,Sukhbaatar,2023-09,3.81
Average price of old apartment,Sukhbaatar,2023-08,3.6
Average price of old apartment,Sukhbaatar,2023-07,3.64
Average price of old apartment,Sukhbaatar,2023-06,3.66
Average price of old apartment,Sukhbaatar,2023-05,3.56
Average price of old apartment,Sukhbaatar,2023-04,3.7
Average price of old apartment,Sukhbaatar,2023-03,3.96
Average price of old apartment,Sukhbaatar,2023-02,3.97
Average price of old apartment,Sukhbaatar,2023-01,4.07
Average price of old apartment,Sukhbaatar,2022-12,3.93
Average price of old apartment,Sukhbaatar,2022-11,3.89
Average price of old apartment,Sukhbaatar,2022-10,3.74
Average price of old apartment,Sukhbaatar,2022-09,3.69
Average price of old apartment,Sukhbaatar,2022-08,3.74
Average price of old apartment,Sukhbaatar,2022-07,3.82
Average price of old apartment,Sukhbaatar,2022-06,3.68
Average price of old apartment,Sukhbaatar,2022-05,3.61
Average price of old apartment,Sukhbaatar,2022-04,3.9
Average price of old apartment,Sukhbaatar,2022-03,3.54
Average price of old apartment,Sukhbaatar,2022-02,3.16
Average price of old apartment,Khan-Uul,2026-07,5.27
Average price of old apartment,Khan-Uul,2026-06,5.38
Average price of old apartment,Khan-Uul,2026-05,5.24
Average price of old apartment,Khan-Uul,2026-04,5.47
Average price of old apartment,Khan-Uul,2026-03,5.38
Average price of old apartment,Khan-Uul,2026-02,5.49
Average price of old apartment,Khan-Uul,2026-01,5.49
Average price of old apartment,Khan-Uul,2025-12,5.71
Average price of old apartment,Khan-Uul,2025-11,5.56
Average price of old apartment,Khan-Uul,2025-10,5.37
Average price of old apartment,Khan-Uul,2025-09,5.08
Average price of old apartment,Khan-Uul,2025-08,5.09
Average price of old apartment,Khan-Uul,2025-07,4.94
Average price of old apartment,Khan-Uul,2025-06,5.07
Average price of old apartment,Khan-Uul,2025-05,5.01
Average price of old apartment,Khan-Uul,2025-04,4.89
Average price of old apartment,Khan-Uul,2025-03,4.82
Average price of old apartment,Khan-Uul,2025-02,4.8
Average price of old apartment,Khan-Uul,2025-01,4.71
Average price of old apartment,Khan-Uul,2024-12,4.57
Average price of old apartment,Khan-Uul,2024-11,4.68
Average price of old apartment,Khan-Uul,2024-10,4.57
Average price of old apartment,Khan-Uul,2024-09,4.4
Average price of old apartment,Khan-Uul,2024-08,4.22
Average price of old apartment,Khan-Uul,2024-07,4.3
Average price of old apartment,Khan-Uul,2024-06,4.3
Average price of old apartment,Khan-Uul,2024-05,4.34
Average price of old apartment,Khan-Uul,2024-04,4.32
Average price of old apartment,Khan-Uul,2024-03,4.14
Average price of old apartment,Khan-Uul,2024-02,4.2
Average price of old apartment,Khan-Uul,2024-01,4.19
Average price of old apartment,Khan-Uul,2023-12,3.91
Average price of old apartment,Khan-Uul,2023-11,3.98
Average price of old apartment,Khan-Uul,2023-10,3.87
Average price of old apartment,Khan-Uul,2023-09,3.77
Average price of old apartment,Khan-Uul,2023-08,3.67
Average price of old apartment,Khan-Uul,2023-07,3.72
Average price of old apartment,Khan-Uul,2023-06,3.72
Average price of old apartment,Khan-Uul,2023-05,3.65
Average price of old apartment,Khan-Uul,2023-04,3.77
Average price of old apartment,Khan-Uul,2023-03,3.72
Average price of old apartment,Khan-Uul,2023-02,3.62
Average price of old apartment,Khan-Uul,2023-01,3.67
Average price of old apartment,Khan-Uul,2022-12,3.52
Average price of old apartment,Khan-Uul,2022-11,3.49
Average price of old apartment,Khan-Uul,2022-10,3.37
Average price of old apartment,Khan-Uul,2022-09,3.36
Average price of old apartment,Khan-Uul,2022-08,3.51
Average price of old apartment,Khan-Uul,2022-07,3.44
Average price of old apartment,Khan-Uul,2022-06,3.43
Average price of old apartment,Khan-Uul,2022-05,3.4
Average price of old apartment,Khan-Uul,2022-04,3.37
Average price of old apartment,Khan-Uul,2022-03,3.49
Average price of old apartment,Khan-Uul,2022-02,3.24
Average price of old apartment,Chingeltei,2026-07,5.63
Average price of old apartment,Chingeltei,2026-06,5.76
Average price of old apartment,Chingeltei,2026-05,5.65
Average price of old apartment,Chingeltei,2026-04,5.64
Average price of old apartment,Chingeltei,2026-03,5.62
Average price of old apartment,Chingeltei,2026-02,5.35
Average price of old apartment,Chingeltei,2026-01,5.37
Average price of old apartment,Chingeltei,2025-12,5.47
Average price of old apartment,Chingeltei,2025-11,5.21
Average price of old apartment,Chingeltei,2025-10,5.62
Average price of old apartment,Chingeltei,2025-09,5.61
Average price of old apartment,Chingeltei,2025-08,5.33
Average price of old apartment,Chingeltei,2025-07,5.19
Average price of old apartment,Chingeltei,2025-06,5.49
Average price of old apartment,Chingeltei,2025-05,5.4
Average price of old apartment,Chingeltei,2025-04,5.45
Average price of old apartment,Chingeltei,2025-03,5.51
Average price of old apartment,Chingeltei,2025-02,5.46
Average price of old apartment,Chingeltei,2025-01,4.74
Average price of old apartment,Chingeltei,2024-12,4.68
Average price of old apartment,Chingeltei,2024-11,4.67
Average price of old apartment,Chingeltei,2024-10,4.72
Average price of old apartment,Chingeltei,2024-09,4.59
Average price of old apartment,Chingeltei,2024-08,4.41
Average price of old apartment,Chingeltei,2024-07,4.51
Average price of old apartment,Chingeltei,2024-06,4.46
Average price of old apartment,Chingeltei,2024-05,4.4
Average price of old apartment,Chingeltei,2024-04,4.33
Average price of old apartment,Chingeltei,2024-03,4.02
Average price of old apartment,Chingeltei,2024-02,4.09
Average price of old apartment,Chingeltei,2024-01,3.93
Average price of old apartment,Chingeltei,2023-12,3.94
Average price of old apartment,Chingeltei,2023-11,4.0
Average price of old apartment,Chingeltei,2023-10,3.8
Average price of old apartment,Chingeltei,2023-09,4.21
Average price of old apartment,Chingeltei,2023-08,4.12
Average price of old apartment,Chingeltei,2023-07,4.05
Average price of old apartment,Chingeltei,2023-06,3.94
Average price of old apartment,Chingeltei,2023-05,4.0
Average price of old apartment,Chingeltei,2023-04,4.17
Average price of old apartment,Chingeltei,2023-03,3.69
Average price of old apartment,Chingeltei,2023-02,3.49
Average price of old apartment,Chingeltei,2023-01,3.63
Average price of old apartment,Chingeltei,2022-12,3.54
Average price of old apartment,Chingeltei,2022-11,3.59
Average price of old apartment,Chingeltei,2022-10,3.54
Average price of old apartment,Chingeltei,2022-09,3.48
Average price of old apartment,Chingeltei,2022-08,3.63
Average price of old apartment,Chingeltei,2022-07,3.65
Average price of old apartment,Chingeltei,2022-06,3.76
Average price of old apartment,Chingeltei,2022-05,3.75
Average price of old apartment,Chingeltei,2022-04,3.65
Average price of old apartment,Chingeltei,2022-03,3.75
Average price of old apartment,Chingeltei,2022-02,3.52
Average price of old apartment,Average,2026-07,4.78
Average price of old apartment,Average,2026-06,4.88
Average price of old apartment,Average,2026-05,4.84
Average price of old apartment,Average,2026-04,5.0
Average price of old apartment,Average,2026-03,4.91
Average price of old apartment,Average,2026-02,5.03
Average price of old apartment,Average,2026-01,4.94
Average price of old apartment,Average,2025-12,5.06
Average price of old apartment,Average,2025-11,4.97
Average price of old apartment,Average,2025-10,4.78
Average price of old apartment,Average,2025-09,4.66
Average price of old apartment,Average,2025-08,4.58
Average price of old apartment,Average,2025-07,4.54
Average price of old apartment,Average,2025-06,4.55
Average price of old apartment,Average,2025-05,4.57
Average price of old apartment,Average,2025-04,4.52
Average price of old apartment,Average,2025-03,4.49
Average price of old apartment,Average,2025-02,4.5
Average price of old apartment,Average,2025-01,4.42
Average price of old apartment,Average,2024-12,4.27
Average price of old apartment,Average,2024-11,4.25
Average price of old apartment,Average,2024-10,4.16
Average price of old apartment,Average,2024-09,4.02
Average price of old apartment,Average,2024-08,3.87
Average price of old apartment,Average,2024-07,3.96
Average price of old apartment,Average,2024-06,3.88
Average price of old apartment,Average,2024-05,3.9
Average price of old apartment,Average,2024-04,3.81
Average price of old apartment,Average,2024-03,3.71
Average price of old apartment,Average,2024-02,3.78
Average price of old apartment,Average,2024-01,3.79
Average price of old apartment,Average,2023-12,3.59
Average price of old apartment,Average,2023-11,3.58
Average price of old apartment,Average,2023-10,3.47
Average price of old apartment,Average,2023-09,3.44
Average price of old apartment,Average,2023-08,3.38
Average price of old apartment,Average,2023-07,3.4
Average price of old apartment,Average,2023-06,3.41
Average price of old apartment,Average,2023-05,3.32
Average price of old apartment,Average,2023-04,3.34
Average price of old apartment,Average,2023-03,3.32
Average price of old apartment,Average,2023-02,3.3
Average price of old apartment,Average,2023-01,3.33
Average price of old apartment,Average,2022-12,3.25
Average price of old apartment,Average,2022-11,3.21
Average price of old apartment,Average,2022-10,3.09
Average price of old apartment,Average,2022-09,3.09
Average price of old apartment,Average,2022-08,3.13
Average price of old apartment,Average,2022-07,3.08
Average price of old apartment,Average,2022-06,3.09
Average price of old apartment,Average,2022-05,3.02
Average price of old apartment,Average,2022-04,3.01
Average price of old apartment,Average,2022-03,3.05
Average price of old apartment,Average,2022-02,2.94
