сар,станц,температур
2005-01,Даланзадгад,-15.7
2005-01,Дархан,-26.4
2005-01,Улаанбаатар,-22.0
2005-01,Ховд,-31.3
2005-01,Чойбалсан,-22.0
2005-02,Даланзадгад,-18.6
2005-02,Дархан,-28.9
2005-02,Улаанбаатар,-24.4
2005-02,Ховд,-30.6
2005-02,Чойбалсан,-22.8
2005-03,Даланзадгад,-2.0
2005-03,Дархан,-8.3
2005-03,Улаанбаатар,-8.2
2005-03,Ховд,-9.3
2005-03,Чойбалсан,-8.2
2005-04,Даланзадгад,8.7
2005-04,Дархан,4.0
2005-04,Улаанбаатар,1.9
2005-04,Ховд,6.6
2005-04,Чойбалсан,3.9
2005-05,Даланзадгад,14.2
2005-05,Дархан,11.0
2005-05,Улаанбаатар,9.0
2005-05,Ховд,11.4
2005-05,Чойбалсан,11.5
2005-06,Даланзадгад,21.3
2005-06,Дархан,18.2
2005-06,Улаанбаатар,16.0
2005-06,Ховд,17.9
2005-06,Чойбалсан,20.0
2005-07,Даланзадгад,24.6
2005-07,Дархан,22.4
2005-07,Улаанбаатар,20.5
2005-07,Ховд,21.3
2005-07,Чойбалсан,21.9
2005-08,Даланзадгад,21.0
2005-08,Дархан,19.9
2005-08,Улаанбаатар,18.2
2005-08,Ховд,17.6
2005-08,Чойбалсан,21.2
2005-09,Даланзадгад,15.5
2005-09,Дархан,11.9
2005-09,Улаанбаатар,9.9
2005-09,Ховд,12.1
2005-09,Чойбалсан,13.3
2005-10,Даланзадгад,6.8
2005-10,Дархан,5.4
2005-10,Улаанбаатар,2.6
2005-10,Ховд,3.6
2005-10,Чойбалсан,5.1
2005-11,Даланзадгад,-2.4
2005-11,Дархан,-9.2
2005-11,Улаанбаатар,-8.5
2005-11,Ховд,-8.0
2005-11,Чойбалсан,-7.3
2005-12,Даланзадгад,-14.9
2005-12,Дархан,-22.5
2005-12,Улаанбаатар,-19.4
2005-12,Ховд,-23.9
2005-12,Чойбалсан,-19.0
2006-01,Даланзадгад,-12.8
2006-01,Дархан,-24.9
2006-01,Улаанбаатар,-20.5
2006-01,Ховд,-19.7
2006-01,Чойбалсан,-21.8
2006-02,Даланзадгад,-9.3
2006-02,Дархан,-18.4
2006-02,Улаанбаатар,-17.3
