code,khoroo,district_code,district,schools
1101,1-r khoroo,11,Nalaikh,1
1102,2-r khoroo,11,Nalaikh,1
1103,3-r khoroo,11,Nalaikh,1
1104,4-r khoroo,11,Nalaikh,0
1105,5-r khoroo,11,Nalaikh,1
1106,6-r khoroo,11,Nalaikh,1
1107,7-r khoroo,11,Nalaikh,1
1108,8-r khoroo,11,Nalaikh,4
1201,1-r khoroo,12,Baganuur,2
1202,2-r khoroo,12,Baganuur,0
1203,3-r khoroo,12,Baganuur,3
1204,4-r khoroo,12,Baganuur,1
1205,5-r khoroo,12,Baganuur,1
1301,1-r khoroo,13,Bayanzurkh,5
1302,2-r khoroo,13,Bayanzurkh,0
1303,3-r khoroo,13,Bayanzurkh,4
1304,4-r khoroo,13,Bayanzurkh,2
1305,5-r khoroo,13,Bayanzurkh,1
1306,6-r khoroo,13,Bayanzurkh,2
1307,7-r khoroo,13,Bayanzurkh,0
1308,8-r khoroo,13,Bayanzurkh,6
1309,9-r khoroo,13,Bayanzurkh,1
1310,10-r khoroo,13,Bayanzurkh,0
1311,11-r khoroo,13,Bayanzurkh,2
1312,12-r khoroo,13,Bayanzurkh,0
1313,13-r khoroo,13,Bayanzurkh,4
1314,14-r khoroo,13,Bayanzurkh,1
1315,15-r khoroo,13,Bayanzurkh,3
1316,16-r khoroo,13,Bayanzurkh,3
1317,17-r khoroo,13,Bayanzurkh,0
1318,18-r khoroo,13,Bayanzurkh,3
1319,19-r khoroo,13,Bayanzurkh,1
1320,20-r khoroo,13,Bayanzurkh,1
1321,21-r khoroo,13,Bayanzurkh,1
1322,22-r khoroo,13,Bayanzurkh,0
1323,23-r khoroo,13,Bayanzurkh,2
1324,24-r khoroo,13,Bayanzurkh,0
1325,25-r khoroo,13,Bayanzurkh,6
1326,26-r khoroo,13,Bayanzurkh,5
1327,27-r khoroo,13,Bayanzurkh,1
1328,28-r khoroo,13,Bayanzurkh,2
1329,29-r khoroo,13,Bayanzurkh,1
1330,30-r khoroo,13,Bayanzurkh,1
1331,31-r khoroo,13,Bayanzurkh,0
1332,32-r khoroo,13,Bayanzurkh,2
1333,33-r khoroo,13,Bayanzurkh,0
1334,34-r khoroo,13,Bayanzurkh,2
1335,35-r khoroo,13,Bayanzurkh,0
1336,36-r khoroo,13,Bayanzurkh,0
1337,37-r khoroo,13,Bayanzurkh,0
1338,38-r khoroo,13,Bayanzurkh,2
1339,39-r khoroo,13,Bayanzurkh,1
1340,40-r khoroo,13,Bayanzurkh,1
1341,41-r khoroo,13,Bayanzurkh,1
1342,42-r khoroo,13,Bayanzurkh,0
1343,43-r khoroo,13,Bayanzurkh,1
1401,1-r khoroo,14,Sukhbaatar,6
1402,2-r khoroo,14,Sukhbaatar,8
1403,3-r khoroo,14,Sukhbaatar,2
1404,4-r khoroo,14,Sukhbaatar,2
1405,5-r khoroo,14,Sukhbaatar,2
1406,6-r khoroo,14,Sukhbaatar,4
1407,7-r khoroo,14,Sukhbaatar,6
1408,8-r khoroo,14,Sukhbaatar,10
1409,9-r khoroo,14,Sukhbaatar,2
1410,10-r khoroo,14,Sukhbaatar,6
1411,11-r khoroo,14,Sukhbaatar,5
1412,12-r khoroo,14,Sukhbaatar,0
1413,13-r khoroo,14,Sukhbaatar,0
1414,14-r khoroo,14,Sukhbaatar,3
1415,15-r khoroo,14,Sukhbaatar,2
1416,16-r khoroo,14,Sukhbaatar,0
1417,17-r khoroo,14,Sukhbaatar,1
1418,18-r khoroo,14,Sukhbaatar,1
1419,19-r khoroo,14,Sukhbaatar,0
1420,20-r khoroo,14,Sukhbaatar,0
1501,1-r khoroo,15,Chingeltei,2
1502,2-r khoroo,15,Chingeltei,1
1503,3-r khoroo,15,Chingeltei,2
1504,4-r khoroo,15,Chingeltei,4
1505,5-r khoroo,15,Chingeltei,4
1506,6-r khoroo,15,Chingeltei,2
1507,7-r khoroo,15,Chingeltei,0
1508,8-r khoroo,15,Chingeltei,0
1509,9-r khoroo,15,Chingeltei,0
1510,10-r khoroo,15,Chingeltei,2
1511,11-r khoroo,15,Chingeltei,1
1512,12-r khoroo,15,Chingeltei,2
1513,13-r khoroo,15,Chingeltei,3
1514,14-r khoroo,15,Chingeltei,0
1515,15-r khoroo,15,Chingeltei,2
1516,16-r khoroo,15,Chingeltei,0
1517,17-r khoroo,15,Chingeltei,2
1518,18-r khoroo,15,Chingeltei,0
1519,19-r khoroo,15,Chingeltei,0
1520,20-r khoroo,15,Chingeltei,0
1521,21-r khoroo,15,Chingeltei,1
1522,22-r khoroo,15,Chingeltei,1
1523,23-r khoroo,15,Chingeltei,1
1524,24-r khoroo,15,Chingeltei,1
1528,28-r khoroo,18,Songinokhairkhan,0
1601,1-r khoroo,16,Bayangol,0
1602,2-r khoroo,16,Bayangol,3
1603,3-r khoroo,16,Bayangol,3
1604,4-r khoroo,16,Bayangol,3
1605,5-r khoroo,16,Bayangol,1
1606,6-r khoroo,16,Bayangol,3
1607,7-r khoroo,16,Bayangol,4
1608,8-r khoroo,16,Bayangol,2
1609,9-r khoroo,16,Bayangol,0
1610,10-r khoroo,16,Bayangol,1
1611,11-r khoroo,16,Bayangol,7
1612,12-r khoroo,16,Bayangol,0
1613,13-r khoroo,16,Bayangol,3
1614,14-r khoroo,16,Bayangol,0
1615,15-r khoroo,16,Bayangol,1
1616,16-r khoroo,16,Bayangol,0
1617,17-r khoroo,16,Bayangol,2
1618,18-r khoroo,16,Bayangol,4
1619,19-r khoroo,16,Bayangol,1
1620,20-r khoroo,16,Bayangol,2
1621,21-r khoroo,16,Bayangol,0
1622,22-r khoroo,16,Bayangol,0
1623,23-r khoroo,16,Bayangol,0
1624,24-r khoroo,16,Bayangol,1
1625,25-r khoroo,16,Bayangol,1
1626,26-r khoroo,16,Bayangol,3
1627,27-r khoroo,16,Bayangol,2
1628,28-r khoroo,16,Bayangol,1
1629,29-r khoroo,16,Bayangol,1
1630,30-r khoroo,16,Bayangol,1
1631,31-r khoroo,16,Bayangol,0
1632,32-r khoroo,16,Bayangol,2
1633,33-r khoroo,16,Bayangol,6
1634,34-r khoroo,16,Bayangol,1
1701,1-r khoroo,17,Khan-Uul,2
1702,2-r khoroo,17,Khan-Uul,1
1703,3-r khoroo,17,Khan-Uul,3
1704,4-r khoroo,17,Khan-Uul,1
1705,5-r khoroo,17,Khan-Uul,1
1706,6-r khoroo,17,Khan-Uul,0
1707,7-r khoroo,17,Khan-Uul,2
1708,8-r khoroo,17,Khan-Uul,1
1709,9-r khoroo,17,Khan-Uul,1
1710,10-r khoroo,17,Khan-Uul,1
1711,11-r khoroo,17,Khan-Uul,2
1712,12-r khoroo,17,Khan-Uul,1
1713,13-r khoroo,17,Khan-Uul,1
1714,14-r khoroo,17,Khan-Uul,2
1715,15-r khoroo,17,Khan-Uul,2
1716,16-r khoroo,17,Khan-Uul,2
1717,17-r khoroo,17,Khan-Uul,1
1718,18-r khoroo,17,Khan-Uul,2
1719,19-r khoroo,17,Khan-Uul,3
1720,20-r khoroo,17,Khan-Uul,5
1721,21-r khoroo,17,Khan-Uul,0
1722,22-r khoroo,17,Khan-Uul,2
1723,23-r khoroo,17,Khan-Uul,3
1724,24-r khoroo,17,Khan-Uul,3
1725,25-r khoroo,17,Khan-Uul,0
1801,1-r khoroo,18,Songinokhairkhan,1
1802,2-r khoroo,18,Songinokhairkhan,1
1803,3-r khoroo,18,Songinokhairkhan,2
1804,4-r khoroo,18,Songinokhairkhan,0
1805,5-r khoroo,18,Songinokhairkhan,0
1806,6-r khoroo,18,Songinokhairkhan,2
1807,7-r khoroo,18,Songinokhairkhan,0
1808,8-r khoroo,18,Songinokhairkhan,2
1809,9-r khoroo,18,Songinokhairkhan,3
1810,10-r khoroo,18,Songinokhairkhan,0
1811,11-r khoroo,18,Songinokhairkhan,3
1812,12-r khoroo,18,Songinokhairkhan,1
1813,13-r khoroo,18,Songinokhairkhan,1
1814,14-r khoroo,18,Songinokhairkhan,2
1815,15-r khoroo,18,Songinokhairkhan,1
1816,16-r khoroo,18,Songinokhairkhan,3
1817,17-r khoroo,18,Songinokhairkhan,3
1818,18-r khoroo,18,Songinokhairkhan,2
1819,19-r khoroo,18,Songinokhairkhan,5
1820,20-r khoroo,18,Songinokhairkhan,0
1821,21-r khoroo,18,Songinokhairkhan,2
1822,22-r khoroo,18,Songinokhairkhan,0
1823,23-r khoroo,18,Songinokhairkhan,0
1824,24-r khoroo,18,Songinokhairkhan,0
1825,25-r khoroo,18,Songinokhairkhan,2
1826,26-r khoroo,18,Songinokhairkhan,0
1827,27-r khoroo,18,Songinokhairkhan,0
1829,29-r khoroo,18,Songinokhairkhan,0
1830,30-r khoroo,18,Songinokhairkhan,0
1831,31-r khoroo,18,Songinokhairkhan,0
1832,32-r khoroo,18,Songinokhairkhan,0
1833,33-r khoroo,18,Songinokhairkhan,1
1834,34-r khoroo,18,Songinokhairkhan,4
1835,35-r khoroo,18,Songinokhairkhan,0
1836,36-r khoroo,18,Songinokhairkhan,0
1837,37-r khoroo,18,Songinokhairkhan,0
1838,38-r khoroo,18,Songinokhairkhan,0
1839,39-r khoroo,18,Songinokhairkhan,0
1840,40-r khoroo,18,Songinokhairkhan,0
1841,41-r khoroo,18,Songinokhairkhan,2
1842,42-r khoroo,18,Songinokhairkhan,0
1843,43-r khoroo,18,Songinokhairkhan,0
1901,1-r khoroo,19,Bagakhangai,1
1902,2-r khoroo,19,Bagakhangai,2
