Бүс,Сар,value
Баян-Өлгий,2016-09,227
Баян-Өлгий,2016-08,261
Баян-Өлгий,2016-07,204
Баян-Өлгий,2016-06,229
Баян-Өлгий,2016-05,260
Баян-Өлгий,2016-04,248
Баян-Өлгий,2016-03,238
Баян-Өлгий,2016-02,227
Баян-Өлгий,2016-01,223
Говь-Алтай,2026-07,77
Говь-Алтай,2026-06,55
Говь-Алтай,2026-05,73
Говь-Алтай,2026-04,46
Говь-Алтай,2026-03,60
Говь-Алтай,2026-02,57
Говь-Алтай,2026-01,73
Говь-Алтай,2025-12,62
Говь-Алтай,2025-11,70
Говь-Алтай,2025-10,65
Говь-Алтай,2025-09,68
Говь-Алтай,2025-08,61
Говь-Алтай,2025-07,68
Говь-Алтай,2025-06,70
Говь-Алтай,2025-05,67
Говь-Алтай,2025-04,70
Говь-Алтай,2025-03,66
Говь-Алтай,2025-02,73
Говь-Алтай,2025-01,73
Говь-Алтай,2024-12,69
Говь-Алтай,2024-11,73
Говь-Алтай,2024-10,84
Говь-Алтай,2024-09,78
Говь-Алтай,2024-08,54
Говь-Алтай,2024-07,67
Говь-Алтай,2024-06,71
Говь-Алтай,2024-05,86
Говь-Алтай,2024-04,94
Говь-Алтай,2024-03,60
Говь-Алтай,2024-02,63
Говь-Алтай,2024-01,63
Говь-Алтай,2023-12,65
Говь-Алтай,2023-11,107
Говь-Алтай,2023-10,71
Говь-Алтай,2023-09,77
Говь-Алтай,2023-08,95
Говь-Алтай,2023-07,64
Говь-Алтай,2023-06,74
Говь-Алтай,2023-05,81
Говь-Алтай,2023-04,86
Говь-Алтай,2023-03,88
Говь-Алтай,2023-02,81
Говь-Алтай,2023-01,94
Говь-Алтай,2022-12,91
Говь-Алтай,2022-11,90
Говь-Алтай,2022-10,101
Говь-Алтай,2022-09,98
Говь-Алтай,2022-08,87
Говь-Алтай,2022-07,94
Говь-Алтай,2022-06,84
Говь-Алтай,2022-05,88
Говь-Алтай,2022-04,103
Говь-Алтай,2022-03,79
Говь-Алтай,2022-02,62
Говь-Алтай,2022-01,66
Говь-Алтай,2021-12,105
Говь-Алтай,2021-11,96
Говь-Алтай,2021-10,112
Говь-Алтай,2021-09,100
Говь-Алтай,2021-08,117
Говь-Алтай,2021-07,98
Говь-Алтай,2021-06,100
Говь-Алтай,2021-05,124
Говь-Алтай,2021-04,122
Говь-Алтай,2021-03,110
Говь-Алтай,2021-02,104
Говь-Алтай,2021-01,108
Говь-Алтай,2020-12,106
Говь-Алтай,2020-11,118
Говь-Алтай,2020-10,92
Говь-Алтай,2020-09,114
Говь-Алтай,2020-08,140
Говь-Алтай,2020-07,121
Говь-Алтай,2020-06,138
Говь-Алтай,2020-05,125
Говь-Алтай,2020-04,111
Говь-Алтай,2020-03,139
Говь-Алтай,2020-02,101
Говь-Алтай,2020-01,101
Говь-Алтай,2019-12,99
Говь-Алтай,2019-11,111
Говь-Алтай,2019-10,109
Говь-Алтай,2019-09,119
Говь-Алтай,2019-08,127
Говь-Алтай,2019-07,129
Говь-Алтай,2019-06,102
Говь-Алтай,2019-05,117
Говь-Алтай,2019-04,125
Говь-Алтай,2019-03,105
Говь-Алтай,2019-02,106
Говь-Алтай,2019-01,119
Говь-Алтай,2018-12,98
Говь-Алтай,2018-11,98
Говь-Алтай,2018-10,105
Говь-Алтай,2018-09,128
Говь-Алтай,2018-08,100
Говь-Алтай,2018-07,130
Говь-Алтай,2018-06,112
Говь-Алтай,2018-05,111
Говь-Алтай,2018-04,120
Говь-Алтай,2018-03,105
Говь-Алтай,2018-02,95
Говь-Алтай,2018-01,84
Говь-Алтай,2017-12,119
Говь-Алтай,2017-11,98
Говь-Алтай,2017-10,128
Говь-Алтай,2017-09,103
Говь-Алтай,2017-08,99
Говь-Алтай,2017-07,97
Говь-Алтай,2017-06,108
Говь-Алтай,2017-05,106
Говь-Алтай,2017-04,101
Говь-Алтай,2017-03,112
Говь-Алтай,2017-02,63
Говь-Алтай,2017-01,87
Говь-Алтай,2016-12,77
Говь-Алтай,2016-11,92
Говь-Алтай,2016-10,92
Говь-Алтай,2016-09,79
Говь-Алтай,2016-08,120
Говь-Алтай,2016-07,104
Говь-Алтай,2016-06,116
Говь-Алтай,2016-05,113
Говь-Алтай,2016-04,83
Говь-Алтай,2016-03,106
Говь-Алтай,2016-02,99
Говь-Алтай,2016-01,95
Завхан,2026-07,84
Завхан,2026-06,70
Завхан,2026-05,64
Завхан,2026-04,66
Завхан,2026-03,65
Завхан,2026-02,58
Завхан,2026-01,72
Завхан,2025-12,83
Завхан,2025-11,70
Завхан,2025-10,57
Завхан,2025-09,74
Завхан,2025-08,69
Завхан,2025-07,76
Завхан,2025-06,66
Завхан,2025-05,61
Завхан,2025-04,66
Завхан,2025-03,76
Завхан,2025-02,58
Завхан,2025-01,74
Завхан,2024-12,56
Завхан,2024-11,57
Завхан,2024-10,75
Завхан,2024-09,67
Завхан,2024-08,80
Завхан,2024-07,96
Завхан,2024-06,90
Завхан,2024-05,82
Завхан,2024-04,72
Завхан,2024-03,83
Завхан,2024-02,86
Завхан,2024-01,75
Завхан,2023-12,88
Завхан,2023-11,95
Завхан,2023-10,78
Завхан,2023-09,91
Завхан,2023-08,85
Завхан,2023-07,99
Завхан,2023-06,93
Завхан,2023-05,99
Завхан,2023-04,110
Завхан,2023-03,113
Завхан,2023-02,89
Завхан,2023-01,95
Завхан,2022-12,86
Завхан,2022-11,96
Завхан,2022-10,103
Завхан,2022-09,105
Завхан,2022-08,96
Завхан,2022-07,111
Завхан,2022-06,107
Завхан,2022-05,83
Завхан,2022-04,98
Завхан,2022-03,82
Завхан,2022-02,58
Завхан,2022-01,72
Завхан,2021-12,92
Завхан,2021-11,93
Завхан,2021-10,74
Завхан,2021-09,98
Завхан,2021-08,102
Завхан,2021-07,128
Завхан,2021-06,130
Завхан,2021-05,156
Завхан,2021-04,114
Завхан,2021-03,123
Завхан,2021-02,117
Завхан,2021-01,103
Завхан,2020-12,131
Завхан,2020-11,105
Завхан,2020-10,120
Завхан,2020-09,99
Завхан,2020-08,104
Завхан,2020-07,128
Завхан,2020-06,128
Завхан,2020-05,116
Завхан,2020-04,111
Завхан,2020-03,126
Завхан,2020-02,91
Завхан,2020-01,112
Завхан,2019-12,110
Завхан,2019-11,92
Завхан,2019-10,118
Завхан,2019-09,99
Завхан,2019-08,124
Завхан,2019-07,136
Завхан,2019-06,102
Завхан,2019-05,129
Завхан,2019-04,118
Завхан,2019-03,119
Завхан,2019-02,97
Завхан,2019-01,120
Завхан,2018-12,117
Завхан,2018-11,123
Завхан,2018-10,97
Завхан,2018-09,107
Завхан,2018-08,119
Завхан,2018-07,143
Завхан,2018-06,124
Завхан,2018-05,114
Завхан,2018-04,131
Завхан,2018-03,124
Завхан,2018-02,96
Завхан,2018-01,136
Завхан,2017-12,99
Завхан,2017-11,120
Завхан,2017-10,106
Завхан,2017-09,108
Завхан,2017-08,106
Завхан,2017-07,125
Завхан,2017-06,160
Завхан,2017-05,102
Завхан,2017-04,95
Завхан,2017-03,113
Завхан,2017-02,98
Завхан,2017-01,97
Завхан,2016-12,99
Завхан,2016-11,103
Завхан,2016-10,95
Завхан,2016-09,117
Завхан,2016-08,139
Завхан,2016-07,124
Завхан,2016-06,120
Завхан,2016-05,131
Завхан,2016-04,120
Завхан,2016-03,133
Завхан,2016-02,134
Завхан,2016-01,106
Увс,2026-07,128
Увс,2026-06,111
Увс,2026-05,106
Увс,2026-04,104
Увс,2026-03,107
Увс,2026-02,99
Увс,2026-01,116
Увс,2025-12,108
Увс,2025-11,101
Увс,2025-10,117
Увс,2025-09,118
Увс,2025-08,114
Увс,2025-07,108
Увс,2025-06,94
Увс,2025-05,118
Увс,2025-04,111
Увс,2025-03,122
Увс,2025-02,121
Увс,2025-01,134
Увс,2024-12,134
Увс,2024-11,141
Увс,2024-10,145
Увс,2024-09,131
Увс,2024-08,136
Увс,2024-07,138
Увс,2024-06,133
Увс,2024-05,142
Увс,2024-04,149
Увс,2024-03,143
Увс,2024-02,124
Увс,2024-01,110
Увс,2023-12,123
Увс,2023-11,124
Увс,2023-10,139
Увс,2023-09,146
Увс,2023-08,126
Увс,2023-07,154
Увс,2023-06,152
Увс,2023-05,153
Увс,2023-04,181
Увс,2023-03,166
Увс,2023-02,133
Увс,2023-01,149
Увс,2022-12,155
Увс,2022-11,134
Увс,2022-10,182
Увс,2022-09,149
Увс,2022-08,166
Увс,2022-07,134
Увс,2022-06,143
Увс,2022-05,128
Увс,2022-04,163
Увс,2022-03,102
Увс,2022-02,109
Увс,2022-01,113
Увс,2021-12,154
Увс,2021-11,131
Увс,2021-10,168
Увс,2021-09,170
Увс,2021-08,163
Увс,2021-07,150
Увс,2021-06,182
Увс,2021-05,152
Увс,2021-04,150
Увс,2021-03,163
Увс,2021-02,143
Увс,2021-01,133
Увс,2020-12,183
Увс,2020-11,150
Увс,2020-10,148
Увс,2020-09,179
Увс,2020-08,171
Увс,2020-07,179
Увс,2020-06,161
Увс,2020-05,176
Увс,2020-04,169
Увс,2020-03,188
Увс,2020-02,168
Увс,2020-01,152
Увс,2019-12,141
Увс,2019-11,157
Увс,2019-10,168
Увс,2019-09,186
Увс,2019-08,161
Увс,2019-07,160
Увс,2019-06,162
Увс,2019-05,160
Увс,2019-04,190
Увс,2019-03,157
Увс,2019-02,134
Увс,2019-01,134
Увс,2018-12,164
Увс,2018-11,176
Увс,2018-10,190
Увс,2018-09,121
Увс,2018-08,157
Увс,2018-07,183
Увс,2018-06,156
Увс,2018-05,151
Увс,2018-04,158
Увс,2018-03,162
Увс,2018-02,141
Увс,2018-01,153
Увс,2017-12,156
Увс,2017-11,169
Увс,2017-10,165
Увс,2017-09,136
Увс,2017-08,192
Увс,2017-07,218
Увс,2017-06,188
Увс,2017-05,203
Увс,2017-04,161
Увс,2017-03,171
Увс,2017-02,143
Увс,2017-01,134
Увс,2016-12,143
Увс,2016-11,179
Увс,2016-10,156
Увс,2016-09,184
Увс,2016-08,187
Увс,2016-07,171
Увс,2016-06,147
Увс,2016-05,196
Увс,2016-04,178
Увс,2016-03,140
Увс,2016-02,184
Увс,2016-01,175
Ховд,2026-07,122
Ховд,2026-06,123
Ховд,2026-05,103
Ховд,2026-04,130
Ховд,2026-03,121
Ховд,2026-02,111
Ховд,2026-01,166
Ховд,2025-12,145
Ховд,2025-11,125
Ховд,2025-10,148
Ховд,2025-09,164
Ховд,2025-08,146
Ховд,2025-07,147
Ховд,2025-06,146
Ховд,2025-05,126
Ховд,2025-04,120
Ховд,2025-03,126
Ховд,2025-02,156
Ховд,2025-01,145
Ховд,2024-12,144
Ховд,2024-11,166
Ховд,2024-10,156
Ховд,2024-09,130
Ховд,2024-08,148
Ховд,2024-07,146
Ховд,2024-06,114
Ховд,2024-05,150
Ховд,2024-04,133
Ховд,2024-03,144
Ховд,2024-02,147
Ховд,2024-01,113
Ховд,2023-12,129
Ховд,2023-11,167
Ховд,2023-10,159
Ховд,2023-09,156
Ховд,2023-08,150
Ховд,2023-07,159
Ховд,2023-06,175
Ховд,2023-05,162
Ховд,2023-04,154
Ховд,2023-03,175
Ховд,2023-02,139
Ховд,2023-01,160
Ховд,2022-12,163
Ховд,2022-11,178
Ховд,2022-10,163
Ховд,2022-09,160
Ховд,2022-08,174
Ховд,2022-07,159
Ховд,2022-06,171
Ховд,2022-05,146
Ховд,2022-04,128
Ховд,2022-03,126
Ховд,2022-02,112
Ховд,2022-01,125
Ховд,2021-12,152
Ховд,2021-11,159
Ховд,2021-10,171
Ховд,2021-09,178
Ховд,2021-08,166
Ховд,2021-07,171
Ховд,2021-06,172
Ховд,2021-05,191
Ховд,2021-04,163
Ховд,2021-03,177
Ховд,2021-02,158
Ховд,2021-01,177
Ховд,2020-12,193
Ховд,2020-11,171
Ховд,2020-10,169
Ховд,2020-09,186
Ховд,2020-08,202
Ховд,2020-07,225
Ховд,2020-06,215
Ховд,2020-05,181
Ховд,2020-04,181
Ховд,2020-03,211
Ховд,2020-02,167
Ховд,2020-01,173
Ховд,2019-12,188
Ховд,2019-11,190
Ховд,2019-10,223
Ховд,2019-09,199
Ховд,2019-08,183
Ховд,2019-07,200
Ховд,2019-06,172
Ховд,2019-05,200
Ховд,2019-04,200
Ховд,2019-03,193
Ховд,2019-02,162
Ховд,2019-01,171
Ховд,2018-12,199
Ховд,2018-11,199
Ховд,2018-10,181
Ховд,2018-09,196
Ховд,2018-08,216
Ховд,2018-07,205
Ховд,2018-06,199
Ховд,2018-05,193
Ховд,2018-04,180
Ховд,2018-03,208
Ховд,2018-02,186
Ховд,2018-01,193
Ховд,2017-12,170
Ховд,2017-11,197
Ховд,2017-10,200
Ховд,2017-09,178
Ховд,2017-08,178
Ховд,2017-07,199
Ховд,2017-06,188
Ховд,2017-05,224
Ховд,2017-04,188
Ховд,2017-03,193
Ховд,2017-02,142
Ховд,2017-01,155
Ховд,2016-12,174
Ховд,2016-11,173
Ховд,2016-10,169
Ховд,2016-09,184
Ховд,2016-08,213
Ховд,2016-07,161
Ховд,2016-06,185
Ховд,2016-05,197
Ховд,2016-04,179
Ховд,2016-03,193
Ховд,2016-02,192
Ховд,2016-01,200
Хангайн бүс,2026-07,644
Хангайн бүс,2026-06,598
Хангайн бүс,2026-05,579
Хангайн бүс,2026-04,623
Хангайн бүс,2026-03,666
Хангайн бүс,2026-02,570
Хангайн бүс,2026-01,597
Хангайн бүс,2025-12,629
Хангайн бүс,2025-11,647
Хангайн бүс,2025-10,667
Хангайн бүс,2025-09,678
Хангайн бүс,2025-08,635
Хангайн бүс,2025-07,675
Хангайн бүс,2025-06,678
Хангайн бүс,2025-05,647
Хангайн бүс,2025-04,691
Хангайн бүс,2025-03,711
Хангайн бүс,2025-02,656
Хангайн бүс,2025-01,722
Хангайн бүс,2024-12,697
Хангайн бүс,2024-11,718
Хангайн бүс,2024-10,711
Хангайн бүс,2024-09,724
Хангайн бүс,2024-08,715
Хангайн бүс,2024-07,716
Хангайн бүс,2024-06,694
Хангайн бүс,2024-05,712
Хангайн бүс,2024-04,728
Хангайн бүс,2024-03,787
Хангайн бүс,2024-02,692
Хангайн бүс,2024-01,708
Хангайн бүс,2023-12,677
Хангайн бүс,2023-11,821
Хангайн бүс,2023-10,779
Хангайн бүс,2023-09,808
Хангайн бүс,2023-08,862
Хангайн бүс,2023-07,836
Хангайн бүс,2023-06,786
Хангайн бүс,2023-05,856
Хангайн бүс,2023-04,833
Хангайн бүс,2023-03,980
Хангайн бүс,2023-02,799
Хангайн бүс,2023-01,881
Хангайн бүс,2022-12,953
Хангайн бүс,2022-11,822
Хангайн бүс,2022-10,986
Хангайн бүс,2022-09,949
Хангайн бүс,2022-08,936
Хангайн бүс,2022-07,934
Хангайн бүс,2022-06,756
Хангайн бүс,2022-05,818
Хангайн бүс,2022-04,857
Хангайн бүс,2022-03,801
Хангайн бүс,2022-02,710
Хангайн бүс,2022-01,771
Хангайн бүс,2021-12,771
Хангайн бүс,2021-11,919
Хангайн бүс,2021-10,999
Хангайн бүс,2021-09,995
Хангайн бүс,2021-08,978
Хангайн бүс,2021-07,1122
Хангайн бүс,2021-06,1005
Хангайн бүс,2021-05,1014
Хангайн бүс,2021-04,1051
Хангайн бүс,2021-03,1029
Хангайн бүс,2021-02,941
Хангайн бүс,2021-01,905
Хангайн бүс,2020-12,1013
Хангайн бүс,2020-11,987
Хангайн бүс,2020-10,955
Хангайн бүс,2020-09,1046
Хангайн бүс,2020-08,1059
Хангайн бүс,2020-07,1092
Хангайн бүс,2020-06,995
Хангайн бүс,2020-05,1003
Хангайн бүс,2020-04,1029
Хангайн бүс,2020-03,1099
Хангайн бүс,2020-02,945
Хангайн бүс,2020-01,938
Хангайн бүс,2019-12,1059
Хангайн бүс,2019-11,1051
Хангайн бүс,2019-10,1073
Хангайн бүс,2019-09,1036
Хангайн бүс,2019-08,1113
Хангайн бүс,2019-07,1153
Хангайн бүс,2019-06,1059
