салбар,огноо,утга
"Уул уурхай, олборлолт",2026-07,5967.6
"Уул уурхай, олборлолт",2026-06,5760.1
"Уул уурхай, олборлолт",2026-05,5562.2
"Уул уурхай, олборлолт",2026-04,4641.1
"Уул уурхай, олборлолт",2026-03,4997.2
"Уул уурхай, олборлолт",2026-02,4431.2
"Уул уурхай, олборлолт",2026-01,4224.5
"Уул уурхай, олборлолт",2025-12,4774.1
"Уул уурхай, олборлолт",2025-11,4284.3
"Уул уурхай, олборлолт",2025-10,4206.2
"Уул уурхай, олборлолт",2025-09,3850.4
"Уул уурхай, олборлолт",2025-08,3791.7
"Уул уурхай, олборлолт",2025-07,3559.1
"Уул уурхай, олборлолт",2025-06,2924.0
"Уул уурхай, олборлолт",2025-05,3575.0
"Уул уурхай, олборлолт",2025-04,3249.5
"Уул уурхай, олборлолт",2025-03,2744.8
"Уул уурхай, олборлолт",2025-02,2461.3
"Уул уурхай, олборлолт",2025-01,2651.9
"Уул уурхай, олборлолт",2024-12,3191.4
"Уул уурхай, олборлолт",2024-11,3239.0
"Уул уурхай, олборлолт",2024-10,3702.1
"Уул уурхай, олборлолт",2024-09,3353.2
"Уул уурхай, олборлолт",2024-08,3268.0
"Уул уурхай, олборлолт",2024-07,3303.8
"Уул уурхай, олборлолт",2024-06,3815.6
"Уул уурхай, олборлолт",2024-05,3944.4
"Уул уурхай, олборлолт",2024-04,3693.5
"Уул уурхай, олборлолт",2024-03,3622.6
"Уул уурхай, олборлолт",2024-02,3056.5
"Уул уурхай, олборлолт",2024-01,2878.5
"Уул уурхай, олборлолт",2023-12,2912.3
"Уул уурхай, олборлолт",2023-11,2990.2
"Уул уурхай, олборлолт",2023-10,2857.9
"Уул уурхай, олборлолт",2023-09,2979.3
"Уул уурхай, олборлолт",2023-08,2952.7
"Уул уурхай, олборлолт",2023-07,2251.5
"Уул уурхай, олборлолт",2023-06,2325.7
"Уул уурхай, олборлолт",2023-05,2329.5
"Уул уурхай, олборлолт",2023-04,2457.3
"Уул уурхай, олборлолт",2023-03,2471.9
"Уул уурхай, олборлолт",2023-02,2073.2
"Уул уурхай, олборлолт",2023-01,2304.7
"Уул уурхай, олборлолт",2022-12,2075.7
"Уул уурхай, олборлолт",2022-11,2059.7
"Уул уурхай, олборлолт",2022-10,2175.3
"Уул уурхай, олборлолт",2022-09,2026.4
"Уул уурхай, олборлолт",2022-08,1979.1
"Уул уурхай, олборлолт",2022-07,1397.7
"Уул уурхай, олборлолт",2022-06,1388.4
"Уул уурхай, олборлолт",2022-05,1224.1
"Уул уурхай, олборлолт",2022-04,1209.3
"Уул уурхай, олборлолт",2022-03,981.0
"Уул уурхай, олборлолт",2022-02,900.3
"Уул уурхай, олборлолт",2022-01,1120.7
"Уул уурхай, олборлолт",2021-12,901.0
"Уул уурхай, олборлолт",2021-11,1005.9
"Уул уурхай, олборлолт",2021-10,1150.5
"Уул уурхай, олборлолт",2021-09,1033.6
"Уул уурхай, олборлолт",2021-08,1060.6
"Уул уурхай, олборлолт",2021-07,1045.3
"Уул уурхай, олборлолт",2021-06,1082.1
"Уул уурхай, олборлолт",2021-05,1136.3
"Уул уурхай, олборлолт",2021-04,1035.4
"Уул уурхай, олборлолт",2021-03,1106.1
"Уул уурхай, олборлолт",2021-02,899.2
"Уул уурхай, олборлолт",2021-01,945.3
"Уул уурхай, олборлолт",2020-12,1390.6
"Уул уурхай, олборлолт",2020-11,1363.5
"Уул уурхай, олборлолт",2020-10,1479.7
"Уул уурхай, олборлолт",2020-09,1285.5
"Уул уурхай, олборлолт",2020-08,1020.2
