code,zone,district_code,district,area_km2,lon,lat
17122,Buyant Ukhaa khoroolol-3,17,Khan-Uul,11.103,106.734168,47.864904
17130,28-r khoroolol,17,Khan-Uul,6.009,106.750605,47.834566
17131,Morin-1,17,Khan-Uul,16.646,106.723568,47.826068
17132,Tainy am,17,Khan-Uul,6.75,106.79207,47.803697
17133,Morin-2,17,Khan-Uul,4.358,106.759239,47.80351
17140,Bio kombinat-1,17,Khan-Uul,16.165,106.68298,47.815913
17141,Dartsagt,17,Khan-Uul,1.278,106.665187,47.823943
17142,Erdenetolgoi,17,Khan-Uul,3.482,106.64976,47.797748
17143,Bio kombinat-2,17,Khan-Uul,6.912,106.654343,47.826885
17144,Songiny amraltyn kheseg,17,Khan-Uul,27.349,106.647637,47.846146
17150,Ulziit-1,17,Khan-Uul,12.256,106.703673,47.791925
17151,Ulziit-2,17,Khan-Uul,3.198,106.705872,47.78032
17152,Bugyn am,17,Khan-Uul,82.967,106.85452,47.778494
17153,Ar khundlungiin kheseg,17,Khan-Uul,19.801,106.778403,47.734657
17160,"Dood Ulziit, Gavijiin shand",17,Khan-Uul,46.417,106.688079,47.756507
17170,Shuvuun fabrik-1,17,Khan-Uul,8.78,106.618485,47.768633
17171,Tuulyn kheseg,17,Khan-Uul,22.306,106.569705,47.773163
17172,Shuvuun fabrik-2,17,Khan-Uul,13.723,106.566565,47.741172
17173,Uushiin ar,17,Khan-Uul,11.652,106.530344,47.731174
17174,Aj uildveriin park kheseg,17,Khan-Uul,6.325,106.592011,47.831853
17175,Ulaan ovoot,17,Khan-Uul,44.387,106.554094,47.807999
18010,Bayankhoshuu-1,18,Songinokhairkhan,11.394,106.84507,47.974026
18011,Bayankhoshuu-2,18,Songinokhairkhan,2.491,106.824032,47.977708
18030,1-r khoroolol-1,18,Songinokhairkhan,0.315,106.850352,47.91474
18031,1-r khoroolol-2,18,Songinokhairkhan,0.331,106.841897,47.914424
18032,1-r khoroolol-3,18,Songinokhairkhan,0.276,106.834628,47.913726
18040,Unur khoroolol,18,Songinokhairkhan,3.704,106.846001,47.928314
18050,Tolgoityn zuun salaa-1,18,Songinokhairkhan,21.735,106.836543,48.030108
18051,Tolgoityn zuun salaa-2,18,Songinokhairkhan,4.006,106.811287,48.027758
18052,Suurishilgui bus,18,Songinokhairkhan,7.394,106.8056,48.067041
18060,Khanyn material-1,18,Songinokhairkhan,1.953,106.831687,47.933998
18061,Khanyn material-2,18,Songinokhairkhan,0.843,106.823613,47.925352
18062,Khanyn material-3,18,Songinokhairkhan,0.776,106.824556,47.918682
18070,Moskva khoroolol-1,18,Songinokhairkhan,0.17,106.828254,47.912976
18071,Moskva khoroolol-2,18,Songinokhairkhan,0.114,106.824385,47.912899
18072,Moskva khoroolol-3,18,Songinokhairkhan,0.177,106.820785,47.912856
18080,21-r khoroolol-1,18,Songinokhairkhan,0.346,106.814467,47.912494
18081,21-r khoroolol-2,18,Songinokhairkhan,0.337,106.814586,47.918213
18082,21-r khoroolol-3,18,Songinokhairkhan,1.176,106.814227,47.930874
18090,Bayankhoshuu-3,18,Songinokhairkhan,5.465,106.801638,47.963098
18100,Tolgoit-1,18,Songinokhairkhan,0.729,106.80397,47.917664
18101,Tolgoit-2,18,Songinokhairkhan,0.729,106.802046,47.912025
18102,Tolgoit-3,18,Songinokhairkhan,1.039,106.788836,47.915567
18103,Tolgoit-4,18,Songinokhairkhan,0.744,106.780773,47.9083
18104,Tolgoit-5,18,Songinokhairkhan,0.733,106.772794,47.911644
18105,Tolgoit-6,18,Songinokhairkhan,13.553,106.786207,47.938638
18110,Bogdyn ar,18,Songinokhairkhan,5.522,106.778303,48.043963
18120,Ar gunt,18,Songinokhairkhan,57.682,106.774347,48.098337
18130,Sonsgolon-1,18,Songinokhairkhan,0.782,106.776699,47.904259
18131,Sonsgolon-2,18,Songinokhairkhan,1.79,106.7747,47.896646
18132,Sonsgolon-3,18,Songinokhairkhan,4.245,106.755528,47.887883
18133,Sonsgolon-4,18,Songinokhairkhan,1.438,106.776027,47.882826
18134,Sonsgolon-5,18,Songinokhairkhan,1.245,106.755548,47.901154
18135,Sonsgolon-6,18,Songinokhairkhan,4.07,106.731903,47.890304
18140,Naran-1,18,Songinokhairkhan,4.976,106.840668,47.946674
18141,Naran-2,18,Songinokhairkhan,2.209,106.817132,47.951942
18150,Tolgoityn baruun salaa-1,18,Songinokhairkhan,11.825,106.804217,48.006799
18151,Tolgoityn baruun salaa-2,18,Songinokhairkhan,13.0,106.779107,48.006931
18152,Suurishilgui bus,18,Songinokhairkhan,34.763,106.742631,48.02833
18160,Ikh naran,18,Songinokhairkhan,7.647,106.757154,47.959372
18170,Orbit-1,18,Songinokhairkhan,3.302,106.7602,47.923946
18171,Orbit-2,18,Songinokhairkhan,1.159,106.747367,47.905826
18172,Orbit-3,18,Songinokhairkhan,1.852,106.742364,47.912153
18173,Orbit-4,18,Songinokhairkhan,2.621,106.730765,47.91922
18180,Bayangolyn am-1,18,Songinokhairkhan,3.655,106.744899,47.932604
18181,Bayangolyn am-2,18,Songinokhairkhan,4.674,106.730749,47.948428
18182,Bayangolyn am-3,18,Songinokhairkhan,3.249,106.713163,47.937696
18183,Bayangolyn am-4,18,Songinokhairkhan,2.059,106.707934,47.955756
18190,Bayangolyn am-5,18,Songinokhairkhan,6.348,106.727149,47.972933
18191,Bayangolyn am-6,18,Songinokhairkhan,2.916,106.730439,47.993287
18192,Bayangolyn am-7,18,Songinokhairkhan,3.857,106.700861,47.974665
18193,Bayangolyn am-8,18,Songinokhairkhan,5.377,106.702178,47.998123
18200,Tsagaan burgas,18,Songinokhairkhan,10.196,106.70562,48.088152
18210,Tsagaanchuluutyn am,18,Songinokhairkhan,34.352,106.719116,48.14431
18211,Suurishilgui bus,18,Songinokhairkhan,8.924,106.776553,48.133417
18212,Boroochiin am,18,Songinokhairkhan,13.5,106.760997,48.166863
18213,Uvur uulyn ovoo,18,Songinokhairkhan,15.241,106.677843,48.173951
18214,Suurishilgui bus,18,Songinokhairkhan,10.569,106.829975,48.141511
18215,Khalzangiin am,18,Songinokhairkhan,30.399,106.804693,48.174785
18216,Khuin khundii,18,Songinokhairkhan,30.901,106.798844,48.203273
18217,335-yn garam,18,Songinokhairkhan,12.853,106.705166,48.207202
18218,Suurishilgui bus,18,Songinokhairkhan,29.161,106.653752,48.204155
18220,Nairamdal-1,18,Songinokhairkhan,0.31,106.728531,48.0063
18221,Nairamdal-2,18,Songinokhairkhan,0.346,106.732314,48.012919
18222,Nairamdal-3,18,Songinokhairkhan,0.853,106.738527,48.021948
18223,Nairamdal-4,18,Songinokhairkhan,0.379,106.723866,48.00891
18224,Nairamdal-5,18,Songinokhairkhan,0.425,106.726818,48.015767
18225,Nairamdal-6,18,Songinokhairkhan,0.578,106.729348,48.023152
18230,Ovoot tosgon,18,Songinokhairkhan,0.615,106.728906,48.000358
18240,Takhilt-1,18,Songinokhairkhan,6.625,106.703581,47.926865
18241,Takhilt-2,18,Songinokhairkhan,15.56,106.680262,47.932526
18242,Takhiltyn khundii,18,Songinokhairkhan,4.874,106.686955,47.960136
18250,Shijirtiin davaa,18,Songinokhairkhan,5.809,106.708808,48.018961
18260,Khustain am,18,Songinokhairkhan,0.43,106.696696,47.987413
18270,Khotyn shine tuv,18,Songinokhairkhan,13.244,106.683097,47.887102
18271,Avto khudaldaany tsogtsolbor,18,Songinokhairkhan,1.581,106.699694,47.884028
18280,Burkhant,18,Songinokhairkhan,22.007,106.664463,48.088943
18290,Shijir,18,Songinokhairkhan,30.423,106.662476,48.0419
18300,"Khust uul, Takhilt uul",18,Songinokhairkhan,11.979,106.619198,48.058579
18310,Shar tsetsegt,18,Songinokhairkhan,13.368,106.660939,47.990169
18311,Soyoondyn am,18,Songinokhairkhan,19.176,106.607567,47.997878
18312,Tashiryn am,18,Songinokhairkhan,18.329,106.597826,48.031644
18320,Zuun turuun,18,Songinokhairkhan,17.389,106.650822,47.937115
18330,Tarvagatain urd am,18,Songinokhairkhan,26.056,106.618095,48.150179
18340,Baruun turuun-1,18,Songinokhairkhan,9.726,106.629188,47.938103
18341,Baruun turuun-2,18,Songinokhairkhan,22.682,106.613985,47.925328
18360,347-iin garam,18,Songinokhairkhan,1.356,106.626416,48.098636
18361,Jargalant tosgon,18,Songinokhairkhan,3.695,106.634513,48.123788
18370,Saaliin am,18,Songinokhairkhan,38.283,106.572815,48.115881
18380,Ayuushiin am,18,Songinokhairkhan,9.889,106.588251,48.134947
18390,Rashaant tosgon,18,Songinokhairkhan,16.181,106.559624,48.000673
18400,Emeelt-1,18,Songinokhairkhan,8.818,106.592417,47.897967
18401,Emeelt-2,18,Songinokhairkhan,10.174,106.570196,47.88832
18402,Suurishilgui bus,18,Songinokhairkhan,12.099,106.576827,47.932276
18403,Doloon khudgiin khundii,18,Songinokhairkhan,14.593,106.552566,47.966884
18410,361-yn garam,18,Songinokhairkhan,21.796,106.574635,48.030798
18412,Suurishilgui bus,17,Khan-Uul,7.407,106.641283,47.86756
18420,Khurgany aj akhui,18,Songinokhairkhan,3.902,106.589932,47.86058
18440,369-yn garam,18,Songinokhairkhan,5.476,106.544147,47.938584
18450,Khujryn khyar,18,Songinokhairkhan,19.495,106.516962,47.998303
18460,Khui 7 khudag,18,Songinokhairkhan,8.436,106.531358,47.92992
18470,Dund duuren am,18,Songinokhairkhan,36.225,106.507668,48.109658
18471,Suurishilgui bus,18,Songinokhairkhan,8.562,106.555413,47.873365
18472,Emeelt uulyn baruun khooloi,18,Songinokhairkhan,10.571,106.536059,47.874258
18480,Nariiny khundii,18,Songinokhairkhan,57.677,106.526178,48.201487
18490,Daagan tolgoi,18,Songinokhairkhan,7.723,106.521391,48.044886
18500,Ikh bulag,18,Songinokhairkhan,21.955,106.484252,48.02461
18501,Suurishilgui bus,18,Songinokhairkhan,36.967,106.588235,48.214867
18510,Zamtyn bulag,18,Songinokhairkhan,19.866,106.485164,48.082789
18520,Tusgaltyn am,18,Songinokhairkhan,12.202,106.444529,48.205966
18530,Khundlungiin am-SKhD,18,Songinokhairkhan,41.551,106.455202,48.162074
18540,Burdiin am,18,Songinokhairkhan,17.185,106.461036,48.24355
18550,Suurishilgui bus,18,Songinokhairkhan,27.655,106.410795,48.239367
