code,zone,district_code,district,area_km2,lon,lat
12210,Nuur khoroolol,12,Baganuur,14.829,108.243481,47.719802
12211,Suurishilgui bus,12,Baganuur,8.858,108.407319,47.780816
12212,Suurishilgui bus,12,Baganuur,242.56,108.293312,47.883989
12213,Bulagtai,12,Baganuur,20.32,108.250903,47.768867
12301,Khangain khundii,19,Bagakhangai,17.374,107.446041,47.414679
12302,Suurishilgui bus,19,Bagakhangai,40.35,107.502433,47.373802
12305,Suurishilgui bus,19,Bagakhangai,69.035,107.404463,47.374022
12310,Urtuunii kheseg,19,Bagakhangai,4.251,107.488287,47.347192
12311,Bor uzuur,19,Bagakhangai,2.081,107.486455,47.364515
12312,Nuur,19,Bagakhangai,0.633,107.497667,47.353156
12313,Tsaidam,19,Bagakhangai,0.08,107.486718,47.358586
12314,Zamchin-BKhD,19,Bagakhangai,0.288,107.487179,47.356135
12320,Aerodromyn kheseg,19,Bagakhangai,8.967,107.454711,47.367343
12330,Undur tolgoi,19,Bagakhangai,4.952,107.447323,47.345867
12340,Uildveriin kheseg,19,Bagakhangai,6.345,107.472149,47.328206
12350,Altgana,19,Bagakhangai,0.184,107.426541,47.353556
12360,Unegtei,19,Bagakhangai,0.414,107.419308,47.345595
12591,Undur ulaan,11,Nalaikh,9.194,107.444793,47.831154
12592,Bayan davaany enger,11,Nalaikh,5.229,107.545827,47.832445
12593,Tsonjin boldog,11,Nalaikh,3.137,107.539475,47.812635
12594,Tulgat gatsaa,11,Nalaikh,3.749,107.514574,47.825298
12595,Aguit,11,Nalaikh,3.195,107.513569,47.809723
12596,100 mod,11,Nalaikh,7.521,107.522701,47.792492
12597,Tsagaan ovoo,11,Nalaikh,17.823,107.512928,47.754397
12598,Yolyn am,11,Nalaikh,12.898,107.506661,47.843925
12599,Elstei,11,Nalaikh,12.336,107.481263,47.78636
12600,Uu bulan,11,Nalaikh,13.652,107.47189,47.814676
12601,Shiveet ukhaa,11,Nalaikh,14.485,107.463401,47.762936
12602,Gandan am,11,Nalaikh,0.692,107.40352,47.791778
12603,Gyalaan mus,11,Nalaikh,8.427,107.425706,47.796568
12604,Saikhany saravch,11,Nalaikh,12.842,107.396675,47.822234
12605,Khukh davaany enger,11,Nalaikh,26.674,107.349109,47.843009
12607,Moiltyn khur,11,Nalaikh,3.573,107.340352,47.814139
12608,Nisekh khotkhon,11,Nalaikh,11.086,107.400487,47.775936
12609,Del uul,11,Nalaikh,8.085,107.37485,47.798448
12610,Bus nuur,11,Nalaikh,4.041,107.297883,47.771253
12611,Ikh am,11,Nalaikh,21.108,107.314834,47.797246
12612,Gandan uul,11,Nalaikh,10.373,107.350815,47.770321
12613,Uurkhai,11,Nalaikh,27.079,107.328946,47.739888
12614,Bayan,11,Nalaikh,40.446,107.269423,47.719533
12615,Darkhan noyony khundii,11,Nalaikh,27.818,107.419933,47.74553
12616,Nalaikhyn tal,11,Nalaikh,61.666,107.397064,47.703753
12617,Ikh baga modny am,11,Nalaikh,8.034,107.462874,47.666658
12618,Buurlyn davaa,11,Nalaikh,9.388,107.434254,47.668642
12619,Khar chuluutyn am,11,Nalaikh,6.289,107.402843,47.661549
12620,Barjingiin am,11,Nalaikh,4.218,107.38082,47.661178
12621,Khundlungiin am-ND,11,Nalaikh,3.655,107.365507,47.6658
12622,Khairkhany am,11,Nalaikh,9.54,107.339923,47.668437
12623,Shokhoityn am,11,Nalaikh,6.859,107.310004,47.664015
