Бүс,Он,value
            Өвөрхангай,1998,435.0
            Өвөрхангай,1997,514.0
            Өвөрхангай,1996,570.0
            Өвөрхангай,1995,523.0
            Өвөрхангай,1994,474.0
            Өвөрхангай,1993,387.0
            Өвөрхангай,1992,310.0
            Өвөрхангай,1991,216.0
            Өвөрхангай,1990,203.0
            Өвөрхангай,1989,173.0
    Баруун бүс,2025,2457.0
    Баруун бүс,2024,2161.0
    Баруун бүс,2023,1942.0
    Баруун бүс,2022,1774.0
    Баруун бүс,2021,1440.0
    Баруун бүс,2020,1312.0
    Баруун бүс,2019,1596.0
    Баруун бүс,2018,1451.0
    Баруун бүс,2017,1529.0
    Баруун бүс,2016,1443.0
    Баруун бүс,2015,1584.0
    Баруун бүс,2014,1516.0
    Баруун бүс,2013,1538.0
    Баруун бүс,2012,1567.0
    Баруун бүс,2011,1457.0
    Баруун бүс,2010,1530.0
    Баруун бүс,2009,1545.0
    Баруун бүс,2008,1843.0
    Баруун бүс,2007,1813.0
    Баруун бүс,2006,1547.0
    Баруун бүс,2005,1440.0
    Баруун бүс,2004,1461.0
    Баруун бүс,2003,1564.0
    Баруун бүс,2002,1862.0
    Баруун бүс,2001,1909.0
    Баруун бүс,2000,1815.0
    Баруун бүс,1999,1983.0
    Баруун бүс,1998,1858.0
    Баруун бүс,1997,1864.0
    Баруун бүс,1996,1554.0
    Баруун бүс,1995,1361.0
    Баруун бүс,1994,1312.0
    Баруун бүс,1993,1332.0
    Баруун бүс,1992,1034.0
    Баруун бүс,1991,814.0
    Баруун бүс,1990,734.0
    Баруун бүс,1989,688.0
            Баян-Өлгий,2025,596.0
            Баян-Өлгий,2024,447.0
            Баян-Өлгий,2023,407.0
            Баян-Өлгий,2022,313.0
            Баян-Өлгий,2021,187.0
            Баян-Өлгий,2020,308.0
            Баян-Өлгий,2019,306.0
            Баян-Өлгий,2018,318.0
            Баян-Өлгий,2017,319.0
            Баян-Өлгий,2016,281.0
            Баян-Өлгий,2015,279.0
            Баян-Өлгий,2014,287.0
            Баян-Өлгий,2013,349.0
            Баян-Өлгий,2012,467.0
            Баян-Өлгий,2011,345.0
            Баян-Өлгий,2010,378.0
            Баян-Өлгий,2009,313.0
            Баян-Өлгий,2008,365.0
            Баян-Өлгий,2007,351.0
            Баян-Өлгий,2006,235.0
            Баян-Өлгий,2005,144.0
            Баян-Өлгий,2004,123.0
            Баян-Өлгий,2003,199.0
            Баян-Өлгий,2002,232.0
            Баян-Өлгий,2001,275.0
            Баян-Өлгий,2000,253.0
            Баян-Өлгий,1999,272.0
            Баян-Өлгий,1998,268.0
            Баян-Өлгий,1997,221.0
            Баян-Өлгий,1996,236.0
            Баян-Өлгий,1995,206.0
            Баян-Өлгий,1994,161.0
            Баян-Өлгий,1993,188.0
            Баян-Өлгий,1992,217.0
            Баян-Өлгий,1991,138.0
            Баян-Өлгий,1990,105.0
            Баян-Өлгий,1989,100.0
            Говь-Алтай,2025,382.0
            Говь-Алтай,2024,405.0
            Говь-Алтай,2023,273.0
            Говь-Алтай,2022,231.0
            Говь-Алтай,2021,231.0
            Говь-Алтай,2020,151.0
            Говь-Алтай,2019,235.0
            Говь-Алтай,2018,203.0
            Говь-Алтай,2017,200.0
            Говь-Алтай,2016,183.0
            Говь-Алтай,2015,210.0
            Говь-Алтай,2014,199.0
            Говь-Алтай,2013,189.0
            Говь-Алтай,2012,169.0
            Говь-Алтай,2011,148.0
            Говь-Алтай,2010,174.0
            Говь-Алтай,2009,123.0
            Говь-Алтай,2008,177.0
            Говь-Алтай,2007,239.0
            Говь-Алтай,2006,175.0
            Говь-Алтай,2005,157.0
            Говь-Алтай,2004,172.0
            Говь-Алтай,2003,191.0
            Говь-Алтай,2002,269.0
            Говь-Алтай,2001,261.0
            Говь-Алтай,2000,251.0
            Говь-Алтай,1999,298.0
            Говь-Алтай,1998,288.0
            Говь-Алтай,1997,301.0
            Говь-Алтай,1996,187.0
            Говь-Алтай,1995,184.0
            Говь-Алтай,1994,223.0
            Говь-Алтай,1993,195.0
            Говь-Алтай,1992,122.0
            Говь-Алтай,1991,109.0
            Говь-Алтай,1990,101.0
            Говь-Алтай,1989,81.0
            Завхан,2025,483.0
            Завхан,2024,285.0
            Завхан,2023,328.0
            Завхан,2022,405.0
            Завхан,2021,367.0
            Завхан,2020,271.0
            Завхан,2019,247.0
            Завхан,2018,235.0
            Завхан,2017,221.0
            Завхан,2016,259.0
            Завхан,2015,225.0
            Завхан,2014,312.0
            Завхан,2013,300.0
            Завхан,2012,354.0
            Завхан,2011,320.0
            Завхан,2010,294.0
            Завхан,2009,324.0
            Завхан,2008,320.0
            Завхан,2007,335.0
            Завхан,2006,297.0
            Завхан,2005,340.0
            Завхан,2004,397.0
            Завхан,2003,383.0
            Завхан,2002,406.0
            Завхан,2001,479.0
            Завхан,2000,441.0
            Завхан,1999,374.0
            Завхан,1998,332.0
            Завхан,1997,366.0
            Завхан,1996,334.0
            Завхан,1995,329.0
            Завхан,1994,294.0
            Завхан,1993,286.0
            Завхан,1992,201.0
            Завхан,1991,163.0
            Завхан,1990,195.0
            Завхан,1989,183.0
            Увс,2025,336.0
            Увс,2024,348.0
            Увс,2023,333.0
            Увс,2022,287.0
            Увс,2021,239.0
            Увс,2020,188.0
            Увс,2019,327.0
            Увс,2018,332.0
            Увс,2017,356.0
            Увс,2016,322.0
            Увс,2015,372.0
            Увс,2014,361.0
            Увс,2013,334.0
            Увс,2012,306.0
            Увс,2011,363.0
            Увс,2010,389.0
            Увс,2009,405.0
            Увс,2008,463.0
            Увс,2007,363.0
            Увс,2006,351.0
            Увс,2005,443.0
            Увс,2004,444.0
            Увс,2003,456.0
            Увс,2002,453.0
            Увс,2001,441.0
            Увс,2000,432.0
            Увс,1999,586.0
            Увс,1998,452.0
            Увс,1997,429.0
            Увс,1996,341.0
            Увс,1995,275.0
            Увс,1994,316.0
            Увс,1993,308.0
            Увс,1992,262.0
            Увс,1991,203.0
            Увс,1990,173.0
            Увс,1989,152.0
            Ховд,2025,660.0
            Ховд,2024,676.0
            Ховд,2023,601.0
            Ховд,2022,538.0
            Ховд,2021,416.0
            Ховд,2020,394.0
            Ховд,2019,481.0
            Ховд,2018,363.0
            Ховд,2017,433.0
            Ховд,2016,398.0
            Ховд,2015,498.0
            Ховд,2014,357.0
            Ховд,2013,366.0
            Ховд,2012,271.0
            Ховд,2011,281.0
            Ховд,2010,295.0
            Ховд,2009,380.0
            Ховд,2008,518.0
            Ховд,2007,525.0
            Ховд,2006,489.0
            Ховд,2005,356.0
            Ховд,2004,325.0
            Ховд,2003,335.0
            Ховд,2002,502.0
            Ховд,2001,453.0
            Ховд,2000,438.0
