Region,Month,value
 Bayan-Ulgii,2024-08,213
 Bayan-Ulgii,2024-07,218
 Bayan-Ulgii,2024-06,228
 Bayan-Ulgii,2024-05,239
 Bayan-Ulgii,2024-04,199
 Bayan-Ulgii,2024-03,198
 Bayan-Ulgii,2024-02,179
 Bayan-Ulgii,2024-01,205
 Bayan-Ulgii,2023-12,198
 Bayan-Ulgii,2023-11,212
 Bayan-Ulgii,2023-10,205
 Bayan-Ulgii,2023-09,245
 Bayan-Ulgii,2023-08,220
 Bayan-Ulgii,2023-07,259
 Bayan-Ulgii,2023-06,220
 Bayan-Ulgii,2023-05,229
 Bayan-Ulgii,2023-04,247
 Bayan-Ulgii,2023-03,253
 Bayan-Ulgii,2023-02,202
 Bayan-Ulgii,2023-01,217
 Bayan-Ulgii,2022-12,232
 Bayan-Ulgii,2022-11,252
 Bayan-Ulgii,2022-10,235
 Bayan-Ulgii,2022-09,255
 Bayan-Ulgii,2022-08,249
 Bayan-Ulgii,2022-07,234
 Bayan-Ulgii,2022-06,237
 Bayan-Ulgii,2022-05,240
 Bayan-Ulgii,2022-04,211
 Bayan-Ulgii,2022-03,238
 Bayan-Ulgii,2022-02,189
 Bayan-Ulgii,2022-01,202
 Bayan-Ulgii,2021-12,231
 Bayan-Ulgii,2021-11,226
 Bayan-Ulgii,2021-10,243
 Bayan-Ulgii,2021-09,273
 Bayan-Ulgii,2021-08,250
 Bayan-Ulgii,2021-07,274
 Bayan-Ulgii,2021-06,239
 Bayan-Ulgii,2021-05,261
 Bayan-Ulgii,2021-04,239
 Bayan-Ulgii,2021-03,263
 Bayan-Ulgii,2021-02,216
 Bayan-Ulgii,2021-01,212
 Bayan-Ulgii,2020-12,249
 Bayan-Ulgii,2020-11,207
 Bayan-Ulgii,2020-10,253
 Bayan-Ulgii,2020-09,251
 Bayan-Ulgii,2020-08,259
 Bayan-Ulgii,2020-07,244
 Bayan-Ulgii,2020-06,232
 Bayan-Ulgii,2020-05,236
 Bayan-Ulgii,2020-04,274
 Bayan-Ulgii,2020-03,249
 Bayan-Ulgii,2020-02,181
 Bayan-Ulgii,2020-01,229
 Bayan-Ulgii,2019-12,258
 Bayan-Ulgii,2019-11,199
 Bayan-Ulgii,2019-10,283
 Bayan-Ulgii,2019-09,211
 Bayan-Ulgii,2019-08,275
 Bayan-Ulgii,2019-07,292
 Bayan-Ulgii,2019-06,245
 Bayan-Ulgii,2019-05,263
 Bayan-Ulgii,2019-04,246
 Bayan-Ulgii,2019-03,265
 Bayan-Ulgii,2019-02,222
 Bayan-Ulgii,2019-01,231
 Bayan-Ulgii,2018-12,246
 Bayan-Ulgii,2018-11,244
 Bayan-Ulgii,2018-10,242
 Bayan-Ulgii,2018-09,199
 Bayan-Ulgii,2018-08,258
 Bayan-Ulgii,2018-07,251
 Bayan-Ulgii,2018-06,259
 Bayan-Ulgii,2018-05,247
 Bayan-Ulgii,2018-04,273
 Bayan-Ulgii,2018-03,254
 Bayan-Ulgii,2018-02,199
 Bayan-Ulgii,2018-01,247
 Bayan-Ulgii,2017-12,230
 Bayan-Ulgii,2017-11,236
 Bayan-Ulgii,2017-10,246
 Bayan-Ulgii,2017-09,226
 Bayan-Ulgii,2017-08,215
 Bayan-Ulgii,2017-07,249
 Bayan-Ulgii,2017-06,268
 Bayan-Ulgii,2017-05,237
 Bayan-Ulgii,2017-04,248
 Bayan-Ulgii,2017-03,257
 Bayan-Ulgii,2017-02,220
 Bayan-Ulgii,2017-01,217
 Bayan-Ulgii,2016-12,249
 Bayan-Ulgii,2016-11,206
 Bayan-Ulgii,2016-10,259
 Bayan-Ulgii,2016-09,227
 Bayan-Ulgii,2016-08,261
 Bayan-Ulgii,2016-07,204
 Bayan-Ulgii,2016-06,229
 Bayan-Ulgii,2016-05,260
 Bayan-Ulgii,2016-04,248
 Bayan-Ulgii,2016-03,238
 Bayan-Ulgii,2016-02,227
 Bayan-Ulgii,2016-01,223
 Govi-Altai,2026-03,60
 Govi-Altai,2026-02,57
 Govi-Altai,2026-01,73
 Govi-Altai,2025-12,62
 Govi-Altai,2025-11,70
 Govi-Altai,2025-10,65
 Govi-Altai,2025-09,68
 Govi-Altai,2025-08,61
 Govi-Altai,2025-07,68
 Govi-Altai,2025-06,70
 Govi-Altai,2025-05,67
 Govi-Altai,2025-04,70
 Govi-Altai,2025-03,66
 Govi-Altai,2025-02,73
 Govi-Altai,2025-01,73
 Govi-Altai,2024-12,69
 Govi-Altai,2024-11,73
 Govi-Altai,2024-10,84
 Govi-Altai,2024-09,78
 Govi-Altai,2024-08,54
 Govi-Altai,2024-07,67
 Govi-Altai,2024-06,71
 Govi-Altai,2024-05,86
 Govi-Altai,2024-04,94
 Govi-Altai,2024-03,60
 Govi-Altai,2024-02,63
 Govi-Altai,2024-01,63
 Govi-Altai,2023-12,65
 Govi-Altai,2023-11,107
 Govi-Altai,2023-10,71
 Govi-Altai,2023-09,77
 Govi-Altai,2023-08,95
 Govi-Altai,2023-07,64
 Govi-Altai,2023-06,74
 Govi-Altai,2023-05,81
 Govi-Altai,2023-04,86
 Govi-Altai,2023-03,88
 Govi-Altai,2023-02,81
 Govi-Altai,2023-01,94
 Govi-Altai,2022-12,91
 Govi-Altai,2022-11,90
 Govi-Altai,2022-10,101
 Govi-Altai,2022-09,98
 Govi-Altai,2022-08,87
 Govi-Altai,2022-07,94
 Govi-Altai,2022-06,84
 Govi-Altai,2022-05,88
 Govi-Altai,2022-04,103
 Govi-Altai,2022-03,79
 Govi-Altai,2022-02,62
 Govi-Altai,2022-01,66
 Govi-Altai,2021-12,105
 Govi-Altai,2021-11,96
 Govi-Altai,2021-10,112
