он,сар,орлогын_төрөл,төлөвлөгөө_сая_төг,гүйцэтгэл_сая_төг,хувь
2026,7,БҮГД,293986.9,226834.3,77.2
2026,7,Ашигт малтмалын тусгай зөвшөөрлийн төлбөр,36605.2,24361.4,66.6
2026,7,Улсын төсвийн хөрөнгөөр хайгуул хийсэн ордын нөхөн төлбөр,2395.0,1456.5,60.8
2026,7,Газрын тосны экспорт,231472.9,125463.7,54.2
2026,7,Бусад орлого,3513.8,2044.6,58.2
2026,7,Сонгон шалгаруулалт,20000.0,73508.2,367.5
