year,month,revenue_type,plan_mln_mnt,actual_mln_mnt,pct_of_plan
2026,7,Total,293986.9,226834.3,77.2
2026,7,Mineral licence fees,36605.2,24361.4,66.6
2026,7,Reimbursement for state-funded exploration,2395.0,1456.5,60.8
2026,7,Petroleum exports,231472.9,125463.7,54.2
2026,7,Other revenue,3513.8,2044.6,58.2
2026,7,Tender revenue,20000.0,73508.2,367.5
