Үзүүлэлт,Улсын дүн,Он,value
Орлого,Улсын дүн,2025,30057666.1
Орлого,Улсын дүн,2024,29670835.6
Орлого,Улсын дүн,2023,23294889.9
Орлого,Улсын дүн,2022,17126936.3
Орлого,Улсын дүн,2021,12711434.7
Орлого,Улсын дүн,2020,9463838.2
Орлого,Улсын дүн,2019,10905510.8
Орлого,Улсын дүн,2018,9345080.1
Орлого,Улсын дүн,2017,7274861.6
Орлого,Улсын дүн,2016,5835043.8
Орлого,Улсын дүн,2015,5981064.0
Орлого,Улсын дүн,2014,6276608.8
Орлого,Улсын дүн,2013,5940066.7
Орлого,Улсын дүн,2012,4881171.9
Орлого,Улсын дүн,2011,4227178.1
Орлого,Улсын дүн,2010,3122464.2
Орлого,Улсын дүн,2009,1993995.6
Орлого,Улсын дүн,2008,2170370.0
Орлого,Улсын дүн,2007,1880488.9
Орлого,Улсын дүн,2006,1360409.8
Орлого,Улсын дүн,2005,837858.3
Орлого,Улсын дүн,2004,713113.6
Орлого,Улсын дүн,2003,553889.3
Орлого,Улсын дүн,2002,477049.0
Орлого,Улсын дүн,2001,439290.0
Орлого,Улсын дүн,2000,347409.5
Орлого,Улсын дүн,1999,266494.6
Орлого,Улсын дүн,1998,239998.1
Орлого,Улсын дүн,1997,222528.3
Орлого,Улсын дүн,1996,162923.6
Орлого,Улсын дүн,1995,144568.9
Орлого,Улсын дүн,1994,86132.1
Орлого,Улсын дүн,1993,57682.3
Орлого,Улсын дүн,1992,12824.9
Орлого,Улсын дүн,1991,7208.7
Орлого,Улсын дүн,1990,6494.2
Орлого,Улсын дүн,1989,6901.6
Орлого,Улсын дүн,1988,6747.5
Орлого,Улсын дүн,1987,6441.6
Орлого,Улсын дүн,1986,6111.1
Орлого,Улсын дүн,1985,5741.0
Орлого,Улсын дүн,1984,4795.4
Орлого,Улсын дүн,1983,5156.0
Орлого,Улсын дүн,1982,4829.5
Орлого,Улсын дүн,1981,4369.3
Орлого,Улсын дүн,1980,4073.3
Орлого,Улсын дүн,1979,3811.8
Орлого,Улсын дүн,1978,3424.0
Орлого,Улсын дүн,1977,3202.3
Орлого,Улсын дүн,1976,3176.1
Орлого,Улсын дүн,1975,2752.9
Орлого,Улсын дүн,1974,2715.9
Орлого,Улсын дүн,1973,2677.7
Орлого,Улсын дүн,1972,2245.5
Орлого,Улсын дүн,1971,2139.5
Орлого,Улсын дүн,1970,1965.0
Орлого,Улсын дүн,1969,1878.5
Орлого,Улсын дүн,1968,1797.1
Орлого,Улсын дүн,1967,1759.9
Орлого,Улсын дүн,1966,1643.2
Орлого,Улсын дүн,1965,1544.1
Орлого,Улсын дүн,1964,1478.9
Орлого,Улсын дүн,1963,1334.9
Орлого,Улсын дүн,1962,1285.2
Орлого,Улсын дүн,1961,1252.0
Орлого,Улсын дүн,1960,1067.1
Орлого,Улсын дүн,1959,873.1
Орлого,Улсын дүн,1958,770.3
Орлого,Улсын дүн,1957,643.2
Орлого,Улсын дүн,1956,520.4
Орлого,Улсын дүн,1955,466.6
Орлого,Улсын дүн,1954,398.4
Орлого,Улсын дүн,1953,383.0
Орлого,Улсын дүн,1952,389.7
Орлого,Улсын дүн,1951,345.7
Орлого,Улсын дүн,1950,322.5
Орлого,Улсын дүн,1949,318.7
Орлого,Улсын дүн,1948,319.1
Орлого,Улсын дүн,1947,302.8
Орлого,Улсын дүн,1946,284.5
Орлого,Улсын дүн,1945,315.2
Орлого,Улсын дүн,1944,249.0
Орлого,Улсын дүн,1943,208.7
Орлого,Улсын дүн,1942,174.1
Орлого,Улсын дүн,1941,176.8
Орлого,Улсын дүн,1940,123.9
Орлого,Улсын дүн,1939,102.5
Орлого,Улсын дүн,1938,92.0
Орлого,Улсын дүн,1937,69.4
Орлого,Улсын дүн,1936,53.4
Орлого,Улсын дүн,1935,38.1
Орлого,Улсын дүн,1934,38.9
Орлого,Улсын дүн,1933,33.3
Орлого,Улсын дүн,1932,35.6
Орлого,Улсын дүн,1931,35.0
Орлого,Улсын дүн,1930,27.4
Орлого,Улсын дүн,1929,19.9
Орлого,Улсын дүн,1928,15.8
Орлого,Улсын дүн,1927,15.7
Орлого,Улсын дүн,1926,11.0
Орлого,Улсын дүн,1925,8.0
Орлого,Улсын дүн,1924,6.9
Орлого,Улсын дүн,1923,4.3
Орлого,Улсын дүн,1922,3.0
Орлого,Улсын дүн,1921,1.7
Зарлага,Улсын дүн,2025,31289204.3
Зарлага,Улсын дүн,2024,30591083.9
Зарлага,Улсын дүн,2023,22509000.1
Зарлага,Улсын дүн,2022,18159668.9
Зарлага,Улсын дүн,2021,15630443.9
Зарлага,Улсын дүн,2020,13904273.0
Зарлага,Улсын дүн,2019,11661701.2
Зарлага,Улсын дүн,2018,9317220.8
Зарлага,Улсын дүн,2017,9017318.6
Зарлага,Улсын дүн,2016,9495332.9
Зарлага,Улсын дүн,2015,7137973.9
Зарлага,Улсын дүн,2014,7144568.0
Зарлага,Улсын дүн,2013,6164685.3
Зарлага,Улсын дүн,2012,6017800.5
Зарлага,Улсын дүн,2011,4997039.9
Зарлага,Улсын дүн,2010,3080685.1
Зарлага,Улсын дүн,2009,2336629.5
Зарлага,Улсын дүн,2008,2466774.4
Зарлага,Улсын дүн,2007,1747310.5
Зарлага,Улсын дүн,2006,1237008.0
Зарлага,Улсын дүн,2005,764597.2
Зарлага,Улсын дүн,2004,752486.4
Зарлага,Улсын дүн,2003,615771.2
Зарлага,Улсын дүн,2002,548639.2
Зарлага,Улсын дүн,2001,489730.5
Зарлага,Улсын дүн,2000,434246.1
Зарлага,Улсын дүн,1999,361683.8
Зарлага,Улсын дүн,1998,342201.3
Зарлага,Улсын дүн,1997,287648.5
Зарлага,Улсын дүн,1996,162377.5
Зарлага,Улсын дүн,1995,132153.1
Зарлага,Улсын дүн,1994,96103.2
Зарлага,Улсын дүн,1993,57228.6
Зарлага,Улсын дүн,1992,12360.8
Зарлага,Улсын дүн,1991,8929.3
Зарлага,Улсын дүн,1990,6812.3
Зарлага,Улсын дүн,1989,7062.3
Зарлага,Улсын дүн,1988,6741.7
Зарлага,Улсын дүн,1987,6408.6
Зарлага,Улсын дүн,1986,6056.2
Зарлага,Улсын дүн,1985,5700.9
Зарлага,Улсын дүн,1984,5383.1
Зарлага,Улсын дүн,1983,5126.0
Зарлага,Улсын дүн,1982,4756.7
Зарлага,Улсын дүн,1981,4269.9
Зарлага,Улсын дүн,1980,4044.0
Зарлага,Улсын дүн,1979,3756.1
Зарлага,Улсын дүн,1978,3261.0
Зарлага,Улсын дүн,1977,3024.1
Зарлага,Улсын дүн,1976,3022.1
Зарлага,Улсын дүн,1975,2683.4
Зарлага,Улсын дүн,1974,2669.8
Зарлага,Улсын дүн,1973,2529.9
Зарлага,Улсын дүн,1972,2165.1
Зарлага,Улсын дүн,1971,2080.5
Зарлага,Улсын дүн,1970,1909.5
Зарлага,Улсын дүн,1969,1828.8
Зарлага,Улсын дүн,1968,1734.0
Зарлага,Улсын дүн,1967,1708.0
Зарлага,Улсын дүн,1966,1612.9
Зарлага,Улсын дүн,1965,1468.2
Зарлага,Улсын дүн,1964,1419.5
Зарлага,Улсын дүн,1963,1336.8
Зарлага,Улсын дүн,1962,1281.0
Зарлага,Улсын дүн,1961,1247.7
Зарлага,Улсын дүн,1960,1016.8
Зарлага,Улсын дүн,1959,863.5
Зарлага,Улсын дүн,1958,713.3
Зарлага,Улсын дүн,1957,600.3
Зарлага,Улсын дүн,1956,509.7
Зарлага,Улсын дүн,1955,461.7
Зарлага,Улсын дүн,1954,412.5
Зарлага,Улсын дүн,1953,369.9
Зарлага,Улсын дүн,1952,363.0
Зарлага,Улсын дүн,1951,350.7
Зарлага,Улсын дүн,1950,315.8
Зарлага,Улсын дүн,1949,320.1
Зарлага,Улсын дүн,1948,316.1
Зарлага,Улсын дүн,1947,309.8
Зарлага,Улсын дүн,1946,304.1
Зарлага,Улсын дүн,1945,287.7
Зарлага,Улсын дүн,1944,217.2
Зарлага,Улсын дүн,1943,185.4
Зарлага,Улсын дүн,1942,157.9
Зарлага,Улсын дүн,1941,176.8
Зарлага,Улсын дүн,1940,122.1
Зарлага,Улсын дүн,1939,98.5
Зарлага,Улсын дүн,1938,89.0
Зарлага,Улсын дүн,1937,65.4
Зарлага,Улсын дүн,1936,48.4
Зарлага,Улсын дүн,1935,36.5
Зарлага,Улсын дүн,1934,37.5
Зарлага,Улсын дүн,1933,32.4
Зарлага,Улсын дүн,1932,35.6
Зарлага,Улсын дүн,1931,33.4
Зарлага,Улсын дүн,1930,26.3
Зарлага,Улсын дүн,1929,19.9
Зарлага,Улсын дүн,1928,15.6
Зарлага,Улсын дүн,1927,15.2
Зарлага,Улсын дүн,1926,9.7
Зарлага,Улсын дүн,1925,8.0
Зарлага,Улсын дүн,1924,6.7
Зарлага,Улсын дүн,1923,4.3
Зарлага,Улсын дүн,1922,3.0
Зарлага,Улсын дүн,1921,1.7
Тэнцэл,Улсын дүн,2025,-1231538.2
Тэнцэл,Улсын дүн,2024,-920248.3
Тэнцэл,Улсын дүн,2023,785889.8
Тэнцэл,Улсын дүн,2022,-1032732.6
Тэнцэл,Улсын дүн,2021,-2919009.2
Тэнцэл,Улсын дүн,2020,-4440434.8
Тэнцэл,Улсын дүн,2019,-756190.4
Тэнцэл,Улсын дүн,2018,27859.3
Тэнцэл,Улсын дүн,2017,-1742456.9
Тэнцэл,Улсын дүн,2016,-3660289.1
Тэнцэл,Улсын дүн,2015,-1156909.8
Тэнцэл,Улсын дүн,2014,-867959.1
Тэнцэл,Улсын дүн,2013,-224618.7
Тэнцэл,Улсын дүн,2012,-1136628.6
Тэнцэл,Улсын дүн,2011,-769861.8
Тэнцэл,Улсын дүн,2010,41779.0
Тэнцэл,Улсын дүн,2009,-342634.1
Тэнцэл,Улсын дүн,2008,-296404.4
Тэнцэл,Улсын дүн,2007,133178.4
Тэнцэл,Улсын дүн,2006,123401.8
Тэнцэл,Улсын дүн,2005,73261.1
Тэнцэл,Улсын дүн,2004,-39372.8
Тэнцэл,Улсын дүн,2003,-61882.0
Тэнцэл,Улсын дүн,2002,-71590.3
Тэнцэл,Улсын дүн,2001,-50440.5
Тэнцэл,Улсын дүн,2000,-86836.6
Тэнцэл,Улсын дүн,1999,-95189.2
Тэнцэл,Улсын дүн,1998,-102203.2
Тэнцэл,Улсын дүн,1997,-65120.2
Тэнцэл,Улсын дүн,1996,546.1
Тэнцэл,Улсын дүн,1995,12415.8
Тэнцэл,Улсын дүн,1994,-9971.1
Тэнцэл,Улсын дүн,1993,453.7
Тэнцэл,Улсын дүн,1992,464.1
Тэнцэл,Улсын дүн,1991,-1720.6
Тэнцэл,Улсын дүн,1990,-318.1
Тэнцэл,Улсын дүн,1989,-160.7
Тэнцэл,Улсын дүн,1988,5.8
Тэнцэл,Улсын дүн,1987,33.0
Тэнцэл,Улсын дүн,1986,54.9
Тэнцэл,Улсын дүн,1985,40.1
Тэнцэл,Улсын дүн,1984,-587.7
Тэнцэл,Улсын дүн,1983,30.0
Тэнцэл,Улсын дүн,1982,72.8
Тэнцэл,Улсын дүн,1981,99.4
Тэнцэл,Улсын дүн,1980,29.3
Тэнцэл,Улсын дүн,1979,55.7
Тэнцэл,Улсын дүн,1978,163.0
Тэнцэл,Улсын дүн,1977,178.2
Тэнцэл,Улсын дүн,1976,154.0
Тэнцэл,Улсын дүн,1975,69.5
Тэнцэл,Улсын дүн,1974,46.1
Тэнцэл,Улсын дүн,1973,147.8
Тэнцэл,Улсын дүн,1972,80.4
Тэнцэл,Улсын дүн,1971,59.0
Тэнцэл,Улсын дүн,1970,55.5
Тэнцэл,Улсын дүн,1969,49.7
Тэнцэл,Улсын дүн,1968,63.1
Тэнцэл,Улсын дүн,1967,51.9
Тэнцэл,Улсын дүн,1966,30.3
Тэнцэл,Улсын дүн,1965,75.9
Тэнцэл,Улсын дүн,1964,59.4
Тэнцэл,Улсын дүн,1963,-1.9
Тэнцэл,Улсын дүн,1962,4.2
Тэнцэл,Улсын дүн,1961,4.3
Тэнцэл,Улсын дүн,1960,50.3
Тэнцэл,Улсын дүн,1959,9.6
Тэнцэл,Улсын дүн,1958,57.0
Тэнцэл,Улсын дүн,1957,42.9
Тэнцэл,Улсын дүн,1956,10.7
Тэнцэл,Улсын дүн,1955,4.9
Тэнцэл,Улсын дүн,1954,-14.1
Тэнцэл,Улсын дүн,1953,13.1
Тэнцэл,Улсын дүн,1952,26.7
Тэнцэл,Улсын дүн,1951,-5.0
Тэнцэл,Улсын дүн,1950,6.7
Тэнцэл,Улсын дүн,1949,-1.4
Тэнцэл,Улсын дүн,1948,3.0
Тэнцэл,Улсын дүн,1947,-7.0
Тэнцэл,Улсын дүн,1946,-19.6
Тэнцэл,Улсын дүн,1945,27.5
Тэнцэл,Улсын дүн,1944,31.8
Тэнцэл,Улсын дүн,1943,23.3
Тэнцэл,Улсын дүн,1942,16.2
Тэнцэл,Улсын дүн,1941,0.0
Тэнцэл,Улсын дүн,1940,1.8
Тэнцэл,Улсын дүн,1939,4.0
Тэнцэл,Улсын дүн,1938,3.0
Тэнцэл,Улсын дүн,1937,4.0
Тэнцэл,Улсын дүн,1936,5.0
Тэнцэл,Улсын дүн,1935,1.6
Тэнцэл,Улсын дүн,1934,1.4
Тэнцэл,Улсын дүн,1933,0.9
Тэнцэл,Улсын дүн,1932,0.0
Тэнцэл,Улсын дүн,1931,1.6
