Reference year,Group,Month,value
2015=100,Overall index,2025-11,
2015=100,Overall index,2025-10,
2015=100,Overall index,2025-09,
2015=100,Overall index,2025-08,
2015=100,Overall index,2025-07,
2015=100,Overall index,2025-06,
2015=100,Overall index,2025-05,
2015=100,Overall index,2025-04,
2015=100,Overall index,2025-03,
2015=100,Overall index,2025-02,
2015=100,Overall index,2025-01,
2015=100,Overall index,2024-12,
2015=100,Overall index,2024-11,
2015=100,Overall index,2024-10,
2015=100,Overall index,2024-09,
2015=100,Overall index,2024-08,
2015=100,Overall index,2024-07,
2015=100,Overall index,2024-06,
2015=100,Overall index,2024-05,
2015=100,Overall index,2024-04,
2015=100,Overall index,2024-03,
2015=100,Overall index,2024-02,
2015=100,Overall index,2024-01,
2015=100,Overall index,2023-12,
2015=100,Overall index,2023-11,
2015=100,Overall index,2023-10,
2015=100,Overall index,2023-09,
2015=100,Overall index,2023-08,
2015=100,Overall index,2023-07,
2015=100,Overall index,2023-06,
2015=100,Overall index,2023-05,
2015=100,Overall index,2023-04,
2015=100,Overall index,2023-03,
2015=100,Overall index,2023-02,
2015=100,Overall index,2023-01,
2015=100,Overall index,2022-12,
2015=100,Overall index,2022-11,
2015=100,Overall index,2022-10,
2015=100,Overall index,2022-09,
2015=100,Overall index,2022-08,
2015=100,Overall index,2022-07,0.6
2015=100,Overall index,2022-06,1.5
2015=100,Overall index,2022-05,1.4
2015=100,Overall index,2022-04,2.9
2015=100,Overall index,2022-03,-0.1
2015=100,Overall index,2022-02,0.1
2015=100,Overall index,2022-01,-0.5
2015=100,Overall index,2021-12,-1.8
2015=100,Overall index,2021-11,-2.1
2015=100,Overall index,2021-10,-0.2
2015=100,Overall index,2021-09,3.2
2015=100,Overall index,2021-08,1.1
2015=100,Overall index,2021-07,1.9
2015=100,Overall index,2021-06,6.0
2015=100,Overall index,2021-05,6.1
2015=100,Overall index,2021-04,2.7
2015=100,Overall index,2021-03,3.1
2015=100,Overall index,2021-02,1.9
2015=100,Overall index,2021-01,0.5
2015=100,Overall index,2020-12,0.4
2015=100,Overall index,2020-11,1.3
2015=100,Overall index,2020-10,1.3
2015=100,Overall index,2020-09,2.7
2015=100,Overall index,2020-08,0.6
2015=100,Overall index,2020-07,2.1
2015=100,Overall index,2020-06,1.1
2015=100,Overall index,2020-05,1.2
2015=100,Overall index,2020-04,0.4
2015=100,Overall index,2020-03,2.2
2015=100,Overall index,2020-02,-0.5
2015=100,Overall index,2020-01,0.4
2015=100,Overall index,2019-12,0.3
2015=100,Overall index,2019-11,-0.3
2015=100,Overall index,2019-10,-0.3
2015=100,Overall index,2019-09,-0.9
2015=100,Overall index,2019-08,-0.3
2015=100,Overall index,2019-07,1.3
2015=100,Overall index,2019-06,0.4
2015=100,Overall index,2019-05,2.5
2015=100,Overall index,2019-04,-0.6
2015=100,Overall index,2019-03,1.1
2015=100,Overall index,2019-02,1.1
2015=100,Overall index,2019-01,1.3
2015=100,Overall index,2018-12,0.7
2015=100,Overall index,2018-11,2.2
2015=100,Overall index,2018-10,1.2
2015=100,Overall index,2018-09,0.0
2015=100,Overall index,2018-08,-0.9
2015=100,Overall index,2018-07,0.7
2015=100,Overall index,2018-06,0.7
2015=100,Overall index,2018-05,0.5
2015=100,Overall index,2018-04,0.6
2015=100,Overall index,2018-03,1.2
2015=100,Overall index,2018-02,0.7
2015=100,Overall index,2018-01,1.7
2015=100,Overall index,2017-12,0.3
2015=100,Overall index,2017-11,-0.1
2015=100,Overall index,2017-10,0.4
2015=100,Overall index,2017-09,0.5
2015=100,Overall index,2017-08,1.3
2015=100,Overall index,2017-07,-0.1
2015=100,Overall index,2017-06,-0.6
2015=100,Overall index,2017-05,0.6
2015=100,Overall index,2017-04,1.5
2015=100,Overall index,2017-03,1.6
2015=100,Overall index,2017-02,0.6
2015=100,Overall index,2017-01,0.9
2015=100,Overall index,2016-12,0.7
2015=100,Overall index,2016-11,0.5
2015=100,Overall index,2016-10,-1.1
2015=100,Overall index,2016-09,-0.7
2015=100,Overall index,2016-08,-0.7
2015=100,Overall index,2016-07,0.1
2015=100,Overall index,2016-06,-0.3
2015=100,Overall index,2016-05,0.0
2015=100,Overall index,2016-04,1.3
2015=100,Overall index,2016-03,0.4
2015=100,Overall index,2016-02,0.5
2015=100,Overall index,2016-01,0.0
2015=100,Overall index,2015-12,1.0
2015=100,Overall index,2015-11,2.2
2015=100,Overall index,2015-10,2.6
2015=100,Overall index,2015-09,1.5
2015=100,Overall index,2015-08,0.0
2015=100,Overall index,2015-07,0.4
2015=100,Overall index,2015-06,1.6
2015=100,Overall index,2015-05,0.1
2015=100,Overall index,2015-04,1.4
2015=100,Overall index,2015-03,0.9
2015=100,Overall index,2015-02,0.5
2015=100,Overall index,2015-01,3.4
2015=100,Overall index,2014-12,0.7
2015=100,Overall index,2014-11,2.0
2015=100,Overall index,2014-10,0.7
2015=100,Overall index,2014-09,-1.7
2015=100,Overall index,2014-08,0.7
2015=100,Overall index,2014-07,1.6
2015=100,Overall index,2014-06,0.5
2015=100,Overall index,2014-05,-0.3
2015=100,Overall index,2014-04,-1.1
2015=100,Overall index,2014-03,0.7
2015=100,Overall index,2014-02,0.4
2015=100,Overall index,2014-01,-0.1
2015=100,Overall index,2013-12,-0.5
2015=100,Overall index,2013-11,0.7
2015=100,Overall index,2013-10,1.3
2015=100,Overall index,2013-09,1.2
2015=100,Overall index,2013-08,0.9
2015=100,Overall index,2013-07,0.6
2015=100,Overall index,2013-06,-1.0
