Reference year,Group,Month,value
2015=100,Overall index,2013-05,-0.6
2015=100,Overall index,2013-04,0.0
2015=100,Overall index,2013-03,0.4
2015=100,Overall index,2013-02,-0.1
2015=100,Overall index,2013-01,1.4
2015=100,Overall index,2012-12,1.4
2015=100,Overall index,2012-11,0.9
2015=100,Overall index,2012-10,0.8
2015=100,Overall index,2012-09,-0.8
2015=100,Overall index,2012-08,0.5
2015=100,Overall index,2012-07,0.3
2015=100,Overall index,2012-06,0.7
2015=100,Overall index,2012-05,2.2
2015=100,Overall index,2012-04,1.2
2015=100,Overall index,2012-03,0.0
2015=100,Overall index,2012-02,-0.9
2015=100,Overall index,2012-01,0.7
2015=100,Overall index,2011-12,0.7
2015=100,Overall index,2011-11,0.5
2015=100,Overall index,2011-10,-2.0
2015=100,Overall index,2011-09,0.6
2015=100,Overall index,2011-08,1.2
2015=100,Overall index,2011-07,0.7
2015=100,Overall index,2011-06,1.7
2015=100,Overall index,2011-05,0.3
2015=100,Overall index,2011-04,-0.1
2015=100,Overall index,2011-03,0.4
2015=100,Overall index,2011-02,0.5
2015=100,Overall index,2011-01,1.3
2015=100,Overall index,2010-12,-0.1
2015=100,Overall index,2010-11,-0.9
2015=100,Overall index,2010-10,-0.6
2015=100,Overall index,2010-09,0.6
2015=100,Overall index,2010-08,1.5
2015=100,Overall index,2010-07,1.6
2015=100,Overall index,2010-06,0.6
2015=100,Overall index,2010-05,0.9
2015=100,Overall index,2010-04,0.7
2015=100,Overall index,2010-03,0.5
2015=100,Overall index,2010-02,-1.1
2015=100,Overall index,2010-01,-0.7
2015=100,Overall index,2009-12,-0.5
2015=100,Overall index,2009-11,-0.7
2015=100,Overall index,2009-10,0.1
2015=100,Overall index,2009-09,-0.3
2015=100,Overall index,2009-08,0.0
2015=100,Overall index,2009-07,1.3
2015=100,Overall index,2009-06,0.4
2015=100,Overall index,2009-05,0.5
2015=100,Overall index,2009-04,0.0
2015=100,Overall index,2009-03,-0.2
2015=100,Overall index,2009-02,0.6
2015=100,Overall index,2009-01,1.0
2015=100,Overall index,2008-12,-1.1
2015=100,Overall index,2008-11,-0.9
2015=100,Overall index,2008-10,0.1
2015=100,Overall index,2008-09,0.1
2015=100,Overall index,2008-08,0.1
2015=100,Overall index,2008-07,0.1
2015=100,Overall index,2008-06,0.8
2015=100,Overall index,2008-05,0.8
2015=100,Overall index,2008-04,0.2
2015=100,Overall index,2008-03,0.5
2015=100,Overall index,2008-02,1.2
2015=100,Overall index,2008-01,0.6
2015=100,Overall index,2007-12,0.6
2015=100,Overall index,2007-11,0.8
2015=100,Overall index,2007-10,1.0
2015=100,Overall index,2007-09,0.7
2015=100,Overall index,2007-08,0.6
2015=100,Overall index,2007-07,0.5
2015=100,Overall index,2007-06,1.3
2015=100,Overall index,2007-05,0.8
2015=100,Overall index,2007-04,0.5
2015=100,Overall index,2007-03,-1.4
2015=100,Overall index,2007-02,1.0
2015=100,Overall index,2007-01,1.7
2015=100,Overall index,2006-12,1.8
2015=100,Overall index,2006-11,1.3
2015=100,Overall index,2006-10,1.3
2015=100,Overall index,2006-09,1.2
2015=100,Overall index,2006-08,2.6
2015=100,Overall index,2006-07,0.1
2015=100,Overall index,2006-06,-0.4
2015=100,Overall index,2006-05,-0.3
2015=100,Overall index,2006-04,0.7
2015=100,Overall index,2006-03,0.7
2015=100,Overall index,2006-02,0.8
2015=100,Overall index,2006-01,1.1
2015=100,Overall index,2005-12,1.5
2015=100,Overall index,2005-11,0.7
2015=100,Overall index,2005-10,-0.2
2015=100,Overall index,2005-09,0.2
2015=100,Overall index,2005-08,1.2
2015=100,Overall index,2005-07,1.4
2015=100,Overall index,2005-06,0.7
2015=100,Overall index,2005-05,0.5
2015=100,Overall index,2005-04,0.3
2015=100,Overall index,2005-03,1.0
2015=100,Overall index,2005-02,0.2
2015=100,Overall index,2005-01,2.5
2015=100,Overall index,2004-12,2.6
2015=100,Overall index,2004-11,2.9
2015=100,Overall index,2004-10,1.3
2015=100,Overall index,2004-09,0.7
2015=100,Overall index,2004-08,-0.4
2015=100,Overall index,2004-07,0.4
2015=100,Overall index,2004-06,2.1
2015=100,Overall index,2004-05,0.1
2015=100,Overall index,2004-04,1.4
2015=100,Overall index,2004-03,2.8
2015=100,Overall index,2004-02,2.8
2015=100,Overall index,2004-01,-0.5
2015=100,Overall index,2003-12,-1.3
2015=100,Overall index,2003-11,0.3
2015=100,Overall index,2003-10,3.1
2015=100,Overall index,2003-09,2.4
2015=100,Overall index,2003-08,1.0
2015=100,Overall index,2003-07,2.4
2015=100,Overall index,2003-06,-1.0
2015=100,Overall index,2003-05,-1.4
2015=100,Overall index,2003-04,1.5
2015=100,Overall index,2003-03,-3.9
2015=100,Overall index,2003-02,0.1
2015=100,Overall index,2003-01,4.2
2015=100,Overall index,2002-12,2.5
2015=100,Overall index,2002-11,1.9
2015=100,Overall index,2002-10,3.9
2015=100,Overall index,2002-09,2.6
2015=100,Overall index,2002-08,1.3
2015=100,Overall index,2002-07,0.2
2015=100,Overall index,2002-06,0.5
2015=100,Overall index,2002-05,-1.3
2015=100,Overall index,2002-04,-1.2
2015=100,Overall index,2002-03,-0.6
2015=100,Overall index,2002-02,-0.6
2015=100,Overall index,2002-01,-0.7
2015=100,Overall index,2001-12,1.1
2015=100,Overall index,2001-11,1.9
2015=100,Overall index,2001-10,2.8
2015=100,Overall index,2001-09,-2.0
2015=100,Overall index,2001-08,-3.2
2015=100,Overall index,2001-07,-2.0
2015=100,Overall index,2001-06,-3.7
2015=100,Overall index,2001-05,2.3
2015=100,Overall index,2001-04,1.8
2015=100,Overall index,2001-03,2.7
2015=100,Overall index,2001-02,1.6
2015=100,Overall index,2001-01,4.9
2015=100, Food and non-alcaholic beverages,2025-11,
2015=100, Food and non-alcaholic beverages,2025-10,
2015=100, Food and non-alcaholic beverages,2025-09,
2015=100, Food and non-alcaholic beverages,2025-08,
2015=100, Food and non-alcaholic beverages,2025-07,
2015=100, Food and non-alcaholic beverages,2025-06,
2015=100, Food and non-alcaholic beverages,2025-05,
2015=100, Food and non-alcaholic beverages,2025-04,
2015=100, Food and non-alcaholic beverages,2025-03,
2015=100, Food and non-alcaholic beverages,2025-02,
2015=100, Food and non-alcaholic beverages,2025-01,
2015=100, Food and non-alcaholic beverages,2024-12,
2015=100, Food and non-alcaholic beverages,2024-11,
2015=100, Food and non-alcaholic beverages,2024-10,
2015=100, Food and non-alcaholic beverages,2024-09,
2015=100, Food and non-alcaholic beverages,2024-08,
2015=100, Food and non-alcaholic beverages,2024-07,
2015=100, Food and non-alcaholic beverages,2024-06,
2015=100, Food and non-alcaholic beverages,2024-05,
2015=100, Food and non-alcaholic beverages,2024-04,
2015=100, Food and non-alcaholic beverages,2024-03,
2015=100, Food and non-alcaholic beverages,2024-02,
2015=100, Food and non-alcaholic beverages,2024-01,
2015=100, Food and non-alcaholic beverages,2023-12,
2015=100, Food and non-alcaholic beverages,2023-11,
2015=100, Food and non-alcaholic beverages,2023-10,
2015=100, Food and non-alcaholic beverages,2023-09,
2015=100, Food and non-alcaholic beverages,2023-08,
2015=100, Food and non-alcaholic beverages,2023-07,
2015=100, Food and non-alcaholic beverages,2023-06,
2015=100, Food and non-alcaholic beverages,2023-05,
2015=100, Food and non-alcaholic beverages,2023-04,
2015=100, Food and non-alcaholic beverages,2023-03,
2015=100, Food and non-alcaholic beverages,2023-02,
2015=100, Food and non-alcaholic beverages,2023-01,
2015=100, Food and non-alcaholic beverages,2022-12,
2015=100, Food and non-alcaholic beverages,2022-11,
2015=100, Food and non-alcaholic beverages,2022-10,
2015=100, Food and non-alcaholic beverages,2022-09,
2015=100, Food and non-alcaholic beverages,2022-08,
2015=100, Food and non-alcaholic beverages,2022-07,0.5
2015=100, Food and non-alcaholic beverages,2022-06,3.0
2015=100, Food and non-alcaholic beverages,2022-05,2.9
2015=100, Food and non-alcaholic beverages,2022-04,3.0
2015=100, Food and non-alcaholic beverages,2022-03,1.0
2015=100, Food and non-alcaholic beverages,2022-02,0.9
2015=100, Food and non-alcaholic beverages,2022-01,-0.6
2015=100, Food and non-alcaholic beverages,2021-12,-3.6
2015=100, Food and non-alcaholic beverages,2021-11,-4.9
2015=100, Food and non-alcaholic beverages,2021-10,-3.9
2015=100, Food and non-alcaholic beverages,2021-09,-3.3
2015=100, Food and non-alcaholic beverages,2021-08,-0.3
2015=100, Food and non-alcaholic beverages,2021-07,2.7
2015=100, Food and non-alcaholic beverages,2021-06,10.5
2015=100, Food and non-alcaholic beverages,2021-05,12.0
2015=100, Food and non-alcaholic beverages,2021-04,5.0
2015=100, Food and non-alcaholic beverages,2021-03,5.7
2015=100, Food and non-alcaholic beverages,2021-02,4.4
2015=100, Food and non-alcaholic beverages,2021-01,4.0
2015=100, Food and non-alcaholic beverages,2020-12,0.1
2015=100, Food and non-alcaholic beverages,2020-11,-3.7
2015=100, Food and non-alcaholic beverages,2020-10,0.0
2015=100, Food and non-alcaholic beverages,2020-09,1.7
2015=100, Food and non-alcaholic beverages,2020-08,1.0
2015=100, Food and non-alcaholic beverages,2020-07,4.9
2015=100, Food and non-alcaholic beverages,2020-06,2.9
2015=100, Food and non-alcaholic beverages,2020-05,3.5
2015=100, Food and non-alcaholic beverages,2020-04,1.3
2015=100, Food and non-alcaholic beverages,2020-03,5.5
2015=100, Food and non-alcaholic beverages,2020-02,1.3
2015=100, Food and non-alcaholic beverages,2020-01,1.1
2015=100, Food and non-alcaholic beverages,2019-12,-0.7
2015=100, Food and non-alcaholic beverages,2019-11,-2.1
2015=100, Food and non-alcaholic beverages,2019-10,-5.0
2015=100, Food and non-alcaholic beverages,2019-09,-3.5
2015=100, Food and non-alcaholic beverages,2019-08,-0.3
2015=100, Food and non-alcaholic beverages,2019-07,3.3
2015=100, Food and non-alcaholic beverages,2019-06,0.7
2015=100, Food and non-alcaholic beverages,2019-05,5.7
2015=100, Food and non-alcaholic beverages,2019-04,-0.3
2015=100, Food and non-alcaholic beverages,2019-03,2.0
2015=100, Food and non-alcaholic beverages,2019-02,1.8
2015=100, Food and non-alcaholic beverages,2019-01,2.9
2015=100, Food and non-alcaholic beverages,2018-12,1.8
2015=100, Food and non-alcaholic beverages,2018-11,2.0
2015=100, Food and non-alcaholic beverages,2018-10,-0.2
2015=100, Food and non-alcaholic beverages,2018-09,-2.8
2015=100, Food and non-alcaholic beverages,2018-08,-5.0
2015=100, Food and non-alcaholic beverages,2018-07,0.5
2015=100, Food and non-alcaholic beverages,2018-06,1.4
2015=100, Food and non-alcaholic beverages,2018-05,1.2
2015=100, Food and non-alcaholic beverages,2018-04,3.2
2015=100, Food and non-alcaholic beverages,2018-03,3.4
2015=100, Food and non-alcaholic beverages,2018-02,3.4
2015=100, Food and non-alcaholic beverages,2018-01,1.3
2015=100, Food and non-alcaholic beverages,2017-12,-0.3
2015=100, Food and non-alcaholic beverages,2017-11,-0.9
2015=100, Food and non-alcaholic beverages,2017-10,-1.6
2015=100, Food and non-alcaholic beverages,2017-09,-0.7
2015=100, Food and non-alcaholic beverages,2017-08,0.6
2015=100, Food and non-alcaholic beverages,2017-07,-0.1
2015=100, Food and non-alcaholic beverages,2017-06,-2.5
2015=100, Food and non-alcaholic beverages,2017-05,0.8
2015=100, Food and non-alcaholic beverages,2017-04,2.6
2015=100, Food and non-alcaholic beverages,2017-03,4.0
2015=100, Food and non-alcaholic beverages,2017-02,2.3
2015=100, Food and non-alcaholic beverages,2017-01,3.6
2015=100, Food and non-alcaholic beverages,2016-12,2.2
2015=100, Food and non-alcaholic beverages,2016-11,-0.5
2015=100, Food and non-alcaholic beverages,2016-10,-3.2
2015=100, Food and non-alcaholic beverages,2016-09,-2.8
2015=100, Food and non-alcaholic beverages,2016-08,-3.5
2015=100, Food and non-alcaholic beverages,2016-07,-1.5
2015=100, Food and non-alcaholic beverages,2016-06,-0.6
2015=100, Food and non-alcaholic beverages,2016-05,0.2
2015=100, Food and non-alcaholic beverages,2016-04,4.5
2015=100, Food and non-alcaholic beverages,2016-03,1.6
2015=100, Food and non-alcaholic beverages,2016-02,2.6
2015=100, Food and non-alcaholic beverages,2016-01,2.7
2015=100, Food and non-alcaholic beverages,2015-12,1.0
2015=100, Food and non-alcaholic beverages,2015-11,3.1
2015=100, Food and non-alcaholic beverages,2015-10,3.6
2015=100, Food and non-alcaholic beverages,2015-09,2.2
2015=100, Food and non-alcaholic beverages,2015-08,3.0
2015=100, Food and non-alcaholic beverages,2015-07,-0.6
2015=100, Food and non-alcaholic beverages,2015-06,2.7
2015=100, Food and non-alcaholic beverages,2015-05,-2.9
2015=100, Food and non-alcaholic beverages,2015-04,0.0
2015=100, Food and non-alcaholic beverages,2015-03,1.2
2015=100, Food and non-alcaholic beverages,2015-02,1.0
2015=100, Food and non-alcaholic beverages,2015-01,4.7
2015=100, Food and non-alcaholic beverages,2014-12,1.2
2015=100, Food and non-alcaholic beverages,2014-11,5.4
2015=100, Food and non-alcaholic beverages,2014-10,2.1
2015=100, Food and non-alcaholic beverages,2014-09,0.8
2015=100, Food and non-alcaholic beverages,2014-08,1.7
2015=100, Food and non-alcaholic beverages,2014-07,1.4
2015=100, Food and non-alcaholic beverages,2014-06,-0.1
2015=100, Food and non-alcaholic beverages,2014-05,-2.5
2015=100, Food and non-alcaholic beverages,2014-04,-4.5
2015=100, Food and non-alcaholic beverages,2014-03,2.0
2015=100, Food and non-alcaholic beverages,2014-02,1.2
2015=100, Food and non-alcaholic beverages,2014-01,1.1
2015=100, Food and non-alcaholic beverages,2013-12,0.5
2015=100, Food and non-alcaholic beverages,2013-11,1.5
2015=100, Food and non-alcaholic beverages,2013-10,3.6
2015=100, Food and non-alcaholic beverages,2013-09,3.6
2015=100, Food and non-alcaholic beverages,2013-08,0.1
2015=100, Food and non-alcaholic beverages,2013-07,0.5
2015=100, Food and non-alcaholic beverages,2013-06,-3.8
2015=100, Food and non-alcaholic beverages,2013-05,-2.0
2015=100, Food and non-alcaholic beverages,2013-04,-0.3
2015=100, Food and non-alcaholic beverages,2013-03,-0.9
2015=100, Food and non-alcaholic beverages,2013-02,-0.7
2015=100, Food and non-alcaholic beverages,2013-01,2.7
2015=100, Food and non-alcaholic beverages,2012-12,4.2
2015=100, Food and non-alcaholic beverages,2012-11,2.8
2015=100, Food and non-alcaholic beverages,2012-10,2.2
2015=100, Food and non-alcaholic beverages,2012-09,-2.6
2015=100, Food and non-alcaholic beverages,2012-08,0.7
2015=100, Food and non-alcaholic beverages,2012-07,2.8
2015=100, Food and non-alcaholic beverages,2012-06,1.8
2015=100, Food and non-alcaholic beverages,2012-05,2.0
2015=100, Food and non-alcaholic beverages,2012-04,-0.2
2015=100, Food and non-alcaholic beverages,2012-03,-2.8
2015=100, Food and non-alcaholic beverages,2012-02,-5.0
2015=100, Food and non-alcaholic beverages,2012-01,0.5
2015=100, Food and non-alcaholic beverages,2011-12,1.4
2015=100, Food and non-alcaholic beverages,2011-11,1.2
2015=100, Food and non-alcaholic beverages,2011-10,-5.0
2015=100, Food and non-alcaholic beverages,2011-09,3.2
2015=100, Food and non-alcaholic beverages,2011-08,3.4
2015=100, Food and non-alcaholic beverages,2011-07,3.4
2015=100, Food and non-alcaholic beverages,2011-06,1.3
2015=100, Food and non-alcaholic beverages,2011-05,-0.3
2015=100, Food and non-alcaholic beverages,2011-04,-0.9
2015=100, Food and non-alcaholic beverages,2011-03,-1.6
2015=100, Food and non-alcaholic beverages,2011-02,-0.7
2015=100, Food and non-alcaholic beverages,2011-01,0.6
2015=100, Food and non-alcaholic beverages,2010-12,-0.1
2015=100, Food and non-alcaholic beverages,2010-11,-3.3
2015=100, Food and non-alcaholic beverages,2010-10,-2.5
2015=100, Food and non-alcaholic beverages,2010-09,0.8
2015=100, Food and non-alcaholic beverages,2010-08,2.6
2015=100, Food and non-alcaholic beverages,2010-07,4.0
2015=100, Food and non-alcaholic beverages,2010-06,2.3
2015=100, Food and non-alcaholic beverages,2010-05,3.6
2015=100, Food and non-alcaholic beverages,2010-04,2.2
2015=100, Food and non-alcaholic beverages,2010-03,-0.5
2015=100, Food and non-alcaholic beverages,2010-02,-3.2
2015=100, Food and non-alcaholic beverages,2010-01,-2.8
2015=100, Food and non-alcaholic beverages,2009-12,-1.1
2015=100, Food and non-alcaholic beverages,2009-11,-3.5
2015=100, Food and non-alcaholic beverages,2009-10,-1.5
2015=100, Food and non-alcaholic beverages,2009-09,-0.6
2015=100, Food and non-alcaholic beverages,2009-08,0.2
2015=100, Food and non-alcaholic beverages,2009-07,4.5
2015=100, Food and non-alcaholic beverages,2009-06,1.6
2015=100, Food and non-alcaholic beverages,2009-05,2.6
2015=100, Food and non-alcaholic beverages,2009-04,2.7
2015=100, Food and non-alcaholic beverages,2009-03,-0.2
2015=100, Food and non-alcaholic beverages,2009-02,-1.7
2015=100, Food and non-alcaholic beverages,2009-01,2.0
2015=100, Food and non-alcaholic beverages,2008-12,-4.5
2015=100, Food and non-alcaholic beverages,2008-11,-3.4
2015=100, Food and non-alcaholic beverages,2008-10,-5.4
2015=100, Food and non-alcaholic beverages,2008-09,0.1
2015=100, Food and non-alcaholic beverages,2008-08,0.2
2015=100, Food and non-alcaholic beverages,2008-07,0.6
2015=100, Food and non-alcaholic beverages,2008-06,2.9
2015=100, Food and non-alcaholic beverages,2008-05,2.9
2015=100, Food and non-alcaholic beverages,2008-04,0.7
2015=100, Food and non-alcaholic beverages,2008-03,0.8
2015=100, Food and non-alcaholic beverages,2008-02,2.7
2015=100, Food and non-alcaholic beverages,2008-01,1.1
2015=100, Food and non-alcaholic beverages,2007-12,-0.4
2015=100, Food and non-alcaholic beverages,2007-11,-1.1
2015=100, Food and non-alcaholic beverages,2007-10,0.2
2015=100, Food and non-alcaholic beverages,2007-09,-3.6
2015=100, Food and non-alcaholic beverages,2007-08,-1.3
2015=100, Food and non-alcaholic beverages,2007-07,0.8
2015=100, Food and non-alcaholic beverages,2007-06,2.4
2015=100, Food and non-alcaholic beverages,2007-05,1.4
2015=100, Food and non-alcaholic beverages,2007-04,1.2
2015=100, Food and non-alcaholic beverages,2007-03,-1.5
2015=100, Food and non-alcaholic beverages,2007-02,2.6
2015=100, Food and non-alcaholic beverages,2007-01,3.8
2015=100, Food and non-alcaholic beverages,2006-12,2.5
2015=100, Food and non-alcaholic beverages,2006-11,1.4
2015=100, Food and non-alcaholic beverages,2006-10,-1.3
2015=100, Food and non-alcaholic beverages,2006-09,0.9
2015=100, Food and non-alcaholic beverages,2006-08,-2.2
2015=100, Food and non-alcaholic beverages,2006-07,-0.5
2015=100, Food and non-alcaholic beverages,2006-06,-0.6
2015=100, Food and non-alcaholic beverages,2006-05,0.4
2015=100, Food and non-alcaholic beverages,2006-04,2.5
2015=100, Food and non-alcaholic beverages,2006-03,1.9
2015=100, Food and non-alcaholic beverages,2006-02,2.1
2015=100, Food and non-alcaholic beverages,2006-01,4.2
2015=100, Food and non-alcaholic beverages,2005-12,4.5
2015=100, Food and non-alcaholic beverages,2005-11,1.6
2015=100, Food and non-alcaholic beverages,2005-10,0.1
2015=100, Food and non-alcaholic beverages,2005-09,-3.0
2015=100, Food and non-alcaholic beverages,2005-08,-2.9
2015=100, Food and non-alcaholic beverages,2005-07,-1.2
2015=100, Food and non-alcaholic beverages,2005-06,1.9
2015=100, Food and non-alcaholic beverages,2005-05,0.7
2015=100, Food and non-alcaholic beverages,2005-04,0.3
2015=100, Food and non-alcaholic beverages,2005-03,1.2
2015=100, Food and non-alcaholic beverages,2005-02,0.5
2015=100, Food and non-alcaholic beverages,2005-01,7.9
2015=100, Food and non-alcaholic beverages,2004-12,6.7
2015=100, Food and non-alcaholic beverages,2004-11,5.9
2015=100, Food and non-alcaholic beverages,2004-10,3.0
2015=100, Food and non-alcaholic beverages,2004-09,0.7
2015=100, Food and non-alcaholic beverages,2004-08,-1.9
2015=100, Food and non-alcaholic beverages,2004-07,-1.3
2015=100, Food and non-alcaholic beverages,2004-06,5.3
2015=100, Food and non-alcaholic beverages,2004-05,-2.2
2015=100, Food and non-alcaholic beverages,2004-04,2.0
2015=100, Food and non-alcaholic beverages,2004-03,2.5
2015=100, Food and non-alcaholic beverages,2004-02,4.2
2015=100, Food and non-alcaholic beverages,2004-01,-1.8
2015=100, Food and non-alcaholic beverages,2003-12,-3.2
2015=100, Food and non-alcaholic beverages,2003-11,0.4
2015=100, Food and non-alcaholic beverages,2003-10,6.6
2015=100, Food and non-alcaholic beverages,2003-09,5.2
2015=100, Food and non-alcaholic beverages,2003-08,1.2
2015=100, Food and non-alcaholic beverages,2003-07,1.3
2015=100, Food and non-alcaholic beverages,2003-06,-3.6
2015=100, Food and non-alcaholic beverages,2003-05,-3.3
2015=100, Food and non-alcaholic beverages,2003-04,-0.7
2015=100, Food and non-alcaholic beverages,2003-03,-8.5
2015=100, Food and non-alcaholic beverages,2003-02,-0.3
2015=100, Food and non-alcaholic beverages,2003-01,8.5
2015=100, Food and non-alcaholic beverages,2002-12,5.3
2015=100, Food and non-alcaholic beverages,2002-11,4.2
2015=100, Food and non-alcaholic beverages,2002-10,7.6
2015=100, Food and non-alcaholic beverages,2002-09,4.8
2015=100, Food and non-alcaholic beverages,2002-08,0.4
2015=100, Food and non-alcaholic beverages,2002-07,0.2
2015=100, Food and non-alcaholic beverages,2002-06,0.6
2015=100, Food and non-alcaholic beverages,2002-05,-2.9
2015=100, Food and non-alcaholic beverages,2002-04,-4.0
2015=100, Food and non-alcaholic beverages,2002-03,-3.2
2015=100, Food and non-alcaholic beverages,2002-02,-2.5
2015=100, Food and non-alcaholic beverages,2002-01,-2.2
2015=100, Food and non-alcaholic beverages,2001-12,2.5
2015=100, Food and non-alcaholic beverages,2001-11,4.7
2015=100, Food and non-alcaholic beverages,2001-10,5.0
2015=100, Food and non-alcaholic beverages,2001-09,-5.5
2015=100, Food and non-alcaholic beverages,2001-08,-6.5
2015=100, Food and non-alcaholic beverages,2001-07,-4.2
2015=100, Food and non-alcaholic beverages,2001-06,-6.9
2015=100, Food and non-alcaholic beverages,2001-05,4.9
2015=100, Food and non-alcaholic beverages,2001-04,3.2
2015=100, Food and non-alcaholic beverages,2001-03,5.9
2015=100, Food and non-alcaholic beverages,2001-02,4.0
2015=100, Food and non-alcaholic beverages,2001-01,8.1
