огноо,зээлийн_хүү_хувь
2016-03-01,17.31
2016-04-01,16.34
2016-05-01,16.56
2016-06-01,14.39
2016-07-01,16.61
2016-08-01,17.04
2016-09-01,18.27
2016-10-01,17.86
2016-11-01,18.33
2016-12-01,17.91
2017-01-01,18.39
2017-02-01,17.46
2017-03-01,16.99
2017-04-01,18.18
2017-05-01,18.21
2017-06-01,18.05
2017-07-01,18.82
2017-08-01,17.92
2017-09-01,18.63
2017-10-01,17.21
2017-11-01,18.07
2017-12-01,16.52
2018-01-01,17.9
2018-02-01,17.34
2018-03-01,17.33
2018-04-01,17.09
2018-05-01,16.61
2018-06-01,16.02
2018-07-01,16.12
2018-08-01,16.74
2018-09-01,16.37
2018-10-01,16.46
2018-11-01,16.11
2018-12-01,15.33
2019-01-01,15.66
2019-02-01,16.22
2019-03-01,16.32
2019-04-01,16.17
2019-05-01,16.22
2019-06-01,15.99
2019-07-01,16.0
2019-08-01,16.25
2019-09-01,16.02
2019-10-01,15.74
2019-11-01,16.11
2019-12-01,16.82
2020-01-01,15.89
2020-02-01,15.61
2020-03-01,15.62
2020-04-01,15.76
2020-05-01,16.55
2020-06-01,16.16
2020-07-01,15.11
2020-08-01,16.16
2020-09-01,15.9
2020-10-01,15.71
2020-11-01,15.46
2020-12-01,13.65
2021-01-01,14.95
2021-02-01,14.74
2021-03-01,14.92
2021-04-01,11.51
2021-05-01,11.36
2021-06-01,11.62
2021-07-01,12.55
2021-08-01,13.02
2021-09-01,13.21
2021-10-01,13.5
2021-11-01,13.44
2021-12-01,12.61
2022-01-01,13.4
2022-02-01,13.31
2022-03-01,13.91
2022-04-01,14.03
2022-05-01,13.66
2022-06-01,13.9
2022-07-01,13.76
2022-08-01,14.05
2022-09-01,14.2
2022-10-01,14.62
2022-11-01,14.73
2022-12-01,15.01
2023-01-01,15.71
2023-02-01,15.14
2023-03-01,16.06
2023-04-01,16.27
2023-05-01,15.99
2023-06-01,16.16
2023-07-01,16.07
2023-08-01,16.17
2023-09-01,16.27
2023-10-01,16.09
2023-11-01,15.86
2023-12-01,15.65
2024-01-01,16.46
2024-02-01,16.3
2024-03-01,16.07
2024-04-01,16.47
2024-05-01,15.77
2024-06-01,15.88
2024-07-01,15.64
2024-08-01,16.33
2024-09-01,16.65
2024-10-01,16.36
2024-11-01,16.42
2024-12-01,15.77
2025-01-01,16.41
2025-02-01,16.62
2025-03-01,16.25
2025-04-01,16.39
2025-05-01,16.34
2025-06-01,16.67
2025-07-01,16.68
2025-08-01,16.68
2025-09-01,16.76
2025-10-01,16.7
2025-11-01,16.79
2025-12-01,16.33
2026-01-01,16.83
