type_of_livestock,region,year,value
Cattle,Govisumber,1982,
Cattle,Govisumber,1981,
Cattle,Govisumber,1980,
Cattle,Govisumber,1979,
Cattle,Govisumber,1978,
Cattle,Govisumber,1977,
Cattle,Govisumber,1976,
Cattle,Govisumber,1975,
Cattle,Govisumber,1974,
Cattle,Govisumber,1973,
Cattle,Govisumber,1972,
Cattle,Govisumber,1971,
Cattle,Govisumber,1970,
Cattle,Dornogovi,2025,88.88
Cattle,Dornogovi,2024,71.68
Cattle,Dornogovi,2023,108.08
Cattle,Dornogovi,2022,131.5
Cattle,Dornogovi,2021,118.06
Cattle,Dornogovi,2020,103.75
Cattle,Dornogovi,2019,91.89
Cattle,Dornogovi,2018,80.58
Cattle,Dornogovi,2017,72.62
Cattle,Dornogovi,2016,63.0
Cattle,Dornogovi,2015,69.88
Cattle,Dornogovi,2014,65.44
Cattle,Dornogovi,2013,59.39
Cattle,Dornogovi,2012,50.3
Cattle,Dornogovi,2011,45.65
Cattle,Dornogovi,2010,40.45
Cattle,Dornogovi,2009,39.97
Cattle,Dornogovi,2008,34.31
Cattle,Dornogovi,2007,29.96
Cattle,Dornogovi,2006,27.19
Cattle,Dornogovi,2005,44.74
Cattle,Dornogovi,2004,49.89
Cattle,Dornogovi,2003,44.67
Cattle,Dornogovi,2002,37.35
Cattle,Dornogovi,2001,44.49
Cattle,Dornogovi,2000,89.42
Cattle,Dornogovi,1999,103.66
Cattle,Dornogovi,1998,93.72
Cattle,Dornogovi,1997,93.05
Cattle,Dornogovi,1996,91.08
Cattle,Dornogovi,1995,85.04
Cattle,Dornogovi,1994,75.86
Cattle,Dornogovi,1993,69.94
Cattle,Dornogovi,1992,74.24
Cattle,Dornogovi,1991,73.39
Cattle,Dornogovi,1990,77.02
Cattle,Dornogovi,1989,80.02
Cattle,Dornogovi,1988,74.15
Cattle,Dornogovi,1987,76.16
Cattle,Dornogovi,1986,77.71
Cattle,Dornogovi,1985,78.97
Cattle,Dornogovi,1984,77.17
Cattle,Dornogovi,1983,75.17
Cattle,Dornogovi,1982,73.92
Cattle,Dornogovi,1981,70.03
Cattle,Dornogovi,1980,72.46
Cattle,Dornogovi,1979,73.6
Cattle,Dornogovi,1978,72.47
Cattle,Dornogovi,1977,69.11
Cattle,Dornogovi,1976,67.77
Cattle,Dornogovi,1975,67.14
Cattle,Dornogovi,1974,64.25
Cattle,Dornogovi,1973,55.76
Cattle,Dornogovi,1972,49.71
Cattle,Dornogovi,1971,46.1
Cattle,Dornogovi,1970,41.1
Cattle,Dundgovi,2025,108.16
Cattle,Dundgovi,2024,92.37
Cattle,Dundgovi,2023,85.52
Cattle,Dundgovi,2022,74.54
Cattle,Dundgovi,2021,65.73
Cattle,Dundgovi,2020,75.12
Cattle,Dundgovi,2019,78.17
Cattle,Dundgovi,2018,76.12
Cattle,Dundgovi,2017,75.28
Cattle,Dundgovi,2016,62.7
Cattle,Dundgovi,2015,54.95
Cattle,Dundgovi,2014,45.93
Cattle,Dundgovi,2013,35.6
Cattle,Dundgovi,2012,27.57
Cattle,Dundgovi,2011,21.03
Cattle,Dundgovi,2010,18.58
Cattle,Dundgovi,2009,33.75
Cattle,Dundgovi,2008,34.15
Cattle,Dundgovi,2007,42.55
Cattle,Dundgovi,2006,40.27
Cattle,Dundgovi,2005,43.78
Cattle,Dundgovi,2004,42.08
Cattle,Dundgovi,2003,36.86
Cattle,Dundgovi,2002,32.65
Cattle,Dundgovi,2001,30.05
Cattle,Dundgovi,2000,43.31
Cattle,Dundgovi,1999,126.63
Cattle,Dundgovi,1998,137.37
Cattle,Dundgovi,1997,127.86
Cattle,Dundgovi,1996,116.03
Cattle,Dundgovi,1995,103.58
Cattle,Dundgovi,1994,88.24
Cattle,Dundgovi,1993,84.06
Cattle,Dundgovi,1992,94.95
Cattle,Dundgovi,1991,96.93
Cattle,Dundgovi,1990,93.81
Cattle,Dundgovi,1989,87.09
Cattle,Dundgovi,1988,79.71
Cattle,Dundgovi,1987,79.72
Cattle,Dundgovi,1986,79.6
Cattle,Dundgovi,1985,76.11
Cattle,Dundgovi,1984,75.11
Cattle,Dundgovi,1983,73.93
Cattle,Dundgovi,1982,68.77
Cattle,Dundgovi,1981,62.2
Cattle,Dundgovi,1980,84.68
Cattle,Dundgovi,1979,95.92
Cattle,Dundgovi,1978,95.67
Cattle,Dundgovi,1977,91.35
Cattle,Dundgovi,1976,89.74
Cattle,Dundgovi,1975,85.29
Cattle,Dundgovi,1974,78.28
Cattle,Dundgovi,1973,67.41
Cattle,Dundgovi,1972,61.81
Cattle,Dundgovi,1971,55.82
Cattle,Dundgovi,1970,64.34
Cattle,Umnugovi,2025,33.05
Cattle,Umnugovi,2024,25.23
Cattle,Umnugovi,2023,27.57
Cattle,Umnugovi,2022,34.76
Cattle,Umnugovi,2021,31.28
Cattle,Umnugovi,2020,33.19
Cattle,Umnugovi,2019,31.65
Cattle,Umnugovi,2018,26.86
Cattle,Umnugovi,2017,27.0
Cattle,Umnugovi,2016,22.15
Cattle,Umnugovi,2015,18.65
Cattle,Umnugovi,2014,16.09
Cattle,Umnugovi,2013,13.37
Cattle,Umnugovi,2012,10.76
Cattle,Umnugovi,2011,8.73
Cattle,Umnugovi,2010,7.53
Cattle,Umnugovi,2009,13.08
Cattle,Umnugovi,2008,12.4
Cattle,Umnugovi,2007,10.1
Cattle,Umnugovi,2006,8.73
Cattle,Umnugovi,2005,8.57
Cattle,Umnugovi,2004,7.39
Cattle,Umnugovi,2003,5.9
Cattle,Umnugovi,2002,6.89
Cattle,Umnugovi,2001,12.14
Cattle,Umnugovi,2000,23.76
Cattle,Umnugovi,1999,39.62
Cattle,Umnugovi,1998,41.55
Cattle,Umnugovi,1997,37.82
Cattle,Umnugovi,1996,32.73
Cattle,Umnugovi,1995,29.36
Cattle,Umnugovi,1994,24.22
Cattle,Umnugovi,1993,21.06
Cattle,Umnugovi,1992,23.87
Cattle,Umnugovi,1991,24.98
Cattle,Umnugovi,1990,24.63
Cattle,Umnugovi,1989,25.3
Cattle,Umnugovi,1988,23.83
Cattle,Umnugovi,1987,22.45
Cattle,Umnugovi,1986,21.91
Cattle,Umnugovi,1985,22.47
Cattle,Umnugovi,1984,21.8
Cattle,Umnugovi,1983,20.23
Cattle,Umnugovi,1982,22.25
Cattle,Umnugovi,1981,21.0
Cattle,Umnugovi,1980,19.73
Cattle,Umnugovi,1979,20.34
Cattle,Umnugovi,1978,19.82
Cattle,Umnugovi,1977,17.94
Cattle,Umnugovi,1976,16.59
Cattle,Umnugovi,1975,14.68
Cattle,Umnugovi,1974,12.66
Cattle,Umnugovi,1973,10.83
Cattle,Umnugovi,1972,15.7
Cattle,Umnugovi,1971,16.24
Cattle,Umnugovi,1970,16.45
Cattle,Ulaanbaatar,2025,96.79
Cattle,Ulaanbaatar,2024,90.76
Cattle,Ulaanbaatar,2023,86.92
Cattle,Ulaanbaatar,2022,88.01
Cattle,Ulaanbaatar,2021,84.53
Cattle,Ulaanbaatar,2020,89.51
Cattle,Ulaanbaatar,2019,85.65
Cattle,Ulaanbaatar,2018,80.83
Cattle,Ulaanbaatar,2017,88.85
Cattle,Ulaanbaatar,2016,89.8
Cattle,Ulaanbaatar,2015,86.01
Cattle,Ulaanbaatar,2014,76.57
Cattle,Ulaanbaatar,2013,64.61
Cattle,Ulaanbaatar,2012,60.6
Cattle,Ulaanbaatar,2011,56.9
Cattle,Ulaanbaatar,2010,54.91
Cattle,Ulaanbaatar,2009,59.54
Cattle,Ulaanbaatar,2008,58.99
Cattle,Ulaanbaatar,2007,58.2
Cattle,Ulaanbaatar,2006,55.0
Cattle,Ulaanbaatar,2005,50.04
Cattle,Ulaanbaatar,2004,45.37
Cattle,Ulaanbaatar,2003,44.81
Cattle,Ulaanbaatar,2002,45.4
Cattle,Ulaanbaatar,2001,44.76
Cattle,Ulaanbaatar,2000,48.58
Cattle,Ulaanbaatar,1999,52.57
Cattle,Ulaanbaatar,1998,56.96
Cattle,Ulaanbaatar,1997,59.52
Cattle,Ulaanbaatar,1996,65.16
Cattle,Ulaanbaatar,1995,64.29
Cattle,Ulaanbaatar,1994,48.12
Cattle,Ulaanbaatar,1993,53.03
Cattle,Ulaanbaatar,1992,58.2
Cattle,Ulaanbaatar,1991,51.82
Cattle,Ulaanbaatar,1990,44.92
Cattle,Ulaanbaatar,1989,42.65
Cattle,Ulaanbaatar,1988,38.07
Cattle,Ulaanbaatar,1987,36.91
Cattle,Ulaanbaatar,1986,32.05
Cattle,Ulaanbaatar,1985,32.05
Cattle,Ulaanbaatar,1984,31.34
Cattle,Ulaanbaatar,1983,30.57
Cattle,Ulaanbaatar,1982,27.79
Cattle,Ulaanbaatar,1981,26.28
Cattle,Ulaanbaatar,1980,25.29
Cattle,Ulaanbaatar,1979,13.7
Cattle,Ulaanbaatar,1978,29.4
Cattle,Ulaanbaatar,1977,27.6
Cattle,Ulaanbaatar,1976,27.6
Cattle,Ulaanbaatar,1975,27.7
