бүс,үнэ
Архангай,3147.0
Баян-Өлгий,3623.0
Баянхонгор,3182.0
Булган,3173.0
Говь-Алтай,3435.0
Говьсүмбэр,3132.0
Дархан-Уул,3122.0
Дорноговь,3173.0
Дорнод,3115.0
Дундговь,3182.0
Завхан,3460.0
Орхон,3142.0
Сэлэнгэ,3152.0
Сүхбаатар,3222.0
Төв,3050.0
Увс,3547.0
Ховд,3552.0
Хэнтий,3173.0
Хөвсгөл,3243.0
Өвөрхангай,3123.0
Өмнөговь,3202.0
