Бүс,Сар,value
Улсын дүн,2016-10,20.0
Улсын дүн,2016-09,16.0
Улсын дүн,2016-08,13.0
Улсын дүн,2016-07,12.0
Улсын дүн,2016-06,13.0
Улсын дүн,2016-05,11.0
Улсын дүн,2016-04,13.0
Улсын дүн,2016-03,17.0
Улсын дүн,2016-02,18.0
Улсын дүн,2016-01,19.0
Баруун бүс,2025-12,13.0
Баруун бүс,2025-11,13.0
Баруун бүс,2025-10,14.0
Баруун бүс,2025-09,15.0
Баруун бүс,2025-08,18.0
Баруун бүс,2025-07,11.0
Баруун бүс,2025-06,12.0
Баруун бүс,2025-05,15.0
Баруун бүс,2025-04,16.0
Баруун бүс,2025-03,17.0
Баруун бүс,2025-02,22.0
Баруун бүс,2025-01,13.0
Баруун бүс,2024-12,13.0
Баруун бүс,2024-11,5.0
Баруун бүс,2024-10,9.0
Баруун бүс,2024-09,14.0
Баруун бүс,2024-08,14.0
Баруун бүс,2024-07,18.0
Баруун бүс,2024-06,9.0
Баруун бүс,2024-05,21.0
Баруун бүс,2024-04,14.0
Баруун бүс,2024-03,13.0
Баруун бүс,2024-02,8.0
Баруун бүс,2024-01,7.0
Баруун бүс,2023-12,12.0
Баруун бүс,2023-11,13.0
Баруун бүс,2023-10,23.0
Баруун бүс,2023-09,13.0
Баруун бүс,2023-08,9.0
Баруун бүс,2023-07,14.0
Баруун бүс,2023-06,11.0
Баруун бүс,2023-05,13.0
Баруун бүс,2023-04,10.0
Баруун бүс,2023-03,15.0
Баруун бүс,2023-02,12.0
Баруун бүс,2023-01,17.0
Баруун бүс,2022-12,14.0
Баруун бүс,2022-11,18.0
Баруун бүс,2022-10,15.0
Баруун бүс,2022-09,19.0
Баруун бүс,2022-08,7.0
Баруун бүс,2022-07,9.0
Баруун бүс,2022-06,9.0
Баруун бүс,2022-05,23.0
Баруун бүс,2022-04,14.0
Баруун бүс,2022-03,12.0
Баруун бүс,2022-02,12.0
Баруун бүс,2022-01,19.0
Баруун бүс,2021-12,14.0
Баруун бүс,2021-11,16.0
Баруун бүс,2021-10,15.0
Баруун бүс,2021-09,27.0
Баруун бүс,2021-08,17.0
Баруун бүс,2021-07,10.0
Баруун бүс,2021-06,12.0
Баруун бүс,2021-05,15.0
Баруун бүс,2021-04,22.0
Баруун бүс,2021-03,13.0
Баруун бүс,2021-02,16.0
Баруун бүс,2021-01,18.0
Баруун бүс,2020-12,14.0
Баруун бүс,2020-11,9.0
Баруун бүс,2020-10,18.0
Баруун бүс,2020-09,10.0
Баруун бүс,2020-08,5.0
Баруун бүс,2020-07,18.0
Баруун бүс,2020-06,8.0
Баруун бүс,2020-05,8.0
Баруун бүс,2020-04,11.0
Баруун бүс,2020-03,17.0
Баруун бүс,2020-02,19.0
Баруун бүс,2020-01,23.0
Баруун бүс,2019-12,19.0
Баруун бүс,2019-11,26.0
Баруун бүс,2019-10,17.0
Баруун бүс,2019-09,24.0
Баруун бүс,2019-08,15.0
Баруун бүс,2019-07,10.0
Баруун бүс,2019-06,15.0
Баруун бүс,2019-05,17.0
Баруун бүс,2019-04,13.0
Баруун бүс,2019-03,6.0
Баруун бүс,2019-02,16.0
Баруун бүс,2019-01,30.0
Баруун бүс,2018-12,6.0
Баруун бүс,2018-11,28.0
Баруун бүс,2018-10,28.0
Баруун бүс,2018-09,16.0
Баруун бүс,2018-08,12.0
Баруун бүс,2018-07,7.0
Баруун бүс,2018-06,19.0
Баруун бүс,2018-05,16.0
Баруун бүс,2018-04,16.0
Баруун бүс,2018-03,14.0
Баруун бүс,2018-02,11.0
Баруун бүс,2018-01,15.0
Баруун бүс,2017-12,15.0
Баруун бүс,2017-11,19.0
Баруун бүс,2017-10,29.0
Баруун бүс,2017-09,19.0
Баруун бүс,2017-08,7.0
Баруун бүс,2017-07,15.0
Баруун бүс,2017-06,15.0
Баруун бүс,2017-05,16.0
Баруун бүс,2017-04,18.0
Баруун бүс,2017-03,19.0
Баруун бүс,2017-02,14.0
Баруун бүс,2017-01,7.0
Баруун бүс,2016-12,24.0
Баруун бүс,2016-11,36.0
Баруун бүс,2016-10,22.0
Баруун бүс,2016-09,12.0
Баруун бүс,2016-08,15.0
Баруун бүс,2016-07,16.0
Баруун бүс,2016-06,13.0
Баруун бүс,2016-05,14.0
Баруун бүс,2016-04,24.0
