Насжилт,Бүс,Он,value
Бүгд,    Архангай,2024,21772
Бүгд,    Архангай,2023,20616
Бүгд,    Архангай,2022,20087
Бүгд,    Архангай,2021,21826
Бүгд,    Архангай,2020,20008
Бүгд,    Архангай,2019,17908
Бүгд,    Архангай,2018,15432
Бүгд,    Архангай,2017,13639
Бүгд,    Архангай,2016,12158
Бүгд,    Архангай,2015,10822
Бүгд,    Архангай,2014,9963
Бүгд,    Архангай,2013,9118
Бүгд,    Архангай,2012,8166
Бүгд,    Баянхонгор,2025,25522
Бүгд,    Баянхонгор,2024,22773
Бүгд,    Баянхонгор,2023,19969
Бүгд,    Баянхонгор,2022,23949
Бүгд,    Баянхонгор,2021,28774
Бүгд,    Баянхонгор,2020,27502
Бүгд,    Баянхонгор,2019,25292
Бүгд,    Баянхонгор,2018,21293
Бүгд,    Баянхонгор,2017,19496
Бүгд,    Баянхонгор,2016,18415
Бүгд,    Баянхонгор,2015,17008
Бүгд,    Баянхонгор,2014,15748
Бүгд,    Баянхонгор,2013,14307
Бүгд,    Баянхонгор,2012,13144
Бүгд,    Булган,2025,19230
Бүгд,    Булган,2024,16686
Бүгд,    Булган,2023,15429
Бүгд,    Булган,2022,18133
Бүгд,    Булган,2021,19897
Бүгд,    Булган,2020,18455
Бүгд,    Булган,2019,17272
Бүгд,    Булган,2018,15880
Бүгд,    Булган,2017,14691
Бүгд,    Булган,2016,13773
Бүгд,    Булган,2015,12692
Бүгд,    Булган,2014,11589
Бүгд,    Булган,2013,9585
Бүгд,    Булган,2012,8891
Бүгд,    Орхон,2025,38527
Бүгд,    Орхон,2024,33857
Бүгд,    Орхон,2023,30440
Бүгд,    Орхон,2022,34962
Бүгд,    Орхон,2021,33878
Бүгд,    Орхон,2020,31288
Бүгд,    Орхон,2019,29063
Бүгд,    Орхон,2018,27107
Бүгд,    Орхон,2017,25327
Бүгд,    Орхон,2016,24163
Бүгд,    Орхон,2015,22490
Бүгд,    Орхон,2014,20574
Бүгд,    Орхон,2013,18877
Бүгд,    Орхон,2012,17304
Бүгд,    Өвөрхангай,2025,34796
Бүгд,    Өвөрхангай,2024,29915
Бүгд,    Өвөрхангай,2023,27207
Бүгд,    Өвөрхангай,2022,33933
Бүгд,    Өвөрхангай,2021,38814
Бүгд,    Өвөрхангай,2020,32718
Бүгд,    Өвөрхангай,2019,30934
Бүгд,    Өвөрхангай,2018,28510
Бүгд,    Өвөрхангай,2017,25084
Бүгд,    Өвөрхангай,2016,22091
Бүгд,    Өвөрхангай,2015,19817
Бүгд,    Өвөрхангай,2014,17171
Бүгд,    Өвөрхангай,2013,15044
Бүгд,    Өвөрхангай,2012,14056
Бүгд,    Хөвсгөл,2025,42564
Бүгд,    Хөвсгөл,2024,35439
Бүгд,    Хөвсгөл,2023,31564
Бүгд,    Хөвсгөл,2022,34427
Бүгд,    Хөвсгөл,2021,34450
Бүгд,    Хөвсгөл,2020,35791
Бүгд,    Хөвсгөл,2019,31577
Бүгд,    Хөвсгөл,2018,28313
Бүгд,    Хөвсгөл,2017,25613
Бүгд,    Хөвсгөл,2016,23299
Бүгд,    Хөвсгөл,2015,21032
Бүгд,    Хөвсгөл,2014,19405
Бүгд,    Хөвсгөл,2013,17405
Бүгд,    Хөвсгөл,2012,16140
Бүгд,Төвийн бүс,2025,233078
Бүгд,Төвийн бүс,2024,201061
Бүгд,Төвийн бүс,2023,188036
Бүгд,Төвийн бүс,2022,205847
Бүгд,Төвийн бүс,2021,206925
Бүгд,Төвийн бүс,2020,184842
Бүгд,Төвийн бүс,2019,166953
Бүгд,Төвийн бүс,2018,154533
Бүгд,Төвийн бүс,2017,138063
Бүгд,Төвийн бүс,2016,124998
Бүгд,Төвийн бүс,2015,113770
Бүгд,Төвийн бүс,2014,104781
Бүгд,Төвийн бүс,2013,91923
Бүгд,Төвийн бүс,2012,83934
Бүгд,    Говьсүмбэр,2025,5257
Бүгд,    Говьсүмбэр,2024,4521
Бүгд,    Говьсүмбэр,2023,4121
Бүгд,    Говьсүмбэр,2022,4622
Бүгд,    Говьсүмбэр,2021,5052
Бүгд,    Говьсүмбэр,2020,4608
Бүгд,    Говьсүмбэр,2019,4339
Бүгд,    Говьсүмбэр,2018,4026
Бүгд,    Говьсүмбэр,2017,3647
Бүгд,    Говьсүмбэр,2016,3347
Бүгд,    Говьсүмбэр,2015,3069
Бүгд,    Говьсүмбэр,2014,2814
Бүгд,    Говьсүмбэр,2013,2422
Бүгд,    Говьсүмбэр,2012,2143
Бүгд,    Дархан-Уул,2025,36903
Бүгд,    Дархан-Уул,2024,30877
Бүгд,    Дархан-Уул,2023,27871
Бүгд,    Дархан-Уул,2022,32487
Бүгд,    Дархан-Уул,2021,31283
Бүгд,    Дархан-Уул,2020,28802
Бүгд,    Дархан-Уул,2019,26984
Бүгд,    Дархан-Уул,2018,25291
Бүгд,    Дархан-Уул,2017,23212
Бүгд,    Дархан-Уул,2016,21897
Бүгд,    Дархан-Уул,2015,20700
Бүгд,    Дархан-Уул,2014,19055
Бүгд,    Дархан-Уул,2013,17339
Бүгд,    Дархан-Уул,2012,15696
Бүгд,    Дорноговь,2025,32229
Бүгд,    Дорноговь,2024,29293
Бүгд,    Дорноговь,2023,26664
Бүгд,    Дорноговь,2022,26983
Бүгд,    Дорноговь,2021,30453
Бүгд,    Дорноговь,2020,25568
Бүгд,    Дорноговь,2019,24104
Бүгд,    Дорноговь,2018,21840
Бүгд,    Дорноговь,2017,19853
Бүгд,    Дорноговь,2016,18497
Бүгд,    Дорноговь,2015,17362
Бүгд,    Дорноговь,2014,16724
Бүгд,    Дорноговь,2013,15725
Бүгд,    Дорноговь,2012,14318
Бүгд,    Дундговь,2025,17535
Бүгд,    Дундговь,2024,14997
Бүгд,    Дундговь,2023,13836
Бүгд,    Дундговь,2022,15034
Бүгд,    Дундговь,2021,18695
Бүгд,    Дундговь,2020,17596
Бүгд,    Дундговь,2019,16280
Бүгд,    Дундговь,2018,14322
Бүгд,    Дундговь,2017,12427
Бүгд,    Дундговь,2016,11122
Бүгд,    Дундговь,2015,9860
Бүгд,    Дундговь,2014,8629
Бүгд,    Дундговь,2013,7240
Бүгд,    Дундговь,2012,6639
Бүгд,    Өмнөговь,2025,74860
Бүгд,    Өмнөговь,2024,66152
Бүгд,    Өмнөговь,2023,64354
Бүгд,    Өмнөговь,2022,65872
Бүгд,    Өмнөговь,2021,60619
Бүгд,    Өмнөговь,2020,50784
Бүгд,    Өмнөговь,2019,42064
Бүгд,    Өмнөговь,2018,38973
Бүгд,    Өмнөговь,2017,33154
Бүгд,    Өмнөговь,2016,27709
Бүгд,    Өмнөговь,2015,24373
Бүгд,    Өмнөговь,2014,22457
Бүгд,    Өмнөговь,2013,19904
Бүгд,    Өмнөговь,2012,18377
Бүгд,    Сэлэнгэ,2025,36930
Бүгд,    Сэлэнгэ,2024,32358
Бүгд,    Сэлэнгэ,2023,30093
Бүгд,    Сэлэнгэ,2022,34457
Бүгд,    Сэлэнгэ,2021,33572
Бүгд,    Сэлэнгэ,2020,31925
Бүгд,    Сэлэнгэ,2019,29242
Бүгд,    Сэлэнгэ,2018,27825
Бүгд,    Сэлэнгэ,2017,25214
Бүгд,    Сэлэнгэ,2016,23366
Бүгд,    Сэлэнгэ,2015,20935
Бүгд,    Сэлэнгэ,2014,18791
Бүгд,    Сэлэнгэ,2013,16910
Бүгд,    Сэлэнгэ,2012,15554
Бүгд,    Төв,2025,29364
Бүгд,    Төв,2024,22863
Бүгд,    Төв,2023,21097
Бүгд,    Төв,2022,26392
Бүгд,    Төв,2021,27251
Бүгд,    Төв,2020,25559
Бүгд,    Төв,2019,23940
