Насжилт,Бүс,Он,value
0-3 жил,    Сэлэнгэ,2016,339
0-3 жил,    Сэлэнгэ,2015,622
0-3 жил,    Сэлэнгэ,2014,842
0-3 жил,    Сэлэнгэ,2013,668
0-3 жил,    Сэлэнгэ,2012,776
0-3 жил,    Төв,2025,475
0-3 жил,    Төв,2024,353
0-3 жил,    Төв,2023,288
0-3 жил,    Төв,2022,486
0-3 жил,    Төв,2021,386
0-3 жил,    Төв,2020,558
0-3 жил,    Төв,2019,675
0-3 жил,    Төв,2018,836
0-3 жил,    Төв,2017,477
0-3 жил,    Төв,2016,573
0-3 жил,    Төв,2015,956
0-3 жил,    Төв,2014,1740
0-3 жил,    Төв,2013,1311
0-3 жил,    Төв,2012,1631
0-3 жил,Зүүн бүс,2025,1614
0-3 жил,Зүүн бүс,2024,1598
0-3 жил,Зүүн бүс,2023,1240
0-3 жил,Зүүн бүс,2022,1590
0-3 жил,Зүүн бүс,2021,1283
0-3 жил,Зүүн бүс,2020,2072
0-3 жил,Зүүн бүс,2019,2582
0-3 жил,Зүүн бүс,2018,3307
0-3 жил,Зүүн бүс,2017,1855
0-3 жил,Зүүн бүс,2016,1581
0-3 жил,Зүүн бүс,2015,1454
0-3 жил,Зүүн бүс,2014,1549
0-3 жил,Зүүн бүс,2013,2212
0-3 жил,Зүүн бүс,2012,3171
0-3 жил,    Дорнод,2025,502
0-3 жил,    Дорнод,2024,465
0-3 жил,    Дорнод,2023,423
0-3 жил,    Дорнод,2022,645
0-3 жил,    Дорнод,2021,520
0-3 жил,    Дорнод,2020,778
0-3 жил,    Дорнод,2019,888
0-3 жил,    Дорнод,2018,1040
0-3 жил,    Дорнод,2017,623
0-3 жил,    Дорнод,2016,642
0-3 жил,    Дорнод,2015,668
0-3 жил,    Дорнод,2014,837
0-3 жил,    Дорнод,2013,1250
0-3 жил,    Дорнод,2012,1910
0-3 жил,    Сүхбаатар,2025,590
0-3 жил,    Сүхбаатар,2024,806
0-3 жил,    Сүхбаатар,2023,508
0-3 жил,    Сүхбаатар,2022,429
0-3 жил,    Сүхбаатар,2021,376
0-3 жил,    Сүхбаатар,2020,639
0-3 жил,    Сүхбаатар,2019,839
0-3 жил,    Сүхбаатар,2018,1159
0-3 жил,    Сүхбаатар,2017,569
0-3 жил,    Сүхбаатар,2016,680
0-3 жил,    Сүхбаатар,2015,678
0-3 жил,    Сүхбаатар,2014,577
0-3 жил,    Сүхбаатар,2013,787
0-3 жил,    Сүхбаатар,2012,1070
0-3 жил,    Хэнтий,2025,522
0-3 жил,    Хэнтий,2024,327
0-3 жил,    Хэнтий,2023,309
0-3 жил,    Хэнтий,2022,516
0-3 жил,    Хэнтий,2021,387
0-3 жил,    Хэнтий,2020,655
0-3 жил,    Хэнтий,2019,855
0-3 жил,    Хэнтий,2018,1108
0-3 жил,    Хэнтий,2017,663
0-3 жил,    Хэнтий,2016,259
0-3 жил,    Хэнтий,2015,108
0-3 жил,    Хэнтий,2014,135
0-3 жил,    Хэнтий,2013,175
0-3 жил,    Хэнтий,2012,191
0-3 жил,Улаанбаатар,2025,44339
0-3 жил,Улаанбаатар,2024,48667
0-3 жил,Улаанбаатар,2023,43779
0-3 жил,Улаанбаатар,2022,38483
0-3 жил,Улаанбаатар,2021,22831
0-3 жил,Улаанбаатар,2020,18786
0-3 жил,Улаанбаатар,2019,16408
0-3 жил,Улаанбаатар,2018,16082
0-3 жил,Улаанбаатар,2017,8882
0-3 жил,Улаанбаатар,2016,8459
0-3 жил,Улаанбаатар,2015,10933
0-3 жил,Улаанбаатар,2014,15836
0-3 жил,Улаанбаатар,2013,23838
0-3 жил,Улаанбаатар,2012,29701
0-3 жил,    Улаанбаатар,2025,44339
0-3 жил,    Улаанбаатар,2024,48667
0-3 жил,    Улаанбаатар,2023,43779
0-3 жил,    Улаанбаатар,2022,38483
0-3 жил,    Улаанбаатар,2021,22831
0-3 жил,    Улаанбаатар,2020,18786
0-3 жил,    Улаанбаатар,2019,16408
0-3 жил,    Улаанбаатар,2018,16082
0-3 жил,    Улаанбаатар,2017,8882
0-3 жил,    Улаанбаатар,2016,8459
0-3 жил,    Улаанбаатар,2015,10933
0-3 жил,    Улаанбаатар,2014,15836
0-3 жил,    Улаанбаатар,2013,23838
0-3 жил,    Улаанбаатар,2012,29701
4-6 жил,Улсын дүн,2025,83227
4-6 жил,Улсын дүн,2024,66001
4-6 жил,Улсын дүн,2023,51570
4-6 жил,Улсын дүн,2022,44227
4-6 жил,Улсын дүн,2021,40671
4-6 жил,Улсын дүн,2020,35903
4-6 жил,Улсын дүн,2019,32424
4-6 жил,Улсын дүн,2018,58049
4-6 жил,Улсын дүн,2017,42882
4-6 жил,Улсын дүн,2016,57869
4-6 жил,Улсын дүн,2015,70262
4-6 жил,Улсын дүн,2014,59481
4-6 жил,Улсын дүн,2013,40890
4-6 жил,Улсын дүн,2012,30039
4-6 жил,Баруун бүс,2025,5073
4-6 жил,Баруун бүс,2024,5837
4-6 жил,Баруун бүс,2023,5311
4-6 жил,Баруун бүс,2022,5344
4-6 жил,Баруун бүс,2021,5386
4-6 жил,Баруун бүс,2020,4531
4-6 жил,Баруун бүс,2019,3680
4-6 жил,Баруун бүс,2018,6201
4-6 жил,Баруун бүс,2017,5407
4-6 жил,Баруун бүс,2016,7023
4-6 жил,Баруун бүс,2015,7811
4-6 жил,Баруун бүс,2014,6086
4-6 жил,Баруун бүс,2013,3218
4-6 жил,Баруун бүс,2012,1596
4-6 жил,    Баян-Өлгий,2025,1268
4-6 жил,    Баян-Өлгий,2024,1377
4-6 жил,    Баян-Өлгий,2023,1410
4-6 жил,    Баян-Өлгий,2022,1204
4-6 жил,    Баян-Өлгий,2021,1139
4-6 жил,    Баян-Өлгий,2020,826
4-6 жил,    Баян-Өлгий,2019,601
4-6 жил,    Баян-Өлгий,2018,2242
4-6 жил,    Баян-Өлгий,2017,2123
4-6 жил,    Баян-Өлгий,2016,2700
4-6 жил,    Баян-Өлгий,2015,3177
4-6 жил,    Баян-Өлгий,2014,2448
4-6 жил,    Баян-Өлгий,2013,1481
4-6 жил,    Баян-Өлгий,2012,492
4-6 жил,    Говь-Алтай,2025,607
4-6 жил,    Говь-Алтай,2024,774
4-6 жил,    Говь-Алтай,2023,865
4-6 жил,    Говь-Алтай,2022,1322
4-6 жил,    Говь-Алтай,2021,1446
4-6 жил,    Говь-Алтай,2020,1288
4-6 жил,    Говь-Алтай,2019,912
4-6 жил,    Говь-Алтай,2018,558
4-6 жил,    Говь-Алтай,2017,426
4-6 жил,    Говь-Алтай,2016,244
4-6 жил,    Говь-Алтай,2015,167
4-6 жил,    Говь-Алтай,2014,135
4-6 жил,    Говь-Алтай,2013,73
4-6 жил,    Говь-Алтай,2012,137
4-6 жил,    Завхан,2025,387
4-6 жил,    Завхан,2024,466
4-6 жил,    Завхан,2023,522
4-6 жил,    Завхан,2022,597
4-6 жил,    Завхан,2021,608
4-6 жил,    Завхан,2020,590
4-6 жил,    Завхан,2019,559
4-6 жил,    Завхан,2018,1362
4-6 жил,    Завхан,2017,1245
4-6 жил,    Завхан,2016,1471
4-6 жил,    Завхан,2015,1373
4-6 жил,    Завхан,2014,871
4-6 жил,    Завхан,2013,475
4-6 жил,    Завхан,2012,237
4-6 жил,    Увс,2025,1271
4-6 жил,    Увс,2024,1611
4-6 жил,    Увс,2023,1567
4-6 жил,    Увс,2022,1502
4-6 жил,    Увс,2021,1591
4-6 жил,    Увс,2020,1244
4-6 жил,    Увс,2019,946
4-6 жил,    Увс,2018,977
4-6 жил,    Увс,2017,801
4-6 жил,    Увс,2016,1418
4-6 жил,    Увс,2015,1636
4-6 жил,    Увс,2014,1358
4-6 жил,    Увс,2013,505
4-6 жил,    Увс,2012,286
4-6 жил,    Ховд,2025,1540
4-6 жил,    Ховд,2024,1609
4-6 жил,    Ховд,2023,947
4-6 жил,    Ховд,2022,719
4-6 жил,    Ховд,2021,602
4-6 жил,    Ховд,2020,583
4-6 жил,    Ховд,2019,662
4-6 жил,    Ховд,2018,1062
4-6 жил,    Ховд,2017,812
4-6 жил,    Ховд,2016,1190
4-6 жил,    Ховд,2015,1458
4-6 жил,    Ховд,2014,1274
4-6 жил,    Ховд,2013,684
4-6 жил,    Ховд,2012,444
4-6 жил,Хангайн бүс,2025,3821
4-6 жил,Хангайн бүс,2024,4066
4-6 жил,Хангайн бүс,2023,4187
4-6 жил,Хангайн бүс,2022,4690
4-6 жил,Хангайн бүс,2021,4797
4-6 жил,Хангайн бүс,2020,4440
4-6 жил,Хангайн бүс,2019,4504
4-6 жил,Хангайн бүс,2018,6912
4-6 жил,Хангайн бүс,2017,5669
4-6 жил,Хангайн бүс,2016,8433
4-6 жил,Хангайн бүс,2015,8872
4-6 жил,Хангайн бүс,2014,6463
4-6 жил,Хангайн бүс,2013,2841
4-6 жил,Хангайн бүс,2012,1933
4-6 жил,    Архангай,2025,350
4-6 жил,    Архангай,2024,358
4-6 жил,    Архангай,2023,402
4-6 жил,    Архангай,2022,384
4-6 жил,    Архангай,2021,357
4-6 жил,    Архангай,2020,322
4-6 жил,    Архангай,2019,308
4-6 жил,    Архангай,2018,384
4-6 жил,    Архангай,2017,244
4-6 жил,    Архангай,2016,212
4-6 жил,    Архангай,2015,266
4-6 жил,    Архангай,2014,245
4-6 жил,    Архангай,2013,204
4-6 жил,    Архангай,2012,109
4-6 жил,    Баянхонгор,2025,543
4-6 жил,    Баянхонгор,2024,702
4-6 жил,    Баянхонгор,2023,764
4-6 жил,    Баянхонгор,2022,1410
4-6 жил,    Баянхонгор,2021,1570
4-6 жил,    Баянхонгор,2020,1370
4-6 жил,    Баянхонгор,2019,1242
4-6 жил,    Баянхонгор,2018,565
4-6 жил,    Баянхонгор,2017,403
4-6 жил,    Баянхонгор,2016,499
4-6 жил,    Баянхонгор,2015,631
4-6 жил,    Баянхонгор,2014,576
4-6 жил,    Баянхонгор,2013,536
4-6 жил,    Баянхонгор,2012,535
4-6 жил,    Булган,2025,330
4-6 жил,    Булган,2024,417
4-6 жил,    Булган,2023,443
4-6 жил,    Булган,2022,503
4-6 жил,    Булган,2021,572
4-6 жил,    Булган,2020,616
4-6 жил,    Булган,2019,674
4-6 жил,    Булган,2018,1674
4-6 жил,    Булган,2017,1572
4-6 жил,    Булган,2016,2230
4-6 жил,    Булган,2015,1938
4-6 жил,    Булган,2014,1128
4-6 жил,    Булган,2013,226
4-6 жил,    Булган,2012,149
4-6 жил,    Орхон,2025,762
4-6 жил,    Орхон,2024,746
4-6 жил,    Орхон,2023,682
4-6 жил,    Орхон,2022,638
4-6 жил,    Орхон,2021,555
4-6 жил,    Орхон,2020,519
4-6 жил,    Орхон,2019,561
4-6 жил,    Орхон,2018,1239
4-6 жил,    Орхон,2017,873
4-6 жил,    Орхон,2016,1116
4-6 жил,    Орхон,2015,1184
4-6 жил,    Орхон,2014,846
4-6 жил,    Орхон,2013,556
4-6 жил,    Орхон,2012,563
4-6 жил,    Өвөрхангай,2025,795
4-6 жил,    Өвөрхангай,2024,965
4-6 жил,    Өвөрхангай,2023,1181
4-6 жил,    Өвөрхангай,2022,1392
4-6 жил,    Өвөрхангай,2021,308
4-6 жил,    Өвөрхангай,2020,1342
4-6 жил,    Өвөрхангай,2019,1464
4-6 жил,    Өвөрхангай,2018,1942
4-6 жил,    Өвөрхангай,2017,1652
4-6 жил,    Өвөрхангай,2016,2149
4-6 жил,    Өвөрхангай,2015,2117
4-6 жил,    Өвөрхангай,2014,1542
4-6 жил,    Өвөрхангай,2013,485
4-6 жил,    Өвөрхангай,2012,203
4-6 жил,    Хөвсгөл,2025,1041
4-6 жил,    Хөвсгөл,2024,878
4-6 жил,    Хөвсгөл,2023,715
4-6 жил,    Хөвсгөл,2022,363
4-6 жил,    Хөвсгөл,2021,1435
4-6 жил,    Хөвсгөл,2020,271
4-6 жил,    Хөвсгөл,2019,255
4-6 жил,    Хөвсгөл,2018,1108
4-6 жил,    Хөвсгөл,2017,925
4-6 жил,    Хөвсгөл,2016,2227
4-6 жил,    Хөвсгөл,2015,2736
4-6 жил,    Хөвсгөл,2014,2126
4-6 жил,    Хөвсгөл,2013,834
4-6 жил,    Хөвсгөл,2012,374
4-6 жил,Төвийн бүс,2025,26571
4-6 жил,Төвийн бүс,2024,17876
4-6 жил,Төвийн бүс,2023,13458
4-6 жил,Төвийн бүс,2022,6720
4-6 жил,Төвийн бүс,2021,7053
4-6 жил,Төвийн бүс,2020,5580
4-6 жил,Төвийн бүс,2019,5075
4-6 жил,Төвийн бүс,2018,9299
4-6 жил,Төвийн бүс,2017,7393
4-6 жил,Төвийн бүс,2016,11203
4-6 жил,Төвийн бүс,2015,12827
4-6 жил,Төвийн бүс,2014,10762
4-6 жил,Төвийн бүс,2013,6922
4-6 жил,Төвийн бүс,2012,4709
4-6 жил,    Говьсүмбэр,2025,145
4-6 жил,    Говьсүмбэр,2024,165
4-6 жил,    Говьсүмбэр,2023,172
4-6 жил,    Говьсүмбэр,2022,177
4-6 жил,    Говьсүмбэр,2021,198
4-6 жил,    Говьсүмбэр,2020,174
4-6 жил,    Говьсүмбэр,2019,192
4-6 жил,    Говьсүмбэр,2018,251
4-6 жил,    Говьсүмбэр,2017,184
4-6 жил,    Говьсүмбэр,2016,182
4-6 жил,    Говьсүмбэр,2015,173
4-6 жил,    Говьсүмбэр,2014,132
4-6 жил,    Говьсүмбэр,2013,68
4-6 жил,    Говьсүмбэр,2012,56
4-6 жил,    Дархан-Уул,2025,731
4-6 жил,    Дархан-Уул,2024,666
4-6 жил,    Дархан-Уул,2023,505
4-6 жил,    Дархан-Уул,2022,529
4-6 жил,    Дархан-Уул,2021,426
4-6 жил,    Дархан-Уул,2020,366
4-6 жил,    Дархан-Уул,2019,379
4-6 жил,    Дархан-Уул,2018,859
4-6 жил,    Дархан-Уул,2017,580
4-6 жил,    Дархан-Уул,2016,754
4-6 жил,    Дархан-Уул,2015,955
4-6 жил,    Дархан-Уул,2014,681
4-6 жил,    Дархан-Уул,2013,446
4-6 жил,    Дархан-Уул,2012,395
4-6 жил,    Дорноговь,2025,1401
4-6 жил,    Дорноговь,2024,1255
4-6 жил,    Дорноговь,2023,926
4-6 жил,    Дорноговь,2022,750
4-6 жил,    Дорноговь,2021,812
4-6 жил,    Дорноговь,2020,640
4-6 жил,    Дорноговь,2019,666
4-6 жил,    Дорноговь,2018,981
4-6 жил,    Дорноговь,2017,711
4-6 жил,    Дорноговь,2016,943
4-6 жил,    Дорноговь,2015,1104
4-6 жил,    Дорноговь,2014,1016
4-6 жил,    Дорноговь,2013,829
4-6 жил,    Дорноговь,2012,860
4-6 жил,    Дундговь,2025,642
4-6 жил,    Дундговь,2024,659
4-6 жил,    Дундговь,2023,954
4-6 жил,    Дундговь,2022,1261
4-6 жил,    Дундговь,2021,1677
4-6 жил,    Дундговь,2020,1295
4-6 жил,    Дундговь,2019,1270
4-6 жил,    Дундговь,2018,1217
4-6 жил,    Дундговь,2017,1059
4-6 жил,    Дундговь,2016,872
4-6 жил,    Дундговь,2015,1032
4-6 жил,    Дундговь,2014,1001
4-6 жил,    Дундговь,2013,723
4-6 жил,    Дундговь,2012,394
4-6 жил,    Өмнөговь,2025,22302
4-6 жил,    Өмнөговь,2024,13859
4-6 жил,    Өмнөговь,2023,9643
4-6 жил,    Өмнөговь,2022,2396
4-6 жил,    Өмнөговь,2021,2357
4-6 жил,    Өмнөговь,2020,1675
4-6 жил,    Өмнөговь,2019,1058
4-6 жил,    Өмнөговь,2018,2317
4-6 жил,    Өмнөговь,2017,1608
4-6 жил,    Өмнөговь,2016,4244
4-6 жил,    Өмнөговь,2015,5799
4-6 жил,    Өмнөговь,2014,5593
4-6 жил,    Өмнөговь,2013,3887
4-6 жил,    Өмнөговь,2012,2276
4-6 жил,    Сэлэнгэ,2025,832
4-6 жил,    Сэлэнгэ,2024,778
4-6 жил,    Сэлэнгэ,2023,657
4-6 жил,    Сэлэнгэ,2022,746
4-6 жил,    Сэлэнгэ,2021,710
4-6 жил,    Сэлэнгэ,2020,644
4-6 жил,    Сэлэнгэ,2019,624
4-6 жил,    Сэлэнгэ,2018,1485
4-6 жил,    Сэлэнгэ,2017,1222
4-6 жил,    Сэлэнгэ,2016,1465
4-6 жил,    Сэлэнгэ,2015,1314
4-6 жил,    Сэлэнгэ,2014,808
4-6 жил,    Сэлэнгэ,2013,488
4-6 жил,    Сэлэнгэ,2012,433
4-6 жил,    Төв,2025,518
4-6 жил,    Төв,2024,494
4-6 жил,    Төв,2023,601
4-6 жил,    Төв,2022,861
4-6 жил,    Төв,2021,873
4-6 жил,    Төв,2020,786
4-6 жил,    Төв,2019,886
4-6 жил,    Төв,2018,2189
4-6 жил,    Төв,2017,2029
4-6 жил,    Төв,2016,2743
4-6 жил,    Төв,2015,2450
4-6 жил,    Төв,2014,1531
4-6 жил,    Төв,2013,481
4-6 жил,    Төв,2012,295
4-6 жил,Зүүн бүс,2025,2059
4-6 жил,Зүүн бүс,2024,1732
4-6 жил,Зүүн бүс,2023,1936
4-6 жил,Зүүн бүс,2022,2909
4-6 жил,Зүүн бүс,2021,3228
4-6 жил,Зүүн бүс,2020,2933
4-6 жил,Зүүн бүс,2019,2658
4-6 жил,Зүүн бүс,2018,2920
4-6 жил,Зүүн бүс,2017,2422
4-6 жил,Зүүн бүс,2016,2907
4-6 жил,Зүүн бүс,2015,3540
4-6 жил,Зүүн бүс,2014,2924
4-6 жил,Зүүн бүс,2013,1696
4-6 жил,Зүүн бүс,2012,928
4-6 жил,    Дорнод,2025,705
4-6 жил,    Дорнод,2024,706
4-6 жил,    Дорнод,2023,772
4-6 жил,    Дорнод,2022,869
4-6 жил,    Дорнод,2021,1009
4-6 жил,    Дорнод,2020,887
4-6 жил,    Дорнод,2019,860
4-6 жил,    Дорнод,2018,1210
4-6 жил,    Дорнод,2017,1110
4-6 жил,    Дорнод,2016,1435
4-6 жил,    Дорнод,2015,2014
4-6 жил,    Дорнод,2014,1659
4-6 жил,    Дорнод,2013,1108
4-6 жил,    Дорнод,2012,608
4-6 жил,    Сүхбаатар,2025,777
4-6 жил,    Сүхбаатар,2024,505
4-6 жил,    Сүхбаатар,2023,551
4-6 жил,    Сүхбаатар,2022,981
4-6 жил,    Сүхбаатар,2021,1127
4-6 жил,    Сүхбаатар,2020,1050
4-6 жил,    Сүхбаатар,2019,1088
4-6 жил,    Сүхбаатар,2018,1125
4-6 жил,    Сүхбаатар,2017,994
4-6 жил,    Сүхбаатар,2016,1191
4-6 жил,    Сүхбаатар,2015,1259
4-6 жил,    Сүхбаатар,2014,1020
4-6 жил,    Сүхбаатар,2013,421
4-6 жил,    Сүхбаатар,2012,166
4-6 жил,    Хэнтий,2025,577
4-6 жил,    Хэнтий,2024,521
4-6 жил,    Хэнтий,2023,613
4-6 жил,    Хэнтий,2022,1059
4-6 жил,    Хэнтий,2021,1092
4-6 жил,    Хэнтий,2020,996
4-6 жил,    Хэнтий,2019,710
4-6 жил,    Хэнтий,2018,585
4-6 жил,    Хэнтий,2017,318
4-6 жил,    Хэнтий,2016,281
4-6 жил,    Хэнтий,2015,267
4-6 жил,    Хэнтий,2014,245
4-6 жил,    Хэнтий,2013,167
4-6 жил,    Хэнтий,2012,154
4-6 жил,Улаанбаатар,2025,45703
4-6 жил,Улаанбаатар,2024,36490
4-6 жил,Улаанбаатар,2023,26678
4-6 жил,Улаанбаатар,2022,24564
4-6 жил,Улаанбаатар,2021,20207
4-6 жил,Улаанбаатар,2020,18419
4-6 жил,Улаанбаатар,2019,16507
4-6 жил,Улаанбаатар,2018,32717
4-6 жил,Улаанбаатар,2017,21991
4-6 жил,Улаанбаатар,2016,28303
4-6 жил,Улаанбаатар,2015,37212
4-6 жил,Улаанбаатар,2014,33246
4-6 жил,Улаанбаатар,2013,26213
4-6 жил,Улаанбаатар,2012,20873
4-6 жил,    Улаанбаатар,2025,45703
4-6 жил,    Улаанбаатар,2024,36490
4-6 жил,    Улаанбаатар,2023,26678
4-6 жил,    Улаанбаатар,2022,24564
4-6 жил,    Улаанбаатар,2021,20207
4-6 жил,    Улаанбаатар,2020,18419
4-6 жил,    Улаанбаатар,2019,16507
4-6 жил,    Улаанбаатар,2018,32717
4-6 жил,    Улаанбаатар,2017,21991
4-6 жил,    Улаанбаатар,2016,28303
4-6 жил,    Улаанбаатар,2015,37212
4-6 жил,    Улаанбаатар,2014,33246
4-6 жил,    Улаанбаатар,2013,26213
4-6 жил,    Улаанбаатар,2012,20873
7-9 жил,Улсын дүн,2025,116270
7-9 жил,Улсын дүн,2024,108577
7-9 жил,Улсын дүн,2023,99338
7-9 жил,Улсын дүн,2022,170088
7-9 жил,Улсын дүн,2021,143657
7-9 жил,Улсын дүн,2020,156517
7-9 жил,Улсын дүн,2019,175722
7-9 жил,Улсын дүн,2018,129268
7-9 жил,Улсын дүн,2017,93344
7-9 жил,Улсын дүн,2016,74543
7-9 жил,Улсын дүн,2015,64079
7-9 жил,Улсын дүн,2014,66143
7-9 жил,Улсын дүн,2013,56633
7-9 жил,Улсын дүн,2012,48443
7-9 жил,Баруун бүс,2025,7877
7-9 жил,Баруун бүс,2024,7120
7-9 жил,Баруун бүс,2023,5927
7-9 жил,Баруун бүс,2022,9087
7-9 жил,Баруун бүс,2021,9082
7-9 жил,Баруун бүс,2020,10181
7-9 жил,Баруун бүс,2019,10185
7-9 жил,Баруун бүс,2018,8154
7-9 жил,Баруун бүс,2017,7068
7-9 жил,Баруун бүс,2016,4070
7-9 жил,Баруун бүс,2015,2416
7-9 жил,Баруун бүс,2014,2450
7-9 жил,Баруун бүс,2013,2235
7-9 жил,Баруун бүс,2012,1785
7-9 жил,    Баян-Өлгий,2025,1672
7-9 жил,    Баян-Өлгий,2024,1422
7-9 жил,    Баян-Өлгий,2023,1067
7-9 жил,    Баян-Өлгий,2022,1539
7-9 жил,    Баян-Өлгий,2021,1312
7-9 жил,    Баян-Өлгий,2020,1406
7-9 жил,    Баян-Өлгий,2019,1415
7-9 жил,    Баян-Өлгий,2018,2740
7-9 жил,    Баян-Өлгий,2017,2566
7-9 жил,    Баян-Өлгий,2016,1639
7-9 жил,    Баян-Өлгий,2015,674
7-9 жил,    Баян-Өлгий,2014,621
7-9 жил,    Баян-Өлгий,2013,559
7-9 жил,    Баян-Өлгий,2012,390
7-9 жил,    Говь-Алтай,2025,1187
7-9 жил,    Говь-Алтай,2024,1136
7-9 жил,    Говь-Алтай,2023,968
7-9 жил,    Говь-Алтай,2022,1451
7-9 жил,    Говь-Алтай,2021,1379
7-9 жил,    Говь-Алтай,2020,1109
7-9 жил,    Говь-Алтай,2019,893
7-9 жил,    Говь-Алтай,2018,451
7-9 жил,    Говь-Алтай,2017,285
7-9 жил,    Говь-Алтай,2016,217
7-9 жил,    Говь-Алтай,2015,225
7-9 жил,    Говь-Алтай,2014,266
7-9 жил,    Говь-Алтай,2013,285
7-9 жил,    Говь-Алтай,2012,279
7-9 жил,    Завхан,2025,1004
7-9 жил,    Завхан,2024,926
7-9 жил,    Завхан,2023,839
7-9 жил,    Завхан,2022,1332
7-9 жил,    Завхан,2021,2057
7-9 жил,    Завхан,2020,2300
7-9 жил,    Завхан,2019,2393
7-9 жил,    Завхан,2018,1152
7-9 жил,    Завхан,2017,1017
7-9 жил,    Завхан,2016,610
7-9 жил,    Завхан,2015,345
7-9 жил,    Завхан,2014,373
7-9 жил,    Завхан,2013,372
7-9 жил,    Завхан,2012,301
7-9 жил,    Увс,2025,1905
7-9 жил,    Увс,2024,1861
7-9 жил,    Увс,2023,1529
7-9 жил,    Увс,2022,2200
7-9 жил,    Увс,2021,2237
7-9 жил,    Увс,2020,2662
7-9 жил,    Увс,2019,2485
7-9 жил,    Увс,2018,1737
7-9 жил,    Увс,2017,1541
7-9 жил,    Увс,2016,686
7-9 жил,    Увс,2015,456
7-9 жил,    Увс,2014,456
7-9 жил,    Увс,2013,394
7-9 жил,    Увс,2012,375
7-9 жил,    Ховд,2025,2109
7-9 жил,    Ховд,2024,1775
7-9 жил,    Ховд,2023,1524
7-9 жил,    Ховд,2022,2565
7-9 жил,    Ховд,2021,2097
7-9 жил,    Ховд,2020,2704
7-9 жил,    Ховд,2019,2999
7-9 жил,    Ховд,2018,2074
7-9 жил,    Ховд,2017,1659
7-9 жил,    Ховд,2016,918
7-9 жил,    Ховд,2015,716
7-9 жил,    Ховд,2014,734
7-9 жил,    Ховд,2013,625
7-9 жил,    Ховд,2012,440
7-9 жил,Хангайн бүс,2025,8305
7-9 жил,Хангайн бүс,2024,7642
7-9 жил,Хангайн бүс,2023,7488
7-9 жил,Хангайн бүс,2022,14791
7-9 жил,Хангайн бүс,2021,15189
7-9 жил,Хангайн бүс,2020,18748
7-9 жил,Хангайн бүс,2019,19803
7-9 жил,Хангайн бүс,2018,11668
7-9 жил,Хангайн бүс,2017,9390
7-9 жил,Хангайн бүс,2016,5571
7-9 жил,Хангайн бүс,2015,4449
7-9 жил,Хангайн бүс,2014,4884
7-9 жил,Хангайн бүс,2013,4516
7-9 жил,Хангайн бүс,2012,4026
7-9 жил,    Архангай,2025,736
7-9 жил,    Архангай,2024,733
7-9 жил,    Архангай,2023,798
7-9 жил,    Архангай,2022,1380
7-9 жил,    Архангай,2021,1179
7-9 жил,    Архангай,2020,1109
7-9 жил,    Архангай,2019,1084
7-9 жил,    Архангай,2018,605
7-9 жил,    Архангай,2017,412
7-9 жил,    Архангай,2016,350
7-9 жил,    Архангай,2015,212
7-9 жил,    Архангай,2014,268
7-9 жил,    Архангай,2013,330
7-9 жил,    Архангай,2012,365
7-9 жил,    Баянхонгор,2025,1342
7-9 жил,    Баянхонгор,2024,1188
7-9 жил,    Баянхонгор,2023,1055
7-9 жил,    Баянхонгор,2022,1863
7-9 жил,    Баянхонгор,2021,3144
7-9 жил,    Баянхонгор,2020,3673
7-9 жил,    Баянхонгор,2019,4162
7-9 жил,    Баянхонгор,2018,967
7-9 жил,    Баянхонгор,2017,818
7-9 жил,    Баянхонгор,2016,879
7-9 жил,    Баянхонгор,2015,1046
7-9 жил,    Баянхонгор,2014,1306
7-9 жил,    Баянхонгор,2013,1281
7-9 жил,    Баянхонгор,2012,1010
7-9 жил,    Булган,2025,916
7-9 жил,    Булган,2024,887
7-9 жил,    Булган,2023,909
7-9 жил,    Булган,2022,2204
7-9 жил,    Булган,2021,2542
7-9 жил,    Булган,2020,3122
7-9 жил,    Булган,2019,3011
7-9 жил,    Булган,2018,1527
7-9 жил,    Булган,2017,1377
7-9 жил,    Булган,2016,455
7-9 жил,    Булган,2015,342
7-9 жил,    Булган,2014,364
7-9 жил,    Булган,2013,327
7-9 жил,    Булган,2012,339
7-9 жил,    Орхон,2025,2052
7-9 жил,    Орхон,2024,2032
7-9 жил,    Орхон,2023,2141
7-9 жил,    Орхон,2022,4165
7-9 жил,    Орхон,2021,3175
7-9 жил,    Орхон,2020,3397
7-9 жил,    Орхон,2019,3877
7-9 жил,    Орхон,2018,2916
7-9 жил,    Орхон,2017,2175
7-9 жил,    Орхон,2016,1853
7-9 жил,    Орхон,2015,1688
7-9 жил,    Орхон,2014,1842
7-9 жил,    Орхон,2013,1613
7-9 жил,    Орхон,2012,1346
7-9 жил,    Өвөрхангай,2025,1928
7-9 жил,    Өвөрхангай,2024,1723
7-9 жил,    Өвөрхангай,2023,1528
7-9 жил,    Өвөрхангай,2022,3002
7-9 жил,    Өвөрхангай,2021,2155
7-9 жил,    Өвөрхангай,2020,3844
7-9 жил,    Өвөрхангай,2019,3747
7-9 жил,    Өвөрхангай,2018,2779
7-9 жил,    Өвөрхангай,2017,2070
7-9 жил,    Өвөрхангай,2016,835
7-9 жил,    Өвөрхангай,2015,513
7-9 жил,    Өвөрхангай,2014,498
