date,total_assets_billion_mnt,total_liabilities_billion_mnt,capital_billion_mnt
2012-01-01,8797.633,7863.847,933.785
2012-02-01,8920.539,7975.449,945.089
2012-03-01,9349.089,8372.404,976.685
2012-04-01,9397.984,8394.549,1003.434
2012-05-01,9720.128,8701.926,1018.203
2012-06-01,10336.851,9252.816,1084.034
2012-07-01,10140.701,9041.127,1099.574
2012-08-01,10296.373,9179.042,1117.331
2012-09-01,10956.011,9812.514,1143.496
2012-10-01,10913.905,9754.331,1159.574
2012-11-01,10909.363,9711.968,1197.395
2012-12-01,11978.467,10754.678,1223.789
2013-01-01,12203.222,10913.602,1289.62
2013-02-01,12548.311,11290.383,1257.928
2013-03-01,13273.291,12006.669,1266.623
2013-04-01,13318.672,12024.635,1294.035
2013-05-01,14647.026,13329.104,1317.922
2013-06-01,15926.172,14542.285,1383.886
2013-07-01,16047.137,14682.423,1364.714
2013-08-01,16894.332,15469.176,1425.157
2013-09-01,18114.625,16569.873,1544.752
2013-10-01,18596.397,17019.747,1576.65
2013-11-01,19442.091,17853.274,1588.817
2013-12-01,20850.384,19131.689,1718.711
2014-01-01,19990.244,18236.616,1753.628
2014-02-01,20553.516,18778.22,1775.296
2014-03-01,20678.301,18801.934,1876.367
2014-04-01,21184.814,19242.986,1941.828
2014-05-01,21127.514,19167.666,1959.847
2014-06-01,21389.922,19391.567,1998.354
2014-07-01,20948.194,18885.32,2062.973
2014-08-01,20730.908,18670.404,2060.504
2014-09-01,20916.562,18809.534,2107.028
2014-10-01,20955.894,18840.352,2115.541
2014-11-01,20583.187,18452.267,2130.92
2014-12-01,22562.602,20226.652,2335.949
2015-01-01,20603.001,18249.73,2353.272
2015-02-01,20720.951,18326.243,2394.708
2015-03-01,20759.734,18374.243,2385.49
2015-04-01,20480.179,18051.532,2428.647
2015-05-01,21446.055,18938.686,2507.369
2015-06-01,21846.12,19348.645,2497.475
2015-07-01,21443.828,18924.511,2519.316
2015-08-01,21581.778,19105.538,2476.24
2015-09-01,21300.695,18750.188,2550.507
2015-10-01,20721.033,18140.268,2580.765
2015-11-01,20696.271,18144.827,2551.443
2015-12-01,21506.524,18903.512,2603.013
2016-01-01,20843.475,18340.425,2503.051
2016-02-01,21830.237,19318.887,2511.349
2016-03-01,22028.087,19456.908,2571.179
2016-04-01,22215.488,19604.649,2610.839
2016-05-01,22210.273,19587.836,2622.437
2016-06-01,23297.189,20549.116,2748.073
2016-07-01,23944.237,21127.761,2816.476
2016-08-01,24203.833,21352.229,2851.603
2016-09-01,24642.082,21695.033,2947.049
2016-10-01,24710.323,21737.584,2972.739
2016-11-01,25035.525,22040.654,2994.872
2016-12-01,25323.815,22210.447,3113.367
2017-01-01,24912.657,21708.238,3204.418
2017-02-01,25136.088,21849.13,3286.957
2017-03-01,25159.241,21892.959,3266.282
2017-04-01,25185.488,21918.042,3267.446
2017-05-01,25691.944,22387.934,3304.01
2017-06-01,25765.186,22531.743,3233.443
2017-07-01,26683.532,23417.582,3265.95
2017-08-01,27480.34,24240.115,3240.225
2017-09-01,28062.556,24756.688,3305.868
2017-10-01,27761.506,24413.331,3348.175
2017-11-01,27651.383,24302.476,3348.907
2017-12-01,28769.815,25439.197,3330.618
2018-01-01,28027.452,24681.176,3346.276
2018-02-01,28551.309,25193.067,3358.243
2018-03-01,28931.117,25585.373,3345.744
2018-04-01,28878.745,25473.628,3405.117
2018-05-01,29820.264,26372.42,3447.844
2018-06-01,30255.796,26894.344,3361.452
2018-07-01,30035.633,26702.369,3333.264
2018-08-01,30178.075,26949.982,3228.093
2018-09-01,31030.494,27751.415,3279.079
2018-10-01,31150.913,28162.171,2988.741
2018-11-01,31912.239,28910.746,3001.494
2018-12-01,33049.756,29622.216,3427.54
2019-01-01,32687.102,29208.191,3478.911
2019-02-01,32761.712,29275.65,3486.062
2019-03-01,33512.61,29995.989,3516.621
2019-04-01,33502.7,29806.43,3696.269
2019-05-01,33742.979,29995.768,3747.21
2019-06-01,34577.607,30806.639,3770.968
2019-07-01,34122.266,30335.795,3786.471
2019-08-01,34519.93,30754.468,3765.462
2019-09-01,34827.392,31032.517,3794.875
2019-10-01,34819.298,31102.362,3716.936
2019-11-01,34792.688,31069.197,3723.491
2019-12-01,35718.271,32021.036,3697.235
2020-01-01,35080.846,31365.309,3715.538
2020-02-01,35007.582,31297.002,3710.579
2020-03-01,34853.715,31209.828,3643.887
2020-04-01,34573.438,30948.792,3624.646
2020-05-01,33276.848,29606.504,3670.345
2020-06-01,34203.081,30454.487,3748.594
2020-07-01,34315.574,30535.492,3780.082
2020-08-01,34384.31,30595.476,3788.834
2020-09-01,35262.79,31583.506,3679.284
2020-10-01,34920.345,31237.882,3682.463
2020-11-01,35810.451,32065.193,3745.258
2020-12-01,36587.143,32837.74,3749.402
2021-01-01,36386.914,32616.631,3770.283
2021-02-01,37102.462,33300.909,3801.554
2021-03-01,37237.767,33396.668,3841.099
2021-04-01,38643.413,34788.396,3855.017
2021-05-01,39063.452,35148.272,3915.181
2021-06-01,39986.402,36157.946,3828.456
2021-07-01,39649.724,35849.312,3800.412
2021-08-01,39802.171,35973.223,3828.949
2021-09-01,39604.229,35723.082,3881.147
2021-10-01,39801.546,35964.437,3837.108
2021-11-01,40032.107,36170.55,3861.557
2021-12-01,40935.606,36922.914,4012.693
2022-01-01,39947.538,35943.141,4004.397
2022-02-01,44123.519,39229.287,4894.232
2022-03-01,40012.379,35696.092,4316.287
2022-04-01,41293.336,36898.303,4395.033
2022-05-01,41797.074,37293.283,4503.791
2022-06-01,42108.061,37452.981,4655.079
2022-07-01,41310.116,36843.222,4466.895
2022-08-01,40194.69,35787.064,4407.627
2022-09-01,41406.591,36887.694,4518.897
2022-10-01,41769.785,37211.837,4557.948
2022-11-01,41766.33,37107.673,4658.657
2022-12-01,45955.646,40976.596,4979.05
2023-01-01,45398.376,40282.168,5116.207
2023-02-01,45189.528,40014.588,5174.94
2023-03-01,46402.517,41373.824,5028.693
2023-04-01,46173.887,40994.054,5179.834
2023-05-01,46713.994,41590.866,5123.128
2023-06-01,47997.948,42470.161,5527.787
2023-07-01,48001.574,42386.251,5615.323
2023-08-01,48911.183,43245.045,5666.138
2023-09-01,49551.861,43747.525,5804.336
2023-10-01,49877.147,43998.988,5878.159
2023-11-01,52290.293,46297.863,5992.43
2023-12-01,57069.692,50887.379,6182.314
2024-01-01,54201.928,47896.471,6305.457
2024-02-01,54295.895,47932.908,6362.987
2024-03-01,54981.789,48515.198,6466.591
2024-04-01,55008.464,48902.813,6105.65
2024-05-01,57565.936,51185.228,6380.708
