Салбар,Он,Цалин (мян.төг)
"Санхүү, даатгал",2023,2261.5
"Мэдээлэл, холбоо",2023,1937.0
Барилга,2023,1818.5
Боловсрол,2023,1515.1
Боловсруулах үйлдвэрлэл,2023,1733.0
Хөдөө аж ахуй,2023,1463.9
Улсын дундаж,2023,1881.8
Уул уурхай,2024,4935.9
"Санхүү, даатгал",2024,2897.0
"Мэдээлэл, холбоо",2024,2467.8
Барилга,2024,2166.9
Боловсрол,2024,2018.1
Боловсруулах үйлдвэрлэл,2024,2125.9
Хөдөө аж ахуй,2024,1929.8
Улсын дундаж,2024,2332.4
