Дэд салбар,Сар,value
"    Уул уурхай, олборлолт",2023-09,2941353.1
"    Уул уурхай, олборлолт",2023-08,2916481.8
"    Уул уурхай, олборлолт",2023-07,2217623.7
"    Уул уурхай, олборлолт",2023-06,2280996.1
"    Уул уурхай, олборлолт",2023-05,2303974.5
"    Уул уурхай, олборлолт",2023-04,2433935.0
"    Уул уурхай, олборлолт",2023-03,2450987.4
"    Уул уурхай, олборлолт",2023-02,2053581.9
"    Уул уурхай, олборлолт",2023-01,2280564.1
"    Уул уурхай, олборлолт",2022-12,2058383.0
"    Уул уурхай, олборлолт",2022-11,2044544.4
"    Уул уурхай, олборлолт",2022-10,2158102.5
"    Уул уурхай, олборлолт",2022-09,2008461.2
"    Уул уурхай, олборлолт",2022-08,1972263.0
"    Уул уурхай, олборлолт",2022-07,1384752.3
"    Уул уурхай, олборлолт",2022-06,1360595.3
"    Уул уурхай, олборлолт",2022-05,1197333.6
"    Уул уурхай, олборлолт",2022-04,1196930.6
"    Уул уурхай, олборлолт",2022-03,973513.9
"    Уул уурхай, олборлолт",2022-02,895146.4
"    Уул уурхай, олборлолт",2022-01,1116569.9
"    Уул уурхай, олборлолт",2021-12,899132.9
"    Уул уурхай, олборлолт",2021-11,995514.5
"    Уул уурхай, олборлолт",2021-10,1137500.6
"    Уул уурхай, олборлолт",2021-09,1020126.0
"    Уул уурхай, олборлолт",2021-08,1037176.9
"    Уул уурхай, олборлолт",2021-07,1022565.7
"    Уул уурхай, олборлолт",2021-06,1057418.2
"    Уул уурхай, олборлолт",2021-05,1121457.0
"    Уул уурхай, олборлолт",2021-04,1013817.1
"    Уул уурхай, олборлолт",2021-03,1081596.2
"    Уул уурхай, олборлолт",2021-02,880534.6
"    Уул уурхай, олборлолт",2021-01,920437.7
"    Уул уурхай, олборлолт",2020-12,1390622.3
"    Уул уурхай, олборлолт",2020-11,1363523.9
"    Уул уурхай, олборлолт",2020-10,1479721.8
"    Уул уурхай, олборлолт",2020-09,1285493.9
"    Уул уурхай, олборлолт",2020-08,1020206.4
"    Уул уурхай, олборлолт",2020-07,1043768.9
"    Уул уурхай, олборлолт",2020-06,1011997.6
"    Уул уурхай, олборлолт",2020-05,837840.4
"    Уул уурхай, олборлолт",2020-04,621078.6
"    Уул уурхай, олборлолт",2020-03,697814.7
"    Уул уурхай, олборлолт",2020-02,684923.5
"    Уул уурхай, олборлолт",2020-01,796167.2
"    Уул уурхай, олборлолт",2019-12,862453.6
"    Уул уурхай, олборлолт",2019-11,1112531.4
"    Уул уурхай, олборлолт",2019-10,1227147.7
"    Уул уурхай, олборлолт",2019-09,1180691.6
"    Уул уурхай, олборлолт",2019-08,1271250.8
"    Уул уурхай, олборлолт",2019-07,1152937.2
"    Уул уурхай, олборлолт",2019-06,1066163.4
"    Уул уурхай, олборлолт",2019-05,1217615.1
"    Уул уурхай, олборлолт",2019-04,1070947.7
"    Уул уурхай, олборлолт",2019-03,1070739.1
"    Уул уурхай, олборлолт",2019-02,950769.8
"    Уул уурхай, олборлолт",2019-01,976064.0
"    Уул уурхай, олборлолт",2018-12,1024623.3
"    Уул уурхай, олборлолт",2018-11,1018086.0
"    Уул уурхай, олборлолт",2018-10,1166623.1
"    Уул уурхай, олборлолт",2018-09,1067574.3
"    Уул уурхай, олборлолт",2018-08,933677.5
"    Уул уурхай, олборлолт",2018-07,892616.1
"    Уул уурхай, олборлолт",2018-06,1069429.6
"    Уул уурхай, олборлолт",2018-05,1100975.2
"    Уул уурхай, олборлолт",2018-04,911159.8
"    Уул уурхай, олборлолт",2018-03,902456.6
"    Уул уурхай, олборлолт",2018-02,687976.9
"    Уул уурхай, олборлолт",2018-01,815052.2
"    Уул уурхай, олборлолт",2017-12,771552.4
"    Уул уурхай, олборлолт",2017-11,783935.9
"    Уул уурхай, олборлолт",2017-10,957055.5
"    Уул уурхай, олборлолт",2017-09,972177.1
        Нүүрс олборлолт,2026-03,1788840.1
        Нүүрс олборлолт,2026-02,1408286.2
        Нүүрс олборлолт,2026-01,1523624.7
        Нүүрс олборлолт,2025-12,1715826.8
        Нүүрс олборлолт,2025-11,1528125.4
        Нүүрс олборлолт,2025-10,1405495.4
        Нүүрс олборлолт,2025-09,1484858.2
        Нүүрс олборлолт,2025-08,1203949.4
        Нүүрс олборлолт,2025-07,1210656.5
        Нүүрс олборлолт,2025-06,953999.8
        Нүүрс олборлолт,2025-05,1529465.7
        Нүүрс олборлолт,2025-04,1482882.1
        Нүүрс олборлолт,2025-03,1096354.8
        Нүүрс олборлолт,2025-02,1265746.5
        Нүүрс олборлолт,2025-01,1326717.4
        Нүүрс олборлолт,2024-12,1608490.1
        Нүүрс олборлолт,2024-11,1846406.1
        Нүүрс олборлолт,2024-10,2074403.0
        Нүүрс олборлолт,2024-09,1938522.6
        Нүүрс олборлолт,2024-08,1996345.0
        Нүүрс олборлолт,2024-07,2021887.4
        Нүүрс олборлолт,2024-06,2419641.7
        Нүүрс олборлолт,2024-05,2537737.8
        Нүүрс олборлолт,2024-04,2463287.4
        Нүүрс олборлолт,2024-03,2602107.8
        Нүүрс олборлолт,2024-02,2134949.0
        Нүүрс олборлолт,2024-01,1795944.5
        Нүүрс олборлолт,2023-12,1888460.2
        Нүүрс олборлолт,2023-11,1709254.7
        Нүүрс олборлолт,2023-10,1543036.1
        Нүүрс олборлолт,2023-09,1784630.3
        Нүүрс олборлолт,2023-08,1540677.7
        Нүүрс олборлолт,2023-07,944113.4
        Нүүрс олборлолт,2023-06,975429.7
        Нүүрс олборлолт,2023-05,1107292.4
        Нүүрс олборлолт,2023-04,1349278.2
        Нүүрс олборлолт,2023-03,1258775.1
        Нүүрс олборлолт,2023-02,1000556.0
        Нүүрс олборлолт,2023-01,1243562.8
        Нүүрс олборлолт,2022-12,1063453.7
        Нүүрс олборлолт,2022-11,918173.1
        Нүүрс олборлолт,2022-10,984175.1
        Нүүрс олборлолт,2022-09,914936.7
        Нүүрс олборлолт,2022-08,835758.5
        Нүүрс олборлолт,2022-07,370884.8
        Нүүрс олборлолт,2022-06,245540.1
        Нүүрс олборлолт,2022-05,176246.8
        Нүүрс олборлолт,2022-04,232343.7
        Нүүрс олборлолт,2022-03,119759.2
        Нүүрс олборлолт,2022-02,229613.5
        Нүүрс олборлолт,2022-01,281838.0
        Нүүрс олборлолт,2021-12,138770.5
        Нүүрс олборлолт,2021-11,122720.4
        Нүүрс олборлолт,2021-10,176131.4
        Нүүрс олборлолт,2021-09,148920.9
        Нүүрс олборлолт,2021-08,73287.4
        Нүүрс олборлолт,2021-07,84924.5
        Нүүрс олборлолт,2021-06,140331.5
        Нүүрс олборлолт,2021-05,151044.8
        Нүүрс олборлолт,2021-04,197341.1
        Нүүрс олборлолт,2021-03,280577.5
        Нүүрс олборлолт,2021-02,282077.4
        Нүүрс олборлолт,2021-01,329274.5
        Нүүрс олборлолт,2020-12,622365.4
        Нүүрс олборлолт,2020-11,657554.9
        Нүүрс олборлолт,2020-10,659691.9
        Нүүрс олборлолт,2020-09,498404.2
        Нүүрс олборлолт,2020-08,240560.8
        Нүүрс олборлолт,2020-07,248021.8
        Нүүрс олборлолт,2020-06,250895.0
        Нүүрс олборлолт,2020-05,139685.6
        Нүүрс олборлолт,2020-04,77932.6
        Нүүрс олборлолт,2020-03,243962.2
        Нүүрс олборлолт,2020-02,290773.3
        Нүүрс олборлолт,2020-01,274849.9
        Нүүрс олборлолт,2019-12,232840.3
        Нүүрс олборлолт,2019-11,445694.2
        Нүүрс олборлолт,2019-10,452528.6
        Нүүрс олборлолт,2019-09,572268.7
        Нүүрс олборлолт,2019-08,598453.4
        Нүүрс олборлолт,2019-07,452371.3
        Нүүрс олборлолт,2019-06,442209.4
        Нүүрс олборлолт,2019-05,581893.5
        Нүүрс олборлолт,2019-04,423253.7
        Нүүрс олборлолт,2019-03,494134.2
        Нүүрс олборлолт,2019-02,448273.8
        Нүүрс олборлолт,2019-01,422021.2
        Нүүрс олборлолт,2018-12,459999.8
        Нүүрс олборлолт,2018-11,376847.1
        Нүүрс олборлолт,2018-10,496851.5
        Нүүрс олборлолт,2018-09,398826.2
        Нүүрс олборлолт,2018-08,271262.5
        Нүүрс олборлолт,2018-07,238038.5
        Нүүрс олборлолт,2018-06,412053.9
        Нүүрс олборлолт,2018-05,470545.6
        Нүүрс олборлолт,2018-04,371274.9
        Нүүрс олборлолт,2018-03,349327.0
        Нүүрс олборлолт,2018-02,205201.3
        Нүүрс олборлолт,2018-01,297378.4
        Нүүрс олборлолт,2017-12,220657.7
        Нүүрс олборлолт,2017-11,216789.8
        Нүүрс олборлолт,2017-10,227612.5
        Нүүрс олборлолт,2017-09,252174.9
        Газрын тос олборлолт,2026-03,72328.0
        Газрын тос олборлолт,2026-02,57732.4
        Газрын тос олборлолт,2026-01,63543.2
