огноо,м1_тэрбум_төгрөг
2000-01-01,102.559
2000-02-01,94.955
2000-03-01,116.237
2000-04-01,135.686
2000-05-01,139.958
2000-06-01,143.684
2000-07-01,138.547
2000-08-01,140.029
2000-09-01,143.562
2000-10-01,133.373
2000-11-01,120.093
2000-12-01,130.775
2001-01-01,116.271
2001-02-01,120.03
2001-03-01,123.586
2001-04-01,138.233
2001-05-01,150.927
2001-06-01,155.1
2001-07-01,152.485
2001-08-01,150.335
2001-09-01,151.809
2001-10-01,145.792
2001-11-01,146.03
2001-12-01,156.155
2002-01-01,141.028
2002-02-01,138.759
2002-03-01,146.932
2002-04-01,164.201
2002-05-01,178.268
2002-06-01,187.708
2002-07-01,185.36
2002-08-01,189.423
2002-09-01,181.085
2002-10-01,177.715
2002-11-01,175.577
2002-12-01,187.728
2003-01-01,196.578
2003-02-01,176.951
2003-03-01,180.11
2003-04-01,193.596
2003-05-01,200.969
2003-06-01,208.988
2003-07-01,204.711
2003-08-01,217.317
2003-09-01,214.417
2003-10-01,213.158
2003-11-01,203.785
2003-12-01,212.833
2004-01-01,200.434
2004-02-01,198.111
2004-03-01,210.799
2004-04-01,225.478
2004-05-01,237.218
2004-06-01,254.807
2004-07-01,248.765
2004-08-01,254.029
2004-09-01,241.995
2004-10-01,225.739
2004-11-01,212.579
2004-12-01,221.328
2005-01-01,211.272
2005-02-01,197.123
2005-03-01,213.358
2005-04-01,248.013
2005-05-01,255.502
2005-06-01,277.664
2005-07-01,278.811
2005-08-01,293.241
2005-09-01,273.522
2005-10-01,262.138
2005-11-01,253.099
2005-12-01,269.124
2006-01-01,267.58
2006-02-01,262.114
2006-03-01,274.376
2006-04-01,292.829
2006-05-01,326.227
2006-06-01,328.613
2006-07-01,325.023
2006-08-01,343.057
2006-09-01,331.263
2006-10-01,320.034
2006-11-01,325.026
2006-12-01,331.903
2007-01-01,334.997
2007-02-01,342.597
2007-03-01,401.499
2007-04-01,455.119
2007-05-01,490.293
2007-06-01,502.223
2007-07-01,497.044
2007-08-01,535.468
2007-09-01,515.432
2007-10-01,523.434
2007-11-01,519.932
2007-12-01,590.472
2008-01-01,551.883
2008-02-01,549.184
2008-03-01,577.707
2008-04-01,583.65
2008-05-01,620.61
2008-06-01,624.894
2008-07-01,624.048
2008-08-01,642.217
2008-09-01,603.473
2008-10-01,561.253
2008-11-01,548.309
2008-12-01,647.335
2009-01-01,535.268
2009-02-01,549.887
2009-03-01,511.387
2009-04-01,517.898
2009-05-01,559.144
2009-06-01,544.382
2009-07-01,521.832
2009-08-01,597.14
2009-09-01,622.707
2009-10-01,608.778
2009-11-01,600.593
2009-12-01,651.247
2010-01-01,629.701
2010-02-01,627.897
2010-03-01,693.003
2010-04-01,754.3
2010-05-01,795.658
2010-06-01,839.627
2010-07-01,825.887
2010-08-01,931.464
2010-09-01,958.807
2010-10-01,1000.376
2010-11-01,995.547
2010-12-01,1157.429
2011-01-01,1131.367
2011-02-01,1031.108
2011-03-01,1181.381
2011-04-01,1338.325
2011-05-01,1422.606
2011-06-01,1552.472
2011-07-01,1559.248
2011-08-01,1653.628
2011-09-01,1672.567
2011-10-01,1619.264
2011-11-01,1552.524
2011-12-01,1740.944
2012-01-01,1565.667
2012-02-01,1500.201
2012-03-01,1488.042
2012-04-01,1595.685
2012-05-01,1741.237
2012-06-01,1797.055
2012-07-01,1660.242
2012-08-01,1680.967
2012-09-01,1657.9
2012-10-01,1578.621
2012-11-01,1557.02
2012-12-01,1834.784
2013-01-01,1579.287
2013-02-01,1480.26
2013-03-01,1589.075
2013-04-01,1668.191
2013-05-01,1779.072
2013-06-01,2026.398
2013-07-01,1927.09
2013-08-01,1949.375
2013-09-01,2013.511
2013-10-01,1936.55
2013-11-01,1826.732
2013-12-01,2092.735
2014-01-01,1962.834
2014-02-01,1755.05
2014-03-01,1737.204
2014-04-01,1845.641
2014-05-01,1826.301
2014-06-01,1862.126
2014-07-01,1698.457
2014-08-01,1874.665
2014-09-01,1836.348
2014-10-01,1751.742
2014-11-01,1689.726
2014-12-01,1816.387
2015-01-01,1578.694
2015-02-01,1586.544
2015-03-01,1445.928
2015-04-01,1480.863
2015-05-01,1689.543
2015-06-01,1664.08
2015-07-01,1654.16
2015-08-01,1681.847
2015-09-01,1613.592
2015-10-01,1630.727
2015-11-01,1562.732
2015-12-01,1685.417
2016-01-01,1608.086
2016-02-01,1522.926
2016-03-01,1583.732
2016-04-01,1683.511
2016-05-01,1743.872
2016-06-01,1982.205
2016-07-01,1941.598
2016-08-01,1987.871
2016-09-01,2020.542
2016-10-01,2087.632
2016-11-01,1928.615
2016-12-01,2147.719
2017-01-01,2013.274
2017-02-01,2185.648
2017-03-01,2124.913
2017-04-01,2313.34
2017-05-01,2487.796
2017-06-01,2719.732
2017-07-01,2584.182
2017-08-01,2759.045
2017-09-01,2800.401
2017-10-01,2626.536
2017-11-01,2639.511
2017-12-01,2825.997
2018-01-01,2632.706
2018-02-01,2733.559
2018-03-01,2776.679
2018-04-01,2870.981
2018-05-01,3201.396
2018-06-01,3352.766
2018-07-01,3090.155
2018-08-01,3221.728
2018-09-01,3423.121
2018-10-01,3444.218
2018-11-01,3447.022
2018-12-01,4030.954
2019-01-01,3685.62
2019-02-01,3465.529
2019-03-01,3672.886
2019-04-01,3678.392
2019-05-01,3806.389
2019-06-01,4112.154
2019-07-01,3790.755
2019-08-01,3943.098
2019-09-01,3811.936
2019-10-01,4189.148
2019-11-01,4003.731
2019-12-01,3911.413
2020-01-01,3667.144
2020-02-01,3489.566
2020-03-01,3473.531
2020-04-01,3434.31
2020-05-01,3637.247
2020-06-01,3587.984
2020-07-01,3472.051
2020-08-01,3401.753
2020-09-01,3571.363
2020-10-01,3643.212
2020-11-01,3926.115
2020-12-01,4212.367
2021-01-01,3897.905
2021-02-01,4115.143
2021-03-01,4342.058
2021-04-01,5217.959
2021-05-01,5777.933
2021-06-01,5979.783
2021-07-01,5603.343
2021-08-01,5718.091
2021-09-01,5620.723
2021-10-01,5687.668
2021-11-01,5888.096
2021-12-01,6507.209
2022-01-01,5840.556
2022-02-01,5485.08
2022-03-01,5723.523
2022-04-01,5768.183
2022-05-01,5781.949
2022-06-01,6067.104
2022-07-01,5919.787
2022-08-01,6028.257
2022-09-01,6174.865
2022-10-01,6043.764
2022-11-01,5920.006
2022-12-01,7201.329
2023-01-01,6636.65
2023-02-01,6535.722
2023-03-01,6792.176
2023-04-01,7261.715
2023-05-01,7830.505
2023-06-01,8281.998
2023-07-01,8039.058
2023-08-01,7986.521
2023-09-01,8189.823
2023-10-01,8250.973
2023-11-01,8054.637
2023-12-01,9853.139
2024-01-01,8684.647
2024-02-01,9470.095
2024-03-01,9789.459
2024-04-01,9639.698
2024-05-01,9777.117
2024-06-01,11807.412
2024-07-01,12092.814
2024-08-01,11953.903
2024-09-01,12067.136
2024-10-01,10985.492
2024-11-01,10750.748
2024-12-01,11687.354
2025-01-01,10832.175
2025-02-01,10470.669
2025-03-01,10137.933
2025-04-01,9877.294
2025-05-01,9676.005
2025-06-01,10645.845
2025-07-01,10187.59
2025-08-01,10254.54
2025-09-01,10504.047
2025-10-01,10994.292
2025-11-01,11111.607
2025-12-01,11227.222
2026-01-01,11111.606
2026-02-01,10795.592
2026-03-01,11057.987
2026-04-01,12308.633
2026-05-01,12631.079
2026-06-01,13582.003
2026-07-01,12560.034
