Хүйс_code,Хүйс,Насны бүлэг_code,Насны бүлэг,Он_code,Он,value
0,Total,3,10-14,19,2005,322924
0,Total,3,10-14,20,2004,319207
0,Total,3,10-14,21,2003,315837
0,Total,3,10-14,22,2002,312107
0,Total,3,10-14,23,2001,311938
0,Total,3,10-14,24,2000,314253
0,Total,3,10-14,25,1999,317434
0,Total,3,10-14,26,1998,306484
0,Total,3,10-14,27,1997,294987
0,Total,3,10-14,28,1996,285685
0,Total,3,10-14,29,1995,275060
0,Total,3,10-14,30,1994,266867
0,Total,3,10-14,31,1993,259277
0,Total,3,10-14,32,1992,258612
0,Total,3,10-14,33,1991,261280
0,Total,3,10-14,34,1990,260968
0,Total,3,10-14,35,1989,255646
0,Total,3,10-14,36,1979,207713
0,Total,3,10-14,37,1969,139050
0,Total,3,10-14,38,1963,87283
0,Total,3,10-14,39,1956,61387
0,Total,4,15-19,0,2024,278578
0,Total,4,15-19,1,2023,253390
0,Total,4,15-19,2,2022,233234
0,Total,4,15-19,3,2021,220796
0,Total,4,15-19,4,2020,219508
0,Total,4,15-19,5,2019,223078
0,Total,4,15-19,6,2018,228402
0,Total,4,15-19,7,2017,233001
0,Total,4,15-19,8,2016,236400
0,Total,4,15-19,9,2015,239910
0,Total,4,15-19,10,2014,244337
0,Total,4,15-19,11,2013,253439
0,Total,4,15-19,12,2012,252710
0,Total,4,15-19,13,2011,260952
0,Total,4,15-19,14,2010,275828
0,Total,4,15-19,15,2009,286918
0,Total,4,15-19,16,2008,297965
0,Total,4,15-19,17,2007,306703
0,Total,4,15-19,18,2006,307890
0,Total,4,15-19,19,2005,298606
0,Total,4,15-19,20,2004,295168
0,Total,4,15-19,21,2003,292054
0,Total,4,15-19,22,2002,288606
0,Total,4,15-19,23,2001,282865
0,Total,4,15-19,24,2000,276123
0,Total,4,15-19,25,1999,263358
0,Total,4,15-19,26,1998,257144
0,Total,4,15-19,27,1997,254509
0,Total,4,15-19,28,1996,249583
0,Total,4,15-19,29,1995,246021
0,Total,4,15-19,30,1994,241367
0,Total,4,15-19,31,1993,241210
0,Total,4,15-19,32,1992,238775
0,Total,4,15-19,33,1991,242429
0,Total,4,15-19,34,1990,237545
0,Total,4,15-19,35,1989,221580
0,Total,4,15-19,36,1979,184416
0,Total,4,15-19,37,1969,91157
0,Total,4,15-19,38,1963,70888
0,Total,4,15-19,39,1956,75685
0,Total,5,20-24,0,2024,222190
0,Total,5,20-24,1,2023,227063
0,Total,5,20-24,2,2022,231117
0,Total,5,20-24,3,2021,233806
0,Total,5,20-24,4,2020,236839
0,Total,5,20-24,5,2019,239604
0,Total,5,20-24,6,2018,244971
0,Total,5,20-24,7,2017,244980
0,Total,5,20-24,8,2016,255144
0,Total,5,20-24,9,2015,267844
0,Total,5,20-24,10,2014,278214
0,Total,5,20-24,11,2013,298383
0,Total,5,20-24,12,2012,309393
0,Total,5,20-24,13,2011,315540
0,Total,5,20-24,14,2010,305891
0,Total,5,20-24,15,2009,296937
0,Total,5,20-24,16,2008,280924
0,Total,5,20-24,17,2007,265674
0,Total,5,20-24,18,2006,257726
0,Total,5,20-24,19,2005,271080
0,Total,5,20-24,20,2004,267961
0,Total,5,20-24,21,2003,265130
0,Total,5,20-24,22,2002,262002
0,Total,5,20-24,23,2001,255334
0,Total,5,20-24,24,2000,248994
0,Total,5,20-24,25,1999,235751
0,Total,5,20-24,26,1998,238412
0,Total,5,20-24,27,1997,234998
0,Total,5,20-24,28,1996,232535
0,Total,5,20-24,29,1995,225858
0,Total,5,20-24,30,1994,222876
0,Total,5,20-24,31,1993,212493
0,Total,5,20-24,32,1992,208490
0,Total,5,20-24,33,1991,208563
0,Total,5,20-24,34,1990,209207
0,Total,5,20-24,35,1989,196052
0,Total,5,20-24,36,1979,130104
0,Total,5,20-24,37,1969,70079
0,Total,5,20-24,38,1963,72017
