Хүйс_code,Хүйс,Насны бүлэг_code,Насны бүлэг,Он_code,Он,value
1,Male,2,5-9,2,2022,203288
1,Male,2,5-9,3,2021,202744
1,Male,2,5-9,4,2020,199072
1,Male,2,5-9,5,2019,190812
1,Male,2,5-9,6,2018,183100
1,Male,2,5-9,7,2017,174304
1,Male,2,5-9,8,2016,164768
1,Male,2,5-9,9,2015,152485
1,Male,2,5-9,10,2014,137336
1,Male,2,5-9,11,2013,125866
1,Male,2,5-9,12,2012,117201
1,Male,2,5-9,13,2011,112623
1,Male,2,5-9,14,2010,115518
1,Male,2,5-9,15,2009,118564
1,Male,2,5-9,16,2008,121329
1,Male,2,5-9,17,2007,124720
1,Male,2,5-9,18,2006,122971
1,Male,2,5-9,19,2005,136168
1,Male,2,5-9,20,2004,134600
1,Male,2,5-9,21,2003,133178
1,Male,2,5-9,22,2002,131608
1,Male,2,5-9,23,2001,129340
1,Male,2,5-9,24,2000,135082
1,Male,2,5-9,25,1999,144315
1,Male,2,5-9,26,1998,146284
1,Male,2,5-9,27,1997,156130
1,Male,2,5-9,28,1996,159256
1,Male,2,5-9,29,1995,159311
1,Male,2,5-9,30,1994,156910
1,Male,2,5-9,31,1993,155734
1,Male,2,5-9,32,1992,150976
1,Male,2,5-9,33,1991,150691
1,Male,2,5-9,34,1990,147084
1,Male,2,5-9,35,1989,139287
1,Male,2,5-9,36,1979,119153
1,Male,2,5-9,37,1969,97766
1,Male,2,5-9,38,1963,70179
1,Male,2,5-9,39,1956,44253
1,Male,3,10-14,0,2024,190491
1,Male,3,10-14,1,2023,183451
1,Male,3,10-14,2,2022,174733
1,Male,3,10-14,3,2021,165204
1,Male,3,10-14,4,2020,152788
1,Male,3,10-14,5,2019,142513
1,Male,3,10-14,6,2018,128855
1,Male,3,10-14,7,2017,118653
1,Male,3,10-14,8,2016,112576
1,Male,3,10-14,9,2015,111675
1,Male,3,10-14,10,2014,113306
1,Male,3,10-14,11,2013,118223
1,Male,3,10-14,12,2012,119963
1,Male,3,10-14,13,2011,120084
1,Male,3,10-14,14,2010,125645
1,Male,3,10-14,15,2009,129289
1,Male,3,10-14,16,2008,132336
1,Male,3,10-14,17,2007,135581
1,Male,3,10-14,18,2006,138632
1,Male,3,10-14,19,2005,161872
1,Male,3,10-14,20,2004,160007
1,Male,3,10-14,21,2003,158320
1,Male,3,10-14,22,2002,156449
1,Male,3,10-14,23,2001,156627
1,Male,3,10-14,24,2000,157638
1,Male,3,10-14,25,1999,159294
1,Male,3,10-14,26,1998,153162
1,Male,3,10-14,27,1997,148239
1,Male,3,10-14,28,1996,143662
1,Male,3,10-14,29,1995,138371
1,Male,3,10-14,30,1994,134694
1,Male,3,10-14,31,1993,131092
1,Male,3,10-14,32,1992,130799
1,Male,3,10-14,33,1991,132021
1,Male,3,10-14,34,1990,131909
1,Male,3,10-14,35,1989,128824
1,Male,3,10-14,36,1979,104714
1,Male,3,10-14,37,1969,70138
1,Male,3,10-14,38,1963,44042
1,Male,3,10-14,39,1956,31899
1,Male,4,15-19,0,2024,142033
1,Male,4,15-19,1,2023,129198
1,Male,4,15-19,2,2022,118927
1,Male,4,15-19,3,2021,112718
1,Male,4,15-19,4,2020,111747
1,Male,4,15-19,5,2019,113464
1,Male,4,15-19,6,2018,116247
1,Male,4,15-19,7,2017,118408
1,Male,4,15-19,8,2016,119966
1,Male,4,15-19,9,2015,121780
1,Male,4,15-19,10,2014,122289
1,Male,4,15-19,11,2013,125977
1,Male,4,15-19,12,2012,125525
1,Male,4,15-19,13,2011,129957
1,Male,4,15-19,14,2010,137353
1,Male,4,15-19,15,2009,143854
1,Male,4,15-19,16,2008,149006
1,Male,4,15-19,17,2007,151895
1,Male,4,15-19,18,2006,152143
1,Male,4,15-19,19,2005,151965
1,Male,4,15-19,20,2004,150215
1,Male,4,15-19,21,2003,148631
1,Male,4,15-19,22,2002,146876
1,Male,4,15-19,23,2001,141549
1,Male,4,15-19,24,2000,138299
1,Male,4,15-19,25,1999,133327
1,Male,4,15-19,26,1998,129481
1,Male,4,15-19,27,1997,128515
1,Male,4,15-19,28,1996,125896
1,Male,4,15-19,29,1995,124158
1,Male,4,15-19,30,1994,121521
1,Male,4,15-19,31,1993,121404
1,Male,4,15-19,32,1992,120157
1,Male,4,15-19,33,1991,121901
1,Male,4,15-19,34,1990,119445
1,Male,4,15-19,35,1989,112509
1,Male,4,15-19,36,1979,93889
1,Male,4,15-19,37,1969,46686
1,Male,4,15-19,38,1963,36607
1,Male,4,15-19,39,1956,37949
1,Male,5,20-24,0,2024,112835
1,Male,5,20-24,1,2023,115372
1,Male,5,20-24,2,2022,117176
1,Male,5,20-24,3,2021,118248
1,Male,5,20-24,4,2020,119766
1,Male,5,20-24,5,2019,120958
1,Male,5,20-24,6,2018,123951
1,Male,5,20-24,7,2017,123701
1,Male,5,20-24,8,2016,128877
1,Male,5,20-24,9,2015,135073
1,Male,5,20-24,10,2014,138277
1,Male,5,20-24,11,2013,147194
1,Male,5,20-24,12,2012,151936
1,Male,5,20-24,13,2011,154492
1,Male,5,20-24,14,2010,149261
1,Male,5,20-24,15,2009,144577
1,Male,5,20-24,16,2008,136897
1,Male,5,20-24,17,2007,128555
1,Male,5,20-24,18,2006,125025
1,Male,5,20-24,19,2005,136551
1,Male,5,20-24,20,2004,134981
1,Male,5,20-24,21,2003,133554
1,Male,5,20-24,22,2002,131979
1,Male,5,20-24,23,2001,126174
1,Male,5,20-24,24,2000,122458
1,Male,5,20-24,25,1999,118023
1,Male,5,20-24,26,1998,119721
1,Male,5,20-24,27,1997,117737
1,Male,5,20-24,28,1996,116128
1,Male,5,20-24,29,1995,112516
1,Male,5,20-24,30,1994,111336
1,Male,5,20-24,31,1993,107755
1,Male,5,20-24,32,1992,105549
1,Male,5,20-24,33,1991,105657
1,Male,5,20-24,34,1990,105737
1,Male,5,20-24,35,1989,97505
1,Male,5,20-24,36,1979,64318
1,Male,5,20-24,37,1969,34401
1,Male,5,20-24,38,1963,35794
1,Male,5,20-24,39,1956,35171
1,Male,6,25-29,0,2024,120014
1,Male,6,25-29,1,2023,121586
1,Male,6,25-29,2,2022,121520
1,Male,6,25-29,3,2021,126675
1,Male,6,25-29,4,2020,132802
1,Male,6,25-29,5,2019,139284
1,Male,6,25-29,6,2018,147740
1,Male,6,25-29,7,2017,155846
1,Male,6,25-29,8,2016,157575
1,Male,6,25-29,9,2015,157118
1,Male,6,25-29,10,2014,150842
1,Male,6,25-29,11,2013,145593
1,Male,6,25-29,12,2012,140633
1,Male,6,25-29,13,2011,135782
1,Male,6,25-29,14,2010,125481
1,Male,6,25-29,15,2009,121034
1,Male,6,25-29,16,2008,115381
1,Male,6,25-29,17,2007,112110
1,Male,6,25-29,18,2006,108903
1,Male,6,25-29,19,2005,116998
1,Male,6,25-29,20,2004,115652
1,Male,6,25-29,21,2003,114430
1,Male,6,25-29,22,2002,113080
1,Male,6,25-29,23,2001,111039
1,Male,6,25-29,24,2000,108765
1,Male,6,25-29,25,1999,107962
1,Male,6,25-29,26,1998,106518
1,Male,6,25-29,27,1997,103746
1,Male,6,25-29,28,1996,101161
1,Male,6,25-29,29,1995,100251
1,Male,6,25-29,30,1994,96244
1,Male,6,25-29,31,1993,93809
1,Male,6,25-29,32,1992,92778
1,Male,6,25-29,33,1991,94985
1,Male,6,25-29,34,1990,93054
1,Male,6,25-29,35,1989,88747
1,Male,6,25-29,36,1979,45546
1,Male,6,25-29,37,1969,39369
1,Male,6,25-29,38,1963,35413
1,Male,6,25-29,39,1956,32132
1,Male,7,30-34,0,2024,137736
1,Male,7,30-34,1,2023,144816
1,Male,7,30-34,2,2022,152867
1,Male,7,30-34,3,2021,155063
1,Male,7,30-34,4,2020,154702
1,Male,7,30-34,5,2019,151725
1,Male,7,30-34,6,2018,146913
1,Male,7,30-34,7,2017,140867
1,Male,7,30-34,8,2016,136030
1,Male,7,30-34,9,2015,130591
1,Male,7,30-34,10,2014,126832
1,Male,7,30-34,11,2013,123525
1,Male,7,30-34,12,2012,121895
1,Male,7,30-34,13,2011,119618
1,Male,7,30-34,14,2010,113540
1,Male,7,30-34,15,2009,111169
1,Male,7,30-34,16,2008,107024
1,Male,7,30-34,17,2007,104712
1,Male,7,30-34,18,2006,102855
1,Male,7,30-34,19,2005,100817
1,Male,7,30-34,20,2004,99657
1,Male,7,30-34,21,2003,98604
1,Male,7,30-34,22,2002,97441
1,Male,7,30-34,23,2001,95456
1,Male,7,30-34,24,2000,93564
1,Male,7,30-34,25,1999,92473
1,Male,7,30-34,26,1998,93535
1,Male,7,30-34,27,1997,91886
1,Male,7,30-34,28,1996,91471
1,Male,7,30-34,29,1995,88602
1,Male,7,30-34,30,1994,88657
1,Male,7,30-34,31,1993,83398
1,Male,7,30-34,32,1992,80584
1,Male,7,30-34,33,1991,77382
1,Male,7,30-34,34,1990,75922
1,Male,7,30-34,35,1989,67249
1,Male,7,30-34,36,1979,39104
1,Male,7,30-34,37,1969,33178
1,Male,7,30-34,38,1963,33413
1,Male,7,30-34,39,1956,29501
1,Male,8,35-39,0,2024,149092
1,Male,8,35-39,1,2023,144243
1,Male,8,35-39,2,2022,138377
1,Male,8,35-39,3,2021,133566
1,Male,8,35-39,4,2020,128212
1,Male,8,35-39,5,2019,124138
1,Male,8,35-39,6,2018,120394
1,Male,8,35-39,7,2017,118861
1,Male,8,35-39,8,2016,116417
1,Male,8,35-39,9,2015,114492
1,Male,8,35-39,10,2014,114170
1,Male,8,35-39,11,2013,112810
1,Male,8,35-39,12,2012,109981
1,Male,8,35-39,13,2011,107727
1,Male,8,35-39,14,2010,102520
1,Male,8,35-39,15,2009,99773
1,Male,8,35-39,16,2008,95406
1,Male,8,35-39,17,2007,93180
1,Male,8,35-39,18,2006,91998
1,Male,8,35-39,19,2005,91596
1,Male,8,35-39,20,2004,90543
1,Male,8,35-39,21,2003,89587
1,Male,8,35-39,22,2002,88529
1,Male,8,35-39,23,2001,87162
1,Male,8,35-39,24,2000,85110
1,Male,8,35-39,25,1999,84846
1,Male,8,35-39,26,1998,83200
1,Male,8,35-39,27,1997,79049
1,Male,8,35-39,28,1996,73450
1,Male,8,35-39,29,1995,70834
1,Male,8,35-39,30,1994,64284
1,Male,8,35-39,31,1993,59872
1,Male,8,35-39,32,1992,55039
1,Male,8,35-39,33,1991,53469
1,Male,8,35-39,34,1990,47943
1,Male,8,35-39,35,1989,46614
1,Male,8,35-39,36,1979,39784
1,Male,8,35-39,37,1969,32771
1,Male,8,35-39,38,1963,29256
1,Male,8,35-39,39,1956,28687
1,Male,9,40-44,0,2024,120723
1,Male,9,40-44,1,2023,116965
1,Male,9,40-44,2,2022,115502
1,Male,9,40-44,3,2021,113161
1,Male,9,40-44,4,2020,111300
1,Male,9,40-44,5,2019,108904
1,Male,9,40-44,6,2018,107578
1,Male,9,40-44,7,2017,105370
1,Male,9,40-44,8,2016,103502
1,Male,9,40-44,9,2015,100801
1,Male,9,40-44,10,2014,101320
1,Male,9,40-44,11,2013,96267
1,Male,9,40-44,12,2012,94001
1,Male,9,40-44,13,2011,91426
1,Male,9,40-44,14,2010,89458
1,Male,9,40-44,15,2009,86705
1,Male,9,40-44,16,2008,85762
1,Male,9,40-44,17,2007,83740
1,Male,9,40-44,18,2006,83822
1,Male,9,40-44,19,2005,74712
1,Male,9,40-44,20,2004,73853
1,Male,9,40-44,21,2003,73074
1,Male,9,40-44,22,2002,72210
1,Male,9,40-44,23,2001,71301
1,Male,9,40-44,24,2000,68428
1,Male,9,40-44,25,1999,62619
1,Male,9,40-44,26,1998,57422
1,Male,9,40-44,27,1997,52664
1,Male,9,40-44,28,1996,49709
1,Male,9,40-44,29,1995,44009
1,Male,9,40-44,30,1994,42718
1,Male,9,40-44,31,1993,39455
1,Male,9,40-44,32,1992,38177
1,Male,9,40-44,33,1991,36583
1,Male,9,40-44,34,1990,36650
1,Male,9,40-44,35,1989,35764
1,Male,9,40-44,36,1979,33537
1,Male,9,40-44,37,1969,26025
1,Male,9,40-44,38,1963,25574
1,Male,9,40-44,39,1956,25166
1,Male,10,45-49,0,2024,104331
1,Male,10,45-49,1,2023,102876
1,Male,10,45-49,2,2022,100885
1,Male,10,45-49,3,2021,99127
1,Male,10,45-49,4,2020,96633
1,Male,10,45-49,5,2019,94545
1,Male,10,45-49,6,2018,91409
1,Male,10,45-49,7,2017,88673
1,Male,10,45-49,8,2016,86238
1,Male,10,45-49,9,2015,84610
1,Male,10,45-49,10,2014,84934
1,Male,10,45-49,11,2013,82948
1,Male,10,45-49,12,2012,81051
1,Male,10,45-49,13,2011,79741
1,Male,10,45-49,14,2010,78030
1,Male,10,45-49,15,2009,76710
1,Male,10,45-49,16,2008,74259
1,Male,10,45-49,17,2007,72580
1,Male,10,45-49,18,2006,70842
1,Male,10,45-49,19,2005,51704
1,Male,10,45-49,20,2004,51111
1,Male,10,45-49,21,2003,50570
1,Male,10,45-49,22,2002,49974
1,Male,10,45-49,23,2001,49018
1,Male,10,45-49,24,2000,44566
1,Male,10,45-49,25,1999,40562
1,Male,10,45-49,26,1998,37288
1,Male,10,45-49,27,1997,35711
1,Male,10,45-49,28,1996,33238
1,Male,10,45-49,29,1995,32983
1,Male,10,45-49,30,1994,30420
1,Male,10,45-49,31,1993,30983
1,Male,10,45-49,32,1992,30433
1,Male,10,45-49,33,1991,32512
1,Male,10,45-49,34,1990,33237
1,Male,10,45-49,35,1989,35413
1,Male,10,45-49,36,1979,30121
1,Male,10,45-49,37,1969,25800
1,Male,10,45-49,38,1963,24670
1,Male,10,45-49,39,1956,24853
1,Male,11,50-54,0,2024,88833
1,Male,11,50-54,1,2023,85818
1,Male,11,50-54,2,2022,83130
1,Male,11,50-54,3,2021,81016
1,Male,11,50-54,4,2020,79541
1,Male,11,50-54,5,2019,76596
1,Male,11,50-54,6,2018,76170
1,Male,11,50-54,7,2017,74828
1,Male,11,50-54,8,2016,74040
1,Male,11,50-54,9,2015,71155
1,Male,11,50-54,10,2014,72471
1,Male,11,50-54,11,2013,67890
1,Male,11,50-54,12,2012,64039
1,Male,11,50-54,13,2011,60367
1,Male,11,50-54,14,2010,59482
1,Male,11,50-54,15,2009,55668
1,Male,11,50-54,16,2008,53022
1,Male,11,50-54,17,2007,49558
1,Male,11,50-54,18,2006,49675
1,Male,11,50-54,19,2005,34549
1,Male,11,50-54,20,2004,34151
1,Male,11,50-54,21,2003,33790
1,Male,11,50-54,22,2002,33393
1,Male,11,50-54,23,2001,33235
1,Male,11,50-54,24,2000,32615
1,Male,11,50-54,25,1999,27707
1,Male,11,50-54,26,1998,28560
1,Male,11,50-54,27,1997,27658
1,Male,11,50-54,28,1996,28788
1,Male,11,50-54,29,1995,29152
1,Male,11,50-54,30,1994,31322
1,Male,11,50-54,31,1993,30927
1,Male,11,50-54,32,1992,31320
1,Male,11,50-54,33,1991,30365
1,Male,11,50-54,34,1990,30091
1,Male,11,50-54,35,1989,28157
1,Male,11,50-54,36,1979,23459
1,Male,11,50-54,37,1969,21667
1,Male,11,50-54,38,1963,21824
1,Male,11,50-54,39,1956,20825
1,Male,12,55-59,0,2024,70347
1,Male,12,55-59,1,2023,69861
1,Male,12,55-59,2,2022,68510
1,Male,12,55-59,3,2021,67694
1,Male,12,55-59,4,2020,65015
1,Male,12,55-59,5,2019,64109
1,Male,12,55-59,6,2018,61015
1,Male,12,55-59,7,2017,57844
1,Male,12,55-59,8,2016,53671
1,Male,12,55-59,9,2015,51524
1,Male,12,55-59,10,2014,49511
1,Male,12,55-59,11,2013,44371
1,Male,12,55-59,12,2012,41126
1,Male,12,55-59,13,2011,37969
1,Male,12,55-59,14,2010,35968
1,Male,12,55-59,15,2009,35777
1,Male,12,55-59,16,2008,34175
1,Male,12,55-59,17,2007,32632
1,Male,12,55-59,18,2006,32596
1,Male,12,55-59,19,2005,28949
1,Male,12,55-59,20,2004,28617
1,Male,12,55-59,21,2003,28315
1,Male,12,55-59,22,2002,27980
1,Male,12,55-59,23,2001,27928
1,Male,12,55-59,24,2000,28047
1,Male,12,55-59,25,1999,27379
1,Male,12,55-59,26,1998,27635
1,Male,12,55-59,27,1997,27693
1,Male,12,55-59,28,1996,25995
1,Male,12,55-59,29,1995,25559
1,Male,12,55-59,30,1994,23121
1,Male,12,55-59,31,1993,23763
1,Male,12,55-59,32,1992,23737
1,Male,12,55-59,33,1991,25127
1,Male,12,55-59,34,1990,25138
1,Male,12,55-59,35,1989,24569
1,Male,12,55-59,36,1979,21216
1,Male,12,55-59,37,1969,19857
1,Male,12,55-59,38,1963,19420
1,Male,12,55-59,39,1956,18228
1,Male,13,60-64,0,2024,56792
1,Male,13,60-64,1,2023,53798
1,Male,13,60-64,2,2022,50885
1,Male,13,60-64,3,2021,47211
1,Male,13,60-64,4,2020,45480
1,Male,13,60-64,5,2019,41536
1,Male,13,60-64,6,2018,37601
1,Male,13,60-64,7,2017,34356
1,Male,13,60-64,8,2016,32125
1,Male,13,60-64,9,2015,28448
1,Male,13,60-64,10,2014,29526
1,Male,13,60-64,11,2013,26168
1,Male,13,60-64,12,2012,24881
1,Male,13,60-64,13,2011,23194
1,Male,13,60-64,14,2010,23473
1,Male,13,60-64,15,2009,23281
1,Male,13,60-64,16,2008,23704
1,Male,13,60-64,17,2007,23479
1,Male,13,60-64,18,2006,24496
1,Male,13,60-64,19,2005,23541
1,Male,13,60-64,20,2004,23271
1,Male,13,60-64,21,2003,23023
1,Male,13,60-64,22,2002,22753
1,Male,13,60-64,23,2001,23026
1,Male,13,60-64,24,2000,22377
1,Male,13,60-64,25,1999,20778
1,Male,13,60-64,26,1998,19988
1,Male,13,60-64,27,1997,19949
1,Male,13,60-64,28,1996,20621
1,Male,13,60-64,29,1995,20423
1,Male,13,60-64,30,1994,21182
1,Male,13,60-64,31,1993,20502
1,Male,13,60-64,32,1992,19739
1,Male,13,60-64,33,1991,18847
1,Male,13,60-64,34,1990,18844
1,Male,13,60-64,35,1989,17598
1,Male,13,60-64,36,1979,16779
1,Male,13,60-64,37,1969,17322
1,Male,13,60-64,38,1963,17467
1,Male,13,60-64,39,1956,15655
1,Male,14,65-69,0,2024,34712
1,Male,14,65-69,1,2023,31758
1,Male,14,65-69,2,2022,29015
1,Male,14,65-69,3,2021,27062
1,Male,14,65-69,4,2020,23967
1,Male,14,65-69,5,2019,22645
1,Male,14,65-69,6,2018,20586
1,Male,14,65-69,7,2017,19410
1,Male,14,65-69,8,2016,17837
1,Male,14,65-69,9,2015,17781
1,Male,14,65-69,10,2014,18066
1,Male,14,65-69,11,2013,17571
1,Male,14,65-69,12,2012,17477
1,Male,14,65-69,13,2011,17906
1,Male,14,65-69,14,2010,18662
1,Male,14,65-69,15,2009,20559
1,Male,14,65-69,16,2008,20622
1,Male,14,65-69,17,2007,20541
1,Male,14,65-69,18,2006,20089
1,Male,14,65-69,19,2005,17103
1,Male,14,65-69,20,2004,16905
1,Male,14,65-69,21,2003,16727
1,Male,14,65-69,22,2002,16531
1,Male,14,65-69,23,2001,16508
1,Male,14,65-69,24,2000,16353
1,Male,14,65-69,25,1999,15982
1,Male,14,65-69,26,1998,16163
1,Male,14,65-69,27,1997,15435
1,Male,14,65-69,28,1996,14110
1,Male,14,65-69,29,1995,13989
1,Male,14,65-69,30,1994,12964
1,Male,14,65-69,31,1993,13358
1,Male,14,65-69,32,1992,13573
1,Male,14,65-69,33,1991,14300
1,Male,14,65-69,34,1990,14929
1,Male,14,65-69,35,1989,14374
1,Male,14,65-69,36,1979,14501
1,Male,14,65-69,37,1969,15781
1,Male,14,65-69,38,1963,13199
1,Male,14,65-69,39,1956,10666
1,Male,15,70+,0,2024,36989
1,Male,15,70+,1,2023,35239
1,Male,15,70+,2,2022,33627
1,Male,15,70+,3,2021,31856
1,Male,15,70+,4,2020,31997
1,Male,15,70+,5,2019,30339
1,Male,15,70+,6,2018,29574
1,Male,15,70+,7,2017,28967
1,Male,15,70+,8,2016,28425
1,Male,15,70+,9,2015,27964
1,Male,15,70+,10,2014,30992
1,Male,15,70+,11,2013,29057
1,Male,15,70+,12,2012,28972
1,Male,15,70+,13,2011,27545
1,Male,15,70+,14,2010,27684
1,Male,15,70+,15,2009,27256
1,Male,15,70+,16,2008,26740
1,Male,15,70+,17,2007,26128
1,Male,15,70+,18,2006,26171
1,Male,15,70+,19,2005,21570
1,Male,15,70+,20,2004,21321
1,Male,15,70+,21,2003,21096
1,Male,15,70+,22,2002,20848
1,Male,15,70+,23,2001,20841
1,Male,15,70+,24,2000,20572
1,Male,15,70+,25,1999,18232
1,Male,15,70+,26,1998,22883
1,Male,15,70+,27,1997,22714
1,Male,15,70+,28,1996,22538
1,Male,15,70+,29,1995,22556
1,Male,15,70+,30,1994,22002
1,Male,15,70+,31,1993,21727
1,Male,15,70+,32,1992,21813
1,Male,15,70+,33,1991,22143
1,Male,15,70+,34,1990,21628
1,Male,15,70+,35,1989,20049
1,Male,15,70+,36,1979,19488
1,Male,15,70+,37,1969,17157
1,Male,15,70+,38,1963,15608
1,Male,15,70+,39,1956,12131
2,Female,0,Total,0,2024,1808475
2,Female,0,Total,1,2023,1786466
2,Female,0,Total,2,2022,1761400
2,Female,0,Total,3,2021,1735881
2,Female,0,Total,4,2020,1708563
2,Female,0,Total,5,2019,1677293
2,Female,0,Total,6,2018,1646631
2,Female,0,Total,7,2017,1615529
2,Female,0,Total,8,2016,1585952
2,Female,0,Total,9,2015,1554166
2,Female,0,Total,10,2014,1529494
2,Female,0,Total,11,2013,1504434
2,Female,0,Total,12,2012,1474291
2,Female,0,Total,13,2011,1446943
2,Female,0,Total,14,2010,1418887
2,Female,0,Total,15,2009,1388135
2,Female,0,Total,16,2008,1364650
2,Female,0,Total,17,2007,1343197
2,Female,0,Total,18,2006,1323601
2,Female,0,Total,19,2005,1285467
2,Female,0,Total,20,2004,1270681
2,Female,0,Total,21,2003,1257253
2,Female,0,Total,22,2002,1242422
2,Female,0,Total,23,2001,1227695
2,Female,0,Total,24,2000,1212861
2,Female,0,Total,25,1999,1195512
2,Female,0,Total,26,1998,1178468
2,Female,0,Total,27,1997,1161916
2,Female,0,Total,28,1996,1146168
2,Female,0,Total,29,1995,1128628
2,Female,0,Total,30,1994,1110095
2,Female,0,Total,31,1993,1089403
2,Female,0,Total,32,1992,1082367
2,Female,0,Total,33,1991,1091813
2,Female,0,Total,34,1990,1079819
2,Female,0,Total,35,1989,1023285
2,Female,0,Total,36,1979,796138
2,Female,0,Total,37,1969,600236
2,Female,0,Total,38,1963,509129
2,Female,0,Total,39,1956,425190
2,Female,1,0-4,0,2024,165879
2,Female,1,0-4,1,2023,172822
2,Female,1,0-4,2,2022,178707
2,Female,1,0-4,3,2021,182790
2,Female,1,0-4,4,2020,185682
2,Female,1,0-4,5,2019,187676
2,Female,1,0-4,6,2018,190410
2,Female,1,0-4,7,2017,191702
2,Female,1,0-4,8,2016,192578
2,Female,1,0-4,9,2015,188751
2,Female,1,0-4,10,2014,169385
2,Female,1,0-4,11,2013,157039
2,Female,1,0-4,12,2012,150486
2,Female,1,0-4,13,2011,141837
2,Female,1,0-4,14,2010,136315
2,Female,1,0-4,15,2009,129262
2,Female,1,0-4,16,2008,122056
2,Female,1,0-4,17,2007,115125
2,Female,1,0-4,18,2006,107525
2,Female,1,0-4,19,2005,118374
2,Female,1,0-4,20,2004,117012
2,Female,1,0-4,21,2003,115777
2,Female,1,0-4,22,2002,114410
2,Female,1,0-4,23,2001,113205
2,Female,1,0-4,24,2000,113903
2,Female,1,0-4,25,1999,121541
2,Female,1,0-4,26,1998,116875
2,Female,1,0-4,27,1997,115402
2,Female,1,0-4,28,1996,121323
2,Female,1,0-4,29,1995,128544
2,Female,1,0-4,30,1994,136244
2,Female,1,0-4,31,1993,145076
2,Female,1,0-4,32,1992,157449
2,Female,1,0-4,33,1991,165605
2,Female,1,0-4,34,1990,168597
2,Female,1,0-4,35,1989,160846
2,Female,1,0-4,36,1979,130275
2,Female,1,0-4,37,1969,99571
2,Female,1,0-4,38,1963,84826
2,Female,1,0-4,39,1956,53426
2,Female,2,5-9,0,2024,186965
2,Female,2,5-9,1,2023,191218
2,Female,2,5-9,2,2022,192681
2,Female,2,5-9,3,2021,193336
2,Female,2,5-9,4,2020,189856
2,Female,2,5-9,5,2019,182200
2,Female,2,5-9,6,2018,175279
2,Female,2,5-9,7,2017,167007
2,Female,2,5-9,8,2016,157807
2,Female,2,5-9,9,2015,146323
2,Female,2,5-9,10,2014,134010
2,Female,2,5-9,11,2013,122808
2,Female,2,5-9,12,2012,114604
2,Female,2,5-9,13,2011,109633
2,Female,2,5-9,14,2010,112675
2,Female,2,5-9,15,2009,114575
2,Female,2,5-9,16,2008,119029
2,Female,2,5-9,17,2007,122159
2,Female,2,5-9,18,2006,120494
2,Female,2,5-9,19,2005,137650
2,Female,2,5-9,20,2004,136067
2,Female,2,5-9,21,2003,134629
2,Female,2,5-9,22,2002,133040
2,Female,2,5-9,23,2001,126278
2,Female,2,5-9,24,2000,132422
2,Female,2,5-9,25,1999,141349
2,Female,2,5-9,26,1998,143467
2,Female,2,5-9,27,1997,155790
2,Female,2,5-9,28,1996,158572
2,Female,2,5-9,29,1995,158915
2,Female,2,5-9,30,1994,157174
2,Female,2,5-9,31,1993,153075
2,Female,2,5-9,32,1992,148465
2,Female,2,5-9,33,1991,147936
2,Female,2,5-9,34,1990,144251
2,Female,2,5-9,35,1989,135892
2,Female,2,5-9,36,1979,115833
2,Female,2,5-9,37,1969,96537
2,Female,2,5-9,38,1963,68945
2,Female,2,5-9,39,1956,44666
2,Female,3,10-14,0,2024,182034
2,Female,3,10-14,1,2023,175880
2,Female,3,10-14,2,2022,167684
2,Female,3,10-14,3,2021,158471
2,Female,3,10-14,4,2020,146724
2,Female,3,10-14,5,2019,136786
2,Female,3,10-14,6,2018,123693
2,Female,3,10-14,7,2017,113948
2,Female,3,10-14,8,2016,107853
2,Female,3,10-14,9,2015,107657
2,Female,3,10-14,10,2014,110826
2,Female,3,10-14,11,2013,115993
2,Female,3,10-14,12,2012,117788
2,Female,3,10-14,13,2011,117649
2,Female,3,10-14,14,2010,122579
2,Female,3,10-14,15,2009,124567
2,Female,3,10-14,16,2008,129820
2,Female,3,10-14,17,2007,133605
2,Female,3,10-14,18,2006,137630
2,Female,3,10-14,19,2005,161052
2,Female,3,10-14,20,2004,159200
2,Female,3,10-14,21,2003,157517
2,Female,3,10-14,22,2002,155658
2,Female,3,10-14,23,2001,155311
2,Female,3,10-14,24,2000,156615
2,Female,3,10-14,25,1999,158140
2,Female,3,10-14,26,1998,153322
2,Female,3,10-14,27,1997,146748
2,Female,3,10-14,28,1996,142023
2,Female,3,10-14,29,1995,136689
2,Female,3,10-14,30,1994,132173
2,Female,3,10-14,31,1993,128185
2,Female,3,10-14,32,1992,127813
2,Female,3,10-14,33,1991,129259
2,Female,3,10-14,34,1990,129059
2,Female,3,10-14,35,1989,126822
2,Female,3,10-14,36,1979,102999
2,Female,3,10-14,37,1969,68912
2,Female,3,10-14,38,1963,43241
2,Female,3,10-14,39,1956,29488
2,Female,4,15-19,0,2024,136545
2,Female,4,15-19,1,2023,124192
2,Female,4,15-19,2,2022,114307
2,Female,4,15-19,3,2021,108078
2,Female,4,15-19,4,2020,107761
2,Female,4,15-19,5,2019,109614
2,Female,4,15-19,6,2018,112155
2,Female,4,15-19,7,2017,114593
2,Female,4,15-19,8,2016,116434
2,Female,4,15-19,9,2015,118130
2,Female,4,15-19,10,2014,122048
2,Female,4,15-19,11,2013,127462
2,Female,4,15-19,12,2012,127185
2,Female,4,15-19,13,2011,130995
2,Female,4,15-19,14,2010,138475
2,Female,4,15-19,15,2009,143064
2,Female,4,15-19,16,2008,148959
2,Female,4,15-19,17,2007,154808
