код,дүүрэг,хорооны_тоо,талбай_км2,lon,lat
11,Налайх,8,685.98,107.420652,47.813671
12,Багануур,5,598.544,108.344743,47.824156
13,Баянзүрх,43,1217.452,107.140603,47.944944
14,Сүхбаатар,20,213.984,106.952313,48.08008
15,Чингэлтэй,24,90.751,106.8824,48.028324
16,Баянгол,34,24.876,106.844506,47.909302
17,Хан-Уул,25,499.864,106.73646,47.80508
18,Сонгинохайрхан,43,1194.946,106.64374,48.068815
19,Багахангай,2,153.804,107.445726,47.374033
