Indicator,Year,value
Total,2025,819907
Total,2024,797905
Total,2023,771722
Total,2022,746405
Total,2021,712353
Total,2020,680837
Total,2019,640449
Total,2018,593150
Total,2017,572752
Total,2016,551953
Total,2015,535055
Total,2014,505816
Total,2013,497022
Total,2012,496123
Total,2011,505409
Total,2010,512213
    Of which: Female,2025,407097
    Of which: Female,2024,396663
    Of which: Female,2023,383583
    Of which: Female,2022,371533
    Of which: Female,2021,355170
    Of which: Female,2020,339681
    Of which: Female,2019,319912
    Of which: Female,2018,295558
    Of which: Female,2017,286014
    Of which: Female,2016,277047
    Of which: Female,2015,269384
    Of which: Female,2014,253505
    Of which: Female,2013,248960
    Of which: Female,2012,248974
    Of which: Female,2011,253456
    Of which: Female,2010,257302
    Primary,2025,378408
    Primary,2024,379647
    Primary,2023,381481
    Primary,2022,382002
    Primary,2021,371480
    Primary,2020,356904
    Primary,2019,342634
    Primary,2018,327019
    Primary,2017,309355
    Primary,2016,288345
    Primary,2015,271687
    Primary,2014,251204
    Primary,2013,239289
    Primary,2012,245387
    Primary,2011,256584
    Primary,2010,265639
    Secondary,2025,290628
    Secondary,2024,273943
    Secondary,2023,262266
    Secondary,2022,251347
    Secondary,2021,238348
    Secondary,2020,222153
    Secondary,2019,200806
    Secondary,2018,184017
    Secondary,2017,176210
    Secondary,2016,167364
    Secondary,2015,147031
    Secondary,2014,158634
    Secondary,2013,164633
    Secondary,2012,155318
    Secondary,2011,169275
    Secondary,2010,172847
    High,2025,150871
    High,2024,144315
    High,2023,127975
    High,2022,113056
    High,2021,102525
    High,2020,101780
    High,2019,97009
    High,2018,82114
    High,2017,87187
    High,2016,96244
    High,2015,116337
    High,2014,95978
    High,2013,93100
    High,2012,95418
    High,2011,79550
    High,2010,73727
    Public,2025,739382
    Public,2024,721758
    Public,2023,701065
    Public,2022,683708
    Public,2021,658634
    Public,2020,632499
    Public,2019,593438
    Public,2018,553562
    Public,2017,537740
    Public,2016,520201
    Public,2015,504070
    Public,2014,476676
    Public,2013,468370
    Public,2012,467918
    Public,2011,477073
    Public,2010,484878
    Private,2025,80525
    Private,2024,76147
    Private,2023,70657
    Private,2022,62697
    Private,2021,53719
    Private,2020,48338
    Private,2019,47011
    Private,2018,39588
    Private,2017,35012
    Private,2016,31752
    Private,2015,30985
    Private,2014,29140
    Private,2013,28652
    Private,2012,28205
    Private,2011,28336
    Private,2010,27335
