year,region_code,region_en,region_mn,animal_code,animal_en,animal_mn,losses_thousand,starting_herd_thousand,loss_rate_percent,loss_status,herd_status
1971,0,Total,Улсын дүн,0,Total,Бүгд,1348,22574.9,5.971234,,
1971,0,Total,Улсын дүн,1,Horse,Адуу,166.7,2317.9,7.191855,,
1971,0,Total,Улсын дүн,2,Cattle,Үхэр,110.5,2107.8,5.242433,,
1971,0,Total,Улсын дүн,3,Camel,Тэмээ,47.7,633.5,7.529597,,
1971,0,Total,Улсын дүн,4,Sheep,Хонь,797.6,13311.7,5.991722,,
1971,0,Total,Улсын дүн,5,Goat,Ямаа,225.5,4204,5.363939,,
1971,181,Zavkhan,Завхан,0,Total,Бүгд,67.5,1686.6,4.002134,,
1971,181,Zavkhan,Завхан,1,Horse,Адуу,5.9,145.8,4.046639,,
1971,181,Zavkhan,Завхан,2,Cattle,Үхэр,3.8,138.9,2.735781,,
1971,181,Zavkhan,Завхан,3,Camel,Тэмээ,0.8,20.9,3.827751,,
1971,181,Zavkhan,Завхан,4,Sheep,Хонь,47.9,1104.8,4.335626,,
1971,181,Zavkhan,Завхан,5,Goat,Ямаа,9.2,276.3,3.329714,,
1971,182,Govi-Altai,Говь-Алтай,0,Total,Бүгд,43.9,1342.5,3.270019,,
1971,182,Govi-Altai,Говь-Алтай,1,Horse,Адуу,2,82.7,2.41838,,
1971,182,Govi-Altai,Говь-Алтай,2,Cattle,Үхэр,1.8,66.6,2.702703,,
1971,182,Govi-Altai,Говь-Алтай,3,Camel,Тэмээ,1.3,51.6,2.51938,,
1971,182,Govi-Altai,Говь-Алтай,4,Sheep,Хонь,25.3,723.7,3.495924,,
1971,182,Govi-Altai,Говь-Алтай,5,Goat,Ямаа,13.5,417.9,3.230438,,
1971,183,Bayan-Ulgii,Баян-Өлгий,0,Total,Бүгд,45.3,1073.9,4.21827,,
1971,183,Bayan-Ulgii,Баян-Өлгий,1,Horse,Адуу,1.6,65.6,2.439024,,
1971,183,Bayan-Ulgii,Баян-Өлгий,2,Cattle,Үхэр,2.3,76.4,3.010471,,
1971,183,Bayan-Ulgii,Баян-Өлгий,3,Camel,Тэмээ,0.6,14.6,4.109589,,
1971,183,Bayan-Ulgii,Баян-Өлгий,4,Sheep,Хонь,30.1,637.8,4.719348,,
1971,183,Bayan-Ulgii,Баян-Өлгий,5,Goat,Ямаа,10.7,279.5,3.828265,,
1971,184,Khovd,Ховд,0,Total,Бүгд,63.2,1463.7,4.317825,,
1971,184,Khovd,Ховд,1,Horse,Адуу,4.3,93.5,4.59893,,
1971,184,Khovd,Ховд,2,Cattle,Үхэр,2.8,93,3.010753,,
1971,184,Khovd,Ховд,3,Camel,Тэмээ,1.5,40.7,3.685504,,
1971,184,Khovd,Ховд,4,Sheep,Хонь,39.4,818.1,4.816037,,
1971,184,Khovd,Ховд,5,Goat,Ямаа,15.1,418.5,3.608124,,
1971,185,Uvs,Увс,0,Total,Бүгд,82.8,1679.8,4.929158,,
1971,185,Uvs,Увс,1,Horse,Адуу,5,123.4,4.051864,,
1971,185,Uvs,Увс,2,Cattle,Үхэр,4.9,122.5,4.0,,
1971,185,Uvs,Увс,3,Camel,Тэмээ,2.2,41.4,5.31401,,
1971,185,Uvs,Увс,4,Sheep,Хонь,55.8,1108.4,5.034284,,
1971,185,Uvs,Увс,5,Goat,Ямаа,14.8,284.3,5.205769,,
1971,261,Orkhon,Орхон,0,Total,Бүгд,,,,..,..
1971,261,Orkhon,Орхон,1,Horse,Адуу,,,,..,..
1971,261,Orkhon,Орхон,2,Cattle,Үхэр,,,,..,..
1971,261,Orkhon,Орхон,3,Camel,Тэмээ,,,,..,..
1971,261,Orkhon,Орхон,4,Sheep,Хонь,,,,..,..
1971,261,Orkhon,Орхон,5,Goat,Ямаа,,,,..,..
1971,262,Uvurkhangai,Өвөрхангай,0,Total,Бүгд,120.1,1707.8,7.032439,,
1971,262,Uvurkhangai,Өвөрхангай,1,Horse,Адуу,26.1,223.1,11.69879,,
1971,262,Uvurkhangai,Өвөрхангай,2,Cattle,Үхэр,10.7,167.7,6.380441,,
1971,262,Uvurkhangai,Өвөрхангай,3,Camel,Тэмээ,4,39.2,10.204082,,
1971,262,Uvurkhangai,Өвөрхангай,4,Sheep,Хонь,64.3,992.8,6.476632,,
1971,262,Uvurkhangai,Өвөрхангай,5,Goat,Ямаа,15.1,285,5.298246,,
1971,263,Bulgan,Булган,0,Total,Бүгд,41.5,906,4.580574,,
1971,263,Bulgan,Булган,1,Horse,Адуу,8,107.3,7.455732,,
1971,263,Bulgan,Булган,2,Cattle,Үхэр,5.9,132.7,4.446119,,
1971,263,Bulgan,Булган,3,Camel,Тэмээ,0.3,4.1,7.317073,,
1971,263,Bulgan,Булган,4,Sheep,Хонь,23.7,573.7,4.131079,,
1971,263,Bulgan,Булган,5,Goat,Ямаа,3.5,88.1,3.972758,,
1971,264,Bayankhongor,Баянхонгор,0,Total,Бүгд,90,1593.4,5.648299,,
