Type,Country,Year,value
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",Taiwan,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",Thailand,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2025,11.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2024,7.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2023,8.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2022,5.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2020,12.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2019,16.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2018,8.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2017,5.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2016,3.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2015,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2014,3.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2013,9.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2012,33.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2011,27.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2010,14.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2009,6.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2008,18.0
"Motor vehicles for the transport of ten or more persons, including the driver",Turkey,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2023,2.0
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",Uzbekistan,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",Hungary,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",Finland,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2022,2.0
"Motor vehicles for the transport of ten or more persons, including the driver",France,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2018,2.0
"Motor vehicles for the transport of ten or more persons, including the driver",France,2017,2.0
"Motor vehicles for the transport of ten or more persons, including the driver",France,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",France,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2025,5.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2024,11.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2023,12.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2022,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2021,2.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2020,2.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2019,15.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2018,8.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2017,6.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2016,15.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2015,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2014,2.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2013,3.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2012,3.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2011,6.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2009,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2008,3.0
"Motor vehicles for the transport of ten or more persons, including the driver",Germany,2007,3.0
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2008,2.0
"Motor vehicles for the transport of ten or more persons, including the driver",Czech Republic,2007,10.0
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2013,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2008,1.0
"Motor vehicles for the transport of ten or more persons, including the driver",Sweden,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",Switzerland,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",New Zealand,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",India,2007,
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2025,254.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2024,356.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2023,228.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2022,246.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2021,267.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2020,239.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2019,175.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2018,185.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2017,93.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2016,78.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2015,32.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2014,41.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2013,43.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2012,28.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2011,21.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2010,19.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2009,7.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2008,54.0
"Motor vehicles for the transport of ten or more persons, including the driver",Japan,2007,63.0
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2025,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2024,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2023,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2022,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2021,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2020,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2019,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2018,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2017,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2016,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2015,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2014,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2013,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2012,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2011,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2010,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2009,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2008,
"Motor vehicles for the transport of ten or more persons, including the driver",Others,2007,
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2025,90406.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2024,123089.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2023,73556.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2022,65612.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2021,55238.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2020,53087.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2019,69472.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2018,64039.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2017,48870.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2016,37735.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2015,37086.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2014,41246.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2013,44680.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2012,45748.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2011,56805.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2010,26066.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2009,11451.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2008,38241.0
Motor cars and other motor vehicles principally designed for the transport of persons,Total,2007,22004.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2025,17.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2024,11.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2023,2.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2022,32.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2021,29.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2020,34.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2019,42.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2018,32.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2017,
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2016,5.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2015,
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2014,
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2013,4.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2012,1.0
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2011,
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2010,
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2009,
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2008,
Motor cars and other motor vehicles principally designed for the transport of persons,Australia,2007,
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2025,161.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2024,77.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2023,207.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2022,206.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2021,145.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2020,147.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2019,135.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2018,28.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2017,28.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2016,1.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2015,14.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2014,1.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2013,2.0
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2012,
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2011,
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2010,
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2009,
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2008,
Motor cars and other motor vehicles principally designed for the transport of persons,Austria,2007,
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2025,1076.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2024,1150.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2023,665.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2022,823.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2021,614.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2020,569.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2019,485.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2018,412.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2017,142.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2016,239.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2015,185.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2014,345.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2013,457.0
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2012,
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2011,
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2010,
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2009,
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2008,
Motor cars and other motor vehicles principally designed for the transport of persons,United States of America,2007,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2025,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2024,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2023,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2022,2.0
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2021,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2020,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2019,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2018,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2017,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2016,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2015,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2014,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2013,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2012,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2011,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2010,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2009,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2008,
Motor cars and other motor vehicles principally designed for the transport of persons,United Arab Emirates,2007,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2025,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2024,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2023,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2022,1.0
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2021,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2020,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2019,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2018,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2017,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2016,1.0
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2015,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2014,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2013,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2012,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2011,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2010,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2009,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2008,
Motor cars and other motor vehicles principally designed for the transport of persons,Belarus,2007,
Motor cars and other motor vehicles principally designed for the transport of persons,Belgium,2025,1.0
Motor cars and other motor vehicles principally designed for the transport of persons,Belgium,2024,
Motor cars and other motor vehicles principally designed for the transport of persons,Belgium,2023,1.0
Motor cars and other motor vehicles principally designed for the transport of persons,Belgium,2022,
Motor cars and other motor vehicles principally designed for the transport of persons,Belgium,2021,
Motor cars and other motor vehicles principally designed for the transport of persons,Belgium,2020,
Motor cars and other motor vehicles principally designed for the transport of persons,Belgium,2019,
Motor cars and other motor vehicles principally designed for the transport of persons,Belgium,2018,
