Бүс,Насны бүлэг,Хүйс,Он,value
Улсын дүн,15-19,Эмэгтэй,2010,13.0
Улсын дүн,15-19,Эмэгтэй,2009,13.7
Улсын дүн,20-24,Нийт,2025,54.8
Улсын дүн,20-24,Нийт,2024,52.7
Улсын дүн,20-24,Нийт,2023,49.9
Улсын дүн,20-24,Нийт,2022,53.6
Улсын дүн,20-24,Нийт,2021,47.1
Улсын дүн,20-24,Нийт,2020,54.3
Улсын дүн,20-24,Нийт,2019,58.3
Улсын дүн,20-24,Нийт,2018,52.9
Улсын дүн,20-24,Нийт,2017,49.8
Улсын дүн,20-24,Нийт,2016,52.1
Улсын дүн,20-24,Нийт,2015,53.0
Улсын дүн,20-24,Нийт,2014,54.0
Улсын дүн,20-24,Нийт,2013,53.2
Улсын дүн,20-24,Нийт,2012,53.7
Улсын дүн,20-24,Нийт,2011,52.1
Улсын дүн,20-24,Нийт,2010,52.1
Улсын дүн,20-24,Нийт,2009,54.6
Улсын дүн,20-24,Эрэгтэй,2025,65.9
Улсын дүн,20-24,Эрэгтэй,2024,64.1
Улсын дүн,20-24,Эрэгтэй,2023,62.8
Улсын дүн,20-24,Эрэгтэй,2022,63.0
Улсын дүн,20-24,Эрэгтэй,2021,57.0
Улсын дүн,20-24,Эрэгтэй,2020,61.4
Улсын дүн,20-24,Эрэгтэй,2019,65.2
Улсын дүн,20-24,Эрэгтэй,2018,61.7
Улсын дүн,20-24,Эрэгтэй,2017,57.0
Улсын дүн,20-24,Эрэгтэй,2016,61.7
Улсын дүн,20-24,Эрэгтэй,2015,60.5
Улсын дүн,20-24,Эрэгтэй,2014,61.1
Улсын дүн,20-24,Эрэгтэй,2013,62.1
Улсын дүн,20-24,Эрэгтэй,2012,60.4
Улсын дүн,20-24,Эрэгтэй,2011,59.8
Улсын дүн,20-24,Эрэгтэй,2010,59.7
Улсын дүн,20-24,Эрэгтэй,2009,61.5
Улсын дүн,20-24,Эмэгтэй,2025,42.8
Улсын дүн,20-24,Эмэгтэй,2024,40.1
Улсын дүн,20-24,Эмэгтэй,2023,35.2
Улсын дүн,20-24,Эмэгтэй,2022,44.4
Улсын дүн,20-24,Эмэгтэй,2021,37.3
Улсын дүн,20-24,Эмэгтэй,2020,46.6
Улсын дүн,20-24,Эмэгтэй,2019,50.4
Улсын дүн,20-24,Эмэгтэй,2018,44.0
Улсын дүн,20-24,Эмэгтэй,2017,41.9
Улсын дүн,20-24,Эмэгтэй,2016,41.9
Улсын дүн,20-24,Эмэгтэй,2015,45.5
Улсын дүн,20-24,Эмэгтэй,2014,46.5
Улсын дүн,20-24,Эмэгтэй,2013,45.1
Улсын дүн,20-24,Эмэгтэй,2012,46.7
Улсын дүн,20-24,Эмэгтэй,2011,44.6
Улсын дүн,20-24,Эмэгтэй,2010,44.7
Улсын дүн,20-24,Эмэгтэй,2009,48.0
Улсын дүн,25-29,Нийт,2025,79.2
Улсын дүн,25-29,Нийт,2024,79.5
Улсын дүн,25-29,Нийт,2023,77.2
Улсын дүн,25-29,Нийт,2022,78.7
Улсын дүн,25-29,Нийт,2021,76.7
Улсын дүн,25-29,Нийт,2020,78.6
Улсын дүн,25-29,Нийт,2019,76.6
Улсын дүн,25-29,Нийт,2018,73.7
Улсын дүн,25-29,Нийт,2017,74.3
Улсын дүн,25-29,Нийт,2016,76.1
Улсын дүн,25-29,Нийт,2015,75.3
Улсын дүн,25-29,Нийт,2014,78.5
Улсын дүн,25-29,Нийт,2013,78.0
Улсын дүн,25-29,Нийт,2012,77.3
Улсын дүн,25-29,Нийт,2011,75.7
Улсын дүн,25-29,Нийт,2010,75.7
Улсын дүн,25-29,Нийт,2009,75.3
Улсын дүн,25-29,Эрэгтэй,2025,94.2
Улсын дүн,25-29,Эрэгтэй,2024,93.5
Улсын дүн,25-29,Эрэгтэй,2023,89.5
Улсын дүн,25-29,Эрэгтэй,2022,86.8
Улсын дүн,25-29,Эрэгтэй,2021,87.6
Улсын дүн,25-29,Эрэгтэй,2020,86.2
Улсын дүн,25-29,Эрэгтэй,2019,88.0
Улсын дүн,25-29,Эрэгтэй,2018,87.2
Улсын дүн,25-29,Эрэгтэй,2017,84.5
Улсын дүн,25-29,Эрэгтэй,2016,86.4
Улсын дүн,25-29,Эрэгтэй,2015,86.2
Улсын дүн,25-29,Эрэгтэй,2014,88.0
Улсын дүн,25-29,Эрэгтэй,2013,87.1
Улсын дүн,25-29,Эрэгтэй,2012,86.3
Улсын дүн,25-29,Эрэгтэй,2011,84.9
Улсын дүн,25-29,Эрэгтэй,2010,84.6
Улсын дүн,25-29,Эрэгтэй,2009,85.0
Улсын дүн,25-29,Эмэгтэй,2025,63.3
Улсын дүн,25-29,Эмэгтэй,2024,65.6
Улсын дүн,25-29,Эмэгтэй,2023,66.3
Улсын дүн,25-29,Эмэгтэй,2022,70.5
Улсын дүн,25-29,Эмэгтэй,2021,65.5
Улсын дүн,25-29,Эмэгтэй,2020,70.6
Улсын дүн,25-29,Эмэгтэй,2019,65.4
Улсын дүн,25-29,Эмэгтэй,2018,61.5
Улсын дүн,25-29,Эмэгтэй,2017,64.8
Улсын дүн,25-29,Эмэгтэй,2016,66.5
Улсын дүн,25-29,Эмэгтэй,2015,65.1
Улсын дүн,25-29,Эмэгтэй,2014,69.4
Улсын дүн,25-29,Эмэгтэй,2013,69.8
Улсын дүн,25-29,Эмэгтэй,2012,68.8
Улсын дүн,25-29,Эмэгтэй,2011,66.6
Улсын дүн,25-29,Эмэгтэй,2010,67.2
Улсын дүн,25-29,Эмэгтэй,2009,65.8
Улсын дүн,30-34,Нийт,2025,84.2
Улсын дүн,30-34,Нийт,2024,83.5
Улсын дүн,30-34,Нийт,2023,78.8
Улсын дүн,30-34,Нийт,2022,78.0
Улсын дүн,30-34,Нийт,2021,78.3
Улсын дүн,30-34,Нийт,2020,78.4
Улсын дүн,30-34,Нийт,2019,80.1
Улсын дүн,30-34,Нийт,2018,80.8
Улсын дүн,30-34,Нийт,2017,80.7
Улсын дүн,30-34,Нийт,2016,79.0
Улсын дүн,30-34,Нийт,2015,81.7
Улсын дүн,30-34,Нийт,2014,82.4
Улсын дүн,30-34,Нийт,2013,80.7
Улсын дүн,30-34,Нийт,2012,81.5
Улсын дүн,30-34,Нийт,2011,80.8
Улсын дүн,30-34,Нийт,2010,80.9
Улсын дүн,30-34,Нийт,2009,81.5
Улсын дүн,30-34,Эрэгтэй,2025,94.2
Улсын дүн,30-34,Эрэгтэй,2024,92.7
Улсын дүн,30-34,Эрэгтэй,2023,87.9
Улсын дүн,30-34,Эрэгтэй,2022,91.1
Улсын дүн,30-34,Эрэгтэй,2021,92.1
Улсын дүн,30-34,Эрэгтэй,2020,88.9
Улсын дүн,30-34,Эрэгтэй,2019,89.9
Улсын дүн,30-34,Эрэгтэй,2018,92.7
Улсын дүн,30-34,Эрэгтэй,2017,89.8
Улсын дүн,30-34,Эрэгтэй,2016,88.9
Улсын дүн,30-34,Эрэгтэй,2015,90.8
Улсын дүн,30-34,Эрэгтэй,2014,91.3
Улсын дүн,30-34,Эрэгтэй,2013,89.3
Улсын дүн,30-34,Эрэгтэй,2012,88.4
Улсын дүн,30-34,Эрэгтэй,2011,88.1
Улсын дүн,30-34,Эрэгтэй,2010,89.3
Улсын дүн,30-34,Эрэгтэй,2009,89.2
Улсын дүн,30-34,Эмэгтэй,2025,74.0
Улсын дүн,30-34,Эмэгтэй,2024,74.1
Улсын дүн,30-34,Эмэгтэй,2023,69.9
Улсын дүн,30-34,Эмэгтэй,2022,66.1
Улсын дүн,30-34,Эмэгтэй,2021,65.8
Улсын дүн,30-34,Эмэгтэй,2020,68.3
Улсын дүн,30-34,Эмэгтэй,2019,71.8
Улсын дүн,30-34,Эмэгтэй,2018,69.5
Улсын дүн,30-34,Эмэгтэй,2017,72.3
Улсын дүн,30-34,Эмэгтэй,2016,69.7
Улсын дүн,30-34,Эмэгтэй,2015,73.4
Улсын дүн,30-34,Эмэгтэй,2014,74.3
Улсын дүн,30-34,Эмэгтэй,2013,72.4
Улсын дүн,30-34,Эмэгтэй,2012,74.9
Улсын дүн,30-34,Эмэгтэй,2011,74.2
Улсын дүн,30-34,Эмэгтэй,2010,73.1
Улсын дүн,30-34,Эмэгтэй,2009,74.7
Улсын дүн,35-39,Нийт,2025,84.0
Улсын дүн,35-39,Нийт,2024,83.5
Улсын дүн,35-39,Нийт,2023,79.1
Улсын дүн,35-39,Нийт,2022,79.2
