Бүс,Насны бүлэг,Хүйс,Он,value
Хангайн бүс,50-54,Эмэгтэй,2014,79.3
Хангайн бүс,50-54,Эмэгтэй,2013,78.3
Хангайн бүс,50-54,Эмэгтэй,2012,75.3
Хангайн бүс,50-54,Эмэгтэй,2011,73.0
Хангайн бүс,50-54,Эмэгтэй,2010,71.6
Хангайн бүс,50-54,Эмэгтэй,2009,82.7
Хангайн бүс,55-59,Нийт,2025,65.8
Хангайн бүс,55-59,Нийт,2024,65.9
Хангайн бүс,55-59,Нийт,2023,62.2
Хангайн бүс,55-59,Нийт,2022,56.1
Хангайн бүс,55-59,Нийт,2021,53.0
Хангайн бүс,55-59,Нийт,2020,50.7
Хангайн бүс,55-59,Нийт,2019,58.8
Хангайн бүс,55-59,Нийт,2018,63.7
Хангайн бүс,55-59,Нийт,2017,59.7
Хангайн бүс,55-59,Нийт,2016,65.2
Хангайн бүс,55-59,Нийт,2015,59.4
Хангайн бүс,55-59,Нийт,2014,64.7
Хангайн бүс,55-59,Нийт,2013,61.4
Хангайн бүс,55-59,Нийт,2012,66.9
Хангайн бүс,55-59,Нийт,2011,63.6
Хангайн бүс,55-59,Нийт,2010,64.3
Хангайн бүс,55-59,Нийт,2009,61.8
Хангайн бүс,55-59,Эрэгтэй,2025,85.4
Хангайн бүс,55-59,Эрэгтэй,2024,82.3
Хангайн бүс,55-59,Эрэгтэй,2023,71.1
Хангайн бүс,55-59,Эрэгтэй,2022,82.2
Хангайн бүс,55-59,Эрэгтэй,2021,82.3
Хангайн бүс,55-59,Эрэгтэй,2020,74.0
Хангайн бүс,55-59,Эрэгтэй,2019,74.1
Хангайн бүс,55-59,Эрэгтэй,2018,82.0
Хангайн бүс,55-59,Эрэгтэй,2017,74.1
Хангайн бүс,55-59,Эрэгтэй,2016,81.5
Хангайн бүс,55-59,Эрэгтэй,2015,75.8
Хангайн бүс,55-59,Эрэгтэй,2014,79.3
Хангайн бүс,55-59,Эрэгтэй,2013,78.7
Хангайн бүс,55-59,Эрэгтэй,2012,81.8
Хангайн бүс,55-59,Эрэгтэй,2011,77.8
Хангайн бүс,55-59,Эрэгтэй,2010,77.6
Хангайн бүс,55-59,Эрэгтэй,2009,70.5
Хангайн бүс,55-59,Эмэгтэй,2025,50.4
Хангайн бүс,55-59,Эмэгтэй,2024,50.0
Хангайн бүс,55-59,Эмэгтэй,2023,55.2
Хангайн бүс,55-59,Эмэгтэй,2022,33.8
Хангайн бүс,55-59,Эмэгтэй,2021,31.3
Хангайн бүс,55-59,Эмэгтэй,2020,32.9
Хангайн бүс,55-59,Эмэгтэй,2019,48.0
Хангайн бүс,55-59,Эмэгтэй,2018,45.9
Хангайн бүс,55-59,Эмэгтэй,2017,48.1
Хангайн бүс,55-59,Эмэгтэй,2016,54.2
Хангайн бүс,55-59,Эмэгтэй,2015,47.6
Хангайн бүс,55-59,Эмэгтэй,2014,52.0
Хангайн бүс,55-59,Эмэгтэй,2013,48.1
Хангайн бүс,55-59,Эмэгтэй,2012,57.5
Хангайн бүс,55-59,Эмэгтэй,2011,49.8
Хангайн бүс,55-59,Эмэгтэй,2010,52.1
Хангайн бүс,55-59,Эмэгтэй,2009,53.2
Хангайн бүс,60-64,Нийт,2025,44.3
Хангайн бүс,60-64,Нийт,2024,39.0
Хангайн бүс,60-64,Нийт,2023,36.7
Хангайн бүс,60-64,Нийт,2022,47.2
Хангайн бүс,60-64,Нийт,2021,28.2
Хангайн бүс,60-64,Нийт,2020,28.2
Хангайн бүс,60-64,Нийт,2019,38.5
Хангайн бүс,60-64,Нийт,2018,34.1
Хангайн бүс,60-64,Нийт,2017,35.6
Хангайн бүс,60-64,Нийт,2016,46.1
Хангайн бүс,60-64,Нийт,2015,39.0
Хангайн бүс,60-64,Нийт,2014,29.6
Хангайн бүс,60-64,Нийт,2013,46.5
Хангайн бүс,60-64,Нийт,2012,40.5
Хангайн бүс,60-64,Нийт,2011,29.4
Хангайн бүс,60-64,Нийт,2010,39.2
Хангайн бүс,60-64,Нийт,2009,40.2
Хангайн бүс,60-64,Эрэгтэй,2025,46.2
Хангайн бүс,60-64,Эрэгтэй,2024,46.3
Хангайн бүс,60-64,Эрэгтэй,2023,48.0
Хангайн бүс,60-64,Эрэгтэй,2022,39.9
Хангайн бүс,60-64,Эрэгтэй,2021,25.8
Хангайн бүс,60-64,Эрэгтэй,2020,31.8
Хангайн бүс,60-64,Эрэгтэй,2019,48.4
Хангайн бүс,60-64,Эрэгтэй,2018,45.7
Хангайн бүс,60-64,Эрэгтэй,2017,38.0
Хангайн бүс,60-64,Эрэгтэй,2016,53.2
Хангайн бүс,60-64,Эрэгтэй,2015,46.9
Хангайн бүс,60-64,Эрэгтэй,2014,36.2
Хангайн бүс,60-64,Эрэгтэй,2013,51.3
Хангайн бүс,60-64,Эрэгтэй,2012,52.6
Хангайн бүс,60-64,Эрэгтэй,2011,32.0
Хангайн бүс,60-64,Эрэгтэй,2010,45.1
Хангайн бүс,60-64,Эрэгтэй,2009,41.2
Хангайн бүс,60-64,Эмэгтэй,2025,42.5
Хангайн бүс,60-64,Эмэгтэй,2024,33.2
Хангайн бүс,60-64,Эмэгтэй,2023,29.6
Хангайн бүс,60-64,Эмэгтэй,2022,53.1
Хангайн бүс,60-64,Эмэгтэй,2021,30.2
Хангайн бүс,60-64,Эмэгтэй,2020,25.9
Хангайн бүс,60-64,Эмэгтэй,2019,29.2
Хангайн бүс,60-64,Эмэгтэй,2018,26.1
Хангайн бүс,60-64,Эмэгтэй,2017,33.1
Хангайн бүс,60-64,Эмэгтэй,2016,37.5
Хангайн бүс,60-64,Эмэгтэй,2015,32.7
Хангайн бүс,60-64,Эмэгтэй,2014,23.3
Хангайн бүс,60-64,Эмэгтэй,2013,40.1
Хангайн бүс,60-64,Эмэгтэй,2012,27.7
Хангайн бүс,60-64,Эмэгтэй,2011,27.3
Хангайн бүс,60-64,Эмэгтэй,2010,33.9
Хангайн бүс,60-64,Эмэгтэй,2009,39.5
Хангайн бүс,65-69,Нийт,2025,29.8
Хангайн бүс,65-69,Нийт,2024,30.2
Хангайн бүс,65-69,Нийт,2023,27.2
Хангайн бүс,65-69,Нийт,2022,30.6
Хангайн бүс,65-69,Нийт,2021,24.0
Хангайн бүс,65-69,Нийт,2020,32.7
Хангайн бүс,65-69,Нийт,2019,26.1
Хангайн бүс,65-69,Нийт,2018,21.0
Хангайн бүс,65-69,Нийт,2017,32.0
Хангайн бүс,65-69,Нийт,2016,33.9
Хангайн бүс,65-69,Нийт,2015,31.4
Хангайн бүс,65-69,Нийт,2014,34.8
Хангайн бүс,65-69,Нийт,2013,44.6
Хангайн бүс,65-69,Нийт,2012,14.7
Хангайн бүс,65-69,Нийт,2011,13.6
Хангайн бүс,65-69,Нийт,2010,30.2
Хангайн бүс,65-69,Нийт,2009,29.6
Хангайн бүс,65-69,Эрэгтэй,2025,29.7
Хангайн бүс,65-69,Эрэгтэй,2024,31.7
Хангайн бүс,65-69,Эрэгтэй,2023,40.7
Хангайн бүс,65-69,Эрэгтэй,2022,45.6
Хангайн бүс,65-69,Эрэгтэй,2021,27.5
Хангайн бүс,65-69,Эрэгтэй,2020,32.0
Хангайн бүс,65-69,Эрэгтэй,2019,38.6
Хангайн бүс,65-69,Эрэгтэй,2018,20.6
Хангайн бүс,65-69,Эрэгтэй,2017,36.8
Хангайн бүс,65-69,Эрэгтэй,2016,30.1
Хангайн бүс,65-69,Эрэгтэй,2015,30.1
Хангайн бүс,65-69,Эрэгтэй,2014,34.2
Хангайн бүс,65-69,Эрэгтэй,2013,39.3
Хангайн бүс,65-69,Эрэгтэй,2012,13.5
Хангайн бүс,65-69,Эрэгтэй,2011,17.6
Хангайн бүс,65-69,Эрэгтэй,2010,35.6
Хангайн бүс,65-69,Эрэгтэй,2009,40.6
Хангайн бүс,65-69,Эмэгтэй,2025,29.8
Хангайн бүс,65-69,Эмэгтэй,2024,29.1
Хангайн бүс,65-69,Эмэгтэй,2023,17.6
Хангайн бүс,65-69,Эмэгтэй,2022,10.6
Хангайн бүс,65-69,Эмэгтэй,2021,19.7
Хангайн бүс,65-69,Эмэгтэй,2020,33.2
Хангайн бүс,65-69,Эмэгтэй,2019,3.9
Хангайн бүс,65-69,Эмэгтэй,2018,21.3
Хангайн бүс,65-69,Эмэгтэй,2017,28.8
Хангайн бүс,65-69,Эмэгтэй,2016,37.0
Хангайн бүс,65-69,Эмэгтэй,2015,32.4
Хангайн бүс,65-69,Эмэгтэй,2014,35.4
Хангайн бүс,65-69,Эмэгтэй,2013,48.6
Хангайн бүс,65-69,Эмэгтэй,2012,15.6
Хангайн бүс,65-69,Эмэгтэй,2011,10.3
Хангайн бүс,65-69,Эмэгтэй,2010,24.1
Хангайн бүс,65-69,Эмэгтэй,2009,15.4
Хангайн бүс,70+,Нийт,2025,16.7
Хангайн бүс,70+,Нийт,2024,10.4
Хангайн бүс,70+,Нийт,2023,13.8
Хангайн бүс,70+,Нийт,2022,4.9
Хангайн бүс,70+,Нийт,2021,10.5
Хангайн бүс,70+,Нийт,2020,4.6
Хангайн бүс,70+,Нийт,2019,2.6
Хангайн бүс,70+,Нийт,2018,10.2
Хангайн бүс,70+,Нийт,2017,11.5
Хангайн бүс,70+,Нийт,2016,17.5
Хангайн бүс,70+,Нийт,2015,17.2
Хангайн бүс,70+,Нийт,2014,14.5
Хангайн бүс,70+,Нийт,2013,15.0
Хангайн бүс,70+,Нийт,2012,14.9
Хангайн бүс,70+,Нийт,2011,14.3
Хангайн бүс,70+,Нийт,2010,19.9
Хангайн бүс,70+,Нийт,2009,6.9
Хангайн бүс,70+,Эрэгтэй,2025,22.1
Хангайн бүс,70+,Эрэгтэй,2024,21.9
Хангайн бүс,70+,Эрэгтэй,2023,17.7
Хангайн бүс,70+,Эрэгтэй,2022,11.2
Хангайн бүс,70+,Эрэгтэй,2021,11.8
Хангайн бүс,70+,Эрэгтэй,2020,4.4
Хангайн бүс,70+,Эрэгтэй,2019,5.0
Хангайн бүс,70+,Эрэгтэй,2018,13.3
Хангайн бүс,70+,Эрэгтэй,2017,13.5
Хангайн бүс,70+,Эрэгтэй,2016,27.0
Хангайн бүс,70+,Эрэгтэй,2015,20.7
Хангайн бүс,70+,Эрэгтэй,2014,25.1
Хангайн бүс,70+,Эрэгтэй,2013,27.3
Хангайн бүс,70+,Эрэгтэй,2012,19.7
Хангайн бүс,70+,Эрэгтэй,2011,23.4
Хангайн бүс,70+,Эрэгтэй,2010,25.3
Хангайн бүс,70+,Эрэгтэй,2009,7.8
Хангайн бүс,70+,Эмэгтэй,2025,13.9
Хангайн бүс,70+,Эмэгтэй,2024,6.0
Хангайн бүс,70+,Эмэгтэй,2023,10.3
Хангайн бүс,70+,Эмэгтэй,2022,1.3
Хангайн бүс,70+,Эмэгтэй,2021,9.9
Хангайн бүс,70+,Эмэгтэй,2020,4.8
Хангайн бүс,70+,Эмэгтэй,2019,0.0
Хангайн бүс,70+,Эмэгтэй,2018,7.9
Хангайн бүс,70+,Эмэгтэй,2017,9.3
Хангайн бүс,70+,Эмэгтэй,2016,11.5
Хангайн бүс,70+,Эмэгтэй,2015,14.1
Хангайн бүс,70+,Эмэгтэй,2014,7.3
Хангайн бүс,70+,Эмэгтэй,2013,7.4
Хангайн бүс,70+,Эмэгтэй,2012,10.2
Хангайн бүс,70+,Эмэгтэй,2011,7.2
Хангайн бүс,70+,Эмэгтэй,2010,15.5
Хангайн бүс,70+,Эмэгтэй,2009,6.2
Архангай,Бүгд,Нийт,2025,68.0
Архангай,Бүгд,Нийт,2024,63.7
Архангай,Бүгд,Нийт,2023,70.8
Архангай,Бүгд,Нийт,2022,76.6
Архангай,Бүгд,Нийт,2021,72.4
Архангай,Бүгд,Нийт,2020,72.0
Архангай,Бүгд,Нийт,2019,78.9
Архангай,Бүгд,Нийт,2018,77.8
Архангай,Бүгд,Нийт,2017,75.5
Архангай,Бүгд,Нийт,2016,76.0
Архангай,Бүгд,Нийт,2015,71.8
Архангай,Бүгд,Нийт,2014,77.8
Архангай,Бүгд,Нийт,2013,78.2
Архангай,Бүгд,Нийт,2012,81.4
Архангай,Бүгд,Нийт,2011,80.7
Архангай,Бүгд,Нийт,2010,78.6
Архангай,Бүгд,Нийт,2009,76.8
Архангай,Бүгд,Эрэгтэй,2025,75.6
Архангай,Бүгд,Эрэгтэй,2024,70.4
Архангай,Бүгд,Эрэгтэй,2023,72.4
Архангай,Бүгд,Эрэгтэй,2022,82.2
Архангай,Бүгд,Эрэгтэй,2021,78.3
Архангай,Бүгд,Эрэгтэй,2020,75.4
Архангай,Бүгд,Эрэгтэй,2019,84.7
Архангай,Бүгд,Эрэгтэй,2018,81.1
Архангай,Бүгд,Эрэгтэй,2017,77.0
Архангай,Бүгд,Эрэгтэй,2016,80.0
Архангай,Бүгд,Эрэгтэй,2015,74.0
Архангай,Бүгд,Эрэгтэй,2014,79.4
Архангай,Бүгд,Эрэгтэй,2013,79.8
Архангай,Бүгд,Эрэгтэй,2012,84.1
Архангай,Бүгд,Эрэгтэй,2011,84.8
Архангай,Бүгд,Эрэгтэй,2010,81.8
Архангай,Бүгд,Эрэгтэй,2009,78.5
Архангай,Бүгд,Эмэгтэй,2025,60.8
Архангай,Бүгд,Эмэгтэй,2024,57.2
Архангай,Бүгд,Эмэгтэй,2023,69.2
Архангай,Бүгд,Эмэгтэй,2022,71.4
Архангай,Бүгд,Эмэгтэй,2021,66.8
Архангай,Бүгд,Эмэгтэй,2020,68.8
Архангай,Бүгд,Эмэгтэй,2019,72.4
Архангай,Бүгд,Эмэгтэй,2018,74.4
Архангай,Бүгд,Эмэгтэй,2017,74.0
Архангай,Бүгд,Эмэгтэй,2016,72.0
Архангай,Бүгд,Эмэгтэй,2015,69.6
Архангай,Бүгд,Эмэгтэй,2014,76.2
Архангай,Бүгд,Эмэгтэй,2013,76.5
Архангай,Бүгд,Эмэгтэй,2012,78.9
Архангай,Бүгд,Эмэгтэй,2011,76.9
Архангай,Бүгд,Эмэгтэй,2010,75.4
Архангай,Бүгд,Эмэгтэй,2009,74.9
Архангай,15-19,Нийт,2025,6.6
Архангай,15-19,Нийт,2024,9.6
Архангай,15-19,Нийт,2023,10.2
Архангай,15-19,Нийт,2022,34.4
Архангай,15-19,Нийт,2021,14.3
Архангай,15-19,Нийт,2020,7.8
Архангай,15-19,Нийт,2019,28.1
Архангай,15-19,Нийт,2018,21.0
Архангай,15-19,Нийт,2017,19.8
Архангай,15-19,Нийт,2016,9.9
Архангай,15-19,Нийт,2015,8.4
Архангай,15-19,Нийт,2014,26.5
Архангай,15-19,Нийт,2013,43.2
Архангай,15-19,Нийт,2012,67.2
Архангай,15-19,Нийт,2011,48.0
Архангай,15-19,Нийт,2010,39.3
Архангай,15-19,Нийт,2009,41.3
Архангай,15-19,Эрэгтэй,2025,11.8
Архангай,15-19,Эрэгтэй,2024,17.8
Архангай,15-19,Эрэгтэй,2023,10.8
Архангай,15-19,Эрэгтэй,2022,34.7
Архангай,15-19,Эрэгтэй,2021,18.0
Архангай,15-19,Эрэгтэй,2020,3.3
Архангай,15-19,Эрэгтэй,2019,34.1
Архангай,15-19,Эрэгтэй,2018,29.8
Архангай,15-19,Эрэгтэй,2017,26.9
Архангай,15-19,Эрэгтэй,2016,10.1
Архангай,15-19,Эрэгтэй,2015,10.7
Архангай,15-19,Эрэгтэй,2014,34.3
Архангай,15-19,Эрэгтэй,2013,45.9
Архангай,15-19,Эрэгтэй,2012,63.7
Архангай,15-19,Эрэгтэй,2011,55.6
Архангай,15-19,Эрэгтэй,2010,45.2
Архангай,15-19,Эрэгтэй,2009,51.4
Архангай,15-19,Эмэгтэй,2025,2.4
Архангай,15-19,Эмэгтэй,2024,0.0
Архангай,15-19,Эмэгтэй,2023,9.0
Архангай,15-19,Эмэгтэй,2022,33.9
Архангай,15-19,Эмэгтэй,2021,11.3
Архангай,15-19,Эмэгтэй,2020,12.5
Архангай,15-19,Эмэгтэй,2019,16.9
Архангай,15-19,Эмэгтэй,2018,5.4
Архангай,15-19,Эмэгтэй,2017,11.1
Архангай,15-19,Эмэгтэй,2016,9.5
Архангай,15-19,Эмэгтэй,2015,5.1
Архангай,15-19,Эмэгтэй,2014,19.3
Архангай,15-19,Эмэгтэй,2013,39.6
Архангай,15-19,Эмэгтэй,2012,70.2
Архангай,15-19,Эмэгтэй,2011,40.3
Архангай,15-19,Эмэгтэй,2010,31.3
Архангай,15-19,Эмэгтэй,2009,24.2
Архангай,20-24,Нийт,2025,78.6
Архангай,20-24,Нийт,2024,97.2
Архангай,20-24,Нийт,2023,85.7
Архангай,20-24,Нийт,2022,81.4
Архангай,20-24,Нийт,2021,70.8
Архангай,20-24,Нийт,2020,79.4
Архангай,20-24,Нийт,2019,92.6
Архангай,20-24,Нийт,2018,79.1
Архангай,20-24,Нийт,2017,81.1
Архангай,20-24,Нийт,2016,88.4
Архангай,20-24,Нийт,2015,62.8
Архангай,20-24,Нийт,2014,86.7
Архангай,20-24,Нийт,2013,74.9
Архангай,20-24,Нийт,2012,84.8
Архангай,20-24,Нийт,2011,80.3
Архангай,20-24,Нийт,2010,80.7
Архангай,20-24,Нийт,2009,74.8
Архангай,20-24,Эрэгтэй,2025,79.0
Архангай,20-24,Эрэгтэй,2024,100.0
Архангай,20-24,Эрэгтэй,2023,100.0
Архангай,20-24,Эрэгтэй,2022,97.9
Архангай,20-24,Эрэгтэй,2021,87.5
Архангай,20-24,Эрэгтэй,2020,81.8
Архангай,20-24,Эрэгтэй,2019,95.3
Архангай,20-24,Эрэгтэй,2018,91.7
Архангай,20-24,Эрэгтэй,2017,81.3
Архангай,20-24,Эрэгтэй,2016,94.6
Архангай,20-24,Эрэгтэй,2015,67.0
Архангай,20-24,Эрэгтэй,2014,88.7
Архангай,20-24,Эрэгтэй,2013,77.2
Архангай,20-24,Эрэгтэй,2012,94.7
Архангай,20-24,Эрэгтэй,2011,87.8
Архангай,20-24,Эрэгтэй,2010,81.1
Архангай,20-24,Эрэгтэй,2009,73.3
Архангай,20-24,Эмэгтэй,2025,78.1
Архангай,20-24,Эмэгтэй,2024,95.1
Архангай,20-24,Эмэгтэй,2023,65.1
Архангай,20-24,Эмэгтэй,2022,61.5
Архангай,20-24,Эмэгтэй,2021,51.4
Архангай,20-24,Эмэгтэй,2020,76.3
Архангай,20-24,Эмэгтэй,2019,86.0
Архангай,20-24,Эмэгтэй,2018,58.8
Архангай,20-24,Эмэгтэй,2017,80.8
Архангай,20-24,Эмэгтэй,2016,75.2
Архангай,20-24,Эмэгтэй,2015,58.0
Архангай,20-24,Эмэгтэй,2014,84.4
Архангай,20-24,Эмэгтэй,2013,71.9
Архангай,20-24,Эмэгтэй,2012,76.5
Архангай,20-24,Эмэгтэй,2011,73.1
Архангай,20-24,Эмэгтэй,2010,80.3
Архангай,20-24,Эмэгтэй,2009,76.6
Архангай,25-29,Нийт,2025,75.4
Архангай,25-29,Нийт,2024,81.1
Архангай,25-29,Нийт,2023,95.3
Архангай,25-29,Нийт,2022,85.1
Архангай,25-29,Нийт,2021,98.4
Архангай,25-29,Нийт,2020,99.4
Архангай,25-29,Нийт,2019,95.7
Архангай,25-29,Нийт,2018,89.9
Архангай,25-29,Нийт,2017,94.5
Архангай,25-29,Нийт,2016,94.5
Архангай,25-29,Нийт,2015,91.0
Архангай,25-29,Нийт,2014,93.9
Архангай,25-29,Нийт,2013,91.7
Архангай,25-29,Нийт,2012,91.6
Архангай,25-29,Нийт,2011,94.4
Архангай,25-29,Нийт,2010,92.9
Архангай,25-29,Нийт,2009,92.8
Архангай,25-29,Эрэгтэй,2025,93.7
Архангай,25-29,Эрэгтэй,2024,83.5
Архангай,25-29,Эрэгтэй,2023,99.5
Архангай,25-29,Эрэгтэй,2022,88.4
Архангай,25-29,Эрэгтэй,2021,98.7
Архангай,25-29,Эрэгтэй,2020,100.0
Архангай,25-29,Эрэгтэй,2019,100.0
Архангай,25-29,Эрэгтэй,2018,93.5
Архангай,25-29,Эрэгтэй,2017,98.0
Архангай,25-29,Эрэгтэй,2016,98.2
Архангай,25-29,Эрэгтэй,2015,97.2
Архангай,25-29,Эрэгтэй,2014,92.2
Архангай,25-29,Эрэгтэй,2013,93.0
Архангай,25-29,Эрэгтэй,2012,92.5
Архангай,25-29,Эрэгтэй,2011,94.3
Архангай,25-29,Эрэгтэй,2010,96.2
Архангай,25-29,Эрэгтэй,2009,96.7
Архангай,25-29,Эмэгтэй,2025,53.6
Архангай,25-29,Эмэгтэй,2024,72.0
Архангай,25-29,Эмэгтэй,2023,89.5
Архангай,25-29,Эмэгтэй,2022,80.4
Архангай,25-29,Эмэгтэй,2021,98.0
Архангай,25-29,Эмэгтэй,2020,98.8
Архангай,25-29,Эмэгтэй,2019,89.7
Архангай,25-29,Эмэгтэй,2018,86.1
Архангай,25-29,Эмэгтэй,2017,90.6
Архангай,25-29,Эмэгтэй,2016,90.2
Архангай,25-29,Эмэгтэй,2015,85.3
Архангай,25-29,Эмэгтэй,2014,95.2
Архангай,25-29,Эмэгтэй,2013,90.5
Архангай,25-29,Эмэгтэй,2012,90.6
Архангай,25-29,Эмэгтэй,2011,94.5
Архангай,25-29,Эмэгтэй,2010,89.5
Архангай,25-29,Эмэгтэй,2009,88.4
Архангай,30-34,Нийт,2025,88.4
Архангай,30-34,Нийт,2024,98.8
Архангай,30-34,Нийт,2023,95.5
Архангай,30-34,Нийт,2022,95.7
Архангай,30-34,Нийт,2021,97.0
Архангай,30-34,Нийт,2020,94.0
Архангай,30-34,Нийт,2019,88.3
Архангай,30-34,Нийт,2018,95.7
Архангай,30-34,Нийт,2017,95.1
Архангай,30-34,Нийт,2016,95.5
Архангай,30-34,Нийт,2015,100.0
Архангай,30-34,Нийт,2014,95.6
Архангай,30-34,Нийт,2013,100.0
Архангай,30-34,Нийт,2012,96.0
Архангай,30-34,Нийт,2011,97.9
Архангай,30-34,Нийт,2010,96.1
Архангай,30-34,Нийт,2009,95.2
Архангай,30-34,Эрэгтэй,2025,100.0
Архангай,30-34,Эрэгтэй,2024,100.0
Архангай,30-34,Эрэгтэй,2023,100.0
Архангай,30-34,Эрэгтэй,2022,98.8
Архангай,30-34,Эрэгтэй,2021,100.0
Архангай,30-34,Эрэгтэй,2020,100.0
Архангай,30-34,Эрэгтэй,2019,95.5
Архангай,30-34,Эрэгтэй,2018,100.0
Архангай,30-34,Эрэгтэй,2017,93.5
Архангай,30-34,Эрэгтэй,2016,98.1
Архангай,30-34,Эрэгтэй,2015,100.0
Архангай,30-34,Эрэгтэй,2014,96.5
Архангай,30-34,Эрэгтэй,2013,100.0
Архангай,30-34,Эрэгтэй,2012,98.2
Архангай,30-34,Эрэгтэй,2011,95.2
Архангай,30-34,Эрэгтэй,2010,96.2
Архангай,30-34,Эрэгтэй,2009,93.6
Архангай,30-34,Эмэгтэй,2025,78.2
Архангай,30-34,Эмэгтэй,2024,97.7
Архангай,30-34,Эмэгтэй,2023,93.0
Архангай,30-34,Эмэгтэй,2022,92.7
Архангай,30-34,Эмэгтэй,2021,94.8
Архангай,30-34,Эмэгтэй,2020,89.0
Архангай,30-34,Эмэгтэй,2019,82.4
Архангай,30-34,Эмэгтэй,2018,91.7
Архангай,30-34,Эмэгтэй,2017,96.4
Архангай,30-34,Эмэгтэй,2016,93.3
Архангай,30-34,Эмэгтэй,2015,100.0
Архангай,30-34,Эмэгтэй,2014,94.7
Архангай,30-34,Эмэгтэй,2013,100.0
Архангай,30-34,Эмэгтэй,2012,93.9
Архангай,30-34,Эмэгтэй,2011,100.0
Архангай,30-34,Эмэгтэй,2010,95.9
Архангай,30-34,Эмэгтэй,2009,96.7
Архангай,35-39,Нийт,2025,94.5
Архангай,35-39,Нийт,2024,89.9
Архангай,35-39,Нийт,2023,91.1
Архангай,35-39,Нийт,2022,93.2
Архангай,35-39,Нийт,2021,97.0
Архангай,35-39,Нийт,2020,94.0
Архангай,35-39,Нийт,2019,90.1
Архангай,35-39,Нийт,2018,96.0
Архангай,35-39,Нийт,2017,94.9
Архангай,35-39,Нийт,2016,93.3
Архангай,35-39,Нийт,2015,96.8
Архангай,35-39,Нийт,2014,97.4
Архангай,35-39,Нийт,2013,94.5
Архангай,35-39,Нийт,2012,96.0
Архангай,35-39,Нийт,2011,96.5
Архангай,35-39,Нийт,2010,96.6
Архангай,35-39,Нийт,2009,96.0
Архангай,35-39,Эрэгтэй,2025,99.3
Архангай,35-39,Эрэгтэй,2024,94.7
Архангай,35-39,Эрэгтэй,2023,87.3
Архангай,35-39,Эрэгтэй,2022,96.8
Архангай,35-39,Эрэгтэй,2021,94.5
Архангай,35-39,Эрэгтэй,2020,96.1
Архангай,35-39,Эрэгтэй,2019,95.9
Архангай,35-39,Эрэгтэй,2018,97.1
Архангай,35-39,Эрэгтэй,2017,95.5
Архангай,35-39,Эрэгтэй,2016,95.9
Архангай,35-39,Эрэгтэй,2015,100.0
Архангай,35-39,Эрэгтэй,2014,94.9
Архангай,35-39,Эрэгтэй,2013,96.8
Архангай,35-39,Эрэгтэй,2012,100.0
Архангай,35-39,Эрэгтэй,2011,98.0
Архангай,35-39,Эрэгтэй,2010,95.7
Архангай,35-39,Эрэгтэй,2009,92.8
Архангай,35-39,Эмэгтэй,2025,88.2
Архангай,35-39,Эмэгтэй,2024,86.6
Архангай,35-39,Эмэгтэй,2023,95.0
Архангай,35-39,Эмэгтэй,2022,90.5
Архангай,35-39,Эмэгтэй,2021,100.0
Архангай,35-39,Эмэгтэй,2020,91.6
Архангай,35-39,Эмэгтэй,2019,85.4
Архангай,35-39,Эмэгтэй,2018,94.8
Архангай,35-39,Эмэгтэй,2017,94.4
Архангай,35-39,Эмэгтэй,2016,90.2
Архангай,35-39,Эмэгтэй,2015,94.0
Архангай,35-39,Эмэгтэй,2014,100.0
Архангай,35-39,Эмэгтэй,2013,92.8
Архангай,35-39,Эмэгтэй,2012,91.9
Архангай,35-39,Эмэгтэй,2011,95.0
Архангай,35-39,Эмэгтэй,2010,97.7
Архангай,35-39,Эмэгтэй,2009,100.0
Архангай,40-44,Нийт,2025,96.1
Архангай,40-44,Нийт,2024,92.3
Архангай,40-44,Нийт,2023,94.4
Архангай,40-44,Нийт,2022,96.4
Архангай,40-44,Нийт,2021,89.4
Архангай,40-44,Нийт,2020,95.5
Архангай,40-44,Нийт,2019,96.9
Архангай,40-44,Нийт,2018,92.5
Архангай,40-44,Нийт,2017,96.6
Архангай,40-44,Нийт,2016,96.3
Архангай,40-44,Нийт,2015,96.6
Архангай,40-44,Нийт,2014,96.0
Архангай,40-44,Нийт,2013,98.0
Архангай,40-44,Нийт,2012,94.6
Архангай,40-44,Нийт,2011,100.0
Архангай,40-44,Нийт,2010,97.8
Архангай,40-44,Нийт,2009,98.3
Архангай,40-44,Эрэгтэй,2025,94.8
Архангай,40-44,Эрэгтэй,2024,90.2
Архангай,40-44,Эрэгтэй,2023,90.2
Архангай,40-44,Эрэгтэй,2022,100.0
Архангай,40-44,Эрэгтэй,2021,92.2
Архангай,40-44,Эрэгтэй,2020,100.0
Архангай,40-44,Эрэгтэй,2019,100.0
Архангай,40-44,Эрэгтэй,2018,93.3
Архангай,40-44,Эрэгтэй,2017,100.0
Архангай,40-44,Эрэгтэй,2016,96.6
Архангай,40-44,Эрэгтэй,2015,98.3
Архангай,40-44,Эрэгтэй,2014,93.9
Архангай,40-44,Эрэгтэй,2013,97.2
Архангай,40-44,Эрэгтэй,2012,96.4
Архангай,40-44,Эрэгтэй,2011,100.0
Архангай,40-44,Эрэгтэй,2010,98.3
Архангай,40-44,Эрэгтэй,2009,100.0
Архангай,40-44,Эмэгтэй,2025,97.2
Архангай,40-44,Эмэгтэй,2024,94.2
Архангай,40-44,Эмэгтэй,2023,100.0
