Хүүгийн төрөл,Огноо,Хүү (%)
Хадгаламжийн хүү (валют),2019-10,4.82
Зээлийн хүү (төгрөг),2019-11,16.11
Хадгаламжийн хүү (төгрөг),2019-11,11.49
Хадгаламжийн хүү (валют),2019-11,4.8
Зээлийн хүү (төгрөг),2019-12,16.82
Хадгаламжийн хүү (төгрөг),2019-12,11.29
Хадгаламжийн хүү (валют),2019-12,4.75
Зээлийн хүү (төгрөг),2020-01,15.89
Хадгаламжийн хүү (төгрөг),2020-01,11.42
Хадгаламжийн хүү (валют),2020-01,4.74
Зээлийн хүү (төгрөг),2020-02,15.61
Хадгаламжийн хүү (төгрөг),2020-02,11.33
Хадгаламжийн хүү (валют),2020-02,4.71
Зээлийн хүү (төгрөг),2020-03,15.62
Хадгаламжийн хүү (төгрөг),2020-03,11.4
Хадгаламжийн хүү (валют),2020-03,4.7
Зээлийн хүү (төгрөг),2020-04,15.76
Хадгаламжийн хүү (төгрөг),2020-04,11.32
Хадгаламжийн хүү (валют),2020-04,4.57
Зээлийн хүү (төгрөг),2020-05,16.55
Хадгаламжийн хүү (төгрөг),2020-05,11.2
Хадгаламжийн хүү (валют),2020-05,4.5
Зээлийн хүү (төгрөг),2020-06,16.16
Хадгаламжийн хүү (төгрөг),2020-06,10.96
Хадгаламжийн хүү (валют),2020-06,4.33
Зээлийн хүү (төгрөг),2020-07,15.11
Хадгаламжийн хүү (төгрөг),2020-07,10.91
Хадгаламжийн хүү (валют),2020-07,4.24
Зээлийн хүү (төгрөг),2020-08,16.16
Хадгаламжийн хүү (төгрөг),2020-08,10.84
Хадгаламжийн хүү (валют),2020-08,4.13
Зээлийн хүү (төгрөг),2020-09,15.9
Хадгаламжийн хүү (төгрөг),2020-09,10.8
Хадгаламжийн хүү (валют),2020-09,3.8
Зээлийн хүү (төгрөг),2020-10,15.71
Хадгаламжийн хүү (төгрөг),2020-10,10.6
Хадгаламжийн хүү (валют),2020-10,3.8
Зээлийн хүү (төгрөг),2020-11,15.46
Хадгаламжийн хүү (төгрөг),2020-11,10.6
Хадгаламжийн хүү (валют),2020-11,3.7
Зээлийн хүү (төгрөг),2020-12,13.65
Хадгаламжийн хүү (төгрөг),2020-12,10.2
Хадгаламжийн хүү (валют),2020-12,3.7
Зээлийн хүү (төгрөг),2021-01,14.95
Хадгаламжийн хүү (төгрөг),2021-01,9.8
Хадгаламжийн хүү (валют),2021-01,3.6
Зээлийн хүү (төгрөг),2021-02,14.74
Хадгаламжийн хүү (төгрөг),2021-02,8.6
Хадгаламжийн хүү (валют),2021-02,3.1
Зээлийн хүү (төгрөг),2021-03,14.92
Хадгаламжийн хүү (төгрөг),2021-03,7.9
Хадгаламжийн хүү (валют),2021-03,2.9
Зээлийн хүү (төгрөг),2021-04,11.51
Хадгаламжийн хүү (төгрөг),2021-04,8.0
Хадгаламжийн хүү (валют),2021-04,2.6
Зээлийн хүү (төгрөг),2021-05,11.36
Хадгаламжийн хүү (төгрөг),2021-05,7.82
Хадгаламжийн хүү (валют),2021-05,2.58
Зээлийн хүү (төгрөг),2021-06,11.62
Хадгаламжийн хүү (төгрөг),2021-06,7.58
Хадгаламжийн хүү (валют),2021-06,2.48
Зээлийн хүү (төгрөг),2021-07,12.55
Хадгаламжийн хүү (төгрөг),2021-07,7.42
Хадгаламжийн хүү (валют),2021-07,2.37
Зээлийн хүү (төгрөг),2021-08,13.02
Хадгаламжийн хүү (төгрөг),2021-08,7.26
Хадгаламжийн хүү (валют),2021-08,2.22
Зээлийн хүү (төгрөг),2021-09,13.21
Хадгаламжийн хүү (төгрөг),2021-09,7.24
Хадгаламжийн хүү (валют),2021-09,2.26
Зээлийн хүү (төгрөг),2021-10,13.5
Хадгаламжийн хүү (төгрөг),2021-10,7.19
Хадгаламжийн хүү (валют),2021-10,2.25
Зээлийн хүү (төгрөг),2021-11,13.44
Хадгаламжийн хүү (төгрөг),2021-11,7.13
Хадгаламжийн хүү (валют),2021-11,2.08
Зээлийн хүү (төгрөг),2021-12,12.61
Хадгаламжийн хүү (төгрөг),2021-12,7.04
Хадгаламжийн хүү (валют),2021-12,2.04
Зээлийн хүү (төгрөг),2022-01,13.4
Хадгаламжийн хүү (төгрөг),2022-01,7.14
Хадгаламжийн хүү (валют),2022-01,2.08
Зээлийн хүү (төгрөг),2022-02,13.31
Хадгаламжийн хүү (төгрөг),2022-02,7.21
Хадгаламжийн хүү (валют),2022-02,2.1
Зээлийн хүү (төгрөг),2022-03,13.91
Хадгаламжийн хүү (төгрөг),2022-03,7.23
Хадгаламжийн хүү (валют),2022-03,2.12
Зээлийн хүү (төгрөг),2022-04,14.03
Хадгаламжийн хүү (төгрөг),2022-04,7.19
Хадгаламжийн хүү (валют),2022-04,2.08
Зээлийн хүү (төгрөг),2022-05,13.66
Хадгаламжийн хүү (төгрөг),2022-05,7.09
Хадгаламжийн хүү (валют),2022-05,2.1
Зээлийн хүү (төгрөг),2022-06,13.9
Хадгаламжийн хүү (төгрөг),2022-06,7.25
Хадгаламжийн хүү (валют),2022-06,2.08
Зээлийн хүү (төгрөг),2022-07,13.76
Хадгаламжийн хүү (төгрөг),2022-07,7.54
Хадгаламжийн хүү (валют),2022-07,2.13
Зээлийн хүү (төгрөг),2022-08,14.05
Хадгаламжийн хүү (төгрөг),2022-08,7.73
Хадгаламжийн хүү (валют),2022-08,2.17
Зээлийн хүү (төгрөг),2022-09,14.2
Хадгаламжийн хүү (төгрөг),2022-09,7.89
Хадгаламжийн хүү (валют),2022-09,2.28
Зээлийн хүү (төгрөг),2022-10,14.62
Хадгаламжийн хүү (төгрөг),2022-10,8.45
Хадгаламжийн хүү (валют),2022-10,2.37
Зээлийн хүү (төгрөг),2022-11,14.73
Хадгаламжийн хүү (төгрөг),2022-11,8.8
Хадгаламжийн хүү (валют),2022-11,2.44
Зээлийн хүү (төгрөг),2022-12,15.01
Хадгаламжийн хүү (төгрөг),2022-12,9.04
Хадгаламжийн хүү (валют),2022-12,2.51
Зээлийн хүү (төгрөг),2023-01,15.71
Хадгаламжийн хүү (төгрөг),2023-01,10.25
Хадгаламжийн хүү (валют),2023-01,2.7
Зээлийн хүү (төгрөг),2023-02,15.14
Хадгаламжийн хүү (төгрөг),2023-02,10.38
Хадгаламжийн хүү (валют),2023-02,2.74
Зээлийн хүү (төгрөг),2023-03,16.06
Хадгаламжийн хүү (төгрөг),2023-03,10.55
Хадгаламжийн хүү (валют),2023-03,2.88
Зээлийн хүү (төгрөг),2023-04,16.27
