Rate Type,Date,Rate (%)
Deposit Rate (MNT),2024-09,11.76
Deposit Rate (FX),2024-09,3.66
Lending Rate (MNT),2024-10,16.36
Deposit Rate (MNT),2024-10,11.85
Deposit Rate (FX),2024-10,3.68
Lending Rate (MNT),2024-11,16.42
Deposit Rate (MNT),2024-11,11.9
Deposit Rate (FX),2024-11,3.73
Lending Rate (MNT),2024-12,15.77
Deposit Rate (MNT),2024-12,11.8
Deposit Rate (FX),2024-12,3.71
Lending Rate (MNT),2025-01,16.41
Deposit Rate (MNT),2025-01,11.83
Deposit Rate (FX),2025-01,3.76
Lending Rate (MNT),2025-02,16.62
Deposit Rate (MNT),2025-02,11.83
Deposit Rate (FX),2025-02,3.8
Lending Rate (MNT),2025-03,16.25
Deposit Rate (MNT),2025-03,11.82
Deposit Rate (FX),2025-03,4.0
Lending Rate (MNT),2025-04,16.39
Deposit Rate (MNT),2025-04,11.84
Deposit Rate (FX),2025-04,4.03
Lending Rate (MNT),2025-05,16.34
Deposit Rate (MNT),2025-05,11.83
Deposit Rate (FX),2025-05,4.01
Lending Rate (MNT),2025-06,16.67
Deposit Rate (MNT),2025-06,11.79
Deposit Rate (FX),2025-06,4.0
Lending Rate (MNT),2025-07,16.68
Deposit Rate (MNT),2025-07,11.78
Deposit Rate (FX),2025-07,4.04
Lending Rate (MNT),2025-08,16.68
Deposit Rate (MNT),2025-08,11.87
Deposit Rate (FX),2025-08,4.05
Lending Rate (MNT),2025-09,16.76
Deposit Rate (MNT),2025-09,11.86
Deposit Rate (FX),2025-09,4.15
Lending Rate (MNT),2025-10,16.7
Deposit Rate (MNT),2025-10,11.89
Deposit Rate (FX),2025-10,4.24
Lending Rate (MNT),2025-11,16.79
Deposit Rate (MNT),2025-11,11.92
Deposit Rate (FX),2025-11,4.25
Lending Rate (MNT),2025-12,16.33
Deposit Rate (MNT),2025-12,11.89
Deposit Rate (FX),2025-12,4.19
Lending Rate (MNT),2026-01,16.83
Deposit Rate (MNT),2026-01,12.02
Deposit Rate (FX),2026-01,4.22
