Rate Type,Date,Rate (%)
"Deposit Rate (MNT, outstanding)",2019-06,11.48
"Deposit Rate (FX, outstanding)",2019-06,4.95
"Lending Rate (MNT, newly issued)",2019-06,15.99
"Deposit Rate (MNT, outstanding)",2019-07,11.44
"Deposit Rate (FX, outstanding)",2019-07,4.98
"Lending Rate (MNT, newly issued)",2019-07,16.0
"Deposit Rate (MNT, outstanding)",2019-08,11.42
"Deposit Rate (FX, outstanding)",2019-08,4.99
"Lending Rate (MNT, newly issued)",2019-08,16.25
"Deposit Rate (MNT, outstanding)",2019-09,11.46
"Deposit Rate (FX, outstanding)",2019-09,4.95
"Lending Rate (MNT, newly issued)",2019-09,16.02
"Deposit Rate (MNT, outstanding)",2019-10,11.48
"Deposit Rate (FX, outstanding)",2019-10,4.82
"Lending Rate (MNT, newly issued)",2019-10,15.74
"Deposit Rate (MNT, outstanding)",2019-11,11.49
"Deposit Rate (FX, outstanding)",2019-11,4.8
"Lending Rate (MNT, newly issued)",2019-11,16.11
"Deposit Rate (MNT, outstanding)",2019-12,11.29
"Deposit Rate (FX, outstanding)",2019-12,4.75
"Lending Rate (MNT, newly issued)",2019-12,16.82
"Deposit Rate (MNT, outstanding)",2020-01,11.42
"Deposit Rate (FX, outstanding)",2020-01,4.74
"Lending Rate (MNT, newly issued)",2020-01,15.89
"Deposit Rate (MNT, outstanding)",2020-02,11.33
"Deposit Rate (FX, outstanding)",2020-02,4.71
"Lending Rate (MNT, newly issued)",2020-02,15.61
"Deposit Rate (MNT, outstanding)",2020-03,11.4
"Deposit Rate (FX, outstanding)",2020-03,4.7
"Lending Rate (MNT, newly issued)",2020-03,15.62
"Deposit Rate (MNT, outstanding)",2020-04,11.32
"Deposit Rate (FX, outstanding)",2020-04,4.57
"Lending Rate (MNT, newly issued)",2020-04,15.76
"Deposit Rate (MNT, outstanding)",2020-05,11.2
"Deposit Rate (FX, outstanding)",2020-05,4.5
"Lending Rate (MNT, newly issued)",2020-05,16.55
"Deposit Rate (MNT, outstanding)",2020-06,10.96
"Deposit Rate (FX, outstanding)",2020-06,4.33
"Lending Rate (MNT, newly issued)",2020-06,16.16
"Deposit Rate (MNT, outstanding)",2020-07,10.91
"Deposit Rate (FX, outstanding)",2020-07,4.24
"Lending Rate (MNT, newly issued)",2020-07,15.11
"Deposit Rate (MNT, outstanding)",2020-08,10.84
"Deposit Rate (FX, outstanding)",2020-08,4.13
"Lending Rate (MNT, newly issued)",2020-08,16.16
"Deposit Rate (MNT, outstanding)",2020-09,10.8
"Deposit Rate (FX, outstanding)",2020-09,3.8
"Lending Rate (MNT, newly issued)",2020-09,15.9
"Deposit Rate (MNT, outstanding)",2020-10,10.6
"Deposit Rate (FX, outstanding)",2020-10,3.8
"Lending Rate (MNT, newly issued)",2020-10,15.71
"Deposit Rate (MNT, outstanding)",2020-11,10.6
"Deposit Rate (FX, outstanding)",2020-11,3.7
"Lending Rate (MNT, newly issued)",2020-11,15.46
"Deposit Rate (MNT, outstanding)",2020-12,10.2
"Deposit Rate (FX, outstanding)",2020-12,3.7
"Lending Rate (MNT, newly issued)",2020-12,13.65
"Deposit Rate (MNT, outstanding)",2021-01,9.8
"Deposit Rate (FX, outstanding)",2021-01,3.6
"Lending Rate (MNT, newly issued)",2021-01,14.95
"Deposit Rate (MNT, outstanding)",2021-02,8.6
"Deposit Rate (FX, outstanding)",2021-02,3.1
"Lending Rate (MNT, newly issued)",2021-02,14.74
"Deposit Rate (MNT, outstanding)",2021-03,7.9
"Deposit Rate (FX, outstanding)",2021-03,2.9
"Lending Rate (MNT, newly issued)",2021-03,14.92
"Deposit Rate (MNT, outstanding)",2021-04,8.0
"Deposit Rate (FX, outstanding)",2021-04,2.6
"Lending Rate (MNT, newly issued)",2021-04,11.51
"Deposit Rate (MNT, outstanding)",2021-05,7.82
"Deposit Rate (FX, outstanding)",2021-05,2.58
"Lending Rate (MNT, newly issued)",2021-05,11.36
"Deposit Rate (MNT, outstanding)",2021-06,7.58
"Deposit Rate (FX, outstanding)",2021-06,2.48
"Lending Rate (MNT, newly issued)",2021-06,11.62
"Deposit Rate (MNT, outstanding)",2021-07,7.42
"Deposit Rate (FX, outstanding)",2021-07,2.37
"Lending Rate (MNT, newly issued)",2021-07,12.55
"Deposit Rate (MNT, outstanding)",2021-08,7.26
"Deposit Rate (FX, outstanding)",2021-08,2.22
"Lending Rate (MNT, newly issued)",2021-08,13.02
