Rate Type,Date,Rate (%)
"Deposit Rate (FX, outstanding)",2025-06,4.0
"Lending Rate (MNT, newly issued)",2025-06,16.67
"Deposit Rate (MNT, outstanding)",2025-07,11.78
"Deposit Rate (FX, outstanding)",2025-07,4.04
"Lending Rate (MNT, newly issued)",2025-07,16.68
"Deposit Rate (MNT, outstanding)",2025-08,11.87
"Deposit Rate (FX, outstanding)",2025-08,4.05
"Lending Rate (MNT, newly issued)",2025-08,16.68
"Deposit Rate (MNT, outstanding)",2025-09,11.86
"Deposit Rate (FX, outstanding)",2025-09,4.15
"Lending Rate (MNT, newly issued)",2025-09,16.76
"Deposit Rate (MNT, outstanding)",2025-10,11.89
"Deposit Rate (FX, outstanding)",2025-10,4.24
"Lending Rate (MNT, newly issued)",2025-10,16.7
"Deposit Rate (MNT, outstanding)",2025-11,11.92
"Deposit Rate (FX, outstanding)",2025-11,4.25
"Lending Rate (MNT, newly issued)",2025-11,16.79
"Deposit Rate (MNT, outstanding)",2025-12,11.89
"Deposit Rate (FX, outstanding)",2025-12,4.19
"Lending Rate (MNT, newly issued)",2025-12,16.33
"Deposit Rate (MNT, outstanding)",2026-01,12.02
"Deposit Rate (FX, outstanding)",2026-01,4.22
"Lending Rate (MNT, newly issued)",2026-01,16.83
