сар,утга
2009-01,4.038
2009-02,-25.783
2009-03,-3.863
2009-04,15.539
2009-05,35.277
2009-06,82.017
2009-07,9.647
2009-08,140.464
2009-09,70.443
2009-10,184.204
2009-11,-1.561
2009-12,45.107
2010-01,-21.317
2010-02,-25.627
2010-03,10.595
2010-04,102.523
2010-05,-13.778
2010-06,73.682
2010-07,40.172
2010-08,93.302
2010-09,32.864
2010-10,185.12
2010-11,48.683
2010-12,346.9
2011-01,33.857
2011-02,-19.781
2011-03,17.747
2011-04,-44.4
2011-05,102.184
2011-06,127.16
2011-07,63.857
2011-08,-65.535
2011-09,-9.457
2011-10,9.206
2011-11,-123.225
2011-12,-73.828
2012-01,-96.191
2012-02,96.751
2012-03,481.016
2012-04,41.612
2012-05,-101.581
2012-06,46.607
2012-07,-98.867
2012-08,-118.027
2012-09,139.704
2012-10,-212.769
2012-11,-0.559
2012-12,1461.401
2013-01,-71.771
2013-02,-127.838
2013-03,-198.152
2013-04,-256.036
2013-05,-85.32
2013-06,-244.074
2013-07,-99.738
2013-08,-336.989
2013-09,0.9
2013-10,-244.488
2013-11,-110.798
2013-12,-93.008
2014-01,238.848
2014-02,-233.275
2014-03,-313.403
2014-04,-111.573
2014-05,-226.583
2014-06,-269.163
2014-07,-20.055
2014-08,14.895
2014-09,177.201
2014-10,-74.456
2014-11,-2.936
2014-12,349.422
2015-01,-285.479
2015-02,44.153
2015-03,-29.77
2015-04,-49.383
2015-05,338.724
2015-06,64.972
2015-07,-0.92
2015-08,43.069
2015-09,-297.802
2015-10,3.254
2015-11,35.662
2015-12,-134.56
2016-01,21.662
2016-02,-146.7
2016-03,87.282
2016-04,240.07
2016-05,-97.466
2016-06,-150.815
2016-07,4.675
2016-08,-147.943
2016-09,-42.89
2016-10,-45.634
2016-11,289.715
2016-12,-30.144
2017-01,-175.913
2017-02,-74.465
2017-03,86.695
2017-04,67.929
2017-05,-5.613
2017-06,27.359
2017-07,25.228
2017-08,264.203
2017-09,-13.507
2017-10,81.278
2017-11,559.954
2017-12,616.773
2018-01,-233.168
2018-02,167.798
2018-03,23.158
2018-04,-4.742
2018-05,248.687
2018-06,-373.715
2018-07,-63.302
2018-08,-162.497
2018-09,-77.507
2018-10,424.097
2018-11,-66.52
2018-12,-23.986
2019-01,128.598
2019-02,54.033
2019-03,36.931
2019-04,103.29
2019-05,-89.287
2019-06,222.397
2019-07,-535.897
2019-08,118.967
2019-09,225.223
2019-10,-11.481
2019-11,-90.645
2019-12,290.731
2020-01,-90.702
2020-02,7.881
2020-03,-267.372
2020-04,-315.237
2020-05,-465.572
2020-06,451.795
2020-07,335.513
2020-08,-54.949
2020-09,-73.867
2020-10,178.201
2020-11,303.599
2020-12,777.601
2021-01,-160.69
2021-02,167.701
2021-03,163.4
2021-04,74.586
2021-05,-13.391
2021-06,-285.83
2021-07,-245.922
2021-08,-111.089
2021-09,-169.027
2021-10,11.886
2021-11,131.931
2021-12,214.811
2022-01,-340.891
2022-02,-230.462
2022-03,-382.23
2022-04,10.777
2022-05,-105.214
2022-06,-9.94
2022-07,-258.939
2022-08,-205.156
2022-09,163.111
2022-10,-0.569
2022-11,162.591
2022-12,469.675
2023-01,188.562
2023-02,-122.321
2023-03,13.372
2023-04,190.959
2023-05,233.727
2023-06,-30.581
2023-07,-21.368
2023-08,99.14
2023-09,239.948
2023-10,-94.783
2023-11,266.864
2023-12,493.506
2024-01,-86.411
2024-02,125.115
2024-03,334.49
2024-04,-201.252
2024-05,179.504
2024-06,-408.758
2024-07,-78.882
2024-08,-50.496
2024-09,-64.098
2024-10,-6.612
2024-11,295.023
2024-12,584.662
2025-01,-680.71
2025-02,-49.6
2025-03,128.25
2025-04,111.52
2025-05,58.35
2025-06,-17.94
2025-07,166.07
2025-08,288.69
2025-09,48.54
2025-10,87.84
2025-11,-75.3
2025-12,968.58
2026-01,-489.213
2026-02,10.152
2026-03,574.576
2026-04,90.187
2026-05,351.145
