Indicator,Month,value
I. CURRENT ACCOUNT,2026-05,-358.143
I. CURRENT ACCOUNT,2026-04,128.876
I. CURRENT ACCOUNT,2026-03,164.477
I. CURRENT ACCOUNT,2026-02,-62.855
I. CURRENT ACCOUNT,2026-01,80.231
I. CURRENT ACCOUNT,2025-12,129.9
I. CURRENT ACCOUNT,2025-11,-109.25
I. CURRENT ACCOUNT,2025-10,-71.22
I. CURRENT ACCOUNT,2025-09,72.68
I. CURRENT ACCOUNT,2025-08,-56.56
I. CURRENT ACCOUNT,2025-07,-333.01
I. CURRENT ACCOUNT,2025-06,-234.33
I. CURRENT ACCOUNT,2025-05,-281.14
I. CURRENT ACCOUNT,2025-04,-272.57
I. CURRENT ACCOUNT,2025-03,-300.03
I. CURRENT ACCOUNT,2025-02,-189.62
I. CURRENT ACCOUNT,2025-01,-474.8
I. CURRENT ACCOUNT,2024-12,-581.769
I. CURRENT ACCOUNT,2024-11,-102.049
I. CURRENT ACCOUNT,2024-10,-101.1
I. CURRENT ACCOUNT,2024-09,-503.722
I. CURRENT ACCOUNT,2024-08,-142.998
I. CURRENT ACCOUNT,2024-07,-96.452
I. CURRENT ACCOUNT,2024-06,22.731
I. CURRENT ACCOUNT,2024-05,-110.406
I. CURRENT ACCOUNT,2024-04,-332.709
I. CURRENT ACCOUNT,2024-03,143.801
I. CURRENT ACCOUNT,2024-02,-210.079
I. CURRENT ACCOUNT,2024-01,-470.682
I. CURRENT ACCOUNT,2023-12,-245.059
I. CURRENT ACCOUNT,2023-11,76.997
I. CURRENT ACCOUNT,2023-10,-140.674
I. CURRENT ACCOUNT,2023-09,134.319
I. CURRENT ACCOUNT,2023-08,-38.111
I. CURRENT ACCOUNT,2023-07,112.639
I. CURRENT ACCOUNT,2023-06,-162.627
I. CURRENT ACCOUNT,2023-05,-70.314
I. CURRENT ACCOUNT,2023-04,138.932
I. CURRENT ACCOUNT,2023-03,97.501
I. CURRENT ACCOUNT,2023-02,241.151
I. CURRENT ACCOUNT,2023-01,-23.487
I. CURRENT ACCOUNT,2022-12,-321.509
I. CURRENT ACCOUNT,2022-11,-12.518
I. CURRENT ACCOUNT,2022-10,-179.664
I. CURRENT ACCOUNT,2022-09,24.27
I. CURRENT ACCOUNT,2022-08,-200.284
I. CURRENT ACCOUNT,2022-07,-252.985
I. CURRENT ACCOUNT,2022-06,-243.107
I. CURRENT ACCOUNT,2022-05,-93.256
I. CURRENT ACCOUNT,2022-04,-271.019
I. CURRENT ACCOUNT,2022-03,-293.427
I. CURRENT ACCOUNT,2022-02,-123.03
I. CURRENT ACCOUNT,2022-01,-336.967
I. CURRENT ACCOUNT,2021-12,-784.938
I. CURRENT ACCOUNT,2021-11,394.618
I. CURRENT ACCOUNT,2021-10,188.927
I. CURRENT ACCOUNT,2021-09,-213.68
I. CURRENT ACCOUNT,2021-08,-251.092
I. CURRENT ACCOUNT,2021-07,-354.32
I. CURRENT ACCOUNT,2021-06,-363.384
I. CURRENT ACCOUNT,2021-05,-157.632
I. CURRENT ACCOUNT,2021-04,-243.294
I. CURRENT ACCOUNT,2021-03,-126.334
I. CURRENT ACCOUNT,2021-02,-107.229
I. CURRENT ACCOUNT,2021-01,-90.082
I. CURRENT ACCOUNT,2020-12,-84.892
I. CURRENT ACCOUNT,2020-11,132.883
I. CURRENT ACCOUNT,2020-10,10.186
I. CURRENT ACCOUNT,2020-09,-44.42
I. CURRENT ACCOUNT,2020-08,-79.043
I. CURRENT ACCOUNT,2020-07,273.358
I. CURRENT ACCOUNT,2020-06,85.843
I. CURRENT ACCOUNT,2020-05,24.93
I. CURRENT ACCOUNT,2020-04,-270.212
I. CURRENT ACCOUNT,2020-03,-322.828
I. CURRENT ACCOUNT,2020-02,-145.988
I. CURRENT ACCOUNT,2020-01,-254.427
I. CURRENT ACCOUNT,2019-12,-418.39
I. CURRENT ACCOUNT,2019-11,-290.509
I. CURRENT ACCOUNT,2019-10,-258.043
I. CURRENT ACCOUNT,2019-09,-207.904
I. CURRENT ACCOUNT,2019-08,-52.932
I. CURRENT ACCOUNT,2019-07,-190.483
I. CURRENT ACCOUNT,2019-06,-251.999
I. CURRENT ACCOUNT,2019-05,-59.61
I. CURRENT ACCOUNT,2019-04,-33.727
I. CURRENT ACCOUNT,2019-03,-116.737
I. CURRENT ACCOUNT,2019-02,-148.969
I. CURRENT ACCOUNT,2019-01,-132.384
I. CURRENT ACCOUNT,2018-12,-441.571
I. CURRENT ACCOUNT,2018-11,-191.087
I. CURRENT ACCOUNT,2018-10,-187.687
I. CURRENT ACCOUNT,2018-09,-150.246
I. CURRENT ACCOUNT,2018-08,-236.812
I. CURRENT ACCOUNT,2018-07,-179.53
I. CURRENT ACCOUNT,2018-06,-223.411
I. CURRENT ACCOUNT,2018-05,-116.58
I. CURRENT ACCOUNT,2018-04,-38.92
I. CURRENT ACCOUNT,2018-03,-36.517
I. CURRENT ACCOUNT,2018-02,-248.727
I. CURRENT ACCOUNT,2018-01,-155.68
I. CURRENT ACCOUNT,2017-12,-319.74
I. CURRENT ACCOUNT,2017-11,-210.598
I. CURRENT ACCOUNT,2017-10,-59.524
I. CURRENT ACCOUNT,2017-09,-121.492
I. CURRENT ACCOUNT,2017-08,-20.003
I. CURRENT ACCOUNT,2017-07,-155.559
I. CURRENT ACCOUNT,2017-06,-166.6
I. CURRENT ACCOUNT,2017-05,37.13
I. CURRENT ACCOUNT,2017-04,9.083
I. CURRENT ACCOUNT,2017-03,-71.622
I. CURRENT ACCOUNT,2017-02,-1.33
I. CURRENT ACCOUNT,2017-01,-75.19
I. CURRENT ACCOUNT,2016-12,67.042
I. CURRENT ACCOUNT,2016-11,70.643
I. CURRENT ACCOUNT,2016-10,-121.059
I. CURRENT ACCOUNT,2016-09,-66.041
I. CURRENT ACCOUNT,2016-08,-25.014
I. CURRENT ACCOUNT,2016-07,-112.296
I. CURRENT ACCOUNT,2016-06,-92.585
I. CURRENT ACCOUNT,2016-05,-215.967
I. CURRENT ACCOUNT,2016-04,-39.154
I. CURRENT ACCOUNT,2016-03,-72.018
I. CURRENT ACCOUNT,2016-02,11.999
I. CURRENT ACCOUNT,2016-01,-105.221
I. CURRENT ACCOUNT,2015-12,-41.063
I. CURRENT ACCOUNT,2015-11,-155.402
I. CURRENT ACCOUNT,2015-10,-59.995
I. CURRENT ACCOUNT,2015-09,-81.249
I. CURRENT ACCOUNT,2015-08,26.646
I. CURRENT ACCOUNT,2015-07,-118.89
I. CURRENT ACCOUNT,2015-06,-96.567
I. CURRENT ACCOUNT,2015-05,-226.634
I. CURRENT ACCOUNT,2015-04,-135.139
I. CURRENT ACCOUNT,2015-03,-23.779
I. CURRENT ACCOUNT,2015-02,-1.396
I. CURRENT ACCOUNT,2015-01,-34.989
I. CURRENT ACCOUNT,2014-12,-43.054
I. CURRENT ACCOUNT,2014-11,3.92
I. CURRENT ACCOUNT,2014-10,-42.159
I. CURRENT ACCOUNT,2014-09,-227.564
I. CURRENT ACCOUNT,2014-08,4.635
I. CURRENT ACCOUNT,2014-07,-239.273
I. CURRENT ACCOUNT,2014-06,-163.307
I. CURRENT ACCOUNT,2014-05,-279.078
I. CURRENT ACCOUNT,2014-04,-276.974
I. CURRENT ACCOUNT,2014-03,-216.701
I. CURRENT ACCOUNT,2014-02,-170.375
I. CURRENT ACCOUNT,2014-01,-284.412
I. CURRENT ACCOUNT,2013-12,-358.878
I. CURRENT ACCOUNT,2013-11,-314.306
I. CURRENT ACCOUNT,2013-10,-377.265
I. CURRENT ACCOUNT,2013-09,-389.48
I. CURRENT ACCOUNT,2013-08,-440.794
I. CURRENT ACCOUNT,2013-07,-399.095
I. CURRENT ACCOUNT,2013-06,-412.062
I. CURRENT ACCOUNT,2013-05,-519.873
I. CURRENT ACCOUNT,2013-04,-387.213
I. CURRENT ACCOUNT,2013-03,-363.195
I. CURRENT ACCOUNT,2013-02,-294.481
I. CURRENT ACCOUNT,2013-01,-475.201
I. CURRENT ACCOUNT,2012-12,-461.519
I. CURRENT ACCOUNT,2012-11,-337.043
I. CURRENT ACCOUNT,2012-10,-284.879
I. CURRENT ACCOUNT,2012-09,-440.138
I. CURRENT ACCOUNT,2012-08,-625.352
I. CURRENT ACCOUNT,2012-07,-627.896
I. CURRENT ACCOUNT,2012-06,-278.143
I. CURRENT ACCOUNT,2012-05,-570.013
I. CURRENT ACCOUNT,2012-04,-424.907
I. CURRENT ACCOUNT,2012-03,-452.297
I. CURRENT ACCOUNT,2012-02,-395.392
I. CURRENT ACCOUNT,2012-01,-483.121
I. CURRENT ACCOUNT,2011-12,-515.64
I. CURRENT ACCOUNT,2011-11,-458.244
I. CURRENT ACCOUNT,2011-10,-401.498
I. CURRENT ACCOUNT,2011-09,-406.664
I. CURRENT ACCOUNT,2011-08,-444.975
I. CURRENT ACCOUNT,2011-07,-551.925
I. CURRENT ACCOUNT,2011-06,-377.472
I. CURRENT ACCOUNT,2011-05,-356.427
I. CURRENT ACCOUNT,2011-04,-258.218
I. CURRENT ACCOUNT,2011-03,-291.855
I. CURRENT ACCOUNT,2011-02,-169.836
I. CURRENT ACCOUNT,2011-01,-279.426
I. CURRENT ACCOUNT,2010-12,-301.99
I. CURRENT ACCOUNT,2010-11,-119.187
I. CURRENT ACCOUNT,2010-10,-65.097
I. CURRENT ACCOUNT,2010-09,-71.492
I. CURRENT ACCOUNT,2010-08,-44.586
I. CURRENT ACCOUNT,2010-07,-76.892
I. CURRENT ACCOUNT,2010-06,-2.928
I. CURRENT ACCOUNT,2010-05,9.621
I. CURRENT ACCOUNT,2010-04,-68.532
I. CURRENT ACCOUNT,2010-03,-100.961
I. CURRENT ACCOUNT,2010-02,-34.023
I. CURRENT ACCOUNT,2010-01,-9.407
I. CURRENT ACCOUNT,2009-12,-25.634
I. CURRENT ACCOUNT,2009-11,-44.23
I. CURRENT ACCOUNT,2009-10,-53.922
I. CURRENT ACCOUNT,2009-09,-23.23
I. CURRENT ACCOUNT,2009-08,-8.575
I. CURRENT ACCOUNT,2009-07,-33.638
I. CURRENT ACCOUNT,2009-06,-16.63
I. CURRENT ACCOUNT,2009-05,-29.634
I. CURRENT ACCOUNT,2009-04,-14.677
I. CURRENT ACCOUNT,2009-03,-105.708
I. CURRENT ACCOUNT,2009-02,-14.624
I. CURRENT ACCOUNT,2009-01,28.718
      Goods and services,2026-05,91.625
      Goods and services,2026-04,577.054
      Goods and services,2026-03,649.213
      Goods and services,2026-02,247.153
      Goods and services,2026-01,509.601
      Goods and services,2025-12,578.66
      Goods and services,2025-11,348.13
      Goods and services,2025-10,399.0
      Goods and services,2025-09,284.97
      Goods and services,2025-08,260.34
      Goods and services,2025-07,-61.75
      Goods and services,2025-06,-14.59
      Goods and services,2025-05,-48.68
      Goods and services,2025-04,-58.16
      Goods and services,2025-03,-124.81
      Goods and services,2025-02,-136.36
      Goods and services,2025-01,-304.05
      Goods and services,2024-12,-411.672
      Goods and services,2024-11,50.797
      Goods and services,2024-10,55.928
      Goods and services,2024-09,-410.478
      Goods and services,2024-08,93.26
      Goods and services,2024-07,136.075
      Goods and services,2024-06,295.841
      Goods and services,2024-05,158.486
      Goods and services,2024-04,-104.427
      Goods and services,2024-03,297.553
      Goods and services,2024-02,-157.018
      Goods and services,2024-01,-240.086
      Goods and services,2023-12,97.536
      Goods and services,2023-11,224.659
      Goods and services,2023-10,4.602
      Goods and services,2023-09,162.729
      Goods and services,2023-08,175.08
      Goods and services,2023-07,225.243
      Goods and services,2023-06,111.448
      Goods and services,2023-05,58.315
      Goods and services,2023-04,283.186
      Goods and services,2023-03,260.982
      Goods and services,2023-02,256.6
      Goods and services,2023-01,95.997
      Goods and services,2022-12,-63.013
      Goods and services,2022-11,93.915
      Goods and services,2022-10,-78.036
      Goods and services,2022-09,23.283
      Goods and services,2022-08,-4.592
      Goods and services,2022-07,-105.68
      Goods and services,2022-06,-101.545
      Goods and services,2022-05,-38.485
      Goods and services,2022-04,-225.796
      Goods and services,2022-03,-217.776
      Goods and services,2022-02,-152.521
      Goods and services,2022-01,-252.274
      Goods and services,2021-12,-522.784
      Goods and services,2021-11,599.438
      Goods and services,2021-10,399.334
      Goods and services,2021-09,-175.481
      Goods and services,2021-08,-11.544
      Goods and services,2021-07,-177.061
      Goods and services,2021-06,-131.774
      Goods and services,2021-05,-61.801
      Goods and services,2021-04,-152.832
      Goods and services,2021-03,-11.228
      Goods and services,2021-02,-108.438
      Goods and services,2021-01,48.44
      Goods and services,2020-12,121.576
      Goods and services,2020-11,267.533
      Goods and services,2020-10,103.032
      Goods and services,2020-09,-30.809
      Goods and services,2020-08,59.017
      Goods and services,2020-07,350.199
      Goods and services,2020-06,249.1
      Goods and services,2020-05,72.177
      Goods and services,2020-04,-217.234
      Goods and services,2020-03,-290.32
      Goods and services,2020-02,-147.24
      Goods and services,2020-01,-231.706
      Goods and services,2019-12,-204.223
      Goods and services,2019-11,-194.255
      Goods and services,2019-10,-163.209
      Goods and services,2019-09,-149.307
      Goods and services,2019-08,119.058
      Goods and services,2019-07,-92.326
      Goods and services,2019-06,-32.96
      Goods and services,2019-05,18.722
      Goods and services,2019-04,47.577
      Goods and services,2019-03,-22.068
      Goods and services,2019-02,-102.095
      Goods and services,2019-01,-58.519
      Goods and services,2018-12,-228.47
      Goods and services,2018-11,-145.488
      Goods and services,2018-10,-163.349
      Goods and services,2018-09,-116.335
      Goods and services,2018-08,-148.195
      Goods and services,2018-07,-112.957
      Goods and services,2018-06,-61.418
      Goods and services,2018-05,-40.94
      Goods and services,2018-04,22.342
      Goods and services,2018-03,34.598
      Goods and services,2018-02,-229.809
      Goods and services,2018-01,-112.763
      Goods and services,2017-12,-84.656
      Goods and services,2017-11,-81.647
      Goods and services,2017-10,47.861
      Goods and services,2017-09,1.399
      Goods and services,2017-08,97.269
      Goods and services,2017-07,-64.463
      Goods and services,2017-06,39.963
      Goods and services,2017-05,131.086
      Goods and services,2017-04,99.003
      Goods and services,2017-03,26.885
      Goods and services,2017-02,66.646
      Goods and services,2017-01,-1.741
      Goods and services,2016-12,221.943
      Goods and services,2016-11,109.566
      Goods and services,2016-10,-87.792
      Goods and services,2016-09,-32.738
      Goods and services,2016-08,10.554
      Goods and services,2016-07,-78.283
      Goods and services,2016-06,-43.594
      Goods and services,2016-05,-147.085
      Goods and services,2016-04,1.584
      Goods and services,2016-03,22.966
      Goods and services,2016-02,79.145
      Goods and services,2016-01,-56.763
      Goods and services,2015-12,14.147
      Goods and services,2015-11,-121.665
      Goods and services,2015-10,-22.139
      Goods and services,2015-09,-20.294
      Goods and services,2015-08,83.51
      Goods and services,2015-07,-28.859
      Goods and services,2015-06,7.851
      Goods and services,2015-05,-150.788
      Goods and services,2015-04,-61.988
      Goods and services,2015-03,61.597
      Goods and services,2015-02,68.268
      Goods and services,2015-01,17.494
      Goods and services,2014-12,60.449
      Goods and services,2014-11,79.976
      Goods and services,2014-10,38.252
      Goods and services,2014-09,-152.915
      Goods and services,2014-08,68.979
      Goods and services,2014-07,-153.462
      Goods and services,2014-06,-81.698
      Goods and services,2014-05,-214.169
      Goods and services,2014-04,-221.027
      Goods and services,2014-03,-158.621
      Goods and services,2014-02,-139.841
      Goods and services,2014-01,-237.421
      Goods and services,2013-12,-252.803
      Goods and services,2013-11,-230.462
      Goods and services,2013-10,-284.311
      Goods and services,2013-09,-343.262
      Goods and services,2013-08,-388.12
      Goods and services,2013-07,-342.555
      Goods and services,2013-06,-366.538
      Goods and services,2013-05,-468.205
      Goods and services,2013-04,-324.273
      Goods and services,2013-03,-290.485
      Goods and services,2013-02,-226.603
      Goods and services,2013-01,-400.308
      Goods and services,2012-12,-271.298
      Goods and services,2012-11,-255.29
      Goods and services,2012-10,-197.126
      Goods and services,2012-09,-345.678
      Goods and services,2012-08,-536.95
      Goods and services,2012-07,-553.179
      Goods and services,2012-06,-218.457
      Goods and services,2012-05,-509.174
      Goods and services,2012-04,-368.08
      Goods and services,2012-03,-406.026
      Goods and services,2012-02,-358.439
      Goods and services,2012-01,-436.05
      Goods and services,2011-12,-290.595
      Goods and services,2011-11,-321.459
      Goods and services,2011-10,-258.563
      Goods and services,2011-09,-354.635
      Goods and services,2011-08,-382.491
      Goods and services,2011-07,-478.241
      Goods and services,2011-06,-324.48
      Goods and services,2011-05,-288.796
      Goods and services,2011-04,-211.814
      Goods and services,2011-03,-241.818
      Goods and services,2011-02,-129.492
      Goods and services,2011-01,-234.975
      Goods and services,2010-12,-13.674
      Goods and services,2010-11,-93.986
      Goods and services,2010-10,-51.168
      Goods and services,2010-09,-63.17
      Goods and services,2010-08,-48.82
      Goods and services,2010-07,-70.199
      Goods and services,2010-06,5.264
      Goods and services,2010-05,15.907
      Goods and services,2010-04,-31.867
      Goods and services,2010-03,-104.918
      Goods and services,2010-02,-27.1
      Goods and services,2010-01,8.811
      Goods and services,2009-12,-12.132
      Goods and services,2009-11,-30.926
      Goods and services,2009-10,-39.625
      Goods and services,2009-09,-28.781
      Goods and services,2009-08,-12.012
      Goods and services,2009-07,-30.874
      Goods and services,2009-06,-27.674
      Goods and services,2009-05,-29.76
      Goods and services,2009-04,-23.635
      Goods and services,2009-03,-109.473
      Goods and services,2009-02,-20.69
      Goods and services,2009-01,33.575
             Credit,2026-05,1644.123
             Credit,2026-04,2136.536
             Credit,2026-03,1968.985
             Credit,2026-02,1556.856
             Credit,2026-01,1804.468
             Credit,2025-12,2271.05
             Credit,2025-11,1612.84
             Credit,2025-10,1664.1
             Credit,2025-09,1824.78
             Credit,2025-08,1601.65
             Credit,2025-07,1284.66
             Credit,2025-06,1333.73
             Credit,2025-05,1252.43
             Credit,2025-04,1292.41
             Credit,2025-03,1017.56
             Credit,2025-02,1052.06
             Credit,2025-01,1058.12
             Credit,2024-12,1174.667
             Credit,2024-11,1446.864
             Credit,2024-10,1443.681
             Credit,2024-09,1191.258
             Credit,2024-08,1529.065
             Credit,2024-07,1498.846
             Credit,2024-06,1598.593
             Credit,2024-05,1461.008
             Credit,2024-04,1306.75
             Credit,2024-03,1527.846
             Credit,2024-02,920.284
             Credit,2024-01,1255.331
             Credit,2023-12,1389.343
             Credit,2023-11,1404.942
             Credit,2023-10,1187.689
             Credit,2023-09,1365.818
             Credit,2023-08,1469.491
             Credit,2023-07,1306.119
             Credit,2023-06,1301.412
             Credit,2023-05,1167.969
             Credit,2023-04,1320.292
             Credit,2023-03,1349.055
             Credit,2023-02,1161.349
             Credit,2023-01,1077.788
             Credit,2022-12,1216.36
             Credit,2022-11,1173.008
             Credit,2022-10,1012.875
             Credit,2022-09,1202.136
             Credit,2022-08,1126.077
             Credit,2022-07,977.427
             Credit,2022-06,936.424
             Credit,2022-05,955.186
             Credit,2022-04,650.962
             Credit,2022-03,634.146
             Credit,2022-02,588.588
             Credit,2022-01,516.131
             Credit,2021-12,412.751
             Credit,2021-11,1383.378
             Credit,2021-10,1116.704
             Credit,2021-09,782.6
             Credit,2021-08,805.977
             Credit,2021-07,581.913
             Credit,2021-06,695.099
             Credit,2021-05,729.478
             Credit,2021-04,425.194
             Credit,2021-03,757.719
             Credit,2021-02,596.666
             Credit,2021-01,662.734
             Credit,2020-12,731.229
             Credit,2020-11,888.823
             Credit,2020-10,795.875
             Credit,2020-09,647.887
             Credit,2020-08,710.104
             Credit,2020-07,970.726
             Credit,2020-06,867.268
             Credit,2020-05,660.709
             Credit,2020-04,343.196
             Credit,2020-03,262.157
             Credit,2020-02,303.493
             Credit,2020-01,464.115
             Credit,2019-12,637.587
             Credit,2019-11,576.628
             Credit,2019-10,604.098
             Credit,2019-09,643.394
             Credit,2019-08,954.96
             Credit,2019-07,754.93
             Credit,2019-06,783.353
             Credit,2019-05,786.06
             Credit,2019-04,789.606
             Credit,2019-03,714.248
             Credit,2019-02,488.077
             Credit,2019-01,682.637
             Credit,2018-12,603.091
             Credit,2018-11,582.942
             Credit,2018-10,660.529
             Credit,2018-09,701.732
             Credit,2018-08,640.431
             Credit,2018-07,652.448
             Credit,2018-06,774.944
             Credit,2018-05,786.871
             Credit,2018-04,705.084
             Credit,2018-03,689.068
             Credit,2018-02,383.222
             Credit,2018-01,487.787
             Credit,2017-12,556.931
             Credit,2017-11,510.853
             Credit,2017-10,652.831
             Credit,2017-09,552.243
             Credit,2017-08,711.848
             Credit,2017-07,511.65
             Credit,2017-06,655.162
             Credit,2017-05,678.408
             Credit,2017-04,596.203
             Credit,2017-03,490.911
             Credit,2017-02,442.253
             Credit,2017-01,441.357
             Credit,2016-12,687.341
             Credit,2016-11,615.872
             Credit,2016-10,412.172
             Credit,2016-09,426.278
             Credit,2016-08,538.63
             Credit,2016-07,433.806
             Credit,2016-06,512.047
             Credit,2016-05,433.462
             Credit,2016-04,442.778
             Credit,2016-03,424.669
             Credit,2016-02,340.794
             Credit,2016-01,337.012
             Credit,2015-12,482.322
             Credit,2015-11,313.662
             Credit,2015-10,404.978
             Credit,2015-09,396.69
             Credit,2015-08,521.121
             Credit,2015-07,464.109
             Credit,2015-06,529.323
             Credit,2015-05,375.216
             Credit,2015-04,431.924
             Credit,2015-03,396.376
             Credit,2015-02,390.759
             Credit,2015-01,430.557
             Credit,2014-12,590.309
             Credit,2014-11,592.637
             Credit,2014-10,600.871
             Credit,2014-09,493.975
             Credit,2014-08,685.391
             Credit,2014-07,527.885
             Credit,2014-06,581.636
             Credit,2014-05,516.703
             Credit,2014-04,468.355
             Credit,2014-03,404.639
             Credit,2014-02,284.396
             Credit,2014-01,333.135
             Credit,2013-12,431.441
             Credit,2013-11,402.953
             Credit,2013-10,412.736
             Credit,2013-09,400.736
             Credit,2013-08,387.133
             Credit,2013-07,412.456
             Credit,2013-06,397.08
             Credit,2013-05,432.001
             Credit,2013-04,372.06
             Credit,2013-03,319.285
             Credit,2013-02,220.926
             Credit,2013-01,290.933
             Credit,2012-12,368.077
             Credit,2012-11,414.199
             Credit,2012-10,445.01
             Credit,2012-09,401.958
             Credit,2012-08,375.268
             Credit,2012-07,324.55
             Credit,2012-06,537.855
             Credit,2012-05,372.201
             Credit,2012-04,377.408
             Credit,2012-03,337.656
             Credit,2012-02,275.789
             Credit,2012-01,223.61
             Credit,2011-12,491.849
             Credit,2011-11,436.28
             Credit,2011-10,408.852
             Credit,2011-09,442.027
             Credit,2011-08,512.601
             Credit,2011-07,356.091
             Credit,2011-06,398.06
             Credit,2011-05,369.472
             Credit,2011-04,389.507
             Credit,2011-03,338.618
             Credit,2011-02,214.445
             Credit,2011-01,219.782
             Credit,2010-12,394.094
             Credit,2010-11,308.22
             Credit,2010-10,296.594
             Credit,2010-09,279.376
             Credit,2010-08,318.57
             Credit,2010-07,299.455
             Credit,2010-06,367.132
             Credit,2010-05,295.542
             Credit,2010-04,259.725
             Credit,2010-03,216.548
             Credit,2010-02,169.188
             Credit,2010-01,185.837
             Credit,2009-12,264.793
             Credit,2009-11,220.226
             Credit,2009-10,221.412
             Credit,2009-09,232.898
             Credit,2009-08,220.719
             Credit,2009-07,207.254
             Credit,2009-06,208.61
             Credit,2009-05,184.517
             Credit,2009-04,156.101
             Credit,2009-03,110.945
             Credit,2009-02,80.195
             Credit,2009-01,189.444
             Debit,2026-05,1552.498
             Debit,2026-04,1559.481
             Debit,2026-03,1319.772
             Debit,2026-02,1309.702
             Debit,2026-01,1294.866
             Debit,2025-12,1692.39
             Debit,2025-11,1264.71
             Debit,2025-10,1265.1
             Debit,2025-09,1539.8
             Debit,2025-08,1341.31
             Debit,2025-07,1346.42
             Debit,2025-06,1348.32
             Debit,2025-05,1301.11
             Debit,2025-04,1350.57
             Debit,2025-03,1142.38
             Debit,2025-02,1188.41
             Debit,2025-01,1362.17
             Debit,2024-12,1586.339
             Debit,2024-11,1396.068
             Debit,2024-10,1387.753
             Debit,2024-09,1601.736
             Debit,2024-08,1435.804
             Debit,2024-07,1362.771
             Debit,2024-06,1302.752
             Debit,2024-05,1302.522
             Debit,2024-04,1411.177
             Debit,2024-03,1230.293
             Debit,2024-02,1077.302
             Debit,2024-01,1495.418
             Debit,2023-12,1291.808
             Debit,2023-11,1180.283
             Debit,2023-10,1183.087
             Debit,2023-09,1203.088
             Debit,2023-08,1294.411
             Debit,2023-07,1080.876
             Debit,2023-06,1189.964
             Debit,2023-05,1109.655
             Debit,2023-04,1037.105
             Debit,2023-03,1088.073
             Debit,2023-02,904.749
             Debit,2023-01,981.791
             Debit,2022-12,1279.373
             Debit,2022-11,1079.093
             Debit,2022-10,1090.912
             Debit,2022-09,1178.853
             Debit,2022-08,1130.669
             Debit,2022-07,1083.108
             Debit,2022-06,1037.968
             Debit,2022-05,993.671
             Debit,2022-04,876.758
             Debit,2022-03,851.921
             Debit,2022-02,741.109
             Debit,2022-01,768.405
             Debit,2021-12,935.535
             Debit,2021-11,783.94
             Debit,2021-10,717.369
             Debit,2021-09,958.081
             Debit,2021-08,817.521
             Debit,2021-07,758.974
             Debit,2021-06,826.873
             Debit,2021-05,791.279
             Debit,2021-04,578.026
             Debit,2021-03,768.946
             Debit,2021-02,705.104
             Debit,2021-01,614.294
             Debit,2020-12,609.653
             Debit,2020-11,621.29
             Debit,2020-10,692.843
             Debit,2020-09,678.697
             Debit,2020-08,651.087
             Debit,2020-07,620.527
             Debit,2020-06,618.168
             Debit,2020-05,588.532
             Debit,2020-04,560.43
             Debit,2020-03,552.478
             Debit,2020-02,450.733
             Debit,2020-01,695.821
             Debit,2019-12,841.81
             Debit,2019-11,770.883
             Debit,2019-10,767.307
             Debit,2019-09,792.701
             Debit,2019-08,835.902
             Debit,2019-07,847.256
             Debit,2019-06,816.314
             Debit,2019-05,767.339
             Debit,2019-04,742.029
             Debit,2019-03,736.315
             Debit,2019-02,590.171
             Debit,2019-01,741.156
             Debit,2018-12,831.561
             Debit,2018-11,728.43
             Debit,2018-10,823.878
             Debit,2018-09,818.067
             Debit,2018-08,788.627
             Debit,2018-07,765.405
             Debit,2018-06,836.362
             Debit,2018-05,827.812
             Debit,2018-04,682.742
             Debit,2018-03,654.47
             Debit,2018-02,613.032
             Debit,2018-01,600.551
             Debit,2017-12,641.586
             Debit,2017-11,592.501
             Debit,2017-10,604.97
             Debit,2017-09,550.844
             Debit,2017-08,614.58
             Debit,2017-07,576.113
             Debit,2017-06,615.199
             Debit,2017-05,547.322
             Debit,2017-04,497.2
             Debit,2017-03,464.026
             Debit,2017-02,375.608
             Debit,2017-01,443.097
             Debit,2016-12,465.398
             Debit,2016-11,506.306
             Debit,2016-10,499.964
             Debit,2016-09,459.016
             Debit,2016-08,528.076
             Debit,2016-07,512.089
             Debit,2016-06,555.642
             Debit,2016-05,580.547
             Debit,2016-04,441.194
             Debit,2016-03,401.703
             Debit,2016-02,261.648
             Debit,2016-01,393.774
             Debit,2015-12,468.174
             Debit,2015-11,435.328
             Debit,2015-10,427.116
             Debit,2015-09,416.984
             Debit,2015-08,437.611
             Debit,2015-07,492.968
             Debit,2015-06,521.471
             Debit,2015-05,526.003
             Debit,2015-04,493.912
             Debit,2015-03,334.779
             Debit,2015-02,322.49
             Debit,2015-01,413.063
             Debit,2014-12,529.859
             Debit,2014-11,512.661
             Debit,2014-10,562.619
             Debit,2014-09,646.89
             Debit,2014-08,616.412
             Debit,2014-07,681.347
             Debit,2014-06,663.335
             Debit,2014-05,730.872
             Debit,2014-04,689.383
             Debit,2014-03,563.26
             Debit,2014-02,424.237
             Debit,2014-01,570.556
             Debit,2013-12,684.244
             Debit,2013-11,633.415
             Debit,2013-10,697.047
             Debit,2013-09,743.998
             Debit,2013-08,775.253
             Debit,2013-07,755.011
             Debit,2013-06,763.618
             Debit,2013-05,900.206
             Debit,2013-04,696.333
             Debit,2013-03,609.769
             Debit,2013-02,447.529
             Debit,2013-01,691.24
             Debit,2012-12,639.375
             Debit,2012-11,669.49
             Debit,2012-10,642.136
