Үзүүлэлт,Эдийн засгийн салбар,Он,value
"ДНБ, оны үнээр","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",2000,335668.79
"ДНБ, оны үнээр","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1999,342505.23
"ДНБ, оны үнээр","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1998,306644.91
"ДНБ, оны үнээр","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1997,300746.34
"ДНБ, оны үнээр","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1996,283958.98
"ДНБ, оны үнээр","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1995,212002.1
"ДНБ, оны үнээр","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1994,105011.96
"ДНБ, оны үнээр","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1993,58534.42
"ДНБ, оны үнээр","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1992,14345.27
"ДНБ, оны үнээр","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1991,2669.49
"ДНБ, оны үнээр","Хөдөө аж ахуй, ойн аж ахуй, загас барилт, ан агнуур",1990,1597.14
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2024,21980612.94
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2023,19814080.28
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2022,12402469.0
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2021,10753722.63
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2020,8722066.6
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2019,9590129.54
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2018,8370789.17
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2017,7007876.15
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2016,4822677.54
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2015,4150464.29
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2014,3661031.2
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2013,2849415.3
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2012,2742750.5
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2011,2536239.6
"ДНБ, оны үнээр","Уул уурхай, олборлолт",2010,2102157.94
