Үзүүлэлт,Эдийн засгийн салбар,Он,value
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Боловсруулах үйлдвэрлэл,1996,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Боловсруулах үйлдвэрлэл,1995,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Боловсруулах үйлдвэрлэл,1994,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Боловсруулах үйлдвэрлэл,1993,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Боловсруулах үйлдвэрлэл,1992,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Боловсруулах үйлдвэрлэл,1991,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Боловсруулах үйлдвэрлэл,1990,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2024,708677.55
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2023,674676.19
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2022,641417.34
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2021,619914.93
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2020,560285.3
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2019,545933.44
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2018,507118.98
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2017,466897.53
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2016,445677.81
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2015,426403.91
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2014,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2013,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2012,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2011,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2010,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2009,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2008,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2007,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2006,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2005,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2004,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2003,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2002,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2001,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",2000,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",1999,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",1998,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",1997,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",1996,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",1995,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",1994,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",1993,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",1992,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",1991,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Цахилгаан, хий, уур, агааржуулалт",1990,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2024,128938.38
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2023,124579.6
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2022,119462.85
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2021,116669.05
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2020,112837.1
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2019,115552.97
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2018,115058.37
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2017,114402.4
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2016,111290.9
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2015,114121.61
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2014,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2013,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2012,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2011,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2010,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2009,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2008,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2007,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2006,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2005,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2004,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2003,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2002,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2001,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",2000,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1999,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1998,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1997,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1996,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1995,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1994,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1993,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1992,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1991,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Усан хангамж; бохир ус, хог, хаягдлын менежмент болон цэвэрлэх үйл ажиллагаа",1990,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2024,1050354.3
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2023,920999.97
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2022,892953.0
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2021,825498.7
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2020,1069967.3
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2019,1105277.92
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2018,918584.7
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2017,902620.77
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2016,914725.63
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2015,918316.62
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2014,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2013,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2012,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2011,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2010,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2009,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2008,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2007,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2006,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2005,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2004,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2003,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2002,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2001,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,2000,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,1999,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,1998,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,1997,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,1996,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,1995,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,1994,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,1993,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,1992,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,1991,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Барилга,1990,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2024,3889596.77
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2023,3476698.22
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2022,3256387.04
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2021,2958487.86
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2020,2797263.7
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2019,3195458.03
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2018,2880993.12
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2017,2876892.55
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2016,2659974.54
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2015,2664772.42
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2014,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2013,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2012,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2011,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2010,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2009,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2008,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2007,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2006,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2005,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2004,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2003,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2002,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2001,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",2000,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1999,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1998,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1997,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1996,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1995,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1994,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1993,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1992,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1991,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Бөөний болон жижиглэн худалдаа, машин, мотоциклийн засвар, үйлчилгээ",1990,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2024,2080612.76
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2023,1786980.66
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2022,1279749.76
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2021,1172464.41
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2020,1264613.4
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2019,1546746.28
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2018,1481887.66
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2017,1292994.54
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2016,1280603.2
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2015,1202359.1
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2014,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2013,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2012,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2011,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2010,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2009,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2008,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2007,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2006,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2005,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2004,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2003,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2002,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2001,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,2000,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,1999,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,1998,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,1997,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,1996,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,1995,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,1994,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,1993,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,1992,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,1991,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр",Тээвэр ба агуулахын үйл ажиллагаа,1990,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2024,515586.53
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2023,434904.49
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2022,349449.77
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2021,279373.78
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2020,262364.5
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2019,343903.74
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2018,314114.37
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2017,268610.03
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2016,257911.69
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2015,220586.27
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2014,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2013,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2012,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2011,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2010,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2009,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2008,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2007,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2006,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2005,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2004,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2003,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2002,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2001,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",2000,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1999,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1998,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1997,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1996,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1995,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1994,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1993,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1992,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1991,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Зочид буудал, байр, сууц болон нийтийн хоолны үйлчилгээ",1990,
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Мэдээлэл, холбоо",2024,1075723.02
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Мэдээлэл, холбоо",2023,916599.84
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Мэдээлэл, холбоо",2022,783111.14
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Мэдээлэл, холбоо",2021,734363.81
"ДНБ, 2015 оны зэрэгцүүлэх үнээр","Мэдээлэл, холбоо",2020,608660.8
