Sex,Age group,Year,value
Total,10-14,2015,219332
Total,10-14,2014,224132
Total,10-14,2013,234216
Total,10-14,2012,237751
Total,10-14,2011,237733
Total,10-14,2010,248224
Total,10-14,2009,253856
Total,10-14,2008,262156
Total,10-14,2007,269186
Total,10-14,2006,276262
Total,10-14,2005,322924
Total,10-14,2004,319207
Total,10-14,2003,315837
Total,10-14,2002,312107
Total,10-14,2001,311938
Total,10-14,2000,314253
Total,10-14,1999,317434
Total,10-14,1998,306484
Total,10-14,1997,294987
Total,10-14,1996,285685
Total,10-14,1995,275060
Total,10-14,1994,266867
Total,10-14,1993,259277
Total,10-14,1992,258612
Total,10-14,1991,261280
Total,10-14,1990,260968
Total,10-14,1989,255646
Total,10-14,1979,207713
Total,10-14,1969,139050
Total,10-14,1963,87283
Total,10-14,1956,61387
Total,15-19,2024,278578
Total,15-19,2023,253390
Total,15-19,2022,233234
Total,15-19,2021,220796
Total,15-19,2020,219508
Total,15-19,2019,223078
Total,15-19,2018,228402
Total,15-19,2017,233001
Total,15-19,2016,236400
Total,15-19,2015,239910
Total,15-19,2014,244337
Total,15-19,2013,253439
Total,15-19,2012,252710
Total,15-19,2011,260952
Total,15-19,2010,275828
Total,15-19,2009,286918
Total,15-19,2008,297965
Total,15-19,2007,306703
Total,15-19,2006,307890
Total,15-19,2005,298606
Total,15-19,2004,295168
Total,15-19,2003,292054
Total,15-19,2002,288606
Total,15-19,2001,282865
Total,15-19,2000,276123
Total,15-19,1999,263358
Total,15-19,1998,257144
Total,15-19,1997,254509
Total,15-19,1996,249583
Total,15-19,1995,246021
Total,15-19,1994,241367
Total,15-19,1993,241210
Total,15-19,1992,238775
Total,15-19,1991,242429
Total,15-19,1990,237545
Total,15-19,1989,221580
Total,15-19,1979,184416
Total,15-19,1969,91157
Total,15-19,1963,70888
Total,15-19,1956,75685
Total,20-24,2024,222190
Total,20-24,2023,227063
Total,20-24,2022,231117
Total,20-24,2021,233806
Total,20-24,2020,236839
Total,20-24,2019,239604
Total,20-24,2018,244971
Total,20-24,2017,244980
Total,20-24,2016,255144
Total,20-24,2015,267844
Total,20-24,2014,278214
Total,20-24,2013,298383
Total,20-24,2012,309393
Total,20-24,2011,315540
Total,20-24,2010,305891
Total,20-24,2009,296937
Total,20-24,2008,280924
Total,20-24,2007,265674
Total,20-24,2006,257726
Total,20-24,2005,271080
Total,20-24,2004,267961
Total,20-24,2003,265130
Total,20-24,2002,262002
Total,20-24,2001,255334
Total,20-24,2000,248994
Total,20-24,1999,235751
Total,20-24,1998,238412
Total,20-24,1997,234998
Total,20-24,1996,232535
Total,20-24,1995,225858
Total,20-24,1994,222876
Total,20-24,1993,212493
Total,20-24,1992,208490
Total,20-24,1991,208563
Total,20-24,1990,209207
Total,20-24,1989,196052
Total,20-24,1979,130104
Total,20-24,1969,70079
Total,20-24,1963,72017
Total,20-24,1956,68976
Total,25-29,2024,238327
Total,25-29,2023,241548
Total,25-29,2022,241732
Total,25-29,2021,251605
Total,25-29,2020,264277
Total,25-29,2019,277392
Total,25-29,2018,294550
Total,25-29,2017,310730
Total,25-29,2016,314540
Total,25-29,2015,313709
Total,25-29,2014,305778
Total,25-29,2013,298203
Total,25-29,2012,287776
Total,25-29,2011,280465
Total,25-29,2010,260640
Total,25-29,2009,249737
Total,25-29,2008,238304
Total,25-29,2007,231123
Total,25-29,2006,224551
Total,25-29,2005,235558
Total,25-29,2004,232848
Total,25-29,2003,230389
Total,25-29,2002,227669
Total,25-29,2001,224839
Total,25-29,2000,219423
Total,25-29,1999,216652
Total,25-29,1998,213505
Total,25-29,1997,207981
Total,25-29,1996,202258
Total,25-29,1995,200382
Total,25-29,1994,193488
Total,25-29,1993,188793
Total,25-29,1992,186938
Total,25-29,1991,191321
Total,25-29,1990,186973
Total,25-29,1989,179543
Total,25-29,1979,92611
Total,25-29,1969,77960
Total,25-29,1963,70688
Total,25-29,1956,63947
Total,30-34,2024,275307
Total,30-34,2023,289957
Total,30-34,2022,306084
Total,30-34,2021,310652
Total,30-34,2020,310085
Total,30-34,2019,304728
Total,30-34,2018,295098
Total,30-34,2017,283360
Total,30-34,2016,273997
Total,30-34,2015,263538
Total,30-34,2014,257858
Total,30-34,2013,255161
Total,30-34,2012,252204
Total,30-34,2011,248370
Total,30-34,2010,234435
Total,30-34,2009,229054
Total,30-34,2008,220314
Total,30-34,2007,215578
Total,30-34,2006,211470
Total,30-34,2005,202598
Total,30-34,2004,200269
Total,30-34,2003,198152
Total,30-34,2002,195815
Total,30-34,2001,192949
Total,30-34,2000,190256
Total,30-34,1999,187872
Total,30-34,1998,189718
Total,30-34,1997,186497
Total,30-34,1996,185445
Total,30-34,1995,179067
Total,30-34,1994,179339
Total,30-34,1993,168344
Total,30-34,1992,162570
Total,30-34,1991,156575
Total,30-34,1990,153333
Total,30-34,1989,135284
Total,30-34,1979,77046
Total,30-34,1969,64971
Total,30-34,1963,64371
Total,30-34,1956,58506
Total,35-39,2024,301237
Total,35-39,2023,291445
Total,35-39,2022,280000
Total,35-39,2021,270782
Total,35-39,2020,260361
Total,35-39,2019,251684
Total,35-39,2018,244225
Total,35-39,2017,241307
Total,35-39,2016,236622
Total,35-39,2015,232634
Total,35-39,2014,233392
Total,35-39,2013,233392
Total,35-39,2012,228657
Total,35-39,2011,225425
Total,35-39,2010,212991
Total,35-39,2009,206788
Total,35-39,2008,197863
Total,35-39,2007,193898
Total,35-39,2006,190864
Total,35-39,2005,185103
Total,35-39,2004,182973
Total,35-39,2003,181042
Total,35-39,2002,178905
Total,35-39,2001,176967
Total,35-39,2000,172291
Total,35-39,1999,172606
Total,35-39,1998,168875
Total,35-39,1997,161213
Total,35-39,1996,150237
Total,35-39,1995,144597
Total,35-39,1994,130501
Total,35-39,1993,120960
Total,35-39,1992,111105
Total,35-39,1991,107005
Total,35-39,1990,96370
Total,35-39,1989,92615
Total,35-39,1979,76594
Total,35-39,1969,64200
Total,35-39,1963,57338
Total,35-39,1956,56705
Total,40-44,2024,247137
Total,40-44,2023,239615
Total,40-44,2022,236746
Total,40-44,2021,232177
Total,40-44,2020,228355
Total,40-44,2019,224191
Total,40-44,2018,221914
Total,40-44,2017,217532
Total,40-44,2016,214112
Total,40-44,2015,208439
Total,40-44,2014,208711
Total,40-44,2013,201152
Total,40-44,2012,197184
Total,40-44,2011,192568
Total,40-44,2010,188396
Total,40-44,2009,181803
Total,40-44,2008,178823
Total,40-44,2007,175188
Total,40-44,2006,175113
Total,40-44,2005,151485
Total,40-44,2004,149743
Total,40-44,2003,148161
Total,40-44,2002,146413
Total,40-44,2001,145158
Total,40-44,2000,139129
Total,40-44,1999,127220
Total,40-44,1998,117620
Total,40-44,1997,107081
Total,40-44,1996,100184
Total,40-44,1995,88980
Total,40-44,1994,86318
Total,40-44,1993,79472
Total,40-44,1992,76653
Total,40-44,1991,73655
Total,40-44,1990,73621
Total,40-44,1989,70390
Total,40-44,1979,64798
Total,40-44,1969,50297
Total,40-44,1963,47642
Total,40-44,1956,47421
Total,45-49,2024,218090
Total,45-49,2023,215653
Total,45-49,2022,211527
Total,45-49,2021,208273
Total,45-49,2020,202734
Total,45-49,2019,198122
Total,45-49,2018,191780
Total,45-49,2017,186765
Total,45-49,2016,181405
Total,45-49,2015,178411
Total,45-49,2014,178475
Total,45-49,2013,176018
Total,45-49,2012,171718
Total,45-49,2011,168908
Total,45-49,2010,164611
Total,45-49,2009,161242
Total,45-49,2008,155847
Total,45-49,2007,151765
Total,45-49,2006,147546
Total,45-49,2005,103804
Total,45-49,2004,102612
Total,45-49,2003,101524
Total,45-49,2002,100330
Total,45-49,2001,99163
Total,45-49,2000,90069
Total,45-49,1999,82888
Total,45-49,1998,75880
Total,45-49,1997,72605
Total,45-49,1996,67791
Total,45-49,1995,67051
Total,45-49,1994,61558
Total,45-49,1993,62011
Total,45-49,1992,60247
Total,45-49,1991,64063
Total,45-49,1990,64904
Total,45-49,1989,68296
Total,45-49,1979,58652
Total,45-49,1969,50791
Total,45-49,1963,51947
Total,45-49,1956,51591
Total,50-54,2024,190515
Total,50-54,2023,184239
Total,50-54,2022,179206
Total,50-54,2021,174130
Total,50-54,2020,171428
Total,50-54,2019,165647
Total,50-54,2018,164214
Total,50-54,2017,161016
Total,50-54,2016,159075
Total,50-54,2015,152601
Total,50-54,2014,154443
Total,50-54,2013,144970
Total,50-54,2012,137432
Total,50-54,2011,128834
Total,50-54,2010,126740
Total,50-54,2009,116687
Total,50-54,2008,111691
Total,50-54,2007,103642
Total,50-54,2006,102683
Total,50-54,2005,70793
Total,50-54,2004,69978
Total,50-54,2003,69239
Total,50-54,2002,68424
Total,50-54,2001,68214
Total,50-54,2000,66853
Total,50-54,1999,57835
Total,50-54,1998,57961
Total,50-54,1997,55813
Total,50-54,1996,57766
Total,50-54,1995,57870
Total,50-54,1994,62068
Total,50-54,1993,60652
Total,50-54,1992,61490
Total,50-54,1991,59787
Total,50-54,1990,59474
Total,50-54,1989,55430
Total,50-54,1979,45547
Total,50-54,1969,43264
Total,50-54,1963,43623
Total,50-54,1956,41768
Total,55-59,2024,156855
Total,55-59,2023,155235
Total,55-59,2022,152087
Total,55-59,2021,150076
Total,55-59,2020,144036
Total,55-59,2019,142399
Total,55-59,2018,135542
Total,55-59,2017,128739
Total,55-59,2016,119888
Total,55-59,2015,115125
Total,55-59,2014,108144
Total,55-59,2013,96870
Total,55-59,2012,89643
Total,55-59,2011,82449
Total,55-59,2010,77400
Total,55-59,2009,76029
Total,55-59,2008,72471
Total,55-59,2007,69163
Total,55-59,2006,68566
Total,55-59,2005,59323
Total,55-59,2004,58643
Total,55-59,2003,58022
Total,55-59,2002,57338
Total,55-59,2001,57272
Total,55-59,2000,57098
Total,55-59,1999,55895
Total,55-59,1998,55307
Total,55-59,1997,55633
Total,55-59,1996,52562
Total,55-59,1995,51746
Total,55-59,1994,46823
Total,55-59,1993,47830
Total,55-59,1992,48033
Total,55-59,1991,51210
Total,55-59,1990,51477
Total,55-59,1989,50220
Total,55-59,1979,43264
Total,55-59,1969,43259
Total,55-59,1963,42050
Total,55-59,1956,38813
Total,60-64,2024,131881
Total,60-64,2023,125423
Total,60-64,2022,118793
Total,60-64,2021,110538
Total,60-64,2020,106144
Total,60-64,2019,96433
Total,60-64,2018,87790
Total,60-64,2017,79856
Total,60-64,2016,73940
Total,60-64,2015,65496
Total,60-64,2014,66563
Total,60-64,2013,58876
Total,60-64,2012,55896
Total,60-64,2011,52399
Total,60-64,2010,52405
Total,60-64,2009,50658
Total,60-64,2008,51559
Total,60-64,2007,50679
Total,60-64,2006,52542
Total,60-64,2005,50433
Total,60-64,2004,49851
Total,60-64,2003,49324
Total,60-64,2002,48744
Total,60-64,2001,47348
Total,60-64,2000,46152
Total,60-64,1999,42292
Total,60-64,1998,41732
Total,60-64,1997,41455
Total,60-64,1996,43194
Total,60-64,1995,42953
Total,60-64,1994,44889
Total,60-64,1993,43134
Total,60-64,1992,41589
Total,60-64,1991,39331
Total,60-64,1990,39094
Total,60-64,1989,36235
Total,60-64,1979,36659
Total,60-64,1969,37310
Total,60-64,1963,35810
Total,60-64,1956,32419
Total,65-69,2024,86103
Total,65-69,2023,78538
Total,65-69,2022,71329
Total,65-69,2021,65804
Total,65-69,2020,58377
Total,65-69,2019,55279
Total,65-69,2018,50307
Total,65-69,2017,47326
Total,65-69,2016,43711
Total,65-69,2015,43089
Total,65-69,2014,42307
Total,65-69,2013,40373
Total,65-69,2012,39354
Total,65-69,2011,39965
Total,65-69,2010,41151
Total,65-69,2009,44186
Total,65-69,2008,44263
Total,65-69,2007,43739
Total,65-69,2006,43330
Total,65-69,2005,37295
Total,65-69,2004,36867
Total,65-69,2003,36476
Total,65-69,2002,36047
Total,65-69,2001,35428
Total,65-69,2000,35110
Total,65-69,1999,35415
Total,65-69,1998,35484
Total,65-69,1997,33938
Total,65-69,1996,30826
Total,65-69,1995,30412
Total,65-69,1994,27932
Total,65-69,1993,28849
Total,65-69,1992,29378
Total,65-69,1991,31048
Total,65-69,1990,32296
Total,65-69,1989,31488
Total,65-69,1979,32793
Total,65-69,1969,32442
Total,65-69,1963,27448
Total,65-69,1956,22815
Total,70+,2024,101814
Total,70+,2023,95970
Total,70+,2022,90894
Total,70+,2021,86042
Total,70+,2020,85319
Total,70+,2019,80317
Total,70+,2018,77634
Total,70+,2017,75391
Total,70+,2016,73583
Total,70+,2015,71976
Total,70+,2014,76281
Total,70+,2013,71128
Total,70+,2012,70963
Total,70+,2011,67673
Total,70+,2010,67742
Total,70+,2009,66055
Total,70+,2008,65719
Total,70+,2007,64266
Total,70+,2006,64286
Total,70+,2005,52368
Total,70+,2004,51766
Total,70+,2003,51218
Total,70+,2002,50615
Total,70+,2001,50601
Total,70+,2000,49577
Total,70+,1999,46588
Total,70+,1998,55560
Total,70+,1997,55010
Total,70+,1996,54974
Total,70+,1995,54575
Total,70+,1994,53116
Total,70+,1993,56272
Total,70+,1992,56271
Total,70+,1991,57297
Total,70+,1990,56236
Total,70+,1989,51140
Total,70+,1979,46289
Total,70+,1969,39500
Total,70+,1963,36540
Total,70+,1956,29928
Male,Total,2024,1736360
Male,Total,2023,1718275
Male,Total,2022,1696148
Male,Total,2021,1674058
Male,Total,2020,1648979
Male,Total,2019,1619573
Male,Total,2018,1591848
Male,Total,2017,1562370
Male,Total,2016,1533983
Male,Total,2015,1503612
Male,Total,2014,1466455
Male,Total,2013,1425843
Male,Total,2012,1393453
Male,Total,2011,1364723
Male,Total,2010,1342081
Male,Total,2009,1328140
Male,Total,2008,1301305
Male,Total,2007,1277249
Male,Total,2006,1259653
Male,Total,2005,1265614
Male,Total,2004,1251052
Male,Total,2003,1237838
Male,Total,2002,1223235
Male,Total,2001,1204702
Male,Total,2000,1190244
Male,Total,1999,1177981
Male,Total,1998,1161666
Male,Total,1997,1145568
Male,Total,1996,1129848
Male,Total,1995,1114370
Male,Total,1994,1096797
Male,Total,1993,1082495
Male,Total,1992,1075995
Male,Total,1991,1085404
Male,Total,1990,1073647
Male,Total,1989,1020669
Male,Total,1979,798868
Male,Total,1969,597359
Male,Total,1963,508029
Male,Total,1956,420291
Male,0-4,2024,174398
Male,0-4,2023,181491
Male,0-4,2022,187706
Male,0-4,2021,192713
Male,0-4,2020,195957
Male,0-4,2019,198005
Male,0-4,2018,200715
Male,0-4,2017,202282
Male,0-4,2016,201936
Male,0-4,2015,198115
Male,0-4,2014,176583
Male,0-4,2013,162383
Male,0-4,2012,154772
Male,0-4,2011,146292
Male,0-4,2010,140006
Male,0-4,2009,133924
Male,0-4,2008,125642
Male,0-4,2007,117838
Male,0-4,2006,109435
Male,0-4,2005,117519
Male,0-4,2004,116168
Male,0-4,2003,114939
Male,0-4,2002,113584
Male,0-4,2001,115498
Male,0-4,2000,116370
Male,0-4,1999,124482
Male,0-4,1998,119826
Male,0-4,1997,118442
Male,0-4,1996,123825
Male,0-4,1995,131656
Male,0-4,1994,139422
Male,0-4,1993,148716
Male,0-4,1992,161321
Male,0-4,1991,169421
Male,0-4,1990,172036
Male,0-4,1989,164010
Male,0-4,1979,133259
Male,0-4,1969,99441
Male,0-4,1963,85563
Male,0-4,1956,53175
Male,5-9,2024,197034
Male,5-9,2023,201803
Male,5-9,2022,203288
Male,5-9,2021,202744
Male,5-9,2020,199072
Male,5-9,2019,190812
Male,5-9,2018,183100
Male,5-9,2017,174304
Male,5-9,2016,164768
Male,5-9,2015,152485
Male,5-9,2014,137336
Male,5-9,2013,125866
Male,5-9,2012,117201
Male,5-9,2011,112623
Male,5-9,2010,115518
Male,5-9,2009,118564
Male,5-9,2008,121329
Male,5-9,2007,124720
Male,5-9,2006,122971
Male,5-9,2005,136168
Male,5-9,2004,134600
Male,5-9,2003,133178
Male,5-9,2002,131608
Male,5-9,2001,129340
Male,5-9,2000,135082
Male,5-9,1999,144315
Male,5-9,1998,146284
Male,5-9,1997,156130
Male,5-9,1996,159256
Male,5-9,1995,159311
Male,5-9,1994,156910
Male,5-9,1993,155734
Male,5-9,1992,150976
Male,5-9,1991,150691
Male,5-9,1990,147084
Male,5-9,1989,139287
Male,5-9,1979,119153
Male,5-9,1969,97766
Male,5-9,1963,70179
Male,5-9,1956,44253
Male,10-14,2024,190491
Male,10-14,2023,183451
Male,10-14,2022,174733
Male,10-14,2021,165204
Male,10-14,2020,152788
Male,10-14,2019,142513
Male,10-14,2018,128855
Male,10-14,2017,118653
Male,10-14,2016,112576
Male,10-14,2015,111675
Male,10-14,2014,113306
Male,10-14,2013,118223
Male,10-14,2012,119963
Male,10-14,2011,120084
Male,10-14,2010,125645
Male,10-14,2009,129289
Male,10-14,2008,132336
Male,10-14,2007,135581
Male,10-14,2006,138632
Male,10-14,2005,161872
Male,10-14,2004,160007
Male,10-14,2003,158320
Male,10-14,2002,156449
Male,10-14,2001,156627
Male,10-14,2000,157638
Male,10-14,1999,159294
Male,10-14,1998,153162
Male,10-14,1997,148239
Male,10-14,1996,143662
Male,10-14,1995,138371
Male,10-14,1994,134694
Male,10-14,1993,131092
Male,10-14,1992,130799
Male,10-14,1991,132021
Male,10-14,1990,131909
Male,10-14,1989,128824
Male,10-14,1979,104714
Male,10-14,1969,70138
Male,10-14,1963,44042
Male,10-14,1956,31899
Male,15-19,2024,142033
Male,15-19,2023,129198
Male,15-19,2022,118927
Male,15-19,2021,112718
Male,15-19,2020,111747
Male,15-19,2019,113464
Male,15-19,2018,116247
Male,15-19,2017,118408
Male,15-19,2016,119966
Male,15-19,2015,121780
Male,15-19,2014,122289
Male,15-19,2013,125977
Male,15-19,2012,125525
Male,15-19,2011,129957
Male,15-19,2010,137353
Male,15-19,2009,143854
Male,15-19,2008,149006
Male,15-19,2007,151895
Male,15-19,2006,152143
Male,15-19,2005,151965
Male,15-19,2004,150215
Male,15-19,2003,148631
Male,15-19,2002,146876
Male,15-19,2001,141549
Male,15-19,2000,138299
Male,15-19,1999,133327
Male,15-19,1998,129481
Male,15-19,1997,128515
Male,15-19,1996,125896
Male,15-19,1995,124158
Male,15-19,1994,121521
Male,15-19,1993,121404
Male,15-19,1992,120157
Male,15-19,1991,121901
Male,15-19,1990,119445
Male,15-19,1989,112509
Male,15-19,1979,93889
Male,15-19,1969,46686
Male,15-19,1963,36607
Male,15-19,1956,37949
Male,20-24,2024,112835
Male,20-24,2023,115372
Male,20-24,2022,117176
Male,20-24,2021,118248
Male,20-24,2020,119766
Male,20-24,2019,120958
Male,20-24,2018,123951
Male,20-24,2017,123701
Male,20-24,2016,128877
Male,20-24,2015,135073
Male,20-24,2014,138277
Male,20-24,2013,147194
Male,20-24,2012,151936
Male,20-24,2011,154492
Male,20-24,2010,149261
Male,20-24,2009,144577
Male,20-24,2008,136897
Male,20-24,2007,128555
Male,20-24,2006,125025
Male,20-24,2005,136551
Male,20-24,2004,134981
Male,20-24,2003,133554
Male,20-24,2002,131979
Male,20-24,2001,126174
Male,20-24,2000,122458
Male,20-24,1999,118023
Male,20-24,1998,119721
Male,20-24,1997,117737
Male,20-24,1996,116128
Male,20-24,1995,112516
Male,20-24,1994,111336
Male,20-24,1993,107755
Male,20-24,1992,105549
Male,20-24,1991,105657
Male,20-24,1990,105737
Male,20-24,1989,97505
Male,20-24,1979,64318
Male,20-24,1969,34401
Male,20-24,1963,35794
Male,20-24,1956,35171
Male,25-29,2024,120014
Male,25-29,2023,121586
Male,25-29,2022,121520
Male,25-29,2021,126675
Male,25-29,2020,132802
Male,25-29,2019,139284
Male,25-29,2018,147740
Male,25-29,2017,155846
Male,25-29,2016,157575
Male,25-29,2015,157118
Male,25-29,2014,150842
Male,25-29,2013,145593
Male,25-29,2012,140633
Male,25-29,2011,135782
Male,25-29,2010,125481
Male,25-29,2009,121034
Male,25-29,2008,115381
Male,25-29,2007,112110
Male,25-29,2006,108903
Male,25-29,2005,116998
Male,25-29,2004,115652
Male,25-29,2003,114430
Male,25-29,2002,113080
Male,25-29,2001,111039
Male,25-29,2000,108765
Male,25-29,1999,107962
Male,25-29,1998,106518
Male,25-29,1997,103746
Male,25-29,1996,101161
Male,25-29,1995,100251
Male,25-29,1994,96244
Male,25-29,1993,93809
Male,25-29,1992,92778
Male,25-29,1991,94985
Male,25-29,1990,93054
Male,25-29,1989,88747
Male,25-29,1979,45546
Male,25-29,1969,39369
Male,25-29,1963,35413
Male,25-29,1956,32132
Male,30-34,2024,137736
Male,30-34,2023,144816
Male,30-34,2022,152867
Male,30-34,2021,155063
Male,30-34,2020,154702
Male,30-34,2019,151725
Male,30-34,2018,146913
Male,30-34,2017,140867
Male,30-34,2016,136030
Male,30-34,2015,130591
Male,30-34,2014,126832
Male,30-34,2013,123525
Male,30-34,2012,121895
Male,30-34,2011,119618
Male,30-34,2010,113540
Male,30-34,2009,111169
Male,30-34,2008,107024
Male,30-34,2007,104712
Male,30-34,2006,102855
Male,30-34,2005,100817
Male,30-34,2004,99657
Male,30-34,2003,98604
Male,30-34,2002,97441
Male,30-34,2001,95456
Male,30-34,2000,93564
Male,30-34,1999,92473
Male,30-34,1998,93535
Male,30-34,1997,91886
Male,30-34,1996,91471
Male,30-34,1995,88602
Male,30-34,1994,88657
Male,30-34,1993,83398
Male,30-34,1992,80584
Male,30-34,1991,77382
Male,30-34,1990,75922
Male,30-34,1989,67249
Male,30-34,1979,39104
Male,30-34,1969,33178
Male,30-34,1963,33413
Male,30-34,1956,29501
Male,35-39,2024,149092
Male,35-39,2023,144243
Male,35-39,2022,138377
Male,35-39,2021,133566
Male,35-39,2020,128212
Male,35-39,2019,124138
Male,35-39,2018,120394
Male,35-39,2017,118861
Male,35-39,2016,116417
Male,35-39,2015,114492
Male,35-39,2014,114170
Male,35-39,2013,112810
Male,35-39,2012,109981
Male,35-39,2011,107727
Male,35-39,2010,102520
Male,35-39,2009,99773
Male,35-39,2008,95406
Male,35-39,2007,93180
Male,35-39,2006,91998
Male,35-39,2005,91596
Male,35-39,2004,90543
Male,35-39,2003,89587
Male,35-39,2002,88529
Male,35-39,2001,87162
Male,35-39,2000,85110
Male,35-39,1999,84846
Male,35-39,1998,83200
Male,35-39,1997,79049
Male,35-39,1996,73450
Male,35-39,1995,70834
Male,35-39,1994,64284
Male,35-39,1993,59872
Male,35-39,1992,55039
Male,35-39,1991,53469
Male,35-39,1990,47943
Male,35-39,1989,46614
Male,35-39,1979,39784
Male,35-39,1969,32771
Male,35-39,1963,29256
Male,35-39,1956,28687
Male,40-44,2024,120723
Male,40-44,2023,116965
Male,40-44,2022,115502
Male,40-44,2021,113161
Male,40-44,2020,111300
Male,40-44,2019,108904
Male,40-44,2018,107578
Male,40-44,2017,105370
Male,40-44,2016,103502
Male,40-44,2015,100801
Male,40-44,2014,101320
Male,40-44,2013,96267
Male,40-44,2012,94001
Male,40-44,2011,91426
Male,40-44,2010,89458
Male,40-44,2009,86705
Male,40-44,2008,85762
Male,40-44,2007,83740
Male,40-44,2006,83822
Male,40-44,2005,74712
Male,40-44,2004,73853
Male,40-44,2003,73074
Male,40-44,2002,72210
Male,40-44,2001,71301
Male,40-44,2000,68428
Male,40-44,1999,62619
Male,40-44,1998,57422
Male,40-44,1997,52664
Male,40-44,1996,49709
Male,40-44,1995,44009
Male,40-44,1994,42718
Male,40-44,1993,39455
Male,40-44,1992,38177
Male,40-44,1991,36583
Male,40-44,1990,36650
Male,40-44,1989,35764
Male,40-44,1979,33537
Male,40-44,1969,26025
Male,40-44,1963,25574
Male,40-44,1956,25166
Male,45-49,2024,104331
Male,45-49,2023,102876
Male,45-49,2022,100885
Male,45-49,2021,99127
Male,45-49,2020,96633
Male,45-49,2019,94545
Male,45-49,2018,91409
Male,45-49,2017,88673
Male,45-49,2016,86238
Male,45-49,2015,84610
Male,45-49,2014,84934
Male,45-49,2013,82948
Male,45-49,2012,81051
Male,45-49,2011,79741
Male,45-49,2010,78030
Male,45-49,2009,76710
Male,45-49,2008,74259
Male,45-49,2007,72580
Male,45-49,2006,70842
Male,45-49,2005,51704
Male,45-49,2004,51111
Male,45-49,2003,50570
Male,45-49,2002,49974
Male,45-49,2001,49018
Male,45-49,2000,44566
Male,45-49,1999,40562
Male,45-49,1998,37288
Male,45-49,1997,35711
Male,45-49,1996,33238
Male,45-49,1995,32983
Male,45-49,1994,30420
Male,45-49,1993,30983
Male,45-49,1992,30433
Male,45-49,1991,32512
Male,45-49,1990,33237
Male,45-49,1989,35413
Male,45-49,1979,30121
Male,45-49,1969,25800
