Sex,Age group,Year,value
Total,Total,2024,3544835
Total,Total,2023,3504741
Total,Total,2022,3457548
Total,Total,2021,3409939
Total,Total,2020,3357542
Total,Total,2019,3296866
Total,Total,2018,3238479
Total,Total,2017,3177899
Total,Total,2016,3119935
Total,Total,2015,3057778
Total,Total,2014,2995949
Total,Total,2013,2930277
Total,Total,2012,2867744
Total,Total,2011,2811666
Total,Total,2010,2760968
Total,Total,2009,2716275
Total,Total,2008,2665955
Total,Total,2007,2620446
Total,Total,2006,2583254
Total,Total,2005,2551081
Total,Total,2004,2521733
Total,Total,2003,2495091
Total,Total,2002,2465657
Total,Total,2001,2432397
Total,Total,2000,2403105
Total,Total,1999,2373493
Total,Total,1998,2340134
Total,Total,1997,2307484
Total,Total,1996,2276016
Total,Total,1995,2242998
Total,Total,1994,2206892
Total,Total,1993,2171898
Total,Total,1992,2158362
Total,Total,1991,2177217
Total,Total,1990,2153466
Total,Total,1989,2043954
Total,Total,1979,1595006
Total,Total,1969,1197595
Total,Total,1963,1017158
Total,Total,1956,845481
Total,0-4,2024,340277
Total,0-4,2023,354313
Total,0-4,2022,366413
Total,0-4,2021,375503
Total,0-4,2020,381639
Total,0-4,2019,385681
Total,0-4,2018,391125
Total,0-4,2017,393984
Total,0-4,2016,394514
Total,0-4,2015,386866
Total,0-4,2014,345968
Total,0-4,2013,319422
Total,0-4,2012,305258
Total,0-4,2011,288129
Total,0-4,2010,276321
Total,0-4,2009,263186
Total,0-4,2008,247698
Total,0-4,2007,232963
Total,0-4,2006,216960
Total,0-4,2005,235893
Total,0-4,2004,233180
Total,0-4,2003,230716
Total,0-4,2002,227994
Total,0-4,2001,228703
Total,0-4,2000,230273
Total,0-4,1999,246023
Total,0-4,1998,236701
Total,0-4,1997,233844
Total,0-4,1996,245148
Total,0-4,1995,260200
Total,0-4,1994,275666
Total,0-4,1993,293792
Total,0-4,1992,318770
Total,0-4,1991,335026
Total,0-4,1990,340633
Total,0-4,1989,324856
Total,0-4,1979,263534
Total,0-4,1969,199012
Total,0-4,1963,170389
Total,0-4,1956,106601
Total,5-9,2024,383999
Total,5-9,2023,393021
Total,5-9,2022,395969
Total,5-9,2021,396080
Total,5-9,2020,388928
Total,5-9,2019,373012
Total,5-9,2018,358379
Total,5-9,2017,341311
Total,5-9,2016,322575
Total,5-9,2015,298808
Total,5-9,2014,271346
Total,5-9,2013,248674
Total,5-9,2012,231805
Total,5-9,2011,222256
Total,5-9,2010,228193
Total,5-9,2009,233139
Total,5-9,2008,240358
Total,5-9,2007,246879
Total,5-9,2006,243465
Total,5-9,2005,273818
Total,5-9,2004,270667
Total,5-9,2003,267807
Total,5-9,2002,264648
Total,5-9,2001,255618
Total,5-9,2000,267504
Total,5-9,1999,285664
Total,5-9,1998,289751
Total,5-9,1997,311920
Total,5-9,1996,317828
Total,5-9,1995,318226
Total,5-9,1994,314084
Total,5-9,1993,308809
Total,5-9,1992,299441
Total,5-9,1991,298627
Total,5-9,1990,291335
Total,5-9,1989,275179
Total,5-9,1979,234986
Total,5-9,1969,194303
Total,5-9,1963,139124
Total,5-9,1956,88919
Total,10-14,2024,372525
Total,10-14,2023,359331
Total,10-14,2022,342417
Total,10-14,2021,323675
Total,10-14,2020,299512
Total,10-14,2019,279299
Total,10-14,2018,252548
Total,10-14,2017,232601
Total,10-14,2016,220429
